Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-0.704866,-0.970769,-3.41916,-3.35117,-0.970769,0
1,19,99,-1.38282,-0.288081,-3.41916,-3.35117,-0.288081,1
1,18,99,-0.965852,-0.753372,-3.41916,-3.35117,-0.753372,1
1,17,99,-0.924663,-0.356158,-3.41916,-3.35117,-0.356158,1
1,15,99,-0.913573,-0.870714,-3.41916,-3.35117,-0.870714,1
1,13,99,-1.33476,-1.44274,-3.41916,-3.35117,-1.44274,0
1,12,99,-0.745335,-0.853953,-3.41916,-3.35117,-0.745335,0
1,10,99,-1.03513,-0.786978,-3.41916,-3.35117,-1.03513,1
1,9,99,-0.974059,-1.43161,-3.41916,-3.35117,-1.43161,0
1,7,99,-0.992724,-1.11441,-3.41916,-3.35117,-1.11441,0
1,4,99,-0.773719,-0.793793,-3.41916,-3.35117,-0.793793,0
1,3,99,-0.829627,-1.10294,-3.41916,-3.35117,-1.10294,0
1,2,99,-0.535961,-0.59866,-3.41916,-3.35117,-0.59866,0
1,1,99,0.110233,-1.47506,-3.41916,-3.35117,-1.47506,0
1,20,98,-1.74287,-1.19715,-3.41916,-3.12829,-1.19715,1
1,19,98,-0.968119,-0.257531,-3.41916,-3.12829,-0.257531,1
1,18,98,-1.15224,-0.756869,-3.41916,-3.12829,-0.756869,1
1,17,98,-0.745687,-0.309594,-3.41916,-3.12829,-0.309594,1
1,15,98,-1.26977,-1.14481,-3.41916,-3.12829,-1.14481,1
1,13,98,-1.03422,-1.40837,-3.41916,-3.12829,-1.03422,0
1,12,98,-0.771378,-0.651401,-3.41916,-3.12829,-0.651401,1
1,9,98,-0.983757,-1.34291,-3.41916,-3.12829,-1.34291,0
1,7,98,-1.00106,-0.9323,-3.41916,-3.12829,-0.9323,1
1,4,98,-0.807413,-0.713118,-3.41916,-3.12829,-0.713118,1
1,3,98,-0.568144,-0.982422,-3.41916,-3.12829,-0.982422,0
1,2,98,-0.448112,-0.477898,-3.41916,-3.12829,-0.477898,0
1,1,98,0.238839,-1.18837,-3.41916,-3.12829,-1.18837,0
1,20,97,-0.622609,-1.02879,-3.41916,-2.81209,-0.622609,0
1,19,97,-0.787024,-0.899379,-3.41916,-2.81209,-0.899379,0
1,18,97,-1.05404,-0.731896,-3.41916,-2.81209,-0.731896,1
1,17,97,-1.0172,-0.819206,-3.41916,-2.81209,-0.819206,1
1,15,97,-0.672716,-0.661873,-3.41916,-2.81209,-0.661873,1
1,13,97,-0.92535,-1.25038,-3.41916,-2.81209,-1.25038,0
1,12,97,-0.345612,-0.456255,-3.41916,-2.81209,-0.456255,0
1,7,97,-0.883285,-0.966006,-3.41916,-2.81209,-0.966006,0
1,4,97,-0.656132,-0.823196,-3.41916,-2.81209,-0.823196,0
1,3,97,-0.650363,-1.11531,-3.41916,-2.81209,-1.11531,0
1,2,97,-0.198043,-0.700927,-3.41916,-2.81209,-0.700927,0
1,20,96,-0.516572,-0.955109,-3.41916,-2.99602,-0.955109,0
1,19,96,-0.590553,-0.188071,-3.41916,-2.99602,-0.188071,1
1,18,96,-1.08661,-0.759452,-3.41916,-2.99602,-0.759452,1
1,17,96,-0.464311,-0.0985521,-3.41916,-2.99602,-0.0985521,1
1,15,96,-0.631064,-0.520403,-3.41916,-2.99602,-0.520403,1
1,13,96,-1.21825,-1.3664,-3.41916,-2.99602,-1.21825,0
1,12,96,-0.266536,-0.555944,-3.41916,-2.99602,-0.555944,0
1,9,96,-0.745151,-1.19021,-3.41916,-2.99602,-1.19021,0
1,7,96,-0.759927,-0.867387,-3.41916,-2.99602,-0.867387,0
1,4,96,-0.495826,-0.602101,-3.41916,-2.99602,-0.602101,0
1,3,96,-0.757178,-0.964649,-3.41916,-2.99602,-0.964649,0
1,2,96,-0.296221,-0.330671,-3.41916,-2.99602,-0.330671,0
1,19,95,-0.42466,-0.0980037,-3.41916,-2.85377,-0.0980037,1
1,17,95,-0.81948,-0.0817112,-3.41916,-2.85377,-0.0817112,1
1,15,95,-0.664342,-0.553417,-3.41916,-2.85377,-0.553417,1
1,13,95,-0.741937,-1.07225,-3.41916,-2.85377,-1.07225,0
1,7,95,-0.738585,-0.742079,-3.41916,-2.85377,-0.742079,0
1,4,95,-0.526377,-0.511077,-3.41916,-2.85377,-0.511077,1
1,2,95,-0.183591,-0.238603,-3.41916,-2.85377,-0.238603,0
1,1,95,0.83032,-1.17123,-3.41916,-2.85377,-1.17123,0
1,19,94,-0.465905,-0.000179852,-3.41916,-2.55553,-0.000179852,1
1,17,94,-0.557422,-0.0105032,-3.41916,-2.55553,-0.0105032,1
1,15,94,-0.569175,-0.306891,-3.41916,-2.55553,-0.306891,1
1,13,94,-0.701552,-0.992865,-3.41916,-2.55553,-0.992865,0
1,7,94,-0.673436,-0.565653,-3.41916,-2.55553,-0.565653,1
1,4,94,-0.42717,-0.411958,-3.41916,-2.55553,-0.411958,1
1,2,94,0.00904681,-0.253164,-3.41916,-2.55553,-0.253164,0
1,1,94,0.713018,-0.966301,-3.41916,-2.55553,-0.966301,0
1,19,93,-0.209693,-0.0459632,-3.41916,-2.51688,-0.0459632,1
1,17,93,-0.399866,0.118021,-3.41916,-2.51688,0.118021,1
1,15,93,-0.567487,-0.447995,-3.41916,-2.51688,-0.447995,1
1,13,93,-0.768752,-0.959009,-3.41916,-2.51688,-0.959009,0
1,7,93,-0.54428,-0.555865,-3.41916,-2.51688,-0.555865,0
1,4,93,-0.385117,-0.437346,-3.41916,-2.51688,-0.437346,0
1,2,93,0.0760152,-0.143373,-3.41916,-2.51688,-0.143373,0
1,1,93,0.696903,-0.819237,-3.41916,-2.51688,-0.819237,0
1,19,92,-0.496667,0.0550563,-6.43894,-2.39982,0.0550563,1
1,17,92,-0.281529,0.26633,-6.43894,-2.39982,0.26633,1
1,15,92,-0.383254,-0.202697,-6.43894,-2.39982,-0.202697,1
1,13,92,-0.723737,-0.791737,-6.43894,-2.39982,-0.791737,0
1,7,92,-0.518342,-0.548824,-6.43894,-2.39982,-0.548824,0
1,4,92,0.183241,-0.388082,-6.43894,-2.39982,-0.388082,0
1,2,92,0.0870961,-0.0589377,-6.43894,-2.39982,-0.0589377,0
1,1,92,0.725166,-0.99086,-6.43894,-2.39982,-0.99086,0
1,19,91,0.116698,0.18053,-6.29331,-2.45927,0.18053,1
1,17,91,-0.392112,0.33108,-6.29331,-2.45927,0.33108,1
1,15,91,-0.187197,-0.117098,-6.29331,-2.45927,-0.187197,1
1,13,91,-0.624857,-0.749687,-6.29331,-2.45927,-0.749687,0
1,7,91,-0.376447,-0.421412,-6.29331,-2.45927,-0.421412,0
1,4,91,-0.202922,-0.180095,-6.29331,-2.45927,-0.180095,1
1,2,91,0.0914534,0.148397,-6.29331,-2.45927,0.148397,1
1,1,91,0.92151,-0.684089,-6.29331,-2.45927,-0.684089,0
1,19,90,-0.218592,0.200671,-6.05291,-2.36134,0.200671,1
1,17,90,-0.293943,0.314727,-6.05291,-2.36134,0.314727,1
1,15,90,-0.102529,-0.000397164,-6.05291,-2.36134,-0.000397164,1
1,13,90,-0.448545,-0.672816,-6.05291,-2.36134,-0.672816,0
1,7,90,-0.503105,-0.594634,-6.05291,-2.36134,-0.594634,0
1,4,90,-0.194592,-0.140178,-6.05291,-2.36134,-0.140178,1
1,2,90,0.513458,0.0509494,-6.05291,-2.36134,0.0509494,0
1,1,90,1.08176,-0.77451,-6.05291,-2.36134,-0.77451,0
1,19,89,-0.240725,0.138052,-5.75042,-2.39784,0.138052,1
1,17,89,-0.0909487,0.455845,-5.75042,-2.39784,-0.0909487,1
1,15,89,-0.0168243,0.00823261,-5.75042,-2.39784,0.00823261,1
1,13,89,-0.277296,-0.584394,-5.75042,-2.39784,-0.584394,0
1,7,89,-0.250279,-0.264661,-5.75042,-2.39784,-0.264661,0
1,4,89,0.38307,-0.12967,-5.75042,-2.39784,-0.12967,0
1,2,89,0.250268,-0.105855,-5.75042,-2.39784,-0.105855,0
1,1,89,0.762887,0.219704,-5.75042,-2.39784,0.219704,0
1,19,88,0.289838,0.379225,-5.55605,-2.24038,0.289838,1
1,17,88,-0.0272781,0.541521,-5.55605,-2.24038,0.541521,1
1,15,88,-0.0810528,0.08041,-5.55605,-2.24038,0.08041,1
1,13,88,-0.307455,-0.410318,-5.55605,-2.24038,-0.410318,0
1,7,88,-0.125275,-0.258486,-5.55605,-2.24038,-0.258486,0
1,4,88,0.381931,-0.0400317,-5.55605,-2.24038,-0.0400317,0
1,2,88,0.448152,0.246158,-5.55605,-2.24038,0.246158,0
1,1,88,1.18086,-0.770945,-5.55605,-2.24038,-0.770945,0
1,19,87,-0.0730874,0.372296,-5.60239,-2.09737,0.372296,1
1,17,87,-0.741332,0.275702,-5.60239,-2.09737,0.275702,1
1,15,87,0.388852,0.230127,-5.60239,-2.09737,0.230127,0
1,13,87,-0.00217515,-0.384681,-5.60239,-2.09737,-0.384681,0
1,7,87,-0.796523,-0.448648,-5.60239,-2.09737,-0.448648,1
1,4,87,0.518626,-0.0539435,-5.60239,-2.09737,-0.0539435,0
1,2,87,0.586938,0.144754,-5.60239,-2.09737,0.144754,0
1,1,87,1.10817,-0.594988,-5.60239,-2.09737,-0.594988,0
1,19,86,-0.401067,0.363949,-5.61978,-2.01828,0.363949,1
1,17,86,-0.1529,0.648839,-5.61978,-2.01828,-0.1529,1
1,15,86,0.0643212,0.259314,-5.61978,-2.01828,0.259314,1
1,13,86,-0.181472,-0.324994,-5.61978,-2.01828,-0.181472,0
1,7,86,0.143247,-0.164144,-5.61978,-2.01828,-0.164144,0
1,4,86,0.577688,0.195951,-5.61978,-2.01828,0.195951,0
1,2,86,0.753333,0.498997,-5.61978,-2.01828,0.498997,0
1,1,86,1.24351,0.465314,-5.61978,-2.01828,0.465314,0
1,19,85,-0.78165,-0.137537,-5.14185,-2.10808,-0.137537,1
1,17,85,-0.238432,-0.518325,-5.14185,-2.10808,-0.518325,0
1,15,85,-1.18177,-1.43717,-5.14185,-2.10808,-1.43717,0
1,13,85,0.479506,0.45488,-5.14185,-2.10808,0.45488,0
1,7,85,0.385067,-0.242326,-5.14185,-2.10808,-0.242326,0
1,4,85,0.44368,0.503904,-5.14185,-2.10808,0.503904,1
1,2,85,0.662361,0.609784,-5.14185,-2.10808,0.609784,0
1,1,85,0.354252,0.46241,-5.14185,-2.10808,0.46241,1
1,19,84,-0.751228,-0.364113,-5.35927,-2.00544,-0.364113,1
1,17,84,-0.129532,-0.455816,-5.35927,-2.00544,-0.455816,0
1,15,84,-0.579765,-0.863477,-5.35927,-2.00544,-0.863477,0
1,13,84,0.256068,0.389598,-5.35927,-2.00544,0.389598,1
1,7,84,0.396741,-0.202437,-5.35927,-2.00544,-0.202437,0
1,4,84,0.0178923,0.681657,-5.35927,-2.00544,0.681657,1
1,2,84,0.694331,0.730545,-5.35927,-2.00544,0.730545,1
1,1,84,0.426509,0.513535,-5.35927,-2.00544,0.513535,1
1,19,83,-0.475651,-0.0619801,-5.22327,-1.89942,-0.475651,1
1,17,83,-0.160309,-0.431478,-5.22327,-1.89942,-0.431478,0
1,15,83,-0.604649,-0.767493,-5.22327,-1.89942,-0.767493,0
1,13,83,-0.0193658,0.263823,-5.22327,-1.89942,0.263823,1
1,7,83,0.602449,0.0017237,-5.22327,-1.89942,0.0017237,0
1,4,83,0.521755,0.634422,-5.22327,-1.89942,0.634422,1
1,2,83,0.679309,0.872454,-5.22327,-1.89942,0.872454,1
1,1,83,0.474539,0.662273,-5.22327,-1.89942,0.662273,1
1,19,82,-0.728562,-0.127666,-5.04662,-1.89873,-0.127666,1
1,17,82,-0.293678,-0.476477,-5.04662,-1.89873,-0.293678,0
1,15,82,-0.563661,-0.778289,-5.04662,-1.89873,-0.778289,0
1,13,82,0.570108,0.528293,-5.04662,-1.89873,0.528293,0
1,9,82,0.395937,0.710402,-5.04662,-1.89873,0.710402,1
1,7,82,0.668609,0.0793542,-5.04662,-1.89873,0.0793542,0
1,4,82,0.114928,0.61552,-5.04662,-1.89873,0.61552,1
1,2,82,0.732814,0.962296,-5.04662,-1.89873,0.962296,1
1,1,82,0.526434,0.653148,-5.04662,-1.89873,0.653148,1
1,19,81,-0.74077,0.0571756,-4.70389,-1.77463,0.0571756,1
1,17,81,0.14724,-0.263074,-4.70389,-1.77463,-0.263074,0
1,15,81,-0.507194,-0.71817,-4.70389,-1.77463,-0.71817,0
1,13,81,0.620732,0.515973,-4.70389,-1.77463,0.515973,0
1,7,81,0.645267,0.128418,-4.70389,-1.77463,0.128418,0
1,4,81,0.202735,0.695288,-4.70389,-1.77463,0.695288,1
1,2,81,0.647131,0.941284,-4.70389,-1.77463,0.941284,1
1,1,81,0.6387,0.774497,-4.70389,-1.77463,0.774497,1
1,19,80,-0.0741469,0.252366,-4.82344,-1.66435,0.252366,1
1,17,80,-0.039747,-0.283744,-4.82344,-1.66435,-0.283744,0
1,15,80,-0.459195,-0.719128,-4.82344,-1.66435,-0.719128,0
1,13,80,0.291276,0.598893,-4.82344,-1.66435,0.598893,1
1,7,80,0.78705,0.21698,-4.82344,-1.66435,0.21698,0
1,4,80,0.412304,0.887364,-4.82344,-1.66435,0.887364,1
1,2,80,0.734138,1.13325,-4.82344,-1.66435,1.13325,1
1,1,80,0.637773,0.82942,-4.82344,-1.66435,0.82942,1
1,19,79,-0.153253,0.349007,-4.30456,-1.7295,0.349007,1
1,17,79,0.159949,-0.116549,-4.30456,-1.7295,-0.116549,0
1,15,79,-0.187926,-0.444096,-4.30456,-1.7295,-0.187926,0
1,13,79,0.415791,0.688495,-4.30456,-1.7295,0.688495,1
1,9,79,0.241571,0.600534,-4.30456,-1.7295,0.600534,1
1,7,79,0.934834,0.349761,-4.30456,-1.7295,0.349761,0
1,4,79,0.523096,1.00829,-4.30456,-1.7295,1.00829,1
1,2,79,0.781185,0.957723,-4.30456,-1.7295,0.957723,1
1,1,79,0.484319,0.891834,-4.30456,-1.7295,0.891834,1
1,19,78,0.293599,0.426889,-4.65291,-1.66623,0.426889,1
1,17,78,0.451528,0.0889082,-4.65291,-1.66623,0.0889082,0
1,15,78,-0.384329,-0.610483,-4.65291,-1.66623,-0.610483,0
1,13,78,0.334103,0.643872,-4.65291,-1.66623,0.643872,1
1,9,78,0.660888,0.790849,-4.65291,-1.66623,0.790849,1
1,7,78,0.874911,0.277972,-4.65291,-1.66623,0.277972,0
1,4,78,0.560888,1.02237,-4.65291,-1.66623,1.02237,1
1,2,78,1.02788,1.42363,-4.65291,-1.66623,1.42363,1
1,1,78,0.586662,0.799696,-4.65291,-1.66623,0.799696,1
1,19,77,0.0149508,0.567529,-4.67517,-1.58996,0.567529,1
1,17,77,0.439848,0.00654794,-4.67517,-1.58996,0.00654794,0
1,15,77,-0.260255,-0.460498,-4.67517,-1.58996,-0.460498,0
1,13,77,0.570744,0.343727,-4.67517,-1.58996,0.343727,0
1,9,77,0.686308,0.941274,-4.67517,-1.58996,0.941274,1
1,7,77,0.788943,0.160967,-4.67517,-1.58996,0.160967,0
1,4,77,0.645464,1.14531,-4.67517,-1.58996,1.14531,1
1,2,77,1.12321,1.51581,-4.67517,-1.58996,1.51581,1
1,1,77,0.671215,0.994581,-4.67517,-1.58996,0.994581,1
1,19,76,0.297618,0.559703,-4.75214,-1.45125,0.559703,1
1,17,76,0.771266,0.304359,-4.75214,-1.45125,0.304359,0
1,15,76,-0.0583459,-0.353326,-4.75214,-1.45125,-0.353326,0
1,13,76,0.474315,-0.192204,-4.75214,-1.45125,-0.192204,0
1,9,76,0.7291,0.927805,-4.75214,-1.45125,0.927805,1
1,7,76,0.966533,0.349272,-4.75214,-1.45125,0.349272,0
1,4,76,0.820376,1.27413,-4.75214,-1.45125,1.27413,1
1,2,76,1.14562,1.46498,-4.75214,-1.45125,1.46498,1
1,1,76,0.852584,0.972985,-4.75214,-1.45125,0.972985,1
