Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-0.8434,-1.0722,-3.41916,-3.35117,-1.0722,0
1,19,99,-1.08097,-0.577556,-3.41916,-3.35117,-0.577556,1
1,18,99,-0.89359,-0.976806,-3.41916,-3.35117,-0.976806,0
1,17,99,-1.26216,-0.722229,-3.41916,-3.35117,-0.722229,1
1,15,99,-1.45902,-0.70924,-3.41916,-3.35117,-0.70924,1
1,13,99,-1.11734,-1.27237,-3.41916,-3.35117,-1.27237,0
1,12,99,-0.943173,-0.808365,-3.41916,-3.35117,-0.943173,1
1,10,99,-0.837237,-1.04886,-3.41916,-3.35117,-1.04886,0
1,9,99,-0.743203,-1.07183,-3.41916,-3.35117,-1.07183,0
1,7,99,-0.215288,-1.31433,-3.41916,-3.35117,-1.31433,0
1,4,99,-0.512473,-1.16204,-3.41916,-3.35117,-1.16204,0
1,3,99,-0.676437,-0.790449,-3.41916,-3.35117,-0.790449,0
1,2,99,-0.588562,-0.672905,-3.41916,-3.35117,-0.672905,0
1,1,99,-0.574357,-0.695392,-3.41916,-3.35117,-0.695392,0
1,20,98,-1.16583,-1.11344,-3.41916,-3.12829,-1.11344,1
1,19,98,-0.910717,-0.451673,-3.41916,-3.12829,-0.451673,1
1,18,98,-1.03091,-1.03206,-3.41916,-3.12829,-1.03206,0
1,17,98,-0.942897,-0.561405,-3.41916,-3.12829,-0.561405,1
1,15,98,-1.65404,-1.02789,-3.41916,-3.12829,-1.02789,1
1,13,98,-0.987222,-1.12384,-3.41916,-3.12829,-0.987222,0
1,12,98,-0.928331,-0.856948,-3.41916,-3.12829,-0.856948,1
1,9,98,-0.672078,-0.755872,-3.41916,-3.12829,-0.755872,0
1,7,98,-0.159738,-1.28528,-3.41916,-3.12829,-1.28528,0
1,4,98,-0.338103,-1.12916,-3.41916,-3.12829,-1.12916,0
1,3,98,-0.652608,-0.761164,-3.41916,-3.12829,-0.761164,0
1,2,98,-0.548108,-0.666487,-3.41916,-3.12829,-0.666487,0
1,1,98,-0.584805,-0.626744,-3.41916,-3.12829,-0.626744,0
1,20,97,-0.849706,-1.07063,-3.41916,-2.81209,-0.849706,0
1,19,97,-0.764324,-0.797298,-3.41916,-2.81209,-0.797298,0
1,18,97,-0.732503,-0.804863,-3.41916,-2.81209,-0.804863,0
1,17,97,-1.13227,-0.934673,-3.41916,-2.81209,-0.934673,1
1,15,97,-1.11321,-0.464212,-3.41916,-2.81209,-0.464212,1
1,13,97,-0.923375,-1.14931,-3.41916,-2.81209,-1.14931,0
1,12,97,-0.826703,-0.837527,-3.41916,-2.81209,-0.837527,0
1,7,97,-0.19139,-1.41285,-3.41916,-2.81209,-1.41285,0
1,4,97,-0.390251,-1.2783,-3.41916,-2.81209,-1.2783,0
1,3,97,-0.63337,-0.884713,-3.41916,-2.81209,-0.884713,0
1,2,97,-0.443098,-1.01023,-3.41916,-2.81209,-1.01023,0
1,20,96,-0.809061,-1.01657,-3.41916,-2.99602,-1.01657,0
1,19,96,-0.801435,-0.400314,-3.41916,-2.99602,-0.400314,1
1,18,96,-0.852738,-1.02351,-3.41916,-2.99602,-1.02351,0
1,17,96,-0.717069,-0.542221,-3.41916,-2.99602,-0.542221,1
1,15,96,-0.762353,-0.346566,-3.41916,-2.99602,-0.346566,1
1,13,96,-0.981364,-1.0782,-3.41916,-2.99602,-0.981364,0
1,12,96,-0.720279,-0.803792,-3.41916,-2.99602,-0.803792,0
1,9,96,-0.50772,-0.556668,-3.41916,-2.99602,-0.556668,0
1,7,96,-0.0158234,-1.2111,-3.41916,-2.99602,-1.2111,0
1,4,96,-0.44156,-1.15354,-3.41916,-2.99602,-1.15354,0
1,3,96,-0.527278,-0.724472,-3.41916,-2.99602,-0.724472,0
1,2,96,-0.510845,-0.835818,-3.41916,-2.99602,-0.835818,0
1,19,95,-0.81227,-0.296881,-3.41916,-2.85377,-0.296881,1
1,17,95,-0.989354,-0.541536,-3.41916,-2.85377,-0.541536,1
1,15,95,-0.850184,-0.334066,-3.41916,-2.85377,-0.334066,1
1,13,95,-0.659006,-0.940914,-3.41916,-2.85377,-0.940914,0
1,7,95,0.0440517,-0.958421,-3.41916,-2.85377,-0.958421,0
1,4,95,-0.206475,-1.01232,-3.41916,-2.85377,-1.01232,0
1,2,95,-0.369186,-0.568053,-3.41916,-2.85377,-0.568053,0
1,1,95,-0.266667,-0.462559,-3.41916,-2.85377,-0.462559,0
1,19,94,-0.55227,-0.142732,-3.41916,-2.55553,-0.142732,1
1,17,94,-0.74193,-0.205311,-3.41916,-2.55553,-0.205311,1
1,15,94,-0.571004,-0.149706,-3.41916,-2.55553,-0.149706,1
