Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-0.938086,-1.45472,-3.41916,-3.35117,-1.45472,0
1,19,99,-0.818365,0.046649,-3.41916,-3.35117,0.046649,1
1,18,99,-0.503063,-0.779564,-3.41916,-3.35117,-0.779564,0
1,17,99,-0.610288,0.081905,-3.41916,-3.35117,0.081905,1
1,15,99,-0.651967,-0.463758,-3.41916,-3.35117,-0.463758,1
1,13,99,-0.955834,-1.10798,-3.41916,-3.35117,-1.10798,0
1,12,99,-0.962181,-0.400189,-3.41916,-3.35117,-0.962181,1
1,10,99,-0.259853,0.273634,-3.41916,-3.35117,0.273634,1
1,9,99,-0.300999,0.167345,-3.41916,-3.35117,0.167345,1
1,7,99,-0.447651,-0.36384,-3.41916,-3.35117,-0.36384,1
1,4,99,0.189614,-0.392748,-3.41916,-3.35117,-0.392748,0
1,3,99,0.0754349,0.126756,-3.41916,-3.35117,0.126756,1
1,2,99,0.378591,-0.701471,-3.41916,-3.35117,-0.701471,0
1,1,99,0.421356,-0.622588,-3.41916,-3.35117,-0.622588,0
1,20,98,-0.925627,-1.38671,-3.41916,-3.12829,-1.38671,0
1,19,98,-0.772162,0.0203135,-3.41916,-3.12829,0.0203135,1
1,18,98,-0.385749,-0.703471,-3.41916,-3.12829,-0.703471,0
1,17,98,-0.4323,0.303005,-3.41916,-3.12829,0.303005,1
1,15,98,-1.06201,-0.757491,-3.41916,-3.12829,-0.757491,1
1,13,98,-0.887774,-0.918077,-3.41916,-3.12829,-0.887774,0
1,12,98,-0.914039,-0.372803,-3.41916,-3.12829,-0.372803,1
1,9,98,-0.264211,0.183562,-3.41916,-3.12829,0.183562,1
1,7,98,-0.287852,-0.238142,-3.41916,-3.12829,-0.238142,1
1,4,98,0.187855,-0.244661,-3.41916,-3.12829,-0.244661,0
1,3,98,0.053587,0.401377,-3.41916,-3.12829,0.401377,1
1,2,98,0.459736,-0.543765,-3.41916,-3.12829,-0.543765,0
1,1,98,0.745267,-0.474213,-3.41916,-3.12829,-0.474213,0
1,20,97,-0.519776,-1.21939,-3.41916,-2.81209,-0.519776,0
1,19,97,-0.412686,-0.108284,-3.41916,-2.81209,-0.108284,1
1,18,97,-0.222655,-0.668287,-3.41916,-2.81209,-0.668287,0
1,17,97,-0.536609,0.105018,-3.41916,-2.81209,0.105018,1
