Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.29986,-1.4187,-3.41916,-3.35117,-1.4187,0
1,19,99,-1.96927,-1.52181,-3.41916,-3.35117,-1.52181,1
1,18,99,-1.49744,-0.667284,-3.41916,-3.35117,-0.667284,1
1,17,99,-1.46936,-0.834025,-3.41916,-3.35117,-0.834025,1
1,15,99,-1.35218,-0.210892,-3.41916,-3.35117,-0.210892,1
1,13,99,-0.921284,-0.700427,-3.41916,-3.35117,-0.700427,1
1,12,99,-1.27824,-0.92135,-3.41916,-3.35117,-1.27824,1
1,10,99,-1.13009,-0.766616,-3.41916,-3.35117,-0.766616,1
1,9,99,-0.827384,-1.85957,-3.41916,-3.35117,-1.85957,0
1,7,99,-0.902974,-0.772205,-3.41916,-3.35117,-0.772205,1
1,4,99,-0.597913,-0.75041,-3.41916,-3.35117,-0.75041,0
1,3,99,-0.788148,-0.908222,-3.41916,-3.35117,-0.908222,0
1,2,99,-0.786909,-0.705368,-3.41916,-3.35117,-0.705368,1
1,1,99,-0.694225,-1.04521,-3.41916,-3.35117,-1.04521,0
1,20,98,-1.3187,-1.39896,-3.41916,-3.12829,-1.39896,0
1,19,98,-1.86424,-1.37266,-3.41916,-3.12829,-1.37266,1
1,18,98,-1.49373,-0.641651,-3.41916,-3.12829,-0.641651,1
1,17,98,-1.81745,-0.811104,-3.41916,-3.12829,-0.811104,1
1,15,98,-1.58964,-0.261734,-3.41916,-3.12829,-0.261734,1
1,13,98,-0.856495,-0.686833,-3.41916,-3.12829,-0.856495,1
1,12,98,-1.13331,-0.81667,-3.41916,-3.12829,-0.81667,1
1,9,98,-0.735328,-1.67593,-3.41916,-3.12829,-1.67593,0
1,7,98,-0.855195,-0.745609,-3.41916,-3.12829,-0.745609,1
1,4,98,-0.456748,-0.67418,-3.41916,-3.12829,-0.67418,0
1,3,98,-0.717806,-0.867332,-3.41916,-3.12829,-0.867332,0
1,2,98,-0.74184,-0.520019,-3.41916,-3.12829,-0.520019,1
1,1,98,-0.6685,-0.705694,-3.41916,-3.12829,-0.705694,0
1,20,97,-1.67913,-1.33016,-3.41916,-2.81209,-1.67913,1
1,19,97,-1.65023,-1.23606,-3.41916,-2.81209,-1.23606,1
1,18,97,-1.28106,-0.51027,-3.41916,-2.81209,-0.51027,1
1,17,97,-1.75093,-0.86381,-3.41916,-2.81209,-0.86381,1
1,15,97,-0.990208,-0.079589,-3.41916,-2.81209,-0.079589,1
1,13,97,-0.805567,-0.590743,-3.41916,-2.81209,-0.590743,1
1,12,97,-1.05913,-0.713133,-3.41916,-2.81209,-0.713133,1
1,7,97,-0.79103,-0.697217,-3.41916,-2.81209,-0.697217,1
1,4,97,-0.42169,-0.564166,-3.41916,-2.81209,-0.564166,0
1,3,97,-0.67648,-0.714668,-3.41916,-2.81209,-0.714668,0
1,2,97,-0.604821,-0.422529,-3.41916,-2.81209,-0.422529,1
1,20,96,-1.51205,-1.24727,-3.41916,-2.99602,-1.24727,1
1,19,96,-1.59691,-1.41336,-3.41916,-2.99602,-1.41336,1
1,18,96,-1.23234,-0.337567,-3.41916,-2.99602,-0.337567,1
1,17,96,-1.62797,-0.818317,-3.41916,-2.99602,-0.818317,1
1,15,96,-0.967032,-0.205072,-3.41916,-2.99602,-0.205072,1
1,13,96,-0.91037,-0.629596,-3.41916,-2.99602,-0.91037,1
1,12,96,-0.998276,-0.660745,-3.41916,-2.99602,-0.660745,1
1,9,96,-0.457196,-1.64334,-3.41916,-2.99602,-1.64334,0
1,7,96,-0.643252,-0.684333,-3.41916,-2.99602,-0.684333,0
1,4,96,-0.348551,-0.534883,-3.41916,-2.99602,-0.534883,0
1,3,96,-0.582002,-0.73778,-3.41916,-2.99602,-0.73778,0
1,2,96,-0.498894,-0.380943,-3.41916,-2.99602,-0.380943,1
1,19,95,-1.54662,-1.22344,-3.41916,-2.85377,-1.22344,1
1,17,95,-1.37266,-0.71224,-3.41916,-2.85377,-0.71224,1
1,15,95,-0.978141,-0.113895,-3.41916,-2.85377,-0.113895,1
1,13,95,-0.604621,-0.402209,-3.41916,-2.85377,-0.402209,1
1,7,95,-0.722728,-0.644073,-3.41916,-2.85377,-0.644073,1
1,4,95,-0.325261,-0.438704,-3.41916,-2.85377,-0.438704,0
1,2,95,-0.346558,-0.246254,-3.41916,-2.85377,-0.246254,1
1,1,95,-0.406488,-0.471437,-3.41916,-2.85377,-0.471437,0
1,19,94,-1.35812,-1.21154,-3.41916,-2.55553,-1.21154,1
1,17,94,-1.47097,-0.585405,-3.41916,-2.55553,-0.585405,1
1,15,94,-0.84698,-0.0448864,-3.41916,-2.55553,-0.0448864,1
1,13,94,-0.91964,-1.29042,-3.41916,-2.55553,-1.29042,0
1,7,94,-0.582524,-0.51225,-3.41916,-2.55553,-0.51225,1
1,4,94,-0.301303,-0.406956,-3.41916,-2.55553,-0.406956,0
1,2,94,-0.256946,-0.253315,-3.41916,-2.55553,-0.253315,1
1,1,94,-0.326242,-0.502452,-3.41916,-2.55553,-0.502452,0
1,19,93,-1.42775,-1.10832,-3.41916,-2.51688,-1.10832,1
1,17,93,-1.14304,-0.515757,-3.41916,-2.51688,-0.515757,1
1,15,93,-0.820787,-0.0356146,-3.41916,-2.51688,-0.0356146,1
1,13,93,-0.87869,-1.23039,-3.41916,-2.51688,-1.23039,0
1,7,93,-0.46991,-0.43202,-3.41916,-2.51688,-0.43202,1
1,4,93,-0.263595,-0.407485,-3.41916,-2.51688,-0.407485,0
1,2,93,-0.221398,-0.245332,-3.41916,-2.51688,-0.245332,0
1,1,93,-0.210383,-0.246697,-3.41916,-2.51688,-0.246697,0
1,19,92,-1.48205,-1.11326,-6.43894,-2.39982,-1.11326,1
1,17,92,-1.07585,-0.400278,-6.43894,-2.39982,-0.400278,1
1,15,92,-0.821104,0.118341,-6.43894,-2.39982,0.118341,1
1,13,92,-0.862029,-1.17773,-6.43894,-2.39982,-1.17773,0
1,7,92,-0.43418,-0.389586,-6.43894,-2.39982,-0.389586,1
1,4,92,-0.146218,-0.404209,-6.43894,-2.39982,-0.404209,0
1,2,92,-0.204471,-0.158894,-6.43894,-2.39982,-0.158894,1
1,1,92,-0.135387,-0.258613,-6.43894,-2.39982,-0.258613,0
1,19,91,-1.25167,-1.06015,-6.29331,-2.45927,-1.06015,1
1,17,91,-1.08979,-0.434102,-6.29331,-2.45927,-0.434102,1
1,15,91,-0.763214,0.110866,-6.29331,-2.45927,-0.763214,1
1,13,91,-1.0675,-1.20045,-6.29331,-2.45927,-1.20045,0
1,7,91,-0.423076,-0.243213,-6.29331,-2.45927,-0.243213,1
1,4,91,-0.0692417,-0.223793,-6.29331,-2.45927,-0.223793,0
1,2,91,-0.222945,-0.0641403,-6.29331,-2.45927,-0.0641403,1
1,1,91,-0.147878,-0.199871,-6.29331,-2.45927,-0.199871,0
1,19,90,-1.31249,-1.03791,-6.05291,-2.36134,-1.03791,1
1,17,90,-1.13046,-0.503328,-6.05291,-2.36134,-0.503328,1
1,15,90,-0.604862,0.183544,-6.05291,-2.36134,0.183544,1
1,13,90,-1.00204,-1.08942,-6.05291,-2.36134,-1.08942,0
