Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-0.946009,-0.547759,-3.41916,-3.35117,-0.547759,1
1,19,99,-1.72447,-0.736493,-3.41916,-3.35117,-0.736493,1
1,18,99,-1.54532,-0.490543,-3.41916,-3.35117,-0.490543,1
1,17,99,-0.772811,-0.927122,-3.41916,-3.35117,-0.927122,0
1,15,99,-0.985731,-0.363812,-3.41916,-3.35117,-0.363812,1
1,13,99,-0.92471,-0.533319,-3.41916,-3.35117,-0.533319,1
1,12,99,-1.16213,-0.536597,-3.41916,-3.35117,-1.16213,1
1,10,99,-1.40388,0.0767363,-3.41916,-3.35117,0.0767363,1
1,9,99,-1.28285,-0.297594,-3.41916,-3.35117,-0.297594,1
1,7,99,-0.398106,-0.916831,-3.41916,-3.35117,-0.916831,0
1,4,99,-0.647275,-0.76581,-3.41916,-3.35117,-0.76581,0
1,3,99,-0.570169,-1.31737,-3.41916,-3.35117,-1.31737,0
1,2,99,0.576944,-1.16783,-3.41916,-3.35117,-1.16783,0
1,1,99,0.601118,0.331311,-3.41916,-3.35117,0.331311,0
1,20,98,-1.05026,-0.589504,-3.41916,-3.12829,-0.589504,1
1,19,98,-1.66768,-0.470389,-3.41916,-3.12829,-0.470389,1
1,18,98,-1.72334,-0.560804,-3.41916,-3.12829,-0.560804,1
1,17,98,-0.760684,-0.868487,-3.41916,-3.12829,-0.868487,0
1,15,98,-1.03132,-0.475602,-3.41916,-3.12829,-0.475602,1
1,13,98,-0.871314,-0.482239,-3.41916,-3.12829,-0.871314,1
1,12,98,-0.901016,-0.439354,-3.41916,-3.12829,-0.439354,1
1,9,98,-1.22362,-0.419245,-3.41916,-3.12829,-0.419245,1
1,7,98,-0.208321,-0.980675,-3.41916,-3.12829,-0.980675,0
1,4,98,-0.408691,-0.449594,-3.41916,-3.12829,-0.449594,0
1,3,98,0.231979,-0.896148,-3.41916,-3.12829,-0.896148,0
1,2,98,-0.348277,-0.358316,-3.41916,-3.12829,-0.358316,0
1,1,98,-0.321658,0.439081,-3.41916,-3.12829,0.439081,1
1,20,97,-0.727736,-0.351884,-3.41916,-2.81209,-0.727736,1
1,19,97,-1.27318,-0.682757,-3.41916,-2.81209,-0.682757,1
1,18,97,-1.27841,-0.511864,-3.41916,-2.81209,-0.511864,1
1,17,97,-0.990233,-0.963005,-3.41916,-2.81209,-0.963005,1
1,15,97,-0.700346,-0.279932,-3.41916,-2.81209,-0.279932,1
1,13,97,-0.67461,-0.458097,-3.41916,-2.81209,-0.458097,1
1,12,97,-0.70442,-0.357175,-3.41916,-2.81209,-0.357175,1
1,7,97,-0.26754,-0.828733,-3.41916,-2.81209,-0.828733,0
1,4,97,-0.40687,0.114084,-3.41916,-2.81209,0.114084,1
1,3,97,0.312669,-0.174581,-3.41916,-2.81209,-0.174581,0
