Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.96676,-1.2972,-3.41916,-3.35117,-1.2972,1
1,19,99,-1.41434,-1.26077,-3.41916,-3.35117,-1.26077,1
1,18,99,-1.53467,-0.700998,-3.41916,-3.35117,-0.700998,1
1,17,99,-1.21761,-1.24115,-3.41916,-3.35117,-1.24115,0
1,15,99,-1.27354,-1.09267,-3.41916,-3.35117,-1.09267,1
1,13,99,-0.908725,-0.804443,-3.41916,-3.35117,-0.804443,1
1,12,99,-1.33361,-0.506911,-3.41916,-3.35117,-1.33361,1
1,10,99,-0.901709,0.106116,-3.41916,-3.35117,-0.901709,1
1,9,99,-1.19847,-1.02488,-3.41916,-3.35117,-1.02488,1
1,7,99,-0.100922,-0.888825,-3.41916,-3.35117,-0.888825,0
1,4,99,-0.223089,-0.343418,-3.41916,-3.35117,-0.343418,0
1,3,99,-0.0465532,-0.2176,-3.41916,-3.35117,-0.2176,0
1,2,99,-0.052132,-0.0966306,-3.41916,-3.35117,-0.0966306,0
1,1,99,0.261068,0.157117,-3.41916,-3.35117,0.157117,0
1,20,98,-1.94841,-1.20292,-3.41916,-3.12829,-1.20292,1
1,19,98,-1.25928,-1.14162,-3.41916,-3.12829,-1.14162,1
1,18,98,-1.60151,-0.779669,-3.41916,-3.12829,-0.779669,1
1,17,98,-1.50046,-1.1183,-3.41916,-3.12829,-1.1183,1
1,15,98,-1.35459,-1.69981,-3.41916,-3.12829,-1.69981,0
1,13,98,-0.906202,-0.737555,-3.41916,-3.12829,-0.906202,1
1,12,98,-0.999027,-0.353942,-3.41916,-3.12829,-0.353942,1
1,9,98,-0.832762,-0.686087,-3.41916,-3.12829,-0.686087,1
1,7,98,-0.0858577,-0.592763,-3.41916,-3.12829,-0.592763,0
1,4,98,0.0815841,-0.165777,-3.41916,-3.12829,-0.165777,0
1,3,98,-0.152857,-0.133069,-3.41916,-3.12829,-0.133069,1
1,2,98,0.0219208,-0.132241,-3.41916,-3.12829,-0.132241,0
1,1,98,-0.0477518,-0.60542,-3.41916,-3.12829,-0.60542,0
1,20,97,-1.79392,-1.11473,-3.41916,-2.81209,-1.79392,1
1,19,97,-1.07023,-0.993409,-3.41916,-2.81209,-0.993409,1
1,18,97,-1.37815,-0.686154,-3.41916,-2.81209,-0.686154,1
1,17,97,-1.55128,-1.14777,-3.41916,-2.81209,-1.14777,1
1,15,97,-0.985094,-0.904929,-3.41916,-2.81209,-0.904929,1
1,13,97,-0.834048,-0.556996,-3.41916,-2.81209,-0.556996,1
1,12,97,-0.984811,-0.351549,-3.41916,-2.81209,-0.351549,1
1,7,97,-0.0360805,-0.457412,-3.41916,-2.81209,-0.457412,0
1,4,97,-0.0137153,-0.177828,-3.41916,-2.81209,-0.177828,0
1,3,97,0.0237572,-0.0937066,-3.41916,-2.81209,-0.0937066,0
1,2,97,0.0491973,-0.095448,-3.41916,-2.81209,-0.095448,0
1,20,96,-1.66195,-1.00047,-3.41916,-2.99602,-1.00047,1
1,19,96,-0.947821,-1.01352,-3.41916,-2.99602,-1.01352,0
1,18,96,-1.11601,-0.591413,-3.41916,-2.99602,-0.591413,1
1,17,96,-1.39038,-1.07202,-3.41916,-2.99602,-1.07202,1
1,15,96,-0.89828,-0.806717,-3.41916,-2.99602,-0.806717,1
1,13,96,-0.856826,-0.664089,-3.41916,-2.99602,-0.856826,1
1,12,96,-0.894382,-0.327733,-3.41916,-2.99602,-0.327733,1
1,9,96,-0.873424,-0.783413,-3.41916,-2.99602,-0.783413,1
