Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.87844,-1.4535,-3.41916,-3.35117,-1.4535,1
1,19,99,-1.70944,-1.71362,-3.41916,-3.35117,-1.71362,0
1,18,99,-1.44448,-1.07246,-3.41916,-3.35117,-1.07246,1
1,17,99,-1.7811,-1.21626,-3.41916,-3.35117,-1.21626,1
1,15,99,-1.2576,-1.21349,-3.41916,-3.35117,-1.21349,1
1,13,99,-1.36475,-1.03902,-3.41916,-3.35117,-1.03902,1
1,12,99,-1.31924,-1.0914,-3.41916,-3.35117,-1.31924,1
1,10,99,-2.07296,-1.3343,-3.41916,-3.35117,-2.07296,1
1,9,99,-1.38083,-1.66892,-3.41916,-3.35117,-1.66892,0
1,7,99,-1.24933,-1.44542,-3.41916,-3.35117,-1.44542,0
1,4,99,-1.2552,-1.1342,-3.41916,-3.35117,-1.1342,1
1,3,99,-1.27939,-1.1843,-3.41916,-3.35117,-1.1843,1
1,2,99,-0.997032,-1.76747,-3.41916,-3.35117,-1.76747,0
1,1,99,-1.10625,-1.37685,-3.41916,-3.35117,-1.37685,0
1,20,98,-2.18318,-1.63805,-3.41916,-3.12829,-1.63805,1
1,19,98,-1.55419,-1.60576,-3.41916,-3.12829,-1.60576,0
1,18,98,-1.50034,-1.08681,-3.41916,-3.12829,-1.08681,1
1,17,98,-1.8567,-1.16587,-3.41916,-3.12829,-1.16587,1
1,15,98,-1.60399,-1.29775,-3.41916,-3.12829,-1.29775,1
1,13,98,-1.33289,-1.09503,-3.41916,-3.12829,-1.33289,1
1,12,98,-1.21806,-0.972031,-3.41916,-3.12829,-0.972031,1
1,9,98,-1.18778,-1.48341,-3.41916,-3.12829,-1.48341,0
1,7,98,-1.11959,-1.31676,-3.41916,-3.12829,-1.31676,0
1,4,98,-1.2002,-1.24027,-3.41916,-3.12829,-1.24027,0
1,3,98,-1.09754,-1.08179,-3.41916,-3.12829,-1.08179,1
1,2,98,-0.941261,-1.2618,-3.41916,-3.12829,-1.2618,0
1,1,98,-1.0108,-1.1419,-3.41916,-3.12829,-1.1419,0
1,20,97,-1.77754,-1.21761,-3.41916,-2.81209,-1.77754,1
1,19,97,-1.63839,-1.57685,-3.41916,-2.81209,-1.57685,1
1,18,97,-1.34918,-0.965212,-3.41916,-2.81209,-0.965212,1
1,17,97,-1.8034,-1.2086,-3.41916,-2.81209,-1.2086,1
1,15,97,-1.06453,-1.04406,-3.41916,-2.81209,-1.04406,1
1,13,97,-1.12263,-0.881238,-3.41916,-2.81209,-0.881238,1
1,12,97,-1.20169,-0.975676,-3.41916,-2.81209,-0.975676,1
1,7,97,-1.16293,-1.28592,-3.41916,-2.81209,-1.28592,0
1,4,97,-1.04118,-1.09369,-3.41916,-2.81209,-1.09369,0
1,3,97,-1.0968,-0.927826,-3.41916,-2.81209,-0.927826,1
1,2,97,-0.90422,-1.26786,-3.41916,-2.81209,-1.26786,0
1,20,96,-1.56421,-1.02863,-3.41916,-2.99602,-1.02863,1
1,19,96,-1.38015,-1.30254,-3.41916,-2.99602,-1.30254,1
1,18,96,-1.38394,-1.03037,-3.41916,-2.99602,-1.03037,1
1,17,96,-1.59765,-1.09822,-3.41916,-2.99602,-1.09822,1
1,15,96,-1.04799,-1.03301,-3.41916,-2.99602,-1.03301,1
1,13,96,-1.16351,-0.934044,-3.41916,-2.99602,-1.16351,1
1,12,96,-1.04973,-0.82407,-3.41916,-2.99602,-0.82407,1
1,9,96,-0.799421,-1.25343,-3.41916,-2.99602,-1.25343,0
1,7,96,-0.9822,-1.2447,-3.41916,-2.99602,-1.2447,0
1,4,96,-0.942768,-0.861485,-3.41916,-2.99602,-0.861485,1
1,3,96,-1.17322,-1.01999,-3.41916,-2.99602,-1.01999,1
1,2,96,-1.0124,-1.23169,-3.41916,-2.99602,-1.23169,0
1,19,95,-1.16411,-0.765366,-3.41916,-2.85377,-0.765366,1
1,17,95,-1.52462,-0.998937,-3.41916,-2.85377,-0.998937,1
1,15,95,-1.08864,-1.06662,-3.41916,-2.85377,-1.06662,1
1,13,95,-0.96363,-0.727788,-3.41916,-2.85377,-0.727788,1
1,7,95,-0.912376,-1.27879,-3.41916,-2.85377,-1.27879,0
1,4,95,-0.927332,-0.787379,-3.41916,-2.85377,-0.787379,1
1,2,95,-1.24784,-1.14588,-3.41916,-2.85377,-1.14588,1
1,1,95,-1.27299,-0.850136,-3.41916,-2.85377,-0.850136,1
1,19,94,-1.06837,-0.869614,-3.41916,-2.55553,-0.869614,1
1,17,94,-1.4332,-0.865752,-3.41916,-2.55553,-0.865752,1
1,15,94,-1.00478,-0.897841,-3.41916,-2.55553,-0.897841,1
1,13,94,-1.00248,-0.686313,-3.41916,-2.55553,-0.686313,1
1,7,94,-0.74099,-0.976607,-3.41916,-2.55553,-0.976607,0
1,4,94,-0.896881,-0.797158,-3.41916,-2.55553,-0.797158,1
1,2,94,-0.636883,-1.51128,-3.41916,-2.55553,-1.51128,0
1,1,94,-0.881565,-1.53871,-3.41916,-2.55553,-1.53871,0
1,19,93,-1.02548,-0.786324,-3.41916,-2.51688,-0.786324,1
1,17,93,-1.20155,-0.828692,-3.41916,-2.51688,-0.828692,1
1,15,93,-0.952556,-0.996635,-3.41916,-2.51688,-0.996635,0
1,13,93,-1.0257,-0.721402,-3.41916,-2.51688,-0.721402,1
1,7,93,-0.640352,-0.898056,-3.41916,-2.51688,-0.898056,0
