Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.44524,-1.04248,-3.41916,-3.35117,-1.04248,1
1,19,99,-1.89188,-0.929913,-3.41916,-3.35117,-0.929913,1
1,18,99,-0.958254,-1.10182,-3.41916,-3.35117,-1.10182,0
1,17,99,-1.86825,-0.64593,-3.41916,-3.35117,-0.64593,1
1,15,99,-1.1881,-1.26341,-3.41916,-3.35117,-1.26341,0
1,13,99,-1.2262,-0.918042,-3.41916,-3.35117,-0.918042,1
1,12,99,-1.54753,-0.636498,-3.41916,-3.35117,-1.54753,1
1,10,99,-1.16531,-0.975991,-3.41916,-3.35117,-1.16531,1
1,9,99,-1.31644,-2.03058,-3.41916,-3.35117,-2.03058,0
1,7,99,-0.869497,-0.918795,-3.41916,-3.35117,-0.918795,0
1,4,99,-0.635337,-1.15851,-3.41916,-3.35117,-1.15851,0
1,3,99,-0.670767,-0.836147,-3.41916,-3.35117,-0.836147,0
1,2,99,-0.721836,-0.760216,-3.41916,-3.35117,-0.760216,0
1,1,99,-0.801751,-0.944133,-3.41916,-3.35117,-0.944133,0
1,20,98,-1.53908,-1.31006,-3.41916,-3.12829,-1.31006,1
1,19,98,-1.57538,-0.746632,-3.41916,-3.12829,-0.746632,1
1,18,98,-1.23725,-1.21024,-3.41916,-3.12829,-1.21024,1
1,17,98,-1.78894,-0.480989,-3.41916,-3.12829,-0.480989,1
1,15,98,-1.46235,-1.37909,-3.41916,-3.12829,-1.37909,1
1,13,98,-1.13667,-0.835491,-3.41916,-3.12829,-1.13667,1
1,12,98,-1.40553,-0.245269,-3.41916,-3.12829,-0.245269,1
1,9,98,-0.957211,-1.80842,-3.41916,-3.12829,-1.80842,0
1,7,98,-0.752824,-0.816652,-3.41916,-3.12829,-0.816652,0
1,4,98,-0.534355,-0.946497,-3.41916,-3.12829,-0.946497,0
1,3,98,-0.496593,-0.686131,-3.41916,-3.12829,-0.686131,0
1,2,98,-0.633296,-0.642675,-3.41916,-3.12829,-0.642675,0
1,1,98,-0.785032,-0.818671,-3.41916,-3.12829,-0.818671,0
1,20,97,-1.32411,-1.03051,-3.41916,-2.81209,-1.32411,1
1,19,97,-1.53404,-0.821002,-3.41916,-2.81209,-0.821002,1
1,18,97,-0.940177,-0.965303,-3.41916,-2.81209,-0.965303,0
1,17,97,-1.73663,-0.622303,-3.41916,-2.81209,-0.622303,1
1,15,97,-0.950701,-1.11453,-3.41916,-2.81209,-1.11453,0
1,13,97,-1.05631,-0.680236,-3.41916,-2.81209,-0.680236,1
1,12,97,-1.21974,-0.241098,-3.41916,-2.81209,-0.241098,1
1,7,97,-0.661117,-0.772325,-3.41916,-2.81209,-0.772325,0
1,4,97,-0.446884,-0.776385,-3.41916,-2.81209,-0.776385,0
1,3,97,-0.375219,-0.579412,-3.41916,-2.81209,-0.579412,0
1,2,97,-0.498057,-0.459448,-3.41916,-2.81209,-0.459448,1
1,20,96,-1.16329,-0.952517,-3.41916,-2.99602,-0.952517,1
1,19,96,-1.45489,-0.939035,-3.41916,-2.99602,-0.939035,1
1,18,96,-0.823853,-1.02544,-3.41916,-2.99602,-1.02544,0
1,17,96,-1.49795,-0.383844,-3.41916,-2.99602,-0.383844,1
1,15,96,-0.733567,-0.798324,-3.41916,-2.99602,-0.798324,0
1,13,96,-1.11917,-0.636764,-3.41916,-2.99602,-1.11917,1
1,12,96,-1.10678,-0.139472,-3.41916,-2.99602,-0.139472,1
1,9,96,-0.807307,-1.68752,-3.41916,-2.99602,-1.68752,0
1,7,96,-0.59345,-0.706903,-3.41916,-2.99602,-0.706903,0
1,4,96,-0.520671,-0.934191,-3.41916,-2.99602,-0.934191,0
1,3,96,-0.490235,-0.51186,-3.41916,-2.99602,-0.51186,0
1,2,96,-0.466495,-0.55809,-3.41916,-2.99602,-0.55809,0
1,19,95,-1.32806,-0.819233,-3.41916,-2.85377,-0.819233,1
1,17,95,-1.68737,-0.337966,-3.41916,-2.85377,-0.337966,1
1,15,95,-0.951273,-0.865812,-3.41916,-2.85377,-0.865812,1
1,13,95,-0.939839,-0.539385,-3.41916,-2.85377,-0.539385,1
1,7,95,-0.560013,-0.681333,-3.41916,-2.85377,-0.681333,0
1,4,95,-0.317543,-0.909844,-3.41916,-2.85377,-0.909844,0
1,2,95,-0.37274,-0.491805,-3.41916,-2.85377,-0.491805,0
1,1,95,-0.48422,-0.578008,-3.41916,-2.85377,-0.578008,0
1,19,94,-1.08907,-0.681745,-3.41916,-2.55553,-0.681745,1
1,17,94,-1.29859,-0.241888,-3.41916,-2.55553,-0.241888,1
1,15,94,-0.648034,-0.708784,-3.41916,-2.55553,-0.708784,0
1,13,94,-0.6454,-0.194952,-3.41916,-2.55553,-0.194952,1
1,7,94,-0.482569,-0.540141,-3.41916,-2.55553,-0.540141,0
1,4,94,-0.282732,-0.788055,-3.41916,-2.55553,-0.788055,0
1,2,94,-0.196949,-0.306089,-3.41916,-2.55553,-0.306089,0
1,1,94,-0.356309,-0.608827,-3.41916,-2.55553,-0.608827,0
1,19,93,-1.02384,-0.579249,-3.41916,-2.51688,-0.579249,1
1,17,93,-1.21703,-0.138391,-3.41916,-2.51688,-0.138391,1
1,15,93,-0.706841,-0.870529,-3.41916,-2.51688,-0.870529,0
1,13,93,-0.789395,-0.202923,-3.41916,-2.51688,-0.202923,1
1,7,93,-0.417596,-0.493374,-3.41916,-2.51688,-0.493374,0
1,4,93,-0.19863,-0.766538,-3.41916,-2.51688,-0.766538,0
1,2,93,-0.210041,-0.235158,-3.41916,-2.51688,-0.235158,0
1,1,93,-0.254429,-0.498662,-3.41916,-2.51688,-0.498662,0
1,19,92,-1.11999,-0.6404,-6.43894,-2.39982,-0.6404,1
1,17,92,-1.08954,-0.0930227,-6.43894,-2.39982,-0.0930227,1
1,15,92,-0.64029,-0.630136,-6.43894,-2.39982,-0.630136,1
1,13,92,-0.616959,-0.11345,-6.43894,-2.39982,-0.11345,1
1,7,92,-0.349456,-0.451073,-6.43894,-2.39982,-0.451073,0
1,4,92,-0.240602,-0.747317,-6.43894,-2.39982,-0.747317,0
1,2,92,-0.250736,-0.291424,-6.43894,-2.39982,-0.291424,0
1,1,92,-0.331364,-0.106136,-6.43894,-2.39982,-0.106136,1
1,19,91,-1.04671,-0.484663,-6.29331,-2.45927,-0.484663,1
1,17,91,-0.963512,0.00104936,-6.29331,-2.45927,0.00104936,1
1,15,91,-0.517176,-0.478041,-6.29331,-2.45927,-0.517176,1
1,13,91,-0.866225,-0.442725,-6.29331,-2.45927,-0.442725,1
1,7,91,-0.307602,-0.420088,-6.29331,-2.45927,-0.420088,0
1,4,91,-0.134692,-0.642678,-6.29331,-2.45927,-0.642678,0
1,2,91,-0.0391634,-0.134982,-6.29331,-2.45927,-0.134982,0
1,1,91,-0.217205,-0.579654,-6.29331,-2.45927,-0.579654,0
1,19,90,-1.1346,-0.550913,-6.05291,-2.36134,-0.550913,1
1,17,90,-1.17165,-0.0943476,-6.05291,-2.36134,-0.0943476,1
1,15,90,-0.345122,-0.344448,-6.05291,-2.36134,-0.344448,1
1,13,90,-0.549683,0.0196026,-6.05291,-2.36134,0.0196026,1
1,7,90,-0.303171,-0.449208,-6.05291,-2.36134,-0.449208,0
1,4,90,-0.123992,-0.626789,-6.05291,-2.36134,-0.626789,0
1,2,90,0.0924928,-0.136508,-6.05291,-2.36134,-0.136508,0
1,1,90,-0.015266,-0.326516,-6.05291,-2.36134,-0.326516,0
1,19,89,-1.14259,-0.50285,-5.75042,-2.39784,-0.50285,1
1,17,89,-0.932157,0.0974627,-5.75042,-2.39784,-0.932157,1
1,15,89,-0.30709,-0.285797,-5.75042,-2.39784,-0.285797,1
1,13,89,-0.431528,0.0909832,-5.75042,-2.39784,0.0909832,1
1,7,89,-0.052656,-0.113252,-5.75042,-2.39784,-0.113252,0
