Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.07975,-1.18393,-3.41916,-3.35117,-1.18393,1
1,19,99,-1.63844,-0.45309,-3.41916,-3.35117,-0.45309,1
1,18,99,-0.645991,-0.602853,-3.41916,-3.35117,-0.602853,1
1,17,99,-0.648604,-0.678225,-3.41916,-3.35117,-0.678225,0
1,15,99,-0.548354,-0.277871,-3.41916,-3.35117,-0.277871,1
1,13,99,-1.19424,-0.0445265,-3.41916,-3.35117,-0.0445265,1
1,12,99,-0.98529,-0.177422,-3.41916,-3.35117,-0.98529,1
1,10,99,-0.466046,0.278424,-3.41916,-3.35117,0.278424,1
1,9,99,-1.06002,-1.01046,-3.41916,-3.35117,-1.01046,1
1,7,99,-0.376021,-0.232251,-3.41916,-3.35117,-0.232251,1
1,4,99,0.0714113,-0.0594641,-3.41916,-3.35117,-0.0594641,0
1,3,99,0.175368,-0.0024318,-3.41916,-3.35117,-0.0024318,0
1,2,99,0.376464,-0.327143,-3.41916,-3.35117,-0.327143,0
1,1,99,0.744144,-0.0547152,-3.41916,-3.35117,-0.0547152,0
1,20,98,-2.09755,-1.23933,-3.41916,-3.12829,-1.23933,1
1,19,98,-1.4313,-0.283253,-3.41916,-3.12829,-0.283253,1
1,18,98,-1.06684,-0.791293,-3.41916,-3.12829,-0.791293,1
1,17,98,-0.593838,-0.527932,-3.41916,-3.12829,-0.527932,1
1,15,98,-0.958555,-0.129361,-3.41916,-3.12829,-0.129361,1
1,13,98,-1.0709,-0.0175665,-3.41916,-3.12829,-1.0709,1
1,12,98,-0.522363,-0.0858246,-3.41916,-3.12829,-0.0858246,1
1,9,98,-0.203623,-0.804094,-3.41916,-3.12829,-0.804094,0
1,7,98,-0.138405,-0.21469,-3.41916,-3.12829,-0.21469,0
1,4,98,0.159226,0.00665736,-3.41916,-3.12829,0.00665736,0
1,3,98,0.29646,0.451501,-3.41916,-3.12829,0.451501,1
1,2,98,0.149637,-0.139059,-3.41916,-3.12829,-0.139059,0
1,1,98,0.54626,0.519681,-3.41916,-3.12829,0.519681,0
1,20,97,-2.15965,-1.26175,-3.41916,-2.81209,-2.15965,1
1,19,97,-1.47396,-0.330199,-3.41916,-2.81209,-0.330199,1
1,18,97,-0.493123,-0.588965,-3.41916,-2.81209,-0.588965,0
1,17,97,-0.891908,-0.769718,-3.41916,-2.81209,-0.769718,1
1,15,97,-0.24704,-0.267979,-3.41916,-2.81209,-0.267979,0
1,13,97,-0.86559,0.154502,-3.41916,-2.81209,0.154502,1
1,12,97,-0.457956,0.0306858,-3.41916,-2.81209,0.0306858,1
1,7,97,-0.0706363,-0.152866,-3.41916,-2.81209,-0.152866,0
1,4,97,0.182381,0.0668186,-3.41916,-2.81209,0.0668186,0
1,3,97,0.255664,0.532897,-3.41916,-2.81209,0.532897,1
1,2,97,0.426511,-0.0425464,-3.41916,-2.81209,-0.0425464,0
1,20,96,-1.95476,-0.994711,-3.41916,-2.99602,-0.994711,1
1,19,96,-1.31781,-0.910497,-3.41916,-2.99602,-0.910497,1
1,18,96,-0.503693,-0.64177,-3.41916,-2.99602,-0.64177,0
1,17,96,-0.721031,-0.195093,-3.41916,-2.99602,-0.195093,1
1,15,96,-0.140008,-0.175863,-3.41916,-2.99602,-0.175863,0
1,13,96,-0.98702,0.0370685,-3.41916,-2.99602,-0.98702,1
1,12,96,-0.333172,0.122185,-3.41916,-2.99602,0.122185,1
1,9,96,-0.165145,-0.735091,-3.41916,-2.99602,-0.735091,0
1,7,96,-0.0241233,-0.0939171,-3.41916,-2.99602,-0.0939171,0
1,4,96,0.12711,0.0425757,-3.41916,-2.99602,0.0425757,0
1,3,96,0.235189,0.549066,-3.41916,-2.99602,0.549066,1
1,2,96,0.491779,-0.0243345,-3.41916,-2.99602,-0.0243345,0
1,19,95,-1.0007,-0.43735,-3.41916,-2.85377,-0.43735,1
1,17,95,-0.689847,-0.162932,-3.41916,-2.85377,-0.162932,1
1,15,95,-0.703339,-0.0266658,-3.41916,-2.85377,-0.0266658,1
1,13,95,-0.739219,0.246483,-3.41916,-2.85377,0.246483,1
1,7,95,-0.0269203,-0.0369069,-3.41916,-2.85377,-0.0369069,0
1,4,95,0.240974,0.0949743,-3.41916,-2.85377,0.0949743,0
1,2,95,0.552976,0.0246083,-3.41916,-2.85377,0.0246083,0
1,1,95,0.687402,0.823308,-3.41916,-2.85377,0.823308,1
1,19,94,-0.884628,-0.240116,-3.41916,-2.55553,-0.240116,1
1,17,94,-0.934556,-0.0175234,-3.41916,-2.55553,-0.0175234,1
1,15,94,-0.288405,0.0844696,-3.41916,-2.55553,0.0844696,1
1,13,94,-0.604347,0.317373,-3.41916,-2.55553,0.317373,1
