Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.89235,-1.39802,-3.41916,-3.35117,-1.39802,1
1,19,99,-2.19281,-1.6096,-3.41916,-3.35117,-1.6096,1
1,18,99,-1.85419,-0.77873,-3.41916,-3.35117,-0.77873,1
1,17,99,-1.70758,-1.62326,-3.41916,-3.35117,-1.62326,1
1,15,99,-2.08478,-0.749154,-3.41916,-3.35117,-0.749154,1
1,13,99,-1.76305,-1.46342,-3.41916,-3.35117,-1.46342,1
1,12,99,-1.17356,-1.12187,-3.41916,-3.35117,-1.17356,1
1,10,99,-1.20454,-0.579567,-3.41916,-3.35117,-0.579567,1
1,9,99,-1.02625,-1.5698,-3.41916,-3.35117,-1.5698,0
1,7,99,-0.569734,-0.759839,-3.41916,-3.35117,-0.759839,0
1,4,99,-0.8912,0.379698,-3.41916,-3.35117,0.379698,1
1,3,99,0.184122,-0.223355,-3.41916,-3.35117,-0.223355,0
1,2,99,-0.920645,-0.703945,-3.41916,-3.35117,-0.703945,1
1,1,99,-0.746665,-1.02107,-3.41916,-3.35117,-1.02107,0
1,20,98,-2.13675,-1.50711,-3.41916,-3.12829,-1.50711,1
1,19,98,-2.29374,-1.61188,-3.41916,-3.12829,-1.61188,1
1,18,98,-1.81583,-0.7672,-3.41916,-3.12829,-0.7672,1
1,17,98,-1.45367,-1.3601,-3.41916,-3.12829,-1.3601,1
1,15,98,-2.29052,-0.713291,-3.41916,-3.12829,-0.713291,1
1,13,98,-1.76446,-1.05445,-3.41916,-3.12829,-1.76446,1
1,12,98,-1.20536,-1.33138,-3.41916,-3.12829,-1.33138,0
1,9,98,-1.00586,-1.44525,-3.41916,-3.12829,-1.44525,0
1,7,98,-0.343879,-0.757429,-3.41916,-3.12829,-0.757429,0
1,4,98,-0.355123,0.405344,-3.41916,-3.12829,0.405344,1
1,3,98,0.412951,-0.028953,-3.41916,-3.12829,-0.028953,0
1,2,98,-0.327271,-0.614501,-3.41916,-3.12829,-0.614501,0
1,1,98,-0.799269,-1.00947,-3.41916,-3.12829,-1.00947,0
1,20,97,-2.73472,-1.01771,-3.41916,-2.81209,-2.73472,1
1,19,97,-2.14571,-0.985419,-3.41916,-2.81209,-0.985419,1
1,18,97,-2.01577,-0.845019,-3.41916,-2.81209,-0.845019,1
1,17,97,-1.4367,-1.23671,-3.41916,-2.81209,-1.23671,1
1,15,97,-1.7514,-0.52288,-3.41916,-2.81209,-0.52288,1
1,13,97,-1.71448,-1.2315,-3.41916,-2.81209,-1.2315,1
1,12,97,-1.0168,-1.27148,-3.41916,-2.81209,-1.27148,0
1,7,97,-0.268872,-0.595125,-3.41916,-2.81209,-0.595125,0
1,4,97,-0.329749,0.505344,-3.41916,-2.81209,0.505344,1
1,3,97,0.400637,0.13182,-3.41916,-2.81209,0.13182,0
1,2,97,-0.230023,-0.501577,-3.41916,-2.81209,-0.501577,0
1,20,96,-2.39402,-0.445622,-3.41916,-2.99602,-0.445622,1
1,19,96,-2.07479,-1.3158,-3.41916,-2.99602,-1.3158,1
1,18,96,-1.96517,-0.750256,-3.41916,-2.99602,-0.750256,1
1,17,96,-1.52688,-1.37165,-3.41916,-2.99602,-1.37165,1
1,15,96,-1.53406,-0.261551,-3.41916,-2.99602,-0.261551,1
1,13,96,-1.72013,-1.18378,-3.41916,-2.99602,-1.72013,1
1,12,96,-0.955861,-1.24064,-3.41916,-2.99602,-1.24064,0
1,9,96,-0.700755,-1.25164,-3.41916,-2.99602,-1.25164,0
1,7,96,-0.229784,-0.621475,-3.41916,-2.99602,-0.621475,0
1,4,96,-0.234636,0.541338,-3.41916,-2.99602,0.541338,1
1,3,96,0.572078,0.110622,-3.41916,-2.99602,0.110622,0
1,2,96,-0.0845214,-0.245608,-3.41916,-2.99602,-0.245608,0
1,19,95,-1.59966,-1.1279,-3.41916,-2.85377,-1.1279,1
1,17,95,-1.60928,-1.47409,-3.41916,-2.85377,-1.47409,1
1,15,95,-1.54094,-0.202269,-3.41916,-2.85377,-1.54094,1
1,13,95,-1.28959,-1.02564,-3.41916,-2.85377,-1.02564,1
1,7,95,-0.00345869,-0.435839,-3.41916,-2.85377,-0.435839,0
1,4,95,-0.132541,0.808932,-3.41916,-2.85377,0.808932,1
1,2,95,-0.0405343,-0.391532,-3.41916,-2.85377,-0.391532,0
1,1,95,-0.204577,-0.763263,-3.41916,-2.85377,-0.763263,0
1,19,94,-1.71278,-1.22931,-3.41916,-2.55553,-1.22931,1
1,17,94,-1.38439,-1.15628,-3.41916,-2.55553,-1.15628,1
1,15,94,-1.57037,-0.265984,-3.41916,-2.55553,-0.265984,1
1,13,94,-0.975886,-0.881832,-3.41916,-2.55553,-0.881832,1
1,7,94,-0.0543294,-0.505525,-3.41916,-2.55553,-0.505525,0
1,4,94,-0.0106309,0.743751,-3.41916,-2.55553,0.743751,1
1,2,94,-0.00170283,-0.325059,-3.41916,-2.55553,-0.325059,0
1,1,94,0.00542055,-0.652768,-3.41916,-2.55553,-0.652768,0
1,19,93,-1.63687,-1.17242,-3.41916,-2.51688,-1.17242,1
1,17,93,-0.693911,-0.489599,-3.41916,-2.51688,-0.489599,1
1,15,93,-1.61123,-0.291533,-3.41916,-2.51688,-0.291533,1
1,13,93,-0.760547,-0.938089,-3.41916,-2.51688,-0.938089,0
1,7,93,0.0317656,-0.3785,-3.41916,-2.51688,-0.3785,0
1,4,93,-0.000514518,0.805441,-3.41916,-2.51688,0.805441,1
1,2,93,0.228667,-0.434211,-3.41916,-2.51688,-0.434211,0
1,1,93,0.266652,-0.507787,-3.41916,-2.51688,-0.507787,0
1,19,92,-1.64261,-1.1489,-6.43894,-2.39982,-1.1489,1
1,17,92,-1.01141,-0.712817,-6.43894,-2.39982,-0.712817,1
1,15,92,-1.41326,-0.113879,-6.43894,-2.39982,-0.113879,1
1,13,92,-1.03798,-0.825173,-6.43894,-2.39982,-0.825173,1
1,7,92,0.0850063,-0.175909,-6.43894,-2.39982,-0.175909,0
1,4,92,0.417622,0.91398,-6.43894,-2.39982,0.91398,1
1,2,92,0.266105,0.131031,-6.43894,-2.39982,0.131031,0
1,1,92,0.223411,-0.377817,-6.43894,-2.39982,-0.377817,0
1,19,91,-1.36508,-1.02423,-6.29331,-2.45927,-1.02423,1
1,17,91,-0.811704,-0.63417,-6.29331,-2.45927,-0.63417,1
1,15,91,-0.923668,0.34969,-6.29331,-2.45927,-0.923668,1
1,13,91,-1.08106,-0.851432,-6.29331,-2.45927,-0.851432,1
1,7,91,0.223903,0.00360132,-6.29331,-2.45927,0.00360132,0
1,4,91,0.262132,1.11241,-6.29331,-2.45927,1.11241,1
1,2,91,0.305197,0.592151,-6.29331,-2.45927,0.592151,1
1,1,91,0.258271,-0.344762,-6.29331,-2.45927,-0.344762,0
1,19,90,-1.79683,-1.0157,-6.05291,-2.36134,-1.0157,1
1,17,90,-0.763825,-0.522018,-6.05291,-2.36134,-0.522018,1
1,15,90,-1.1168,0.0923425,-6.05291,-2.36134,-1.1168,1
1,13,90,-0.969858,-0.700171,-6.05291,-2.36134,-0.700171,1
1,7,90,0.356984,-0.0864837,-6.05291,-2.36134,-0.0864837,0
1,4,90,0.326053,1.08693,-6.05291,-2.36134,1.08693,1
1,2,90,0.627898,0.326407,-6.05291,-2.36134,0.326407,0
