Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.46448,-1.36822,-3.41916,-3.35117,-1.36822,1
1,19,99,-2.38982,-1.97843,-3.41916,-3.35117,-1.97843,1
1,18,99,-1.73916,-1.85376,-3.41916,-3.35117,-1.85376,0
1,17,99,-2.45468,-1.14521,-3.41916,-3.35117,-1.14521,1
1,15,99,-2.24115,-0.912047,-3.41916,-3.35117,-0.912047,1
1,13,99,-2.08921,-1.6295,-3.41916,-3.35117,-1.6295,1
1,12,99,-1.89317,-1.24145,-3.41916,-3.35117,-1.89317,1
1,10,99,-1.30437,-0.984629,-3.41916,-3.35117,-0.984629,1
1,9,99,-1.10021,-1.89732,-3.41916,-3.35117,-1.89732,0
1,7,99,-1.33078,-0.451605,-3.41916,-3.35117,-0.451605,1
1,4,99,-0.96623,-0.781725,-3.41916,-3.35117,-0.781725,1
1,3,99,-1.26466,-0.910122,-3.41916,-3.35117,-0.910122,1
1,2,99,-0.910927,-0.682911,-3.41916,-3.35117,-0.682911,1
1,1,99,-0.988231,-1.85942,-3.41916,-3.35117,-1.85942,0
1,20,98,-2.0771,-1.46214,-3.41916,-3.12829,-1.46214,1
1,19,98,-2.16392,-1.96675,-3.41916,-3.12829,-1.96675,1
1,18,98,-2.05068,-1.78827,-3.41916,-3.12829,-1.78827,1
1,17,98,-2.30006,-0.822771,-3.41916,-3.12829,-0.822771,1
1,15,98,-2.3481,-1.09126,-3.41916,-3.12829,-1.09126,1
1,13,98,-1.97169,-1.31162,-3.41916,-3.12829,-1.97169,1
1,12,98,-1.8077,-1.34783,-3.41916,-3.12829,-1.34783,1
1,9,98,-0.977723,-1.639,-3.41916,-3.12829,-1.639,0
1,7,98,-1.25508,-0.363159,-3.41916,-3.12829,-0.363159,1
1,4,98,-0.714358,-0.602951,-3.41916,-3.12829,-0.602951,1
1,3,98,-0.492835,-0.696192,-3.41916,-3.12829,-0.696192,0
1,2,98,-0.612415,-0.601773,-3.41916,-3.12829,-0.601773,1
1,1,98,-0.881484,-1.71279,-3.41916,-3.12829,-1.71279,0
1,20,97,-2.20661,-1.0941,-3.41916,-2.81209,-2.20661,1
1,19,97,-1.99703,-1.69235,-3.41916,-2.81209,-1.69235,1
