Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.14325,-1.26773,-3.41916,-3.35117,-1.26773,1
1,19,99,-1.55661,-1.14547,-3.41916,-3.35117,-1.14547,1
1,18,99,-1.69859,-1.27072,-3.41916,-3.35117,-1.27072,1
1,17,99,-1.53743,-0.848732,-3.41916,-3.35117,-0.848732,1
1,15,99,-1.74316,-0.871395,-3.41916,-3.35117,-0.871395,1
1,13,99,-1.26852,-0.575246,-3.41916,-3.35117,-0.575246,1
1,12,99,-1.15528,-0.944433,-3.41916,-3.35117,-1.15528,1
1,10,99,-0.943436,-0.943883,-3.41916,-3.35117,-0.943883,0
1,9,99,-1.06099,-0.856827,-3.41916,-3.35117,-0.856827,1
1,7,99,-1.56106,-1.26907,-3.41916,-3.35117,-1.26907,1
1,4,99,-0.78963,-0.168244,-3.41916,-3.35117,-0.168244,1
1,3,99,-0.719155,-0.708201,-3.41916,-3.35117,-0.708201,1
1,2,99,-0.45337,-1.03597,-3.41916,-3.35117,-1.03597,0
1,1,99,-0.549162,-1.36317,-3.41916,-3.35117,-1.36317,0
1,20,98,-1.93722,-1.09628,-3.41916,-3.12829,-1.09628,1
1,19,98,-1.81815,-1.25978,-3.41916,-3.12829,-1.25978,1
1,18,98,-1.90928,-1.38888,-3.41916,-3.12829,-1.38888,1
1,17,98,-1.20336,-0.624974,-3.41916,-3.12829,-0.624974,1
1,15,98,-1.98028,-0.906485,-3.41916,-3.12829,-0.906485,1
1,13,98,-1.21505,-0.810344,-3.41916,-3.12829,-1.21505,1
1,12,98,-1.04867,-0.992435,-3.41916,-3.12829,-0.992435,1
1,9,98,-0.842918,-0.692161,-3.41916,-3.12829,-0.692161,1
1,7,98,-0.997199,-0.957358,-3.41916,-3.12829,-0.957358,1
1,4,98,-0.479678,-0.132136,-3.41916,-3.12829,-0.132136,1
1,3,98,-0.0654886,-0.611489,-3.41916,-3.12829,-0.611489,0
1,2,98,-0.149916,-1.08426,-3.41916,-3.12829,-1.08426,0
1,1,98,-0.572641,-1.22867,-3.41916,-3.12829,-1.22867,0
1,20,97,-1.81434,-1.04727,-3.41916,-2.81209,-1.81434,1
1,19,97,-1.52522,-1.06605,-3.41916,-2.81209,-1.06605,1
1,18,97,-1.86956,-1.76755,-3.41916,-2.81209,-1.76755,1
1,17,97,-1.37299,-0.780216,-3.41916,-2.81209,-0.780216,1
1,15,97,-1.46659,-0.678098,-3.41916,-2.81209,-0.678098,1
1,13,97,-1.12758,-0.393418,-3.41916,-2.81209,-0.393418,1
1,12,97,-0.888447,-1.17057,-3.41916,-2.81209,-1.17057,0
1,7,97,-0.966397,-0.934327,-3.41916,-2.81209,-0.934327,1
1,4,97,-0.415924,0.0952098,-3.41916,-2.81209,0.0952098,1
1,3,97,-0.176142,-0.400441,-3.41916,-2.81209,-0.400441,0
1,2,97,-0.211131,-0.569591,-3.41916,-2.81209,-0.569591,0
1,20,96,-1.62193,-0.819818,-3.41916,-2.99602,-0.819818,1
1,19,96,-1.46155,-0.965358,-3.41916,-2.99602,-0.965358,1
1,18,96,-1.59122,-1.23014,-3.41916,-2.99602,-1.23014,1
1,17,96,-1.51477,-0.968876,-3.41916,-2.99602,-0.968876,1
1,15,96,-1.23686,-0.328138,-3.41916,-2.99602,-0.328138,1
1,13,96,-1.23325,-0.00132405,-3.41916,-2.99602,-1.23325,1
1,12,96,-0.650045,-0.841134,-3.41916,-2.99602,-0.841134,0
1,9,96,-0.698722,-0.684501,-3.41916,-2.99602,-0.684501,1
1,7,96,-0.774754,-0.644027,-3.41916,-2.99602,-0.644027,1
1,4,96,-0.229741,0.121815,-3.41916,-2.99602,0.121815,1
1,3,96,0.0389047,-0.394777,-3.41916,-2.99602,-0.394777,0
1,2,96,-0.205782,-0.591742,-3.41916,-2.99602,-0.591742,0
1,19,95,-1.29405,-0.878765,-3.41916,-2.85377,-0.878765,1
1,17,95,-1.21469,-0.65099,-3.41916,-2.85377,-0.65099,1
1,15,95,-1.31892,-0.401114,-3.41916,-2.85377,-0.401114,1
1,13,95,-0.891737,0.16914,-3.41916,-2.85377,0.16914,1
1,7,95,-0.486306,-0.447273,-3.41916,-2.85377,-0.447273,1
1,4,95,-0.247026,0.173779,-3.41916,-2.85377,0.173779,1
1,2,95,0.0651885,-0.603611,-3.41916,-2.85377,-0.603611,0
1,1,95,-0.0358569,-1.04355,-3.41916,-2.85377,-1.04355,0
1,19,94,-1.54,-1.14969,-3.41916,-2.55553,-1.14969,1
1,17,94,-1.09081,-0.552401,-3.41916,-2.55553,-0.552401,1
1,15,94,-1.32194,-0.544795,-3.41916,-2.55553,-0.544795,1
1,13,94,-0.647649,0.536182,-3.41916,-2.55553,0.536182,1
1,7,94,-0.762141,-0.592781,-3.41916,-2.55553,-0.592781,1
1,4,94,-0.153541,0.194297,-3.41916,-2.55553,0.194297,1
1,2,94,0.149049,-0.674958,-3.41916,-2.55553,-0.674958,0
1,1,94,-0.0902028,-0.902534,-3.41916,-2.55553,-0.902534,0
1,19,93,-1.43943,-0.877239,-3.41916,-2.51688,-0.877239,1
