Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.07733,-1.56295,-3.41916,-3.35117,-1.56295,1
1,19,99,-1.92331,-1.33823,-3.41916,-3.35117,-1.33823,1
1,18,99,-2.0734,-0.882761,-3.41916,-3.35117,-0.882761,1
1,17,99,-1.71915,-1.48235,-3.41916,-3.35117,-1.48235,1
1,15,99,-1.90378,-1.03704,-3.41916,-3.35117,-1.03704,1
1,13,99,-1.52116,-0.694529,-3.41916,-3.35117,-0.694529,1
1,12,99,-1.16395,-0.654122,-3.41916,-3.35117,-1.16395,1
1,10,99,-0.816462,-1.35025,-3.41916,-3.35117,-0.816462,0
1,9,99,-0.609868,-1.09932,-3.41916,-3.35117,-1.09932,0
1,7,99,-1.60127,-0.903258,-3.41916,-3.35117,-0.903258,1
1,4,99,-0.708742,-0.304389,-3.41916,-3.35117,-0.304389,1
1,3,99,-1.55842,-0.728349,-3.41916,-3.35117,-0.728349,1
1,2,99,-0.976962,-1.13772,-3.41916,-3.35117,-1.13772,0
1,1,99,-0.324765,-0.816028,-3.41916,-3.35117,-0.816028,0
1,20,98,-2.11357,-1.49566,-3.41916,-3.12829,-1.49566,1
1,19,98,-1.9179,-1.53775,-3.41916,-3.12829,-1.53775,1
1,18,98,-1.96665,-0.773901,-3.41916,-3.12829,-0.773901,1
1,17,98,-1.54101,-1.26317,-3.41916,-3.12829,-1.26317,1
1,15,98,-2.06503,-0.936167,-3.41916,-3.12829,-0.936167,1
1,13,98,-1.45175,-0.595587,-3.41916,-3.12829,-1.45175,1
1,12,98,-1.08156,-0.661572,-3.41916,-3.12829,-0.661572,1
1,9,98,-0.479084,-0.902727,-3.41916,-3.12829,-0.902727,0
1,7,98,-1.28925,-0.870478,-3.41916,-3.12829,-0.870478,1
1,4,98,-0.41847,-0.167297,-3.41916,-3.12829,-0.167297,1
1,3,98,-0.429783,-0.514873,-3.41916,-3.12829,-0.514873,0
1,2,98,-0.457278,-1.08549,-3.41916,-3.12829,-1.08549,0
1,1,98,-0.663646,-0.723387,-3.41916,-3.12829,-0.723387,0
1,20,97,-1.8798,-1.33062,-3.41916,-2.81209,-1.8798,1
1,19,97,-1.78513,-1.55793,-3.41916,-2.81209,-1.55793,1
1,18,97,-1.86544,-0.938452,-3.41916,-2.81209,-0.938452,1
1,17,97,-1.25978,-1.12612,-3.41916,-2.81209,-1.12612,1
1,15,97,-1.59537,-0.900059,-3.41916,-2.81209,-0.900059,1
1,13,97,-1.41859,-0.540767,-3.41916,-2.81209,-0.540767,1
1,12,97,-1.01621,-0.572501,-3.41916,-2.81209,-0.572501,1
1,7,97,-1.22929,-0.659242,-3.41916,-2.81209,-0.659242,1
1,4,97,-0.250426,-0.214619,-3.41916,-2.81209,-0.214619,1
1,3,97,-0.359162,-0.563779,-3.41916,-2.81209,-0.563779,0
1,2,97,-0.472068,-1.11447,-3.41916,-2.81209,-1.11447,0
1,20,96,-1.56038,-1.04118,-3.41916,-2.99602,-1.04118,1
1,19,96,-1.78746,-1.25924,-3.41916,-2.99602,-1.25924,1
1,18,96,-1.77139,-0.710164,-3.41916,-2.99602,-0.710164,1
1,17,96,-1.40764,-1.0072,-3.41916,-2.99602,-1.0072,1
1,15,96,-1.45224,-0.704448,-3.41916,-2.99602,-0.704448,1
1,13,96,-1.47651,-0.51115,-3.41916,-2.99602,-1.47651,1
1,12,96,-0.975656,-0.515437,-3.41916,-2.99602,-0.515437,1
1,9,96,-0.426482,-0.967682,-3.41916,-2.99602,-0.967682,0
1,7,96,-1.09616,-0.425395,-3.41916,-2.99602,-0.425395,1
1,4,96,-0.262685,-0.120758,-3.41916,-2.99602,-0.120758,1
1,3,96,-0.160983,-0.407177,-3.41916,-2.99602,-0.407177,0
1,2,96,-0.435556,-0.941282,-3.41916,-2.99602,-0.941282,0
1,19,95,-1.40238,-1.08788,-3.41916,-2.85377,-1.08788,1
1,17,95,-1.53544,-1.03502,-3.41916,-2.85377,-1.03502,1
1,15,95,-1.264,-0.509468,-3.41916,-2.85377,-0.509468,1
1,13,95,-1.07323,-0.43533,-3.41916,-2.85377,-0.43533,1
1,7,95,-0.819832,-0.49204,-3.41916,-2.85377,-0.49204,1
1,4,95,-0.136549,-0.0339665,-3.41916,-2.85377,-0.0339665,1
1,2,95,-0.205702,-0.851347,-3.41916,-2.85377,-0.851347,0
1,1,95,-0.21626,-0.557834,-3.41916,-2.85377,-0.557834,0
1,19,94,-1.50608,-1.22807,-3.41916,-2.55553,-1.22807,1
1,17,94,-1.27598,-1.06372,-3.41916,-2.55553,-1.06372,1
1,15,94,-1.37996,-0.552162,-3.41916,-2.55553,-0.552162,1
1,13,94,-0.912302,-0.228074,-3.41916,-2.55553,-0.228074,1
1,7,94,-0.824739,-0.502991,-3.41916,-2.55553,-0.502991,1
1,4,94,-0.123827,-0.0272507,-3.41916,-2.55553,-0.0272507,1
1,2,94,-0.195651,-0.822352,-3.41916,-2.55553,-0.822352,0
1,1,94,0.0919243,-0.31116,-3.41916,-2.55553,-0.31116,0
1,19,93,-1.42256,-1.13128,-3.41916,-2.51688,-1.13128,1
1,17,93,-0.819628,-0.583292,-3.41916,-2.51688,-0.583292,1
1,15,93,-1.34971,-0.547799,-3.41916,-2.51688,-0.547799,1
1,13,93,-0.74323,0.03029,-3.41916,-2.51688,0.03029,1
1,7,93,-0.795451,-0.407528,-3.41916,-2.51688,-0.407528,1
1,4,93,-0.0078378,0.124118,-3.41916,-2.51688,0.124118,1
1,2,93,-0.153813,-0.685331,-3.41916,-2.51688,-0.685331,0
