Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.15281,-1.4078,-3.41916,-3.35117,-1.4078,1
1,19,99,-2.07106,-1.16737,-3.41916,-3.35117,-1.16737,1
1,18,99,-1.88236,-0.927372,-3.41916,-3.35117,-0.927372,1
1,17,99,-2.20558,-0.714069,-3.41916,-3.35117,-0.714069,1
1,15,99,-1.92713,-0.752736,-3.41916,-3.35117,-0.752736,1
1,13,99,-1.66647,-1.26198,-3.41916,-3.35117,-1.26198,1
1,12,99,-1.32375,-1.48002,-3.41916,-3.35117,-1.32375,0
1,10,99,-1.70275,-1.55645,-3.41916,-3.35117,-1.70275,1
1,9,99,-1.22164,-0.716875,-3.41916,-3.35117,-0.716875,1
1,7,99,-1.44016,-0.735298,-3.41916,-3.35117,-0.735298,1
1,4,99,-1.32357,-0.820112,-3.41916,-3.35117,-0.820112,1
1,3,99,-1.33189,-0.851116,-3.41916,-3.35117,-0.851116,1
1,2,99,0.163032,-1.22509,-3.41916,-3.35117,-1.22509,0
1,1,99,-0.999236,-1.64439,-3.41916,-3.35117,-1.64439,0
1,20,98,-2.23597,-1.6994,-3.41916,-3.12829,-1.6994,1
1,19,98,-1.96416,-1.09312,-3.41916,-3.12829,-1.09312,1
1,18,98,-1.77668,-0.795085,-3.41916,-3.12829,-0.795085,1
1,17,98,-2.10609,-0.63429,-3.41916,-3.12829,-0.63429,1
1,15,98,-1.84219,-0.505238,-3.41916,-3.12829,-0.505238,1
1,13,98,-1.6122,-1.15181,-3.41916,-3.12829,-1.6122,1
1,12,98,-1.25302,-1.20622,-3.41916,-3.12829,-1.20622,1
1,9,98,-1.01708,-0.5918,-3.41916,-3.12829,-0.5918,1
1,7,98,-1.09523,-0.548348,-3.41916,-3.12829,-0.548348,1
1,4,98,-1.08025,-0.717859,-3.41916,-3.12829,-0.717859,1
1,3,98,-0.759795,-0.813312,-3.41916,-3.12829,-0.813312,0
1,2,98,0.24545,-1.07869,-3.41916,-3.12829,-1.07869,0
1,1,98,-0.922,-1.55487,-3.41916,-3.12829,-1.55487,0
1,20,97,-2.21378,-1.48616,-3.41916,-2.81209,-2.21378,1
1,19,97,-2.07872,-1.04831,-3.41916,-2.81209,-1.04831,1
1,18,97,-1.74365,-0.805623,-3.41916,-2.81209,-0.805623,1
1,17,97,-1.96443,-0.6119,-3.41916,-2.81209,-0.6119,1
1,15,97,-1.69462,-0.587562,-3.41916,-2.81209,-0.587562,1
1,13,97,-1.53063,-1.16423,-3.41916,-2.81209,-1.16423,1
1,12,97,-1.17005,-1.0832,-3.41916,-2.81209,-1.0832,1
1,7,97,-0.873159,-0.324925,-3.41916,-2.81209,-0.324925,1
1,4,97,-0.936288,-0.607818,-3.41916,-2.81209,-0.607818,1
1,3,97,-0.727967,-0.858166,-3.41916,-2.81209,-0.858166,0
1,2,97,0.38539,-0.967238,-3.41916,-2.81209,-0.967238,0
1,20,96,-1.94556,-1.08219,-3.41916,-2.99602,-1.08219,1
1,19,96,-2.06371,-1.14962,-3.41916,-2.99602,-1.14962,1
1,18,96,-2.03134,-1.09184,-3.41916,-2.99602,-1.09184,1
1,17,96,-1.87945,-0.445077,-3.41916,-2.99602,-0.445077,1
1,15,96,-1.65716,-0.421119,-3.41916,-2.99602,-0.421119,1
1,13,96,-1.44952,-0.794613,-3.41916,-2.99602,-1.44952,1
1,12,96,-1.08603,-1.02451,-3.41916,-2.99602,-1.02451,1
1,9,96,-0.801614,-0.397692,-3.41916,-2.99602,-0.397692,1
1,7,96,-0.779367,-0.248549,-3.41916,-2.99602,-0.248549,1
1,4,96,-0.912037,-0.510574,-3.41916,-2.99602,-0.510574,1
1,3,96,-0.644344,-0.815665,-3.41916,-2.99602,-0.815665,0
1,2,96,0.324069,-0.88461,-3.41916,-2.99602,-0.88461,0
1,19,95,-1.76509,-0.918093,-3.41916,-2.85377,-0.918093,1
1,17,95,-1.93063,-0.781316,-3.41916,-2.85377,-0.781316,1
1,15,95,-1.55236,-0.269285,-3.41916,-2.85377,-0.269285,1
1,13,95,-1.25745,-0.784414,-3.41916,-2.85377,-0.784414,1
1,7,95,-0.532642,0.0240558,-3.41916,-2.85377,0.0240558,1
1,4,95,-0.802857,-0.425164,-3.41916,-2.85377,-0.425164,1
1,2,95,0.368289,-0.80037,-3.41916,-2.85377,-0.80037,0
1,1,95,-0.662632,-1.21344,-3.41916,-2.85377,-1.21344,0
1,19,94,-1.75592,-0.961113,-3.41916,-2.55553,-0.961113,1
1,17,94,-1.95916,-0.654227,-3.41916,-2.55553,-0.654227,1
1,15,94,-1.39414,-0.142373,-3.41916,-2.55553,-0.142373,1
1,13,94,-1.16767,-0.688095,-3.41916,-2.55553,-0.688095,1
1,7,94,-0.435995,0.057199,-3.41916,-2.55553,0.057199,1
1,4,94,-0.604123,-0.429083,-3.41916,-2.55553,-0.429083,1
1,2,94,0.38892,-0.816203,-3.41916,-2.55553,-0.816203,0
1,1,94,-0.57735,-1.00562,-3.41916,-2.55553,-1.00562,0
1,19,93,-1.79953,-0.995389,-3.41916,-2.51688,-0.995389,1
1,17,93,-1.60029,-0.415296,-3.41916,-2.51688,-0.415296,1
1,15,93,-1.55122,-0.513055,-3.41916,-2.51688,-0.513055,1
1,13,93,-1.08208,-0.568553,-3.41916,-2.51688,-0.568553,1
1,7,93,-0.347703,0.193501,-3.41916,-2.51688,0.193501,1
1,4,93,-0.602477,-0.331517,-3.41916,-2.51688,-0.331517,1
1,2,93,0.615116,-0.84355,-3.41916,-2.51688,-0.84355,0
1,1,93,-0.564454,-1.03666,-3.41916,-2.51688,-1.03666,0
1,19,92,-1.80667,-0.897866,-6.43894,-2.39982,-0.897866,1
1,17,92,-1.68361,-0.469391,-6.43894,-2.39982,-0.469391,1
1,15,92,-1.47304,-0.487358,-6.43894,-2.39982,-0.487358,1
1,13,92,-0.9778,-0.436119,-6.43894,-2.39982,-0.436119,1
1,7,92,-0.251313,0.163604,-6.43894,-2.39982,0.163604,1
1,4,92,-0.369787,-0.0105404,-6.43894,-2.39982,-0.0105404,1
1,2,92,0.928179,-0.607813,-6.43894,-2.39982,-0.607813,0
1,1,92,-0.477052,-0.900073,-6.43894,-2.39982,-0.900073,0
1,19,91,-1.52877,-0.870438,-6.29331,-2.45927,-0.870438,1
1,17,91,-1.65281,-0.465849,-6.29331,-2.45927,-0.465849,1
1,15,91,-1.25774,-0.0127977,-6.29331,-2.45927,-1.25774,1
1,13,91,-1.176,-0.73322,-6.29331,-2.45927,-0.73322,1
1,7,91,-0.190091,0.376289,-6.29331,-2.45927,0.376289,1
1,4,91,-0.205529,0.233948,-6.29331,-2.45927,0.233948,1
1,2,91,0.868107,-0.159179,-6.29331,-2.45927,-0.159179,0
1,1,91,-0.515918,-0.844777,-6.29331,-2.45927,-0.844777,0
1,19,90,-1.71423,-0.882382,-6.05291,-2.36134,-0.882382,1
1,17,90,-1.61555,-0.3701,-6.05291,-2.36134,-0.3701,1
1,15,90,-1.28903,-0.166238,-6.05291,-2.36134,-0.166238,1
1,13,90,-1.13157,-0.687701,-6.05291,-2.36134,-0.687701,1
1,7,90,-0.290017,0.414614,-6.05291,-2.36134,0.414614,1
1,4,90,-0.0720772,0.326401,-6.05291,-2.36134,0.326401,1
1,2,90,0.995205,0.0574558,-6.05291,-2.36134,0.0574558,0
1,1,90,-0.379412,-0.695731,-6.05291,-2.36134,-0.695731,0
1,19,89,-1.64668,-0.957528,-5.75042,-2.39784,-0.957528,1
1,17,89,-1.48028,-0.361614,-5.75042,-2.39784,-1.48028,1
1,15,89,-1.23118,-0.170351,-5.75042,-2.39784,-0.170351,1
1,13,89,-0.824388,-0.318313,-5.75042,-2.39784,-0.318313,1
1,7,89,0.0225217,0.483484,-5.75042,-2.39784,0.483484,1
1,4,89,-0.0199177,0.317724,-5.75042,-2.39784,0.317724,1
1,2,89,1.1215,-0.0323302,-5.75042,-2.39784,-0.0323302,0
1,1,89,-0.0379123,0.0283851,-5.75042,-2.39784,0.0283851,1
1,19,88,-1.48852,-0.646478,-5.55605,-2.24038,-1.48852,1
1,17,88,-1.78651,-0.632951,-5.55605,-2.24038,-0.632951,1
1,15,88,-1.346,0.0160246,-5.55605,-2.24038,0.0160246,1
1,13,88,-0.805881,-0.48849,-5.55605,-2.24038,-0.48849,1
1,7,88,0.112136,0.580076,-5.55605,-2.24038,0.580076,1
1,4,88,0.193329,0.491466,-5.55605,-2.24038,0.491466,1
1,2,88,1.1802,0.142597,-5.55605,-2.24038,0.142597,0
1,1,88,0.326688,-0.589995,-5.55605,-2.24038,-0.589995,0
1,19,87,-1.335,-0.511523,-5.60239,-2.09737,-0.511523,1
1,17,87,-1.79935,-0.644764,-5.60239,-2.09737,-0.644764,1
1,15,87,-1.4538,0.0886304,-5.60239,-2.09737,0.0886304,1
1,13,87,-0.729062,-0.392031,-5.60239,-2.09737,-0.392031,1
1,7,87,0.234483,0.688082,-5.60239,-2.09737,0.688082,1
1,4,87,0.334683,0.502093,-5.60239,-2.09737,0.502093,1
1,2,87,1.24613,0.203781,-5.60239,-2.09737,0.203781,0
1,1,87,0.621424,-0.336511,-5.60239,-2.09737,-0.336511,0
1,19,86,-1.2716,-0.623078,-5.61978,-2.01828,-0.623078,1
1,17,86,-1.63263,-0.408326,-5.61978,-2.01828,-1.63263,1
1,15,86,-1.5052,-0.4285,-5.61978,-2.01828,-0.4285,1
1,13,86,-0.74836,-0.30094,-5.61978,-2.01828,-0.74836,1
1,7,86,0.289729,0.797892,-5.61978,-2.01828,0.797892,1
1,4,86,0.242233,0.555633,-5.61978,-2.01828,0.555633,1
1,2,86,1.40328,0.203611,-5.61978,-2.01828,0.203611,0
1,1,86,0.338892,-0.293658,-5.61978,-2.01828,-0.293658,0
1,19,85,-0.715172,-0.61691,-5.14185,-2.10808,-0.61691,1
1,17,85,-0.874948,-0.489197,-5.14185,-2.10808,-0.489197,1
1,15,85,-0.56935,-0.0201874,-5.14185,-2.10808,-0.0201874,1
1,13,85,-0.632045,0.368876,-5.14185,-2.10808,0.368876,1
1,7,85,0.275817,0.422048,-5.14185,-2.10808,0.422048,1
1,4,85,0.78321,1.09699,-5.14185,-2.10808,1.09699,1
1,2,85,0.232703,0.791265,-5.14185,-2.10808,0.791265,1
1,1,85,0.491239,0.791766,-5.14185,-2.10808,0.791766,1
1,19,84,-0.553021,-0.438721,-5.35927,-2.00544,-0.438721,1
1,17,84,-0.95853,-0.494304,-5.35927,-2.00544,-0.494304,1
1,15,84,-0.276923,0.175982,-5.35927,-2.00544,0.175982,1
1,13,84,-0.925973,0.17613,-5.35927,-2.00544,0.17613,1
1,7,84,0.344621,0.547731,-5.35927,-2.00544,0.547731,1
1,4,84,0.902099,1.17116,-5.35927,-2.00544,1.17116,1
1,2,84,0.639058,0.865132,-5.35927,-2.00544,0.865132,1
1,1,84,0.576956,0.977921,-5.35927,-2.00544,0.977921,1
1,19,83,-0.487539,-0.310724,-5.22327,-1.89942,-0.487539,1
1,17,83,-0.6351,-0.433496,-5.22327,-1.89942,-0.433496,1
1,15,83,-0.196102,0.348249,-5.22327,-1.89942,0.348249,1
1,13,83,-1.04172,0.111394,-5.22327,-1.89942,0.111394,1
1,7,83,0.74385,0.630027,-5.22327,-1.89942,0.630027,0
1,4,83,0.941238,1.18257,-5.22327,-1.89942,1.18257,1
1,2,83,0.782098,0.951344,-5.22327,-1.89942,0.951344,1
1,1,83,0.567972,1.04103,-5.22327,-1.89942,1.04103,1
1,19,82,-0.548084,-0.423105,-5.04662,-1.89873,-0.423105,1
1,17,82,-0.830138,-0.387386,-5.04662,-1.89873,-0.830138,1
1,15,82,-0.267366,0.254293,-5.04662,-1.89873,0.254293,1
1,13,82,-0.574505,0.426811,-5.04662,-1.89873,0.426811,1
1,9,82,0.261758,-0.5844,-5.04662,-1.89873,-0.5844,0
1,7,82,0.552185,0.733338,-5.04662,-1.89873,0.733338,1
1,4,82,0.652038,1.07135,-5.04662,-1.89873,1.07135,1
1,2,82,0.815748,1.19742,-5.04662,-1.89873,1.19742,1
1,1,82,0.805803,1.16459,-5.04662,-1.89873,1.16459,1
1,19,81,-0.838987,-0.668654,-4.70389,-1.77463,-0.668654,1
1,17,81,-0.440772,-0.162385,-4.70389,-1.77463,-0.162385,1
1,15,81,-0.12066,0.437875,-4.70389,-1.77463,0.437875,1
1,13,81,-0.468781,0.489902,-4.70389,-1.77463,0.489902,1
1,7,81,0.605077,0.606328,-4.70389,-1.77463,0.606328,1
1,4,81,0.601087,1.18038,-4.70389,-1.77463,1.18038,1
1,2,81,0.935495,0.935052,-4.70389,-1.77463,0.935052,0
1,1,81,0.973723,1.25633,-4.70389,-1.77463,1.25633,1
1,19,80,-0.459887,-0.17151,-4.82344,-1.66435,-0.17151,1
1,17,80,-0.583373,-0.3136,-4.82344,-1.66435,-0.3136,1
1,15,80,-0.118777,0.389435,-4.82344,-1.66435,-0.118777,1
1,13,80,-0.629963,0.454638,-4.82344,-1.66435,0.454638,1
1,7,80,0.806157,0.776279,-4.82344,-1.66435,0.776279,0
1,4,80,1.04899,1.22325,-4.82344,-1.66435,1.22325,1
1,2,80,0.727008,0.974948,-4.82344,-1.66435,0.974948,1
1,1,80,0.925133,1.34961,-4.82344,-1.66435,1.34961,1
1,19,79,-0.49373,-0.162876,-4.30456,-1.7295,-0.162876,1
1,17,79,-0.79328,-0.513621,-4.30456,-1.7295,-0.513621,1
1,15,79,0.0336368,0.617731,-4.30456,-1.7295,0.617731,1
1,13,79,-0.441412,0.557903,-4.30456,-1.7295,0.557903,1
1,9,79,-0.0103514,-0.525832,-4.30456,-1.7295,-0.525832,0
1,7,79,0.90947,0.811317,-4.30456,-1.7295,0.811317,0
1,4,79,0.830334,1.29691,-4.30456,-1.7295,1.29691,1
1,2,79,0.695028,0.836495,-4.30456,-1.7295,0.836495,1
1,1,79,0.858949,1.19648,-4.30456,-1.7295,1.19648,1
1,19,78,-0.521489,-0.0843188,-4.65291,-1.66623,-0.0843188,1
