Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.11189,-1.82425,-3.41916,-3.35117,-1.82425,1
1,19,99,-2.32913,-1.74048,-3.41916,-3.35117,-1.74048,1
1,18,99,-2.58645,-1.81035,-3.41916,-3.35117,-1.81035,1
1,17,99,-2.1908,-2.0426,-3.41916,-3.35117,-2.0426,1
1,15,99,-1.72036,-2.00061,-3.41916,-3.35117,-2.00061,0
1,13,99,-1.72858,-1.47247,-3.41916,-3.35117,-1.47247,1
1,12,99,-1.46438,-1.23735,-3.41916,-3.35117,-1.46438,1
1,10,99,-1.56219,-1.56333,-3.41916,-3.35117,-1.56219,0
1,9,99,-1.4176,-1.08946,-3.41916,-3.35117,-1.08946,1
1,7,99,-1.05334,-1.41127,-3.41916,-3.35117,-1.41127,0
1,4,99,-1.77471,0.177283,-3.41916,-3.35117,0.177283,1
1,3,99,-2.04344,-0.267534,-3.41916,-3.35117,-0.267534,1
1,2,99,-1.74823,-1.1564,-3.41916,-3.35117,-1.1564,1
1,1,99,-1.14197,-1.38848,-3.41916,-3.35117,-1.38848,0
1,20,98,-2.01539,-1.77611,-3.41916,-3.12829,-1.77611,1
1,19,98,-2.2546,-1.75269,-3.41916,-3.12829,-1.75269,1
1,18,98,-2.46036,-1.80298,-3.41916,-3.12829,-1.80298,1
1,17,98,-2.01533,-1.95642,-3.41916,-3.12829,-1.95642,1
1,15,98,-1.82001,-1.57369,-3.41916,-3.12829,-1.57369,1
1,13,98,-1.67016,-1.50658,-3.41916,-3.12829,-1.67016,1
1,12,98,-1.44301,-0.986638,-3.41916,-3.12829,-0.986638,1
1,9,98,-1.21583,-0.997207,-3.41916,-3.12829,-0.997207,1
1,7,98,-0.95173,-1.40127,-3.41916,-3.12829,-1.40127,0
1,4,98,-1.68548,0.214403,-3.41916,-3.12829,0.214403,1
1,3,98,-1.65541,-0.0755668,-3.41916,-3.12829,-0.0755668,1
1,2,98,-1.31011,-1.16595,-3.41916,-3.12829,-1.16595,1
1,1,98,-1.39933,-1.30441,-3.41916,-3.12829,-1.30441,1
1,20,97,-1.7653,-1.44167,-3.41916,-2.81209,-1.7653,1
1,19,97,-2.35407,-1.88532,-3.41916,-2.81209,-1.88532,1
1,18,97,-2.39079,-1.67931,-3.41916,-2.81209,-1.67931,1
1,17,97,-2.16798,-1.70355,-3.41916,-2.81209,-1.70355,1
1,15,97,-1.51057,-1.87193,-3.41916,-2.81209,-1.87193,0
1,13,97,-1.56264,-1.38152,-3.41916,-2.81209,-1.38152,1
1,12,97,-1.34709,-0.952448,-3.41916,-2.81209,-0.952448,1
1,7,97,-0.890526,-1.26406,-3.41916,-2.81209,-1.26406,0
1,4,97,-1.36782,0.186267,-3.41916,-2.81209,0.186267,1
1,3,97,-1.55387,-0.14796,-3.41916,-2.81209,-0.14796,1
1,2,97,-1.16219,-1.20276,-3.41916,-2.81209,-1.20276,0
1,20,96,-1.71498,-1.54081,-3.41916,-2.99602,-1.54081,1
1,19,96,-1.97399,-1.5951,-3.41916,-2.99602,-1.5951,1
1,18,96,-2.47609,-1.75345,-3.41916,-2.99602,-1.75345,1
1,17,96,-2.01582,-1.91133,-3.41916,-2.99602,-1.91133,1
1,15,96,-1.47128,-1.73785,-3.41916,-2.99602,-1.73785,0
1,13,96,-1.732,-1.33205,-3.41916,-2.99602,-1.732,1
1,12,96,-1.21783,-0.839237,-3.41916,-2.99602,-0.839237,1
1,9,96,-1.0366,-0.820511,-3.41916,-2.99602,-0.820511,1
1,7,96,-0.802534,-1.17881,-3.41916,-2.99602,-1.17881,0
1,4,96,-1.32447,0.457229,-3.41916,-2.99602,0.457229,1
1,3,96,-1.37852,0.089961,-3.41916,-2.99602,0.089961,1
1,2,96,-1.20319,-1.20711,-3.41916,-2.99602,-1.20711,0
1,19,95,-1.96769,-1.55266,-3.41916,-2.85377,-1.55266,1
1,17,95,-2.04148,-1.9383,-3.41916,-2.85377,-1.9383,1
1,15,95,-1.61477,-1.68527,-3.41916,-2.85377,-1.68527,0
1,13,95,-1.4373,-1.17305,-3.41916,-2.85377,-1.17305,1
1,7,95,-0.967973,-1.30005,-3.41916,-2.85377,-1.30005,0
1,4,95,-1.16994,0.550636,-3.41916,-2.85377,0.550636,1
1,2,95,-1.03778,-1.04197,-3.41916,-2.85377,-1.04197,0
1,1,95,-1.04385,-1.13524,-3.41916,-2.85377,-1.13524,0
1,19,94,-1.85428,-1.41527,-3.41916,-2.55553,-1.41527,1
1,17,94,-1.65546,-1.73354,-3.41916,-2.55553,-1.73354,0
1,15,94,-1.44476,-1.68152,-3.41916,-2.55553,-1.68152,0
1,13,94,-1.36777,-1.36755,-3.41916,-2.55553,-1.36755,1
1,7,94,-0.643829,-1.0202,-3.41916,-2.55553,-1.0202,0
1,4,94,-1.10707,0.505845,-3.41916,-2.55553,0.505845,1
1,2,94,-1.03484,-1.04447,-3.41916,-2.55553,-1.04447,0
1,1,94,-0.872928,-1.11751,-3.41916,-2.55553,-1.11751,0
1,19,93,-1.74721,-1.25858,-3.41916,-2.51688,-1.25858,1
1,17,93,-1.68869,-1.59485,-3.41916,-2.51688,-1.59485,1
1,15,93,-1.4299,-1.7586,-3.41916,-2.51688,-1.7586,0
1,13,93,-1.44811,-1.40088,-3.41916,-2.51688,-1.40088,1
1,7,93,-0.61801,-0.961367,-3.41916,-2.51688,-0.961367,0
1,4,93,-1.04321,0.667894,-3.41916,-2.51688,0.667894,1
1,2,93,-0.923438,-0.925881,-3.41916,-2.51688,-0.925881,0
1,1,93,-0.979187,-0.987821,-3.41916,-2.51688,-0.987821,0
1,19,92,-1.93674,-1.44169,-6.43894,-2.39982,-1.44169,1
1,17,92,-1.58314,-1.52064,-6.43894,-2.39982,-1.52064,1
1,15,92,-1.22106,-1.4718,-6.43894,-2.39982,-1.4718,0
1,13,92,-1.32643,-1.39289,-6.43894,-2.39982,-1.39289,0
1,7,92,-0.54764,-0.876424,-6.43894,-2.39982,-0.876424,0
1,4,92,-1.11729,0.728106,-6.43894,-2.39982,0.728106,1
1,2,92,-0.765582,-0.829052,-6.43894,-2.39982,-0.829052,0
1,1,92,-0.797157,-0.923269,-6.43894,-2.39982,-0.923269,0
1,19,91,-1.65285,-1.10475,-6.29331,-2.45927,-1.10475,1
1,17,91,-1.50648,-1.3925,-6.29331,-2.45927,-1.3925,1
1,15,91,-1.19194,-1.39281,-6.29331,-2.45927,-1.19194,0
1,13,91,-1.43583,-1.29359,-6.29331,-2.45927,-1.29359,1
1,7,91,-0.4847,-0.762373,-6.29331,-2.45927,-0.762373,0
1,4,91,-0.861914,0.817318,-6.29331,-2.45927,0.817318,1
1,2,91,-0.759063,-0.750726,-6.29331,-2.45927,-0.750726,1
1,1,91,-0.650967,-0.808097,-6.29331,-2.45927,-0.808097,0
1,19,90,-1.72794,-1.15489,-6.05291,-2.36134,-1.15489,1
1,17,90,-1.70828,-1.46241,-6.05291,-2.36134,-1.46241,1
1,15,90,-0.991776,-1.32537,-6.05291,-2.36134,-1.32537,0
1,13,90,-1.17192,-1.08594,-6.05291,-2.36134,-1.08594,1
1,7,90,-0.71849,-0.889512,-6.05291,-2.36134,-0.889512,0
1,4,90,-0.751447,0.848312,-6.05291,-2.36134,0.848312,1
1,2,90,-0.642494,-0.661384,-6.05291,-2.36134,-0.661384,0
1,1,90,-0.57566,-0.673483,-6.05291,-2.36134,-0.673483,0
1,19,89,-1.72704,-1.21883,-5.75042,-2.39784,-1.21883,1
1,17,89,-1.57818,-1.28299,-5.75042,-2.39784,-1.57818,1
1,15,89,-1.08381,-1.21999,-5.75042,-2.39784,-1.21999,0
1,13,89,-1.15519,-1.05922,-5.75042,-2.39784,-1.05922,1
1,7,89,-0.824878,-1.1576,-5.75042,-2.39784,-1.1576,0
1,4,89,-0.742705,0.890317,-5.75042,-2.39784,0.890317,1
1,2,89,-0.556711,-0.590082,-5.75042,-2.39784,-0.590082,0
1,1,89,-0.56486,-0.749657,-5.75042,-2.39784,-0.749657,0
1,19,88,-1.48425,-1.01047,-5.55605,-2.24038,-1.48425,1
1,17,88,-1.58242,-1.30175,-5.55605,-2.24038,-1.30175,1
1,15,88,-1.22224,-1.33581,-5.55605,-2.24038,-1.33581,0
1,13,88,-0.96259,-0.934036,-5.55605,-2.24038,-0.934036,1
1,7,88,-0.904239,-1.07501,-5.55605,-2.24038,-1.07501,0
1,4,88,-0.727358,0.921343,-5.55605,-2.24038,0.921343,1
1,2,88,-0.46846,-0.531008,-5.55605,-2.24038,-0.531008,0
1,1,88,-0.46764,-0.603014,-5.55605,-2.24038,-0.603014,0
1,19,87,-1.35878,-0.913459,-5.60239,-2.09737,-0.913459,1
1,17,87,-1.47,-1.28933,-5.60239,-2.09737,-1.28933,1
1,15,87,-1.00745,-1.13297,-5.60239,-2.09737,-1.13297,0
1,13,87,-1.02786,-0.871259,-5.60239,-2.09737,-0.871259,1
1,7,87,-0.822002,-1.00825,-5.60239,-2.09737,-1.00825,0
1,4,87,-0.580913,1.02379,-5.60239,-2.09737,1.02379,1
1,2,87,-0.405595,-0.425498,-5.60239,-2.09737,-0.425498,0
1,1,87,-0.325879,-0.463881,-5.60239,-2.09737,-0.463881,0
1,19,86,-1.33402,-0.896786,-5.61978,-2.01828,-0.896786,1
1,17,86,-1.24369,-1.18443,-5.61978,-2.01828,-1.24369,1
1,15,86,-1.02149,-1.07322,-5.61978,-2.01828,-1.07322,0
1,13,86,-1.04918,-1.13556,-5.61978,-2.01828,-1.04918,0
1,7,86,-0.869599,-0.990332,-5.61978,-2.01828,-0.990332,0
1,4,86,-0.589657,0.998812,-5.61978,-2.01828,0.998812,1
1,2,86,-0.337282,-0.34871,-5.61978,-2.01828,-0.34871,0
1,1,86,-0.251128,-0.455659,-5.61978,-2.01828,-0.455659,0
1,19,85,-0.9446,-1.27331,-5.14185,-2.10808,-1.27331,0
1,17,85,-1.0717,-0.807048,-5.14185,-2.10808,-0.807048,1
1,15,85,-0.674467,-1.17634,-5.14185,-2.10808,-1.17634,0
1,13,85,-0.639943,-0.520854,-5.14185,-2.10808,-0.520854,1
1,7,85,-0.654559,-1.01515,-5.14185,-2.10808,-1.01515,0
1,4,85,-0.894261,-0.806952,-5.14185,-2.10808,-0.806952,1
1,2,85,-0.935916,-0.256328,-5.14185,-2.10808,-0.256328,1
1,1,85,-0.414617,-0.449101,-5.14185,-2.10808,-0.449101,0
1,19,84,-0.939196,-1.3804,-5.35927,-2.00544,-1.3804,0
1,17,84,-1.07192,-0.831079,-5.35927,-2.00544,-0.831079,1
1,15,84,-0.56213,-0.884833,-5.35927,-2.00544,-0.884833,0
1,13,84,-0.653909,-0.44241,-5.35927,-2.00544,-0.44241,1
1,7,84,-0.542432,-0.924834,-5.35927,-2.00544,-0.924834,0
1,4,84,-0.868514,-0.769876,-5.35927,-2.00544,-0.769876,1
1,2,84,-0.842199,-0.226289,-5.35927,-2.00544,-0.226289,1
1,1,84,-0.262759,-0.304042,-5.35927,-2.00544,-0.304042,0
1,19,83,-0.606855,-0.978313,-5.22327,-1.89942,-0.606855,0
1,17,83,-1.28869,-0.523373,-5.22327,-1.89942,-0.523373,1
1,15,83,-0.347759,-0.669904,-5.22327,-1.89942,-0.669904,0
1,13,83,-0.826439,-0.486792,-5.22327,-1.89942,-0.486792,1
1,7,83,-0.485398,-0.92456,-5.22327,-1.89942,-0.92456,0
1,4,83,-0.969097,-0.778927,-5.22327,-1.89942,-0.778927,1
1,2,83,-0.757995,-0.0942953,-5.22327,-1.89942,-0.0942953,1
1,1,83,-0.35431,-0.466908,-5.22327,-1.89942,-0.466908,0
1,19,82,-0.828891,-1.18776,-5.04662,-1.89873,-1.18776,0
1,17,82,-1.2705,-0.680901,-5.04662,-1.89873,-1.2705,1
1,15,82,-0.369412,-0.695462,-5.04662,-1.89873,-0.695462,0
1,13,82,-0.671677,-0.437612,-5.04662,-1.89873,-0.437612,1
1,9,82,-0.954461,-1.0207,-5.04662,-1.89873,-1.0207,0
1,7,82,-0.386562,-0.81983,-5.04662,-1.89873,-0.81983,0
1,4,82,-0.805908,-0.641047,-5.04662,-1.89873,-0.641047,1
1,2,82,-0.721605,-0.0824651,-5.04662,-1.89873,-0.0824651,1
1,1,82,-0.253247,-0.333992,-5.04662,-1.89873,-0.333992,0
1,19,81,-0.728912,-1.05923,-4.70389,-1.77463,-1.05923,0
1,17,81,-1.00962,-0.304382,-4.70389,-1.77463,-0.304382,1
1,15,81,-0.297341,-0.614137,-4.70389,-1.77463,-0.614137,0
1,13,81,-0.402818,-0.269655,-4.70389,-1.77463,-0.269655,1
1,7,81,-0.302002,-0.821376,-4.70389,-1.77463,-0.821376,0
1,4,81,-0.430191,-0.587148,-4.70389,-1.77463,-0.587148,0
1,2,81,-0.561267,-0.131364,-4.70389,-1.77463,-0.131364,1
1,1,81,-0.279218,-0.371209,-4.70389,-1.77463,-0.371209,0
1,19,80,-0.376701,-0.884536,-4.82344,-1.66435,-0.884536,0
1,17,80,-1.17432,-0.420133,-4.82344,-1.66435,-0.420133,1
1,15,80,-0.386557,-0.669066,-4.82344,-1.66435,-0.669066,0
1,13,80,-0.477347,-0.25492,-4.82344,-1.66435,-0.25492,1
1,7,80,-0.395861,-0.871517,-4.82344,-1.66435,-0.871517,0
1,4,80,-0.644759,-0.511532,-4.82344,-1.66435,-0.511532,1
1,2,80,-0.516662,-0.0649858,-4.82344,-1.66435,-0.0649858,1
1,1,80,-0.116606,-0.0452077,-4.82344,-1.66435,-0.0452077,1
1,19,79,-0.471768,-0.871947,-4.30456,-1.7295,-0.871947,0
1,17,79,-1.09361,-0.6069,-4.30456,-1.7295,-0.6069,1
1,15,79,-0.226195,-0.465425,-4.30456,-1.7295,-0.465425,0
1,13,79,-0.0714325,-0.220622,-4.30456,-1.7295,-0.220622,0
1,9,79,-0.710252,-0.882281,-4.30456,-1.7295,-0.882281,0
1,7,79,-0.152671,-0.716969,-4.30456,-1.7295,-0.716969,0
1,4,79,-0.616228,-0.513347,-4.30456,-1.7295,-0.513347,1
1,2,79,-0.43924,0.0104285,-4.30456,-1.7295,0.0104285,1
1,1,79,-0.187053,-0.0768965,-4.30456,-1.7295,-0.0768965,1
1,19,78,-0.58507,-1.08668,-4.65291,-1.66623,-1.08668,0
1,17,78,-0.828195,-0.147637,-4.65291,-1.66623,-0.147637,1
1,15,78,-0.219579,-0.631859,-4.65291,-1.66623,-0.631859,0
1,13,78,-0.360069,-0.0309545,-4.65291,-1.66623,-0.0309545,1
1,9,78,-0.488233,-0.730197,-4.65291,-1.66623,-0.730197,0
1,7,78,-0.216234,-0.735222,-4.65291,-1.66623,-0.735222,0
1,4,78,-0.501538,-0.428941,-4.65291,-1.66623,-0.428941,1
1,2,78,-0.386272,0.0777117,-4.65291,-1.66623,0.0777117,1
1,1,78,-0.110228,-0.102973,-4.65291,-1.66623,-0.102973,1
1,19,77,-0.417378,-0.731442,-4.67517,-1.58996,-0.731442,0
1,17,77,-0.931263,-0.192178,-4.67517,-1.58996,-0.192178,1
1,15,77,-0.205069,-0.675139,-4.67517,-1.58996,-0.675139,0
1,13,77,-0.209975,0.108495,-4.67517,-1.58996,0.108495,1
1,9,77,-0.260779,-0.511956,-4.67517,-1.58996,-0.511956,0
1,7,77,-0.351229,-0.636258,-4.67517,-1.58996,-0.636258,0
1,4,77,-0.796696,-0.547315,-4.67517,-1.58996,-0.547315,1
1,2,77,-0.381719,0.0683747,-4.67517,-1.58996,0.0683747,1
1,1,77,-0.0754918,-0.0190367,-4.67517,-1.58996,-0.0190367,1
1,19,76,-0.17889,-0.567277,-4.75214,-1.45125,-0.567277,0
1,17,76,-1.15128,-0.345776,-4.75214,-1.45125,-0.345776,1
1,15,76,0.0638176,-0.425516,-4.75214,-1.45125,-0.425516,0
1,13,76,-0.192224,-0.178964,-4.75214,-1.45125,-0.178964,1
1,9,76,-0.323649,-0.489333,-4.75214,-1.45125,-0.489333,0
1,7,76,-0.185944,-0.559325,-4.75214,-1.45125,-0.559325,0
1,4,76,-0.392061,-0.300353,-4.75214,-1.45125,-0.300353,1
1,2,76,-0.132755,0.498484,-4.75214,-1.45125,0.498484,1
1,1,76,-0.0810062,-0.0493439,-4.75214,-1.45125,-0.0493439,1
1,19,75,0.0233339,-0.563002,-4.90201,-1.41384,-0.563002,0
1,17,75,-0.809663,-0.157872,-4.90201,-1.41384,-0.157872,1
1,15,75,-0.169315,-0.429532,-4.90201,-1.41384,-0.429532,0
1,13,75,-0.294573,0.102792,-4.90201,-1.41384,0.102792,1
1,9,75,0.0193535,0.165953,-4.90201,-1.41384,0.165953,1
1,7,75,-0.0638375,-0.317992,-4.90201,-1.41384,-0.317992,0
1,4,75,-0.417865,-0.24581,-4.90201,-1.41384,-0.24581,1
1,2,75,-0.425619,0.195232,-4.90201,-1.41384,0.195232,1
1,1,75,0.123144,0.0734827,-4.90201,-1.41384,0.0734827,0
1,19,74,-0.0850859,-0.550676,-4.86797,-1.45906,-0.550676,0
1,17,74,-0.584765,-0.0198022,-4.86797,-1.45906,-0.584765,1
1,15,74,-0.254551,-0.462775,-4.86797,-1.45906,-0.462775,0
1,13,74,0.0976459,0.201743,-4.86797,-1.45906,0.201743,1
1,9,74,-0.319208,-0.163836,-4.86797,-1.45906,-0.163836,1
1,7,74,-0.00802845,-0.27667,-4.86797,-1.45906,-0.27667,0
1,4,74,-0.463042,-0.288562,-4.86797,-1.45906,-0.288562,1
1,2,74,-0.187676,0.350201,-4.86797,-1.45906,0.350201,1
1,1,74,-0.0380742,-0.0322141,-4.86797,-1.45906,-0.0322141,1
1,19,73,0.126059,-0.712518,-4.58061,-1.30758,-0.712518,0
1,17,73,-0.548571,0.177666,-4.58061,-1.30758,0.177666,1
1,15,73,0.0114514,-0.305783,-4.58061,-1.30758,-0.305783,0
1,13,73,-0.146393,0.255725,-4.58061,-1.30758,0.255725,1
1,9,73,0.178506,-0.0938095,-4.58061,-1.30758,-0.0938095,0
1,7,73,0.0446837,-0.144044,-4.58061,-1.30758,-0.144044,0
1,4,73,-0.244249,-0.00826603,-4.58061,-1.30758,-0.00826603,1
1,2,73,-0.271145,0.328508,-4.58061,-1.30758,0.328508,1
1,1,73,0.177066,0.092399,-4.58061,-1.30758,0.092399,0
1,19,72,0.155316,-0.740295,-4.69937,-1.21867,-0.740295,0
1,17,72,-0.574374,0.118879,-4.69937,-1.21867,0.118879,1
1,15,72,0.19839,0.0444371,-4.69937,-1.21867,0.0444371,0
1,13,72,-0.199518,0.309049,-4.69937,-1.21867,0.309049,1
1,9,72,-0.0992608,-0.228881,-4.69937,-1.21867,-0.228881,0
1,7,72,0.117483,-0.218474,-4.69937,-1.21867,-0.218474,0
1,4,72,0.25191,0.22623,-4.69937,-1.21867,0.22623,0
1,2,72,-0.342906,0.378696,-4.69937,-1.21867,0.378696,1
1,1,72,0.119156,0.0532789,-4.69937,-1.21867,0.0532789,0
1,19,71,0.160408,-0.526196,-4.4203,-1.13959,-0.526196,0
1,17,71,-0.692177,0.123312,-4.4203,-1.13959,-0.692177,1
1,15,71,0.172541,0.0236763,-4.4203,-1.13959,0.0236763,0
1,13,71,-0.0471286,0.500411,-4.4203,-1.13959,0.500411,1
1,7,71,0.297426,0.0428879,-4.4203,-1.13959,0.0428879,0
1,4,71,0.126225,0.223813,-4.4203,-1.13959,0.223813,1
1,2,71,0.0646518,0.580505,-4.4203,-1.13959,0.580505,1
1,1,71,0.164043,0.0976151,-4.4203,-1.13959,0.0976151,0
1,19,70,-0.47621,0.268364,-4.23657,-1.06699,0.268364,1
1,17,70,0.604618,0.171473,-4.23657,-1.06699,0.171473,0
1,15,70,0.402711,-0.0684531,-4.23657,-1.06699,-0.0684531,0
1,13,70,0.224769,1.52362,-4.23657,-1.06699,1.52362,1
1,7,70,0.447959,0.328881,-4.23657,-1.06699,0.328881,0
1,16,86,-1.45929,-1.01449,-5.61978,-2.01828,-1.01449,1
1,5,70,0.616007,0.34909,-4.23657,-1.06699,0.34909,0
1,4,70,0.166914,0.2731,-4.23657,-1.06699,0.2731,1
1,2,70,0.213835,-0.13125,-4.23657,-1.06699,-0.13125,0
1,1,70,0.544284,0.488582,-4.23657,-1.06699,0.488582,0
1,19,69,-0.316066,0.440216,-4.38821,-0.937499,0.440216,1
1,9,87,-0.896342,-0.904186,-5.60239,-2.09737,-0.904186,0
1,18,69,-0.174658,0.0950475,-4.38821,-0.937499,0.0950475,1
1,17,69,0.468234,0.206648,-4.38821,-0.937499,0.206648,0
1,15,69,0.42343,0.237958,-4.38821,-0.937499,0.237958,0
1,13,69,0.433374,1.53875,-4.38821,-0.937499,1.53875,1
1,9,69,0.242269,0.97199,-4.38821,-0.937499,0.97199,1
1,7,69,0.481166,-0.121551,-4.38821,-0.937499,-0.121551,0
1,16,81,-1.00005,-0.753798,-4.70389,-1.77463,-0.753798,1
1,5,69,0.734766,0.524747,-4.38821,-0.937499,0.524747,0
1,4,69,0.367112,0.261134,-4.38821,-0.937499,0.261134,0
1,2,69,0.204748,-0.0295345,-4.38821,-0.937499,-0.0295345,0
1,1,69,0.657707,0.589217,-4.38821,-0.937499,0.589217,0
1,19,68,-0.693342,0.198345,-4.27007,-1.01066,0.198345,1
1,17,68,0.561564,0.210834,-4.27007,-1.01066,0.210834,0
1,15,68,0.458451,0.291075,-4.27007,-1.01066,0.291075,0
1,13,68,0.414841,1.57948,-4.27007,-1.01066,1.57948,1
1,9,68,0.282122,0.997511,-4.27007,-1.01066,0.997511,1
1,7,68,0.581437,0.282214,-4.27007,-1.01066,0.282214,0
1,4,68,0.480905,0.462471,-4.27007,-1.01066,0.462471,0
1,2,68,0.285837,0.0619838,-4.27007,-1.01066,0.0619838,0
1,1,68,0.642648,0.71017,-4.27007,-1.01066,0.71017,1
1,19,67,-0.244837,0.555004,-4.33476,-0.933887,0.555004,1
1,9,81,-0.544311,-0.704178,-4.70389,-1.77463,-0.704178,0
1,18,67,-0.236176,0.0995276,-4.33476,-0.933887,0.0995276,1
1,17,67,0.69532,0.403225,-4.33476,-0.933887,0.403225,0
1,15,67,0.501322,0.185597,-4.33476,-0.933887,0.185597,0
1,13,67,0.408081,1.59155,-4.33476,-0.933887,1.59155,1
1,7,67,0.662718,0.184561,-4.33476,-0.933887,0.184561,0
1,4,67,0.565354,0.534625,-4.33476,-0.933887,0.534625,0
1,3,67,0.588206,0.382428,-4.33476,-0.933887,0.382428,0
1,2,67,0.533051,0.494467,-4.33476,-0.933887,0.494467,0
1,1,67,0.66976,0.702219,-4.33476,-0.933887,0.702219,1
1,19,66,-0.280577,0.559892,-4.06104,-0.806488,0.559892,1
1,9,86,-0.633651,-0.549998,-5.61978,-2.01828,-0.549998,1
1,18,66,0.145183,0.425891,-4.06104,-0.806488,0.425891,1
1,17,66,0.500139,0.25804,-4.06104,-0.806488,0.500139,0
1,15,66,0.543175,0.280914,-4.06104,-0.806488,0.280914,0
1,13,66,0.528104,1.74413,-4.06104,-0.806488,1.74413,1
1,7,66,0.741695,0.359715,-4.06104,-0.806488,0.359715,0
1,4,66,0.372439,0.375606,-4.06104,-0.806488,0.375606,1
1,2,66,0.424485,0.202438,-4.06104,-0.806488,0.202438,0
1,1,66,0.77091,0.819016,-4.06104,-0.806488,0.819016,1
