Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.54952,-1.29746,-3.41916,-3.35117,-1.29746,1
1,19,99,-1.54848,-0.681205,-3.41916,-3.35117,-0.681205,1
1,18,99,-0.845917,-0.995497,-3.41916,-3.35117,-0.995497,0
1,17,99,-0.842677,-0.866021,-3.41916,-3.35117,-0.866021,0
1,15,99,-0.97504,-0.585139,-3.41916,-3.35117,-0.585139,1
1,13,99,-0.976082,-0.166341,-3.41916,-3.35117,-0.166341,1
1,12,99,-1.30201,-1.12763,-3.41916,-3.35117,-1.30201,1
1,10,99,-0.843758,-0.985715,-3.41916,-3.35117,-0.985715,0
1,9,99,-0.640622,-1.67684,-3.41916,-3.35117,-1.67684,0
1,7,99,-0.480727,0.130388,-3.41916,-3.35117,0.130388,1
1,4,99,-0.218001,-0.0384098,-3.41916,-3.35117,-0.0384098,1
1,3,99,-1.65911,0.73438,-3.41916,-3.35117,0.73438,1
1,2,99,-0.40064,0.106376,-3.41916,-3.35117,0.106376,1
1,1,99,-0.689674,-0.141319,-3.41916,-3.35117,-0.141319,1
1,20,98,-0.972973,-1.27212,-3.41916,-3.12829,-1.27212,0
1,19,98,-1.48767,-0.730623,-3.41916,-3.12829,-0.730623,1
1,18,98,-0.955145,-1.12479,-3.41916,-3.12829,-1.12479,0
1,17,98,-0.55044,-0.737721,-3.41916,-3.12829,-0.737721,0
1,15,98,-0.864476,-0.826625,-3.41916,-3.12829,-0.826625,1
1,13,98,-1.02553,-0.182914,-3.41916,-3.12829,-1.02553,1
1,12,98,-0.976645,-0.354598,-3.41916,-3.12829,-0.354598,1
1,9,98,-0.525492,-1.60541,-3.41916,-3.12829,-1.60541,0
1,7,98,-0.131887,0.0750358,-3.41916,-3.12829,0.0750358,1
1,4,98,-0.242873,-0.0499403,-3.41916,-3.12829,-0.0499403,1
1,3,98,-0.704894,0.624067,-3.41916,-3.12829,0.624067,1
1,2,98,-0.379789,0.310766,-3.41916,-3.12829,0.310766,1
1,1,98,-0.446045,0.225874,-3.41916,-3.12829,0.225874,1
1,20,97,-1.3102,-1.21401,-3.41916,-2.81209,-1.3102,1
1,19,97,-1.54397,-0.891359,-3.41916,-2.81209,-0.891359,1
1,18,97,-0.859029,-1.13248,-3.41916,-2.81209,-1.13248,0
1,17,97,-0.784867,-0.50829,-3.41916,-2.81209,-0.50829,1
1,15,97,-0.566049,-0.479257,-3.41916,-2.81209,-0.479257,1
1,13,97,-0.898673,0.170062,-3.41916,-2.81209,0.170062,1
1,12,97,-1.0197,-0.240785,-3.41916,-2.81209,-0.240785,1
1,7,97,-0.100536,0.153375,-3.41916,-2.81209,0.153375,1
1,4,97,0.122704,0.243202,-3.41916,-2.81209,0.243202,1
1,3,97,-0.434354,0.942464,-3.41916,-2.81209,0.942464,1
1,2,97,-0.0502063,0.652476,-3.41916,-2.81209,0.652476,1
1,20,96,-1.08801,-1.02055,-3.41916,-2.99602,-1.02055,1
1,19,96,-1.36761,-0.715357,-3.41916,-2.99602,-0.715357,1
1,18,96,-0.671376,-0.837471,-3.41916,-2.99602,-0.837471,0
1,17,96,-0.681432,-0.732247,-3.41916,-2.99602,-0.732247,0
1,15,96,-0.39732,-0.125732,-3.41916,-2.99602,-0.125732,1
1,13,96,-0.739029,-0.0861979,-3.41916,-2.99602,-0.739029,1
1,12,96,-0.917161,-0.147961,-3.41916,-2.99602,-0.147961,1
1,9,96,-0.304667,-1.47963,-3.41916,-2.99602,-1.47963,0
1,7,96,-0.042111,0.269267,-3.41916,-2.99602,0.269267,1
1,4,96,0.333848,0.456709,-3.41916,-2.99602,0.456709,1
1,3,96,-0.309869,1.10109,-3.41916,-2.99602,1.10109,1
1,2,96,-0.137932,0.782218,-3.41916,-2.99602,0.782218,1
1,19,95,-1.18132,-0.326713,-3.41916,-2.85377,-0.326713,1
