Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.68799,-1.04855,-3.41916,-3.35117,-1.04855,1
1,19,99,-1.92232,-1.13925,-3.41916,-3.35117,-1.13925,1
1,18,99,-1.50127,-1.4412,-3.41916,-3.35117,-1.4412,1
1,17,99,-1.24082,-1.01377,-3.41916,-3.35117,-1.01377,1
1,15,99,-1.43665,-1.39215,-3.41916,-3.35117,-1.39215,1
1,13,99,-0.618265,-1.15354,-3.41916,-3.35117,-1.15354,0
1,12,99,-1.23928,-1.1416,-3.41916,-3.35117,-1.23928,1
1,10,99,-1.35106,-1.00013,-3.41916,-3.35117,-1.00013,1
1,9,99,-1.21126,-1.16148,-3.41916,-3.35117,-1.16148,1
1,7,99,-0.966104,-1.01189,-3.41916,-3.35117,-1.01189,0
1,4,99,-1.46349,-0.255317,-3.41916,-3.35117,-0.255317,1
1,3,99,-1.80613,-0.28441,-3.41916,-3.35117,-0.28441,1
1,2,99,-1.1606,-0.341037,-3.41916,-3.35117,-0.341037,1
1,1,99,-0.927919,-0.523369,-3.41916,-3.35117,-0.523369,1
1,20,98,-1.66365,-1.18371,-3.41916,-3.12829,-1.18371,1
1,19,98,-1.80973,-0.996861,-3.41916,-3.12829,-0.996861,1
1,18,98,-1.75118,-1.74258,-3.41916,-3.12829,-1.74258,1
1,17,98,-1.00483,-0.967087,-3.41916,-3.12829,-0.967087,1
1,15,98,-1.49026,-1.27305,-3.41916,-3.12829,-1.27305,1
1,13,98,-0.568986,-1.05491,-3.41916,-3.12829,-0.568986,0
1,12,98,-1.1143,-0.999582,-3.41916,-3.12829,-0.999582,1
1,9,98,-0.983477,-0.995488,-3.41916,-3.12829,-0.995488,0
1,7,98,-0.348405,-0.939972,-3.41916,-3.12829,-0.939972,0
1,4,98,-1.31098,-0.199401,-3.41916,-3.12829,-0.199401,1
1,3,98,-0.967435,-0.202716,-3.41916,-3.12829,-0.202716,1
1,2,98,-0.522932,-0.316148,-3.41916,-3.12829,-0.316148,1
1,1,98,-0.578064,-0.50138,-3.41916,-3.12829,-0.50138,1
1,20,97,-1.53316,-0.983925,-3.41916,-2.81209,-1.53316,1
1,19,97,-1.94043,-1.37602,-3.41916,-2.81209,-1.37602,1
1,18,97,-1.49412,-1.5911,-3.41916,-2.81209,-1.5911,0
1,17,97,-1.33691,-0.718701,-3.41916,-2.81209,-0.718701,1
1,15,97,-1.16392,-1.16438,-3.41916,-2.81209,-1.16438,0
1,13,97,-0.7445,-0.788567,-3.41916,-2.81209,-0.788567,0
1,12,97,-1.12087,-0.978445,-3.41916,-2.81209,-0.978445,1
1,7,97,-0.333873,-0.884584,-3.41916,-2.81209,-0.884584,0
1,4,97,-0.744103,-0.117372,-3.41916,-2.81209,-0.117372,1
1,3,97,-0.741048,-0.107062,-3.41916,-2.81209,-0.107062,1
1,2,97,-0.465613,-0.0162741,-3.41916,-2.81209,-0.0162741,1
1,20,96,-1.49882,-0.874775,-3.41916,-2.99602,-0.874775,1
1,19,96,-1.68253,-0.982169,-3.41916,-2.99602,-0.982169,1
1,18,96,-1.58621,-1.86103,-3.41916,-2.99602,-1.86103,0
1,17,96,-1.10471,-0.667203,-3.41916,-2.99602,-0.667203,1
1,15,96,-1.05206,-1.02061,-3.41916,-2.99602,-1.02061,1
1,13,96,-0.535859,-1.08602,-3.41916,-2.99602,-0.535859,0
1,12,96,-0.883766,-0.766568,-3.41916,-2.99602,-0.766568,1
1,9,96,-0.812678,-0.883323,-3.41916,-2.99602,-0.883323,0
1,7,96,-0.250374,-0.811241,-3.41916,-2.99602,-0.811241,0
1,4,96,-0.575485,-0.0333401,-3.41916,-2.99602,-0.0333401,1
1,3,96,-0.632459,-0.022211,-3.41916,-2.99602,-0.022211,1
1,2,96,-0.393818,0.186738,-3.41916,-2.99602,0.186738,1
1,19,95,-1.67464,-0.789337,-3.41916,-2.85377,-0.789337,1
1,17,95,-1.11386,-1.00738,-3.41916,-2.85377,-1.00738,1
1,15,95,-1.52526,-1.2039,-3.41916,-2.85377,-1.2039,1
1,13,95,-0.730672,-0.72981,-3.41916,-2.85377,-0.72981,1
1,7,95,-0.221586,-0.843834,-3.41916,-2.85377,-0.843834,0
1,4,95,-0.547527,-0.1483,-3.41916,-2.85377,-0.1483,1
1,2,95,-0.237517,0.112019,-3.41916,-2.85377,0.112019,1
1,1,95,-0.44773,-0.2314,-3.41916,-2.85377,-0.2314,1
1,19,94,-1.47124,-0.892281,-3.41916,-2.55553,-0.892281,1
1,17,94,-0.99124,-0.574817,-3.41916,-2.55553,-0.574817,1
1,15,94,-1.08794,-1.05471,-3.41916,-2.55553,-1.05471,1
1,13,94,-0.446872,-0.594653,-3.41916,-2.55553,-0.594653,0
1,7,94,-0.0333417,-0.612821,-3.41916,-2.55553,-0.612821,0
1,4,94,-0.452409,0.0865164,-3.41916,-2.55553,0.0865164,1
1,2,94,-0.28889,0.266298,-3.41916,-2.55553,0.266298,1
1,1,94,-0.150526,-0.0087011,-3.41916,-2.55553,-0.0087011,1
1,19,93,-1.67262,-0.818658,-3.41916,-2.51688,-0.818658,1
1,17,93,-0.865805,-0.523248,-3.41916,-2.51688,-0.523248,1
1,15,93,-1.24108,-1.28364,-3.41916,-2.51688,-1.28364,0
1,13,93,-0.701087,-0.88891,-3.41916,-2.51688,-0.88891,0
1,7,93,0.020548,-0.501893,-3.41916,-2.51688,-0.501893,0
1,4,93,-0.403711,0.245661,-3.41916,-2.51688,0.245661,1
1,2,93,-0.0588035,-0.129275,-3.41916,-2.51688,-0.129275,0
1,1,93,0.0773456,-0.337657,-3.41916,-2.51688,-0.337657,0
1,19,92,-1.81465,-0.764979,-6.43894,-2.39982,-0.764979,1
1,17,92,-0.822869,-0.467578,-6.43894,-2.39982,-0.467578,1
1,15,92,-1.08159,-0.829582,-6.43894,-2.39982,-0.829582,1
1,13,92,-0.501245,-0.685643,-6.43894,-2.39982,-0.685643,0
1,7,92,0.0236138,-0.548701,-6.43894,-2.39982,-0.548701,0
1,4,92,-0.568273,0.262261,-6.43894,-2.39982,0.262261,1
1,2,92,-0.213379,0.158863,-6.43894,-2.39982,0.158863,1
1,1,92,0.0485594,-0.0302656,-6.43894,-2.39982,-0.0302656,0
1,19,91,-1.62378,-0.478392,-6.29331,-2.45927,-0.478392,1
1,17,91,-0.862016,-0.508396,-6.29331,-2.45927,-0.508396,1
1,15,91,-0.861732,-0.707644,-6.29331,-2.45927,-0.861732,1
1,13,91,-0.807841,-0.833394,-6.29331,-2.45927,-0.833394,0
1,7,91,0.193925,-0.355624,-6.29331,-2.45927,-0.355624,0
1,4,91,-0.226765,0.293023,-6.29331,-2.45927,0.293023,1
1,2,91,0.0350951,0.199957,-6.29331,-2.45927,0.199957,1
1,1,91,0.0587783,0.0551066,-6.29331,-2.45927,0.0551066,0
1,19,90,-1.7313,-0.802951,-6.05291,-2.36134,-0.802951,1
1,17,90,-0.956874,-0.541138,-6.05291,-2.36134,-0.541138,1
1,15,90,-0.879728,-0.684934,-6.05291,-2.36134,-0.684934,1
1,13,90,-0.661125,-0.615289,-6.05291,-2.36134,-0.615289,1
1,7,90,-0.0857632,-0.638369,-6.05291,-2.36134,-0.638369,0
1,4,90,-0.0451684,0.387163,-6.05291,-2.36134,0.387163,1
1,2,90,-0.10018,0.351533,-6.05291,-2.36134,0.351533,1
1,1,90,-0.237043,0.261541,-6.05291,-2.36134,0.261541,1
1,19,89,-1.76453,-0.665324,-5.75042,-2.39784,-0.665324,1
1,17,89,-0.834013,-0.355183,-5.75042,-2.39784,-0.834013,1
1,15,89,-0.897128,-0.674208,-5.75042,-2.39784,-0.674208,1
1,13,89,-0.282396,-0.46762,-5.75042,-2.39784,-0.46762,0
1,7,89,0.22258,-0.265955,-5.75042,-2.39784,-0.265955,0
1,4,89,-0.0051333,0.369927,-5.75042,-2.39784,0.369927,1
1,2,89,0.185658,0.528068,-5.75042,-2.39784,0.528068,1
1,1,89,-0.0389802,0.40332,-5.75042,-2.39784,0.40332,1
1,19,88,-1.4901,-0.360708,-5.55605,-2.24038,-1.4901,1
1,17,88,-1.09399,-0.471262,-5.55605,-2.24038,-0.471262,1
1,15,88,-0.875432,-0.916055,-5.55605,-2.24038,-0.916055,0
1,13,88,-0.4142,-0.448633,-5.55605,-2.24038,-0.448633,0
1,7,88,0.208117,-0.0743014,-5.55605,-2.24038,-0.0743014,0
1,4,88,-0.28276,0.607079,-5.55605,-2.24038,0.607079,1
1,2,88,0.389219,0.64914,-5.55605,-2.24038,0.64914,1
1,1,88,0.20754,0.530508,-5.55605,-2.24038,0.530508,1
1,19,87,-1.3112,-0.299001,-5.60239,-2.09737,-0.299001,1
1,17,87,-0.952733,-0.52038,-5.60239,-2.09737,-0.52038,1
1,15,87,-0.770193,-0.698463,-5.60239,-2.09737,-0.698463,1
1,13,87,-0.343032,-0.517708,-5.60239,-2.09737,-0.517708,0
1,7,87,0.188763,-0.140838,-5.60239,-2.09737,-0.140838,0
1,4,87,0.195994,0.672512,-5.60239,-2.09737,0.672512,1
1,2,87,0.289589,0.637663,-5.60239,-2.09737,0.637663,1
1,1,87,0.194357,0.600936,-5.60239,-2.09737,0.600936,1
1,19,86,-1.20143,-0.161608,-5.61978,-2.01828,-0.161608,1
1,17,86,-0.608631,-0.301858,-5.61978,-2.01828,-0.608631,1
1,15,86,-1.0616,-0.829332,-5.61978,-2.01828,-0.829332,1
1,13,86,-0.693502,-0.776667,-5.61978,-2.01828,-0.693502,0
1,7,86,0.240518,-0.191355,-5.61978,-2.01828,-0.191355,0
1,4,86,-0.317994,0.568445,-5.61978,-2.01828,0.568445,1
1,2,86,0.475582,0.788483,-5.61978,-2.01828,0.788483,1
1,1,86,0.554693,0.387005,-5.61978,-2.01828,0.387005,0
1,19,85,-0.299335,-1.17166,-5.14185,-2.10808,-1.17166,0
1,17,85,-0.797014,-1.2166,-5.14185,-2.10808,-1.2166,0
1,15,85,-0.62188,-0.458482,-5.14185,-2.10808,-0.62188,1
1,13,85,-0.362416,-0.841264,-5.14185,-2.10808,-0.841264,0
1,7,85,-0.707453,-0.0274154,-5.14185,-2.10808,-0.0274154,1
1,4,85,-0.0318063,0.248766,-5.14185,-2.10808,0.248766,1
1,2,85,0.345256,0.61149,-5.14185,-2.10808,0.61149,1
1,1,85,0.380003,-0.0735331,-5.14185,-2.10808,-0.0735331,0
1,19,84,-0.446305,-1.31756,-5.35927,-2.00544,-1.31756,0
1,17,84,-0.682133,-1.1834,-5.35927,-2.00544,-1.1834,0
1,15,84,-0.287853,-0.24213,-5.35927,-2.00544,-0.24213,1
1,13,84,-0.777348,-1.02557,-5.35927,-2.00544,-1.02557,0
1,7,84,-0.592157,-0.00446474,-5.35927,-2.00544,-0.00446474,1
1,4,84,0.00718653,0.283969,-5.35927,-2.00544,0.283969,1
1,2,84,0.197739,0.683875,-5.35927,-2.00544,0.683875,1
1,1,84,0.73671,0.314802,-5.35927,-2.00544,0.314802,0
1,19,83,0.00916464,-0.744343,-5.22327,-1.89942,0.00916464,0
1,17,83,-0.668466,-1.11877,-5.22327,-1.89942,-1.11877,0
1,15,83,-0.263059,-0.177541,-5.22327,-1.89942,-0.177541,1
1,13,83,-0.693273,-1.01555,-5.22327,-1.89942,-1.01555,0
1,7,83,-0.554645,0.0519342,-5.22327,-1.89942,0.0519342,1
1,4,83,0.0239655,0.339278,-5.22327,-1.89942,0.339278,1
1,2,83,0.280147,0.801476,-5.22327,-1.89942,0.801476,1
1,1,83,0.558407,-0.0623809,-5.22327,-1.89942,-0.0623809,0
1,19,82,-0.413692,-0.967149,-5.04662,-1.89873,-0.967149,0
1,17,82,-0.925022,-1.34262,-5.04662,-1.89873,-0.925022,0
1,15,82,-0.104691,-0.0913202,-5.04662,-1.89873,-0.0913202,1
1,13,82,-0.301724,-0.820505,-5.04662,-1.89873,-0.820505,0
1,9,82,-0.153443,-0.102054,-5.04662,-1.89873,-0.102054,1
1,7,82,-0.525196,0.061988,-5.04662,-1.89873,0.061988,1
1,4,82,0.0447233,0.2055,-5.04662,-1.89873,0.2055,1
1,2,82,0.105455,0.560337,-5.04662,-1.89873,0.560337,1
1,1,82,0.725716,0.199811,-5.04662,-1.89873,0.199811,0
1,19,81,-0.130665,-0.741815,-4.70389,-1.77463,-0.741815,0
1,17,81,-0.320724,-0.557662,-4.70389,-1.77463,-0.557662,0
1,15,81,-0.00281081,0.0675623,-4.70389,-1.77463,0.0675623,1
1,13,81,-0.287373,-0.749342,-4.70389,-1.77463,-0.749342,0
1,7,81,-0.486157,-0.0438771,-4.70389,-1.77463,-0.0438771,1
