Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.79529,-0.681184,-3.41916,-3.35117,-0.681184,1
1,19,99,-2.13675,-1.07614,-3.41916,-3.35117,-1.07614,1
1,18,99,-1.61932,-1.43138,-3.41916,-3.35117,-1.43138,1
1,17,99,-1.2263,-2.0194,-3.41916,-3.35117,-2.0194,0
1,15,99,-1.26614,-2.3119,-3.41916,-3.35117,-2.3119,0
1,13,99,-1.03879,-1.5756,-3.41916,-3.35117,-1.5756,0
1,12,99,-1.58652,-1.62536,-3.41916,-3.35117,-1.58652,0
1,10,99,-1.14289,-1.50072,-3.41916,-3.35117,-1.50072,0
1,9,99,-1.5726,-0.382892,-3.41916,-3.35117,-0.382892,1
1,7,99,-1.14588,-1.62101,-3.41916,-3.35117,-1.62101,0
1,4,99,-1.38924,0.355087,-3.41916,-3.35117,0.355087,1
1,3,99,-1.54606,0.12883,-3.41916,-3.35117,0.12883,1
1,2,99,-1.11199,-0.438641,-3.41916,-3.35117,-0.438641,1
1,1,99,-0.924711,-0.775543,-3.41916,-3.35117,-0.775543,1
1,20,98,-1.6361,-0.754923,-3.41916,-3.12829,-0.754923,1
1,19,98,-2.04881,-1.08684,-3.41916,-3.12829,-1.08684,1
1,18,98,-1.49638,-1.42235,-3.41916,-3.12829,-1.42235,1
1,17,98,-0.879268,-1.75087,-3.41916,-3.12829,-1.75087,0
1,15,98,-1.26457,-2.04118,-3.41916,-3.12829,-2.04118,0
1,13,98,-1.05433,-1.60542,-3.41916,-3.12829,-1.05433,0
1,12,98,-1.16313,-0.993261,-3.41916,-3.12829,-0.993261,1
1,9,98,-1.35336,-0.492516,-3.41916,-3.12829,-0.492516,1
1,7,98,-1.05684,-1.50352,-3.41916,-3.12829,-1.50352,0
1,4,98,-1.20485,0.333514,-3.41916,-3.12829,0.333514,1
1,3,98,-1.30061,0.166171,-3.41916,-3.12829,0.166171,1
1,2,98,-0.846967,-0.212672,-3.41916,-3.12829,-0.212672,1
1,1,98,-0.820346,-0.575792,-3.41916,-3.12829,-0.575792,1
1,20,97,-1.55458,-0.721387,-3.41916,-2.81209,-1.55458,1
1,19,97,-2.18968,-1.21893,-3.41916,-2.81209,-1.21893,1
1,18,97,-1.42253,-1.4761,-3.41916,-2.81209,-1.4761,0
1,17,97,-0.864509,-1.46986,-3.41916,-2.81209,-1.46986,0
1,15,97,-1.04059,-2.17895,-3.41916,-2.81209,-2.17895,0
1,13,97,-0.95593,-1.62512,-3.41916,-2.81209,-1.62512,0
1,12,97,-1.02841,-1.01799,-3.41916,-2.81209,-1.01799,1
1,7,97,-0.954662,-1.34828,-3.41916,-2.81209,-1.34828,0
1,4,97,-0.821104,0.297969,-3.41916,-2.81209,0.297969,1
1,3,97,-1.05735,0.0978724,-3.41916,-2.81209,0.0978724,1
1,2,97,-0.706467,-0.460389,-3.41916,-2.81209,-0.460389,1
