Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.02779,-1.40604,-3.41916,-3.35117,-1.40604,1
1,19,99,-1.75865,-1.22375,-3.41916,-3.35117,-1.22375,1
1,18,99,-1.63574,-1.19483,-3.41916,-3.35117,-1.19483,1
1,17,99,-1.50576,-1.08423,-3.41916,-3.35117,-1.08423,1
1,15,99,-1.33791,-1.60571,-3.41916,-3.35117,-1.60571,0
1,13,99,-0.939618,-1.03909,-3.41916,-3.35117,-1.03909,0
1,12,99,-0.907204,-1.11212,-3.41916,-3.35117,-0.907204,0
1,10,99,-1.36794,-1.11076,-3.41916,-3.35117,-1.11076,1
1,9,99,-0.974608,-1.07117,-3.41916,-3.35117,-1.07117,0
1,7,99,-1.06125,-0.785401,-3.41916,-3.35117,-0.785401,1
1,4,99,-0.495857,0.0575631,-3.41916,-3.35117,0.0575631,1
1,3,99,-1.78752,0.0167357,-3.41916,-3.35117,0.0167357,1
1,2,99,-1.29607,-1.57276,-3.41916,-3.35117,-1.57276,0
1,1,99,-0.89432,-0.301418,-3.41916,-3.35117,-0.301418,1
1,20,98,-1.55913,-1.46083,-3.41916,-3.12829,-1.46083,1
1,19,98,-1.72498,-1.1774,-3.41916,-3.12829,-1.1774,1
1,18,98,-1.72676,-1.24194,-3.41916,-3.12829,-1.24194,1
1,17,98,-1.24346,-1.03109,-3.41916,-3.12829,-1.03109,1
1,15,98,-1.3527,-1.53757,-3.41916,-3.12829,-1.53757,0
1,13,98,-0.932049,-1.07989,-3.41916,-3.12829,-0.932049,0
1,12,98,-0.768849,-0.820092,-3.41916,-3.12829,-0.820092,0
1,9,98,-0.889044,-1.03826,-3.41916,-3.12829,-1.03826,0
1,7,98,-0.850571,-0.732015,-3.41916,-3.12829,-0.732015,1
1,4,98,-0.34723,0.0801445,-3.41916,-3.12829,0.0801445,1
1,3,98,-0.976232,0.0132302,-3.41916,-3.12829,0.0132302,1
1,2,98,-0.719457,-1.4178,-3.41916,-3.12829,-1.4178,0
1,1,98,-0.783895,-0.222375,-3.41916,-3.12829,-0.222375,1
1,20,97,-1.67586,-1.20684,-3.41916,-2.81209,-1.67586,1
1,19,97,-1.82635,-1.17836,-3.41916,-2.81209,-1.17836,1
1,18,97,-1.72518,-1.29846,-3.41916,-2.81209,-1.29846,1
1,17,97,-1.33715,-0.926916,-3.41916,-2.81209,-0.926916,1
1,15,97,-1.0674,-1.47234,-3.41916,-2.81209,-1.47234,0
1,13,97,-0.895426,-0.521051,-3.41916,-2.81209,-0.521051,1
1,12,97,-0.821449,-0.780159,-3.41916,-2.81209,-0.780159,1
1,7,97,-0.597488,-0.626766,-3.41916,-2.81209,-0.626766,0
1,4,97,-0.110889,0.239573,-3.41916,-2.81209,0.239573,1
1,3,97,-0.78787,0.217316,-3.41916,-2.81209,0.217316,1
1,2,97,-0.692273,-1.23855,-3.41916,-2.81209,-1.23855,0
1,20,96,-1.5498,-1.035,-3.41916,-2.99602,-1.035,1
1,19,96,-1.53009,-0.975687,-3.41916,-2.99602,-0.975687,1
1,18,96,-1.57729,-1.13614,-3.41916,-2.99602,-1.13614,1
1,17,96,-1.39299,-0.845807,-3.41916,-2.99602,-0.845807,1
1,15,96,-1.06844,-1.03284,-3.41916,-2.99602,-1.03284,1
1,13,96,-0.907946,-0.479524,-3.41916,-2.99602,-0.907946,1
1,12,96,-0.634773,-0.670683,-3.41916,-2.99602,-0.670683,0
1,9,96,-0.537626,-0.835051,-3.41916,-2.99602,-0.835051,0
1,7,96,-0.506924,-0.600509,-3.41916,-2.99602,-0.600509,0
1,4,96,0.0208119,0.404437,-3.41916,-2.99602,0.404437,1
1,3,96,-0.687092,0.368881,-3.41916,-2.99602,0.368881,1
1,2,96,-0.602981,-1.24403,-3.41916,-2.99602,-1.24403,0
1,19,95,-1.33858,-0.891571,-3.41916,-2.85377,-0.891571,1
1,17,95,-1.41119,-0.883703,-3.41916,-2.85377,-0.883703,1
1,15,95,-1.19962,-1.07434,-3.41916,-2.85377,-1.07434,1
1,13,95,-0.80621,-0.489539,-3.41916,-2.85377,-0.489539,1
1,7,95,-0.573565,-0.598716,-3.41916,-2.85377,-0.598716,0
1,4,95,0.0834867,0.50352,-3.41916,-2.85377,0.50352,1
1,2,95,-0.527165,-1.19228,-3.41916,-2.85377,-1.19228,0
1,1,95,-0.656946,0.0985752,-3.41916,-2.85377,0.0985752,1
1,19,94,-1.22252,-0.837329,-3.41916,-2.55553,-0.837329,1
1,17,94,-1.0609,-0.738631,-3.41916,-2.55553,-0.738631,1
1,15,94,-1.1895,-1.10763,-3.41916,-2.55553,-1.10763,1
1,13,94,-0.764306,-0.769174,-3.41916,-2.55553,-0.769174,0
1,7,94,-0.298224,-0.437437,-3.41916,-2.55553,-0.437437,0
1,4,94,0.167923,0.54814,-3.41916,-2.55553,0.54814,1
1,2,94,-0.404598,-1.09119,-3.41916,-2.55553,-1.09119,0
1,1,94,-0.523032,0.120497,-3.41916,-2.55553,0.120497,1
1,19,93,-1.34168,-0.746355,-3.41916,-2.51688,-0.746355,1
1,17,93,-0.856169,-0.372064,-3.41916,-2.51688,-0.372064,1
1,15,93,-0.986777,-1.55117,-3.41916,-2.51688,-1.55117,0
1,13,93,-0.745139,-0.879441,-3.41916,-2.51688,-0.879441,0
1,7,93,-0.245107,-0.361022,-3.41916,-2.51688,-0.361022,0
1,4,93,0.219318,0.597079,-3.41916,-2.51688,0.597079,1
1,2,93,-0.311583,-0.999355,-3.41916,-2.51688,-0.999355,0
1,1,93,-0.351613,0.122856,-3.41916,-2.51688,0.122856,1
1,19,92,-1.26024,-0.631812,-6.43894,-2.39982,-0.631812,1
1,17,92,-0.675907,-0.362303,-6.43894,-2.39982,-0.362303,1
1,15,92,-0.877719,-0.912589,-6.43894,-2.39982,-0.912589,0
1,13,92,-0.793947,-0.832961,-6.43894,-2.39982,-0.832961,0
1,7,92,-0.147118,-0.257647,-6.43894,-2.39982,-0.257647,0
1,4,92,-0.676578,0.706097,-6.43894,-2.39982,0.706097,1
1,2,92,-0.22962,-0.851563,-6.43894,-2.39982,-0.851563,0
1,1,92,-0.243836,0.186522,-6.43894,-2.39982,0.186522,1
1,19,91,-1.2584,-0.496961,-6.29331,-2.45927,-0.496961,1
1,17,91,-0.713824,-0.278076,-6.29331,-2.45927,-0.278076,1
1,15,91,-0.769122,-0.459117,-6.29331,-2.45927,-0.769122,1
1,13,91,-0.897469,-0.927596,-6.29331,-2.45927,-0.927596,0
1,7,91,-0.238962,-0.248518,-6.29331,-2.45927,-0.248518,0
1,4,91,0.353031,0.841841,-6.29331,-2.45927,0.841841,1
1,2,91,-0.152273,-0.356694,-6.29331,-2.45927,-0.356694,0
1,1,91,-0.252856,0.361688,-6.29331,-2.45927,0.361688,1
1,19,90,-1.35327,-0.708954,-6.05291,-2.36134,-0.708954,1
1,17,90,-0.675293,-0.180648,-6.05291,-2.36134,-0.180648,1
1,15,90,-0.750333,-0.279617,-6.05291,-2.36134,-0.279617,1
1,13,90,-0.516123,-0.705369,-6.05291,-2.36134,-0.705369,0
1,7,90,-0.165652,-0.278206,-6.05291,-2.36134,-0.278206,0
1,4,90,0.423815,0.892253,-6.05291,-2.36134,0.892253,1
1,2,90,-0.081496,-0.706318,-6.05291,-2.36134,-0.706318,0
1,1,90,-0.217507,0.478881,-6.05291,-2.36134,0.478881,1
1,19,89,-1.60568,-0.634887,-5.75042,-2.39784,-0.634887,1
1,17,89,-0.779945,-0.0927407,-5.75042,-2.39784,-0.779945,1
1,15,89,-0.770807,-0.40595,-5.75042,-2.39784,-0.40595,1
1,13,89,-0.362938,-0.529374,-5.75042,-2.39784,-0.529374,0
1,7,89,-0.172633,-0.121524,-5.75042,-2.39784,-0.121524,1
1,4,89,0.525316,0.862146,-5.75042,-2.39784,0.862146,1
1,2,89,0.0252105,-0.706239,-5.75042,-2.39784,-0.706239,0
1,1,89,-0.0696929,-0.0989472,-5.75042,-2.39784,-0.0989472,0
1,19,88,-1.1454,-0.342081,-5.55605,-2.24038,-1.1454,1
1,17,88,-0.963315,-0.101191,-5.55605,-2.24038,-0.101191,1
1,15,88,-0.590995,-0.367895,-5.55605,-2.24038,-0.367895,1
1,13,88,-0.391749,-0.471359,-5.55605,-2.24038,-0.471359,0
1,7,88,-1.01902,-0.317372,-5.55605,-2.24038,-0.317372,1
1,4,88,-0.289416,0.918489,-5.55605,-2.24038,0.918489,1
1,2,88,0.0697946,-0.595903,-5.55605,-2.24038,-0.595903,0
1,1,88,0.0401713,0.585498,-5.55605,-2.24038,0.585498,1
1,19,87,-1.01597,-0.214708,-5.60239,-2.09737,-0.214708,1
