Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.58274,-1.46839,-3.41916,-3.35117,-1.46839,1
1,19,99,-1.38608,-1.07655,-3.41916,-3.35117,-1.07655,1
1,18,99,-0.983413,-0.606286,-3.41916,-3.35117,-0.606286,1
1,17,99,-0.571158,-0.958058,-3.41916,-3.35117,-0.958058,0
1,15,99,-1.12026,-0.139806,-3.41916,-3.35117,-0.139806,1
1,13,99,-0.898438,-0.359198,-3.41916,-3.35117,-0.359198,1
1,12,99,-1.27474,-0.743681,-3.41916,-3.35117,-1.27474,1
1,10,99,-0.0711203,0.220181,-3.41916,-3.35117,0.220181,1
1,9,99,-0.0736044,-0.27302,-3.41916,-3.35117,-0.27302,0
1,7,99,-0.0903368,0.889729,-3.41916,-3.35117,0.889729,1
1,4,99,-0.923755,0.610003,-3.41916,-3.35117,0.610003,1
1,3,99,-1.33647,1.83561,-3.41916,-3.35117,1.83561,1
1,2,99,0.470538,0.561345,-3.41916,-3.35117,0.561345,1
1,1,99,0.369736,0.449944,-3.41916,-3.35117,0.449944,1
1,20,98,-1.39169,-1.654,-3.41916,-3.12829,-1.654,0
1,19,98,-1.41588,-1.13949,-3.41916,-3.12829,-1.13949,1
1,18,98,-0.921008,-0.575864,-3.41916,-3.12829,-0.575864,1
1,17,98,-0.12303,-0.745716,-3.41916,-3.12829,-0.745716,0
1,15,98,-1.05503,-0.149923,-3.41916,-3.12829,-0.149923,1
1,13,98,-0.846784,-0.353405,-3.41916,-3.12829,-0.846784,1
1,12,98,-1.24812,-0.355602,-3.41916,-3.12829,-0.355602,1
1,9,98,0.020856,-0.243342,-3.41916,-3.12829,-0.243342,0
1,7,98,0.373542,0.92528,-3.41916,-3.12829,0.92528,1
1,4,98,-0.627348,0.702222,-3.41916,-3.12829,0.702222,1
1,3,98,-0.343401,1.89844,-3.41916,-3.12829,1.89844,1
1,2,98,0.3688,0.603956,-3.41916,-3.12829,0.603956,1
1,1,98,0.397622,0.52135,-3.41916,-3.12829,0.52135,1
1,20,97,-1.41089,-1.37217,-3.41916,-2.81209,-1.41089,1
1,19,97,-1.46346,-1.12098,-3.41916,-2.81209,-1.12098,1
1,18,97,-0.987359,-0.634542,-3.41916,-2.81209,-0.634542,1
1,17,97,-0.0437643,-0.559241,-3.41916,-2.81209,-0.559241,0
1,15,97,-0.824418,-0.0546788,-3.41916,-2.81209,-0.0546788,1
1,13,97,-0.96653,0.14954,-3.41916,-2.81209,0.14954,1
1,12,97,-1.02992,-0.258278,-3.41916,-2.81209,-0.258278,1
1,7,97,0.44455,0.986137,-3.41916,-2.81209,0.986137,1
1,4,97,0.0116069,0.685433,-3.41916,-2.81209,0.685433,1
1,3,97,0.0382014,1.87226,-3.41916,-2.81209,1.87226,1
1,2,97,0.543999,0.674551,-3.41916,-2.81209,0.674551,1
1,20,96,-1.18676,-1.19509,-3.41916,-2.99602,-1.19509,0
1,19,96,-1.27986,-1.02077,-3.41916,-2.99602,-1.02077,1
1,18,96,-0.903325,-0.556527,-3.41916,-2.99602,-0.556527,1
1,17,96,-0.110633,-0.729016,-3.41916,-2.99602,-0.729016,0
1,15,96,-0.593697,0.363153,-3.41916,-2.99602,0.363153,1
1,13,96,-0.73288,0.180715,-3.41916,-2.99602,-0.73288,1
1,12,96,-0.935183,-0.187075,-3.41916,-2.99602,-0.187075,1
1,9,96,0.34775,-0.120167,-3.41916,-2.99602,-0.120167,0
1,7,96,0.54198,1.07997,-3.41916,-2.99602,1.07997,1
1,4,96,0.115746,0.808731,-3.41916,-2.99602,0.808731,1
1,3,96,0.181965,2.02084,-3.41916,-2.99602,2.02084,1
1,2,96,0.532377,0.695511,-3.41916,-2.99602,0.695511,1
1,19,95,-0.896241,-0.637362,-3.41916,-2.85377,-0.637362,1
1,17,95,-0.120484,-0.844516,-3.41916,-2.85377,-0.844516,0
1,15,95,-0.466789,0.396311,-3.41916,-2.85377,0.396311,1
1,13,95,-0.822731,0.418912,-3.41916,-2.85377,0.418912,1
1,7,95,0.230637,1.19573,-3.41916,-2.85377,1.19573,1
1,4,95,0.24658,0.865094,-3.41916,-2.85377,0.865094,1
1,2,95,0.661358,0.792142,-3.41916,-2.85377,0.792142,1
1,1,95,0.420714,0.856197,-3.41916,-2.85377,0.856197,1
1,19,94,-0.925703,-0.525459,-3.41916,-2.55553,-0.525459,1
1,17,94,-0.0940829,-0.646896,-3.41916,-2.55553,-0.646896,0
1,15,94,-0.491155,0.347259,-3.41916,-2.55553,0.347259,1
