Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.1683,-1.26594,-3.41916,-3.35117,-1.26594,1
1,19,99,-2.61647,-0.992965,-3.41916,-3.35117,-0.992965,1
1,18,99,-1.56348,-1.8391,-3.41916,-3.35117,-1.8391,0
1,17,99,-1.83178,-0.723895,-3.41916,-3.35117,-0.723895,1
1,15,99,-1.11263,-1.32027,-3.41916,-3.35117,-1.32027,0
1,13,99,-1.00703,-1.13376,-3.41916,-3.35117,-1.13376,0
1,12,99,-1.06414,-1.54557,-3.41916,-3.35117,-1.06414,0
1,10,99,-0.969361,-0.46179,-3.41916,-3.35117,-0.969361,1
1,9,99,-0.895295,-0.505081,-3.41916,-3.35117,-0.505081,1
1,7,99,-0.947359,-0.496325,-3.41916,-3.35117,-0.496325,1
1,4,99,-0.501945,-0.320664,-3.41916,-3.35117,-0.320664,1
1,3,99,-0.529145,-0.475345,-3.41916,-3.35117,-0.475345,1
1,2,99,-0.839003,-0.388486,-3.41916,-3.35117,-0.388486,1
1,1,99,-1.19639,-0.892791,-3.41916,-3.35117,-0.892791,1
1,20,98,-1.87888,-1.18574,-3.41916,-3.12829,-1.18574,1
1,19,98,-2.44481,-0.801397,-3.41916,-3.12829,-0.801397,1
1,18,98,-1.62521,-1.79374,-3.41916,-3.12829,-1.79374,0
1,17,98,-1.55001,-0.660112,-3.41916,-3.12829,-0.660112,1
1,15,98,-1.10109,-1.39688,-3.41916,-3.12829,-1.39688,0
1,13,98,-0.858656,-1.09293,-3.41916,-3.12829,-0.858656,0
1,12,98,-0.642812,-0.933164,-3.41916,-3.12829,-0.933164,0
1,9,98,-0.880386,-0.53328,-3.41916,-3.12829,-0.53328,1
1,7,98,-0.902494,-0.533573,-3.41916,-3.12829,-0.533573,1
1,4,98,-0.401296,-0.358443,-3.41916,-3.12829,-0.358443,1
1,3,98,-0.524081,-0.204624,-3.41916,-3.12829,-0.204624,1
1,2,98,-0.757658,-0.462853,-3.41916,-3.12829,-0.462853,1
1,1,98,-1.53134,-0.934914,-3.41916,-3.12829,-0.934914,1
1,20,97,-1.63539,-1.14503,-3.41916,-2.81209,-1.63539,1
1,19,97,-1.96157,-0.681205,-3.41916,-2.81209,-0.681205,1
1,18,97,-1.36941,-1.67051,-3.41916,-2.81209,-1.67051,0
1,17,97,-1.50974,-0.616834,-3.41916,-2.81209,-0.616834,1
1,15,97,-0.867298,-1.10944,-3.41916,-2.81209,-1.10944,0
1,13,97,-0.722942,-0.965111,-3.41916,-2.81209,-0.965111,0
1,12,97,-0.629968,-0.920628,-3.41916,-2.81209,-0.920628,0
1,7,97,-0.817142,-0.163313,-3.41916,-2.81209,-0.163313,1
1,4,97,-0.391639,-0.25921,-3.41916,-2.81209,-0.25921,1
1,3,97,-0.345748,-0.279315,-3.41916,-2.81209,-0.279315,1
1,2,97,-0.560707,-0.326567,-3.41916,-2.81209,-0.326567,1
1,20,96,-1.54509,-1.01675,-3.41916,-2.99602,-1.01675,1
1,19,96,-1.78407,-0.752247,-3.41916,-2.99602,-0.752247,1
1,18,96,-1.2452,-1.6464,-3.41916,-2.99602,-1.6464,0
1,17,96,-1.34234,-0.595003,-3.41916,-2.99602,-0.595003,1
