Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-0.824262,1.56016,-1000,-3.35117,1.56016,1
1,19,99,2.15838,2.57437,-1000,-3.35117,2.57437,1
1,18,99,4.66758,6.13019,-1000,-3.35117,6.13019,1
1,17,99,-3.41916,3.74596,-1000,-3.35117,3.74596,1
1,15,99,5.5756,1.97779,-1000,-3.35117,5.5756,0
1,13,99,5.06106,1.58885,-1000,-3.35117,5.06106,0
1,12,99,0.0577655,3.4753,-1000,-3.35117,3.4753,1
1,10,99,0.553704,2.81743,-1000,-3.35117,2.81743,1
1,9,99,4.40024,1.98666,-1000,-3.35117,4.40024,0
1,7,99,2.97916,2.76272,-1000,-3.35117,2.97916,0
1,4,99,3.77689,5.03595,-1000,-3.35117,5.03595,1
1,3,99,4.55484,4.50647,-1000,-3.35117,4.55484,0
1,2,99,0.713274,2.58569,-1000,-3.35117,2.58569,1
1,1,99,3.48136,3.48136,-1000,-3.35117,3.48136,0
2,20,99,1.92457,2.11197,-1000,-3.35117,2.11197,1
2,18,99,1.82436,6.13019,-1000,-3.35117,6.13019,1
2,17,99,1.12595,0.0745866,-1000,-3.35117,1.12595,0
2,16,99,3.37835,-3.41916,-1000,-3.35117,3.37835,0
2,15,99,1.97779,1.57503,-1000,-3.35117,1.97779,0
2,13,99,-0.179877,1.58885,-1000,-3.35117,1.58885,1
2,10,99,-0.432611,2.87419,-1000,-3.35117,2.87419,1
2,8,99,3.68814,3.75526,-1000,-3.35117,3.75526,1
2,7,99,2.4147,2.76272,-1000,-3.35117,2.76272,1
2,4,99,2.8087,5.03595,-1000,-3.35117,5.03595,1
2,3,99,-0.994541,4.55484,-1000,-3.35117,4.55484,1
2,2,99,0.132991,0.713274,-1000,-3.35117,0.713274,1
2,1,99,3.1127,3.48136,-1000,-3.35117,3.48136,1
3,20,99,-2.36134,-2.39982,-1000,-3.35117,-2.36134,0
3,16,99,1.85178,-3.87955,-1000,-3.35117,1.85178,0
3,15,99,-3.35117,-2.89025,-1000,-3.35117,-2.89025,1
3,13,99,-3.38516,6.13019,-1000,-3.35117,6.13019,1
3,11,99,-3.10247,-2.48807,-1000,-3.35117,-2.48807,1
3,10,99,-2.90522,-3.35117,-1000,-3.35117,-2.90522,0
3,9,99,-2.65652,1.73133,-1000,-3.35117,1.73133,1
3,8,99,-2.98734,0.713274,-1000,-3.35117,0.713274,1
3,5,99,-2.85377,1.1031,-1000,-3.35117,1.1031,1
3,4,99,-3.35117,0.581723,-1000,-3.35117,0.581723,1
3,2,99,-3.12829,-3.35117,-1000,-3.35117,-3.12829,0
3,1,99,3.27747,-3.35117,-1000,-3.35117,3.27747,0
4,17,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,16,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,15,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,14,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,13,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,12,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,9,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,8,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,7,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,5,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,3,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,1,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
1,20,98,-0.696123,1.8942,-1000,-3.12829,1.8942,1
1,19,98,2.21072,2.6508,-1000,-3.12829,2.6508,1
1,18,98,4.71341,6.40667,-1000,-3.12829,6.40667,1
1,17,98,-3.41916,3.67145,-1000,-3.12829,3.67145,1
1,15,98,5.47601,1.95266,-1000,-3.12829,5.47601,0
1,13,98,5.43606,1.68053,-1000,-3.12829,5.43606,0
1,12,98,2.11969,3.87447,-1000,-3.12829,3.87447,1
1,10,98,1.77258,3.1127,-1000,-3.12829,3.1127,1
1,9,98,4.23227,1.91123,-1000,-3.12829,4.23227,0
