Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,0.0694226,4.8573,-1000,-3.35117,4.8573,1
1,19,99,1.98531,4.07367,-1000,-3.35117,4.07367,1
1,18,99,2.47701,6.57096,-1000,-3.35117,6.57096,1
1,17,99,-3.41916,6.45545,-1000,-3.35117,6.45545,1
1,15,99,6.36821,2.78963,-1000,-3.35117,6.36821,0
1,13,99,6.39495,1.51046,-1000,-3.35117,6.39495,0
1,12,99,6.48064,1.69334,-1000,-3.35117,6.48064,0
1,10,99,6.37935,6.55655,-1000,-3.35117,6.55655,1
1,9,99,6.62233,6.50834,-1000,-3.35117,6.62233,0
1,7,99,6.54648,6.58882,-1000,-3.35117,6.58882,1
1,4,99,6.58445,6.31242,-1000,-3.35117,6.58445,0
1,3,99,6.48634,6.53739,-1000,-3.35117,6.53739,1
1,2,99,6.45959,6.45959,-1000,-3.35117,6.45959,0
1,1,99,6.46758,6.49985,-1000,-3.35117,6.49985,1
2,20,99,-2.19451,0.0694226,-1000,-3.35117,0.0694226,1
2,18,99,1.8821,2.06555,-1000,-3.35117,2.06555,1
2,17,99,-1.73374,2.11195,-1000,-3.35117,2.11195,1
2,16,99,1.9794,-2.71872,-1000,-3.35117,1.9794,0
2,15,99,-2.24766,-0.736006,-1000,-3.35117,-0.736006,1
2,13,99,-2.47557,1.38519,-1000,-3.35117,1.38519,1
2,10,99,2.56708,6.5768,-1000,-3.35117,6.5768,1
2,8,99,1.817,1.83916,-1000,-3.35117,1.83916,1
2,7,99,6.30008,6.5238,-1000,-3.35117,6.5238,1
2,4,99,6.42104,6.37851,-1000,-3.35117,6.42104,0
2,3,99,6.40899,6.53739,-1000,-3.35117,6.53739,1
2,2,99,6.45959,6.4108,-1000,-3.35117,6.45959,0
2,1,99,6.49985,6.41212,-1000,-3.35117,6.49985,0
3,20,99,-2.81209,-3.17359,-1000,-3.35117,-2.81209,0
3,16,99,-2.85377,1.82225,-1000,-3.35117,1.82225,1
3,15,99,-2.39796,-3.35117,-1000,-3.35117,-2.39796,0
3,13,99,-3.11562,-2.63568,-1000,-3.35117,-2.63568,1
3,11,99,-2.81209,-2.45927,-1000,-3.35117,-2.45927,1
3,10,99,-3.38516,-3.38516,-1000,-3.35117,-3.35117,3
3,9,99,-2.45927,-3.38516,-1000,-3.35117,-2.45927,0
3,8,99,-3.13646,-2.95335,-1000,-3.35117,-2.95335,1
3,5,99,-2.99103,-3.35117,-1000,-3.35117,-2.99103,0
3,4,99,1.81161,6.48804,-1000,-3.35117,6.48804,1
3,2,99,6.5165,1.59125,-1000,-3.35117,6.5165,0
3,1,99,6.44691,1.58749,-1000,-3.35117,6.44691,0
4,17,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,16,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,15,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,14,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,13,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,12,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,9,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,8,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,7,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,5,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,3,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
4,1,99,-6.43894,-6.43894,-1000,-3.35117,-3.35117,3
1,20,98,0.16164,4.85972,-1000,-3.12829,4.85972,1
1,19,98,2.18283,3.99901,-1000,-3.12829,3.99901,1
1,18,98,2.53888,6.27553,-1000,-3.12829,6.27553,1
1,17,98,-3.41916,6.37684,-1000,-3.12829,6.37684,1
1,15,98,6.25222,2.91629,-1000,-3.12829,6.25222,0
1,13,98,6.20125,1.65427,-1000,-3.12829,6.20125,0
1,12,98,6.37518,1.63573,-1000,-3.12829,6.37518,0
1,10,98,6.48321,6.24476,-1000,-3.12829,6.48321,0
1,9,98,6.44686,6.40889,-1000,-3.12829,6.44686,0
1,7,98,6.52347,6.56644,-1000,-3.12829,6.56644,1
1,4,98,6.45873,6.51167,-1000,-3.12829,6.51167,1
1,3,98,6.51643,6.51636,-1000,-3.12829,6.51643,0
1,2,98,6.48356,6.48356,-1000,-3.12829,6.48356,0
1,1,98,6.50621,6.49593,-1000,-3.12829,6.50621,0
