Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.315,-1.59789,-3.41916,-3.35117,-1.59789,1
1,19,99,-2.26208,-1.1287,-3.41916,-3.35117,-1.1287,1
1,18,99,-2.54919,-0.497134,-3.41916,-3.35117,-0.497134,1
1,17,99,-1.95777,-1.25599,-3.41916,-3.35117,-1.25599,1
1,15,99,-1.28179,-1.26872,-3.41916,-3.35117,-1.26872,1
1,13,99,-1.0867,-1.4062,-3.41916,-3.35117,-1.4062,0
1,12,99,-0.846415,-1.26124,-3.41916,-3.35117,-0.846415,0
1,10,99,-1.0372,-1.54847,-3.41916,-3.35117,-1.0372,0
1,9,99,-0.714598,-0.734472,-3.41916,-3.35117,-0.734472,0
1,7,99,-0.783005,-0.384813,-3.41916,-3.35117,-0.384813,1
1,4,99,-0.561801,-0.398016,-3.41916,-3.35117,-0.398016,1
1,3,99,-0.395979,-0.491786,-3.41916,-3.35117,-0.491786,0
1,2,99,-0.689655,-0.318132,-3.41916,-3.35117,-0.318132,1
1,1,99,-1.61771,-1.77657,-3.41916,-3.35117,-1.77657,0
1,20,98,-1.99169,-1.48878,-3.41916,-3.12829,-1.48878,1
1,19,98,-2.08243,-1.01254,-3.41916,-3.12829,-1.01254,1
1,18,98,-2.57718,-0.616948,-3.41916,-3.12829,-0.616948,1
1,17,98,-1.46612,-1.1088,-3.41916,-3.12829,-1.1088,1
1,15,98,-1.24112,-1.33122,-3.41916,-3.12829,-1.33122,0
1,13,98,-0.87911,-1.33675,-3.41916,-3.12829,-0.87911,0
1,12,98,-0.59171,-0.946467,-3.41916,-3.12829,-0.946467,0
1,9,98,-0.67709,-0.64574,-3.41916,-3.12829,-0.64574,1
1,7,98,-0.664864,-0.311321,-3.41916,-3.12829,-0.311321,1
1,4,98,-0.531021,-0.392959,-3.41916,-3.12829,-0.392959,1
1,3,98,-0.296249,-0.483136,-3.41916,-3.12829,-0.483136,0
1,2,98,-0.677885,-0.304493,-3.41916,-3.12829,-0.304493,1
1,1,98,-1.25719,-1.64341,-3.41916,-3.12829,-1.64341,0
1,20,97,-1.81118,-1.30162,-3.41916,-2.81209,-1.81118,1
1,19,97,-1.75911,-0.725366,-3.41916,-2.81209,-0.725366,1
1,18,97,-2.27322,-0.569873,-3.41916,-2.81209,-0.569873,1
1,17,97,-1.45901,-1.10051,-3.41916,-2.81209,-1.10051,1
1,15,97,-0.717063,-1.12152,-3.41916,-2.81209,-1.12152,0
1,13,97,-0.668119,-1.23199,-3.41916,-2.81209,-1.23199,0
1,12,97,-0.538033,-0.854435,-3.41916,-2.81209,-0.854435,0
1,7,97,-0.61371,-0.231877,-3.41916,-2.81209,-0.231877,1
1,4,97,-0.500888,-0.378489,-3.41916,-2.81209,-0.378489,1
1,3,97,-0.206038,-0.417476,-3.41916,-2.81209,-0.417476,0
1,2,97,-0.564234,0.0826801,-3.41916,-2.81209,0.0826801,1
1,20,96,-1.58644,-1.19941,-3.41916,-2.99602,-1.19941,1
1,19,96,-1.64953,-0.927217,-3.41916,-2.99602,-0.927217,1
1,18,96,-1.80082,-0.618557,-3.41916,-2.99602,-0.618557,1
1,17,96,-1.38747,-1.05887,-3.41916,-2.99602,-1.05887,1
1,15,96,-0.570746,-0.902398,-3.41916,-2.99602,-0.902398,0
1,13,96,-0.751809,-1.27944,-3.41916,-2.99602,-0.751809,0
