Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.46503,-2.10862,-3.41916,-3.35117,-2.10862,0
1,19,99,-1.54559,-2.14099,-3.41916,-3.35117,-2.14099,0
1,18,99,-1.19285,-1.39865,-3.41916,-3.35117,-1.39865,0
1,17,99,-0.363596,-0.777489,-3.41916,-3.35117,-0.777489,0
1,15,99,-0.631627,-1.23768,-3.41916,-3.35117,-1.23768,0
1,13,99,-1.10378,-1.11945,-3.41916,-3.35117,-1.11945,0
1,12,99,-1.6895,-0.728922,-3.41916,-3.35117,-1.6895,1
1,10,99,-1.18675,-1.77651,-3.41916,-3.35117,-1.18675,0
1,9,99,-1.28343,-1.47297,-3.41916,-3.35117,-1.47297,0
1,7,99,-0.811867,-1.00057,-3.41916,-3.35117,-1.00057,0
1,4,99,0.526154,-0.822249,-3.41916,-3.35117,-0.822249,0
1,3,99,-0.702511,-0.410678,-3.41916,-3.35117,-0.410678,1
1,2,99,-1.30133,0.0109375,-3.41916,-3.35117,0.0109375,1
1,1,99,-0.685425,-0.749491,-3.41916,-3.35117,-0.749491,0
1,20,98,-1.67161,-2.13277,-3.41916,-3.12829,-2.13277,0
1,19,98,-1.31177,-1.98891,-3.41916,-3.12829,-1.98891,0
1,18,98,-1.20941,-1.31979,-3.41916,-3.12829,-1.31979,0
1,17,98,-0.206013,-0.692321,-3.41916,-3.12829,-0.692321,0
1,15,98,-0.616142,-1.25624,-3.41916,-3.12829,-1.25624,0
1,13,98,-0.924321,-1.03826,-3.41916,-3.12829,-0.924321,0
1,12,98,-1.54364,-0.650148,-3.41916,-3.12829,-0.650148,1
1,9,98,-1.17988,-1.55768,-3.41916,-3.12829,-1.55768,0
1,7,98,-0.715997,-0.910771,-3.41916,-3.12829,-0.910771,0
1,4,98,0.592697,-0.829676,-3.41916,-3.12829,-0.829676,0
1,3,98,-0.637804,-0.417968,-3.41916,-3.12829,-0.417968,1
1,2,98,-1.41777,0.0487147,-3.41916,-3.12829,0.0487147,1
1,1,98,-0.621294,-0.671793,-3.41916,-3.12829,-0.671793,0
1,20,97,-1.4656,-2.02173,-3.41916,-2.81209,-1.4656,0
1,19,97,-1.43808,-2.14248,-3.41916,-2.81209,-2.14248,0
1,18,97,-1.03874,-1.11825,-3.41916,-2.81209,-1.11825,0
1,17,97,-0.280356,-0.595758,-3.41916,-2.81209,-0.595758,0
1,15,97,-0.517362,-1.1145,-3.41916,-2.81209,-1.1145,0
1,13,97,-0.390211,-0.834475,-3.41916,-2.81209,-0.834475,0
1,12,97,-1.08478,-0.422409,-3.41916,-2.81209,-0.422409,1
1,7,97,-0.466217,-0.85143,-3.41916,-2.81209,-0.85143,0
1,4,97,0.730408,-0.741657,-3.41916,-2.81209,-0.741657,0
1,3,97,-0.653261,-0.315956,-3.41916,-2.81209,-0.315956,1
1,2,97,-1.28483,0.0963668,-3.41916,-2.81209,0.0963668,1
1,20,96,-1.42331,-1.91135,-3.41916,-2.99602,-1.91135,0
1,19,96,-1.26198,-1.89587,-3.41916,-2.99602,-1.89587,0
1,18,96,-1.20339,-1.27672,-3.41916,-2.99602,-1.27672,0
1,17,96,-0.154823,-0.562362,-3.41916,-2.99602,-0.562362,0
1,15,96,-0.39871,-0.991089,-3.41916,-2.99602,-0.991089,0
1,13,96,-0.434059,-0.91148,-3.41916,-2.99602,-0.434059,0
1,12,96,-0.987649,-0.320658,-3.41916,-2.99602,-0.320658,1
1,9,96,-0.848605,-1.26295,-3.41916,-2.99602,-1.26295,0
1,7,96,-0.931682,-0.834402,-3.41916,-2.99602,-0.834402,1
1,4,96,0.744089,-0.639337,-3.41916,-2.99602,-0.639337,0
1,3,96,-0.612543,-0.187938,-3.41916,-2.99602,-0.187938,1
1,2,96,-1.22155,0.186093,-3.41916,-2.99602,0.186093,1
1,19,95,-1.28098,-1.89713,-3.41916,-2.85377,-1.89713,0
1,17,95,-0.245774,-0.535088,-3.41916,-2.85377,-0.535088,0
1,15,95,-0.40535,-0.969621,-3.41916,-2.85377,-0.969621,0
1,13,95,-0.272091,-0.717836,-3.41916,-2.85377,-0.717836,0
1,7,95,-0.421348,-0.610963,-3.41916,-2.85377,-0.610963,0
1,4,95,0.874659,-0.562674,-3.41916,-2.85377,-0.562674,0
1,2,95,-1.09854,0.147692,-3.41916,-2.85377,0.147692,1
1,1,95,-0.638317,-0.553374,-3.41916,-2.85377,-0.553374,1
1,19,94,-1.08433,-1.90999,-3.41916,-2.55553,-1.90999,0
1,17,94,-0.177267,-0.539272,-3.41916,-2.55553,-0.539272,0
1,15,94,-0.382851,-0.967246,-3.41916,-2.55553,-0.967246,0
1,13,94,-0.160594,-0.602381,-3.41916,-2.55553,-0.602381,0
1,7,94,-0.262473,-0.539108,-3.41916,-2.55553,-0.539108,0
1,4,94,0.971765,-0.406645,-3.41916,-2.55553,-0.406645,0
1,2,94,-0.958637,0.290762,-3.41916,-2.55553,0.290762,1
1,1,94,-0.520716,-0.445265,-3.41916,-2.55553,-0.445265,1
1,19,93,-0.97699,-1.64529,-3.41916,-2.51688,-1.64529,0
1,17,93,-0.0681635,-0.39159,-3.41916,-2.51688,-0.39159,0
1,15,93,-0.435601,-0.875627,-3.41916,-2.51688,-0.875627,0
1,13,93,-0.140925,-0.530429,-3.41916,-2.51688,-0.530429,0
1,7,93,-0.214201,-0.360417,-3.41916,-2.51688,-0.360417,0
1,4,93,0.940431,-0.431708,-3.41916,-2.51688,-0.431708,0
1,2,93,-0.852139,0.371884,-3.41916,-2.51688,0.371884,1
1,1,93,-0.411938,-0.338274,-3.41916,-2.51688,-0.338274,1
1,19,92,-0.998188,-1.67631,-6.43894,-2.39982,-1.67631,0
1,17,92,0.0972219,-0.154582,-6.43894,-2.39982,-0.154582,0
1,15,92,-0.371659,-0.725156,-6.43894,-2.39982,-0.725156,0
1,13,92,-0.167035,-0.504843,-6.43894,-2.39982,-0.504843,0
1,7,92,-0.169512,-0.326912,-6.43894,-2.39982,-0.326912,0
1,4,92,1.06794,-0.214448,-6.43894,-2.39982,-0.214448,0
1,2,92,-0.771049,0.356175,-6.43894,-2.39982,0.356175,1
1,1,92,-0.358821,-0.27396,-6.43894,-2.39982,-0.27396,1
1,19,91,-0.773768,-1.48326,-6.29331,-2.45927,-1.48326,0
1,17,91,0.177872,-0.0693921,-6.29331,-2.45927,-0.0693921,0
1,15,91,-0.335117,-0.732546,-6.29331,-2.45927,-0.335117,0
1,13,91,-0.215933,-0.493198,-6.29331,-2.45927,-0.493198,0
1,7,91,-0.0611769,-0.152953,-6.29331,-2.45927,-0.152953,0
1,4,91,1.12183,-0.146639,-6.29331,-2.45927,-0.146639,0
1,2,91,-0.990618,-0.526502,-6.29331,-2.45927,-0.526502,1
1,1,91,-0.151394,-0.162023,-6.29331,-2.45927,-0.162023,0
1,19,90,-0.8903,-1.49283,-6.05291,-2.36134,-1.49283,0
1,17,90,0.0874406,-0.0793077,-6.05291,-2.36134,-0.0793077,0
1,15,90,-0.176279,-0.578508,-6.05291,-2.36134,-0.578508,0
1,13,90,-0.163227,-0.380474,-6.05291,-2.36134,-0.380474,0
1,7,90,-0.187152,-0.189622,-6.05291,-2.36134,-0.189622,0
1,4,90,1.20171,-0.116387,-6.05291,-2.36134,-0.116387,0
1,2,90,-0.672696,0.386559,-6.05291,-2.36134,0.386559,1
1,1,90,-0.171684,-1.03192,-6.05291,-2.36134,-1.03192,0
1,19,89,-1.01795,-1.72292,-5.75042,-2.39784,-1.72292,0
1,17,89,0.312489,0.0547899,-5.75042,-2.39784,0.312489,0
1,15,89,-0.0878271,-0.476284,-5.75042,-2.39784,-0.476284,0
1,13,89,-0.266766,-0.361825,-5.75042,-2.39784,-0.361825,0
1,7,89,-0.0608109,-0.0445399,-5.75042,-2.39784,-0.0445399,1
1,4,89,1.26028,-0.0100164,-5.75042,-2.39784,-0.0100164,0
1,2,89,-0.56023,0.581772,-5.75042,-2.39784,0.581772,1
1,1,89,-0.116162,-0.32152,-5.75042,-2.39784,-0.32152,0
1,19,88,-0.666166,-1.28583,-5.55605,-2.24038,-0.666166,0
1,17,88,0.157227,0.0543572,-5.55605,-2.24038,0.0543572,0
1,15,88,-0.115239,-0.462209,-5.55605,-2.24038,-0.462209,0
1,13,88,-0.0393155,-0.215121,-5.55605,-2.24038,-0.215121,0
1,7,88,0.0540297,0.054609,-5.55605,-2.24038,0.054609,1
1,4,88,1.30602,0.0300633,-5.55605,-2.24038,0.0300633,0
1,2,88,-0.402951,0.592008,-5.55605,-2.24038,0.592008,1
1,1,88,0.0369507,0.0876237,-5.55605,-2.24038,0.0876237,1
1,19,87,-0.415417,-1.33167,-5.60239,-2.09737,-1.33167,0
1,17,87,-0.0589117,-0.117361,-5.60239,-2.09737,-0.117361,0
1,15,87,0.0683073,-0.330484,-5.60239,-2.09737,-0.330484,0
1,13,87,0.0995405,-0.113202,-5.60239,-2.09737,-0.113202,0
1,7,87,0.0979142,0.060203,-5.60239,-2.09737,0.060203,0
1,4,87,1.32761,0.119172,-5.60239,-2.09737,0.119172,0
1,2,87,-0.332533,0.579536,-5.60239,-2.09737,0.579536,1
1,1,87,0.0610607,0.0844,-5.60239,-2.09737,0.0844,1
1,19,86,-0.316355,-1.13073,-5.61978,-2.01828,-1.13073,0
1,17,86,0.239538,0.223166,-5.61978,-2.01828,0.239538,0
1,15,86,0.0345339,-0.315596,-5.61978,-2.01828,0.0345339,0
1,13,86,0.120377,-0.0891095,-5.61978,-2.01828,0.120377,0
1,7,86,0.0430942,0.0323573,-5.61978,-2.01828,0.0323573,0
1,4,86,1.35096,0.156379,-5.61978,-2.01828,0.156379,0
1,2,86,-0.213003,0.719039,-5.61978,-2.01828,0.719039,1
1,1,86,0.158351,0.194793,-5.61978,-2.01828,0.194793,1
1,19,85,-0.768365,-0.393894,-5.14185,-2.10808,-0.393894,1
1,17,85,-0.880359,-0.234209,-5.14185,-2.10808,-0.234209,1
1,15,85,-0.643236,-0.758509,-5.14185,-2.10808,-0.758509,0
1,13,85,-0.275632,-0.395675,-5.14185,-2.10808,-0.395675,0
1,7,85,0.454287,0.133612,-5.14185,-2.10808,0.133612,0
1,4,85,0.111928,-0.377713,-5.14185,-2.10808,-0.377713,0
1,2,85,0.489867,-0.101797,-5.14185,-2.10808,-0.101797,0
1,1,85,0.261004,0.496968,-5.14185,-2.10808,0.496968,1
1,19,84,-0.749703,-0.276613,-5.35927,-2.00544,-0.276613,1
