down,distance,yardline,run,pass,kick,punt,num_plays
1,1,1,0.5,0.5,0,0,2
2,1,1,1,0,0,0,2
3,1,1,1,0,0,0,1
4,1,1,0.5412,0.3608,0.0979,0,194
1,1,2,0.5,0.5,0,0,0
2,1,2,0.8276,0.1724,0,0,29
3,1,2,0.7059,0.2941,0,0,34
4,1,2,1,0,0,0,1
1,2,2,0.6667,0.3333,0,0,3
2,2,2,1,0,0,0,2
3,2,2,0.5,0.5,0,0,2
4,2,2,0.097,0.403,0.5,0,134
1,1,3,0.5,0.5,0,0,0
2,1,3,0.8,0.2,0,0,10
3,1,3,0.72,0.28,0,0,25
4,1,3,0.5,0.3889,0.1111,0,18
1,2,3,0.5,0.5,0,0,0
2,2,3,0.8571,0.1429,0,0,14
3,2,3,1,0,0,0,1
4,2,3,0.0667,0.4667,0.4667,0,15
1,3,3,1,0,0,0,2
2,3,3,0.4481,0.5519,0,0,424
3,3,3,0.1377,0.8623,0,0,247
4,3,3,0.0157,0.252,0.7323,0,127
1,1,4,0.5,0.5,0,0,0
2,1,4,0.7059,0.2941,0,0,17
3,1,4,0.75,0.25,0,0,32
4,1,4,0.6818,0.1364,0.1818,0,22
1,2,4,0.5,0.5,0,0,0
2,2,4,0.75,0.25,0,0,16
3,2,4,0.5625,0.4375,0,0,16
4,2,4,0.1176,0.4118,0.4706,0,17
1,3,4,0.5,0.5,0,0,0
2,3,4,0.7143,0.2857,0,0,28
3,3,4,0.2857,0.7143,0,0,21
4,3,4,0,0.3125,0.6875,0,16
1,4,4,0,1,0,0,1
2,4,4,0.3333,0.6667,0,0,3
3,4,4,0.0959,0.9041,0,0,219
4,4,4,0.0092,0.1835,0.8073,0,109
1,1,5,0.5,0.5,0,0,0
2,1,5,0.5625,0.4375,0,0,16
3,1,5,0.8529,0.1471,0,0,34
4,1,5,0.4865,0.2973,0.2162,0,37
1,2,5,0.5,0.5,0,0,0
2,2,5,0.7273,0.2727,0,0,11
3,2,5,1,0,0,0,1
4,2,5,0.2,0.2,0.6,0,10
1,3,5,0.5,0.5,0,0,0
2,3,5,0.7273,0.2727,0,0,22
3,3,5,0.44,0.56,0,0,25
4,3,5,0,0,1,0,5
1,4,5,1,0,0,0,1
2,4,5,1,0,0,0,1
3,4,5,0.0541,0.9459,0,0,37
4,4,5,0,0.0455,0.9545,0,22
1,5,5,1,0,0,0,3
2,5,5,0.3333,0.6667,0,0,3
3,5,5,0,1,0,0,1
4,5,5,0,0,1,0,1
1,1,6,0.5,0.5,0,0,0
2,1,6,0.7895,0.2105,0,0,19
3,1,6,1,0,0,0,1
4,1,6,0.75,0.0625,0.1875,0,16
1,2,6,0.5,0.5,0,0,0
2,2,6,0.7083,0.2917,0,0,24
3,2,6,0.3846,0.6154,0,0,26
4,2,6,0.25,0.125,0.625,0,16
1,3,6,0.5,0.5,0,0,0
2,3,6,0.8333,0.1667,0,0,18
3,3,6,0.2812,0.7188,0,0,32
4,3,6,0,0.4167,0.5833,0,12
1,4,6,0.5,0.5,0,0,0
2,4,6,0.619,0.381,0,0,21
3,4,6,0.2,0.8,0,0,25
4,4,6,0.0833,0.1667,0.75,0,12
1,5,6,0.75,0.25,0,0,4
2,5,6,0.5714,0.4286,0,0,28
3,5,6,0.05,0.95,0,0,20
4,5,6,0,0,1,0,16
1,6,6,1,0,0,0,2
2,6,6,0.2818,0.7182,0,0,291
3,6,6,0,1,0,0,1
4,6,6,0,1,0,0,1
1,1,7,0.5,0.5,0,0,0
2,1,7,0.6923,0.3077,0,0,13
3,1,7,0.8571,0.1429,0,0,28
4,1,7,1,0,0,0,1
1,2,7,0.5,0.5,0,0,0
2,2,7,0.8333,0.1667,0,0,18
3,2,7,0.5333,0.4667,0,0,30
4,2,7,1,0,0,0,1
1,3,7,0.5,0.5,0,0,0
2,3,7,0.5833,0.4167,0,0,24
3,3,7,0.2174,0.7826,0,0,23
4,3,7,0,0.0714,0.9286,0,14
1,4,7,0.5,0.5,0,0,0
2,4,7,0.697,0.303,0,0,33
3,4,7,0.1818,0.8182,0,0,33
4,4,7,0,0.0833,0.9167,0,12
1,5,7,1,0,0,0,1
2,5,7,0.5862,0.4138,0,0,29
3,5,7,0.1429,0.8571,0,0,21
4,5,7,0,0.0833,0.9167,0,12
1,6,7,0.5,0.5,0,0,0
2,6,7,0.2333,0.7667,0,0,30
3,6,7,0,1,0,0,21
4,6,7,0,0,1,0,13
1,7,7,1,0,0,0,3
2,7,7,0,1,0,0,1
3,7,7,0.0603,0.9397,0,0,116
4,7,7,0,0,1,0,1
1,1,8,0.5,0.5,0,0,0
2,1,8,0.8571,0.1429,0,0,21
3,1,8,0.7895,0.2105,0,0,19
4,1,8,0.6429,0.1429,0.2143,0,14
1,2,8,0.5,0.5,0,0,0
2,2,8,0.6875,0.3125,0,0,16
3,2,8,0.5,0.5,0,0,2
4,2,8,0.1111,0.2778,0.6111,0,18
1,3,8,0.5,0.5,0,0,0
2,3,8,0.5789,0.4211,0,0,19
3,3,8,0.2571,0.7429,0,0,35
4,3,8,0,0.2308,0.7692,0,13
1,4,8,0.5,0.5,0,0,0
2,4,8,0.68,0.32,0,0,25
3,4,8,0.1905,0.8095,0,0,21
4,4,8,0,0,1,0,1
1,5,8,0.5,0.5,0,0,2
2,5,8,1,0,0,0,1
3,5,8,0,1,0,0,21
4,5,8,0.0417,0.0833,0.875,0,24
1,6,8,0.5,0.5,0,0,0
2,6,8,0.5789,0.4211,0,0,38
3,6,8,0.1176,0.8824,0,0,17
4,6,8,0,0,1,0,7
1,7,8,0.5,0.5,0,0,0
2,7,8,0.3636,0.6364,0,0,55
3,7,8,0.0488,0.9512,0,0,41
4,7,8,0,0.087,0.913,0,23
1,8,8,0.5,0.5,0,0,2
2,8,8,0,1,0,0,1
3,8,8,0.027,0.973,0,0,111
4,8,8,0,0.0161,0.9839,0,62
1,1,9,0.5,0.5,0,0,0
2,1,9,0.7,0.3,0,0,30
3,1,9,0.697,0.303,0,0,33
4,1,9,0.7333,0.0667,0.2,0,15
1,2,9,0.5,0.5,0,0,0
2,2,9,0.7692,0.2308,0,0,13
3,2,9,0.2778,0.7222,0,0,18
4,2,9,0.1818,0.2727,0.5455,0,11
1,3,9,0.5,0.5,0,0,0
2,3,9,0.7059,0.2941,0,0,17
3,3,9,1,0,0,0,1
4,3,9,0,0.1875,0.8125,0,16
1,4,9,0.5,0.5,0,0,0
2,4,9,0.8,0.2,0,0,40
3,4,9,0,1,0,0,18
4,4,9,0,0.2105,0.7895,0,19
1,5,9,0.2,0.8,0,0,5
2,5,9,0.5556,0.4444,0,0,36
3,5,9,0.0714,0.9286,0,0,28
4,5,9,0,0,1,0,1
1,6,9,0.5,0.5,0,0,0
2,6,9,0.3158,0.6842,0,0,38
3,6,9,0.0357,0.9643,0,0,28
4,6,9,0,0,1,0,17
1,7,9,0.5,0.5,0,0,0
2,7,9,0.4054,0.5946,0,0,37
3,7,9,0,1,0,0,20
4,7,9,0,0,1,0,13
1,8,9,0.5,0.5,0,0,0
2,8,9,0.3256,0.6744,0,0,43
3,8,9,0.0476,0.9524,0,0,21
4,8,9,0,0,1,0,12
1,9,9,0.5,0.5,0,0,4
2,9,9,0,1,0,0,3
3,9,9,0.061,0.939,0,0,82
4,9,9,0,0.0417,0.9583,0,48
1,1,10,0.5,0.5,0,0,0
2,1,10,0.7778,0.2222,0,0,27
3,1,10,0.75,0.25,0,0,32
4,1,10,0.5714,0.1429,0.2857,0,14
1,2,10,0.5,0.5,0,0,0
2,2,10,0.6667,0.3333,0,0,21
3,2,10,0.4545,0.5455,0,0,33
4,2,10,0,0.2857,0.7143,0,7
1,3,10,0.5,0.5,0,0,0
2,3,10,0.7895,0.2105,0,0,19
3,3,10,0.15,0.85,0,0,20
4,3,10,0,0,1,0,1
1,4,10,0.5,0.5,0,0,0
2,4,10,0.6429,0.3571,0,0,28
3,4,10,0.1739,0.8261,0,0,23
4,4,10,0,0.0714,0.9286,0,14
1,5,10,0.5,0.5,0,0,2
2,5,10,1,0,0,0,1
3,5,10,0.129,0.871,0,0,31
4,5,10,0,0,1,0,1
1,6,10,0.5,0.5,0,0,0
2,6,10,0.5946,0.4054,0,0,37
3,6,10,0.12,0.88,0,0,25
4,6,10,0,0,1,0,11
1,7,10,0.5,0.5,0,0,0
2,7,10,0.2923,0.7077,0,0,65
3,7,10,0.0714,0.9286,0,0,28
4,7,10,0,0.1333,0.8667,0,15
1,8,10,0.5,0.5,0,0,0
2,8,10,0,1,0,0,1
3,8,10,0.0909,0.9091,0,0,33
4,8,10,0,0,1,0,14
1,9,10,0.5,0.5,0,0,0
2,9,10,0,1,0,0,2
3,9,10,0,1,0,0,2
4,9,10,0,0,1,0,2
1,10,10,0.5604,0.4396,0,0,455
2,10,10,0.3007,0.6993,0,0,153
3,10,10,0.0147,0.9853,0,0,68
4,10,10,0,0,1,0,42
1,1,11,0.5,0.5,0,0,0
2,1,11,0.7667,0.2333,0,0,30
3,1,11,0.6944,0.3056,0,0,36
4,1,11,0.619,0.1429,0.2381,0,21
1,2,11,0.5,0.5,0,0,0
2,2,11,0.8261,0.1739,0,0,23
3,2,11,0.4211,0.5789,0,0,19
4,2,11,0.0909,0.3636,0.5455,0,11
1,3,11,0.5,0.5,0,0,0
2,3,11,0.6667,0.3333,0,0,18
3,3,11,0.125,0.875,0,0,24
4,3,11,0,0.2,0.8,0,15
1,4,11,0.5,0.5,0,0,0
2,4,11,0.5769,0.4231,0,0,26
3,4,11,1,0,0,0,1
4,4,11,0,0,1,0,12
1,5,11,0.8333,0.1667,0,0,6
2,5,11,0.5833,0.4167,0,0,36
3,5,11,0.0769,0.9231,0,0,26
4,5,11,0,0,1,0,1
1,6,11,0.5,0.5,0,0,0
2,6,11,1,0,0,0,1
3,6,11,0.0526,0.9474,0,0,19
4,6,11,0,0.125,0.875,0,8
1,7,11,0.5,0.5,0,0,0
2,7,11,0,1,0,0,2
3,7,11,0,1,0,0,2
4,7,11,0,0,1,0,1
1,8,11,0.5,0.5,0,0,0
2,8,11,0.2,0.8,0,0,30
3,8,11,0.05,0.95,0,0,20
4,8,11,0,0.0588,0.9412,0,17
1,9,11,0.5,0.5,0,0,0
2,9,11,0.2041,0.7959,0,0,49
3,9,11,0.05,0.95,0,0,20
4,9,11,0,0.0667,0.9333,0,15
1,10,11,1,0,0,0,3
2,10,11,0.3148,0.6852,0,0,108
3,10,11,0.0294,0.9706,0,0,34
4,10,11,0,0,1,0,21
1,11,11,0.3333,0.6667,0,0,18
2,11,11,0.2414,0.7586,0,0,58
3,11,11,0.0417,0.9583,0,0,48
4,11,11,0,0.0513,0.9487,0,39
1,1,12,0.5,0.5,0,0,0
2,1,12,1,0,0,0,18
3,1,12,0.875,0.125,0,0,40
4,1,12,0.5263,0.2632,0.2105,0,19
1,2,12,0.5,0.5,0,0,0
2,2,12,0.7083,0.2917,0,0,24
3,2,12,0.2632,0.7368,0,0,19
4,2,12,0.1,0.2,0.7,0,10
1,3,12,0.5,0.5,0,0,0
2,3,12,0.7273,0.2727,0,0,22
3,3,12,0.2308,0.7692,0,0,26
4,3,12,0,0.2143,0.7857,0,14
1,4,12,0.5,0.5,0,0,0
2,4,12,0.6129,0.3871,0,0,31
3,4,12,0.2174,0.7826,0,0,23
4,4,12,0,0.1818,0.8182,0,11
1,5,12,0.4,0.6,0,0,5
2,5,12,0.413,0.587,0,0,46
3,5,12,0.1667,0.8333,0,0,18
4,5,12,0,0,1,0,9
1,6,12,0.5,0.5,0,0,0
2,6,12,0.3684,0.6316,0,0,38
3,6,12,0.0323,0.9677,0,0,31
4,6,12,0,0,1,0,16
1,7,12,0.5,0.5,0,0,0
2,7,12,0.4706,0.5294,0,0,34
3,7,12,0.0455,0.9545,0,0,22
4,7,12,0,0.0714,0.9286,0,14
1,8,12,0.5,0.5,0,0,0
2,8,12,0,1,0,0,1
3,8,12,0,1,0,0,2
4,8,12,0,0,1,0,13
1,9,12,0.5,0.5,0,0,0
2,9,12,0.3214,0.6786,0,0,28
3,9,12,0,1,0,0,22
4,9,12,0,0,1,0,15
1,10,12,0.6667,0.3333,0,0,3
2,10,12,0.2818,0.7182,0,0,110
3,10,12,0.0571,0.9429,0,0,35
4,10,12,0,0,1,0,8
1,11,12,0.5,0.5,0,0,0
2,11,12,0.1304,0.8696,0,0,23
3,11,12,0,1,0,0,15
4,11,12,0,0,1,0,4
1,12,12,0.4444,0.5556,0,0,9
2,12,12,0.2727,0.7273,0,0,44
3,12,12,0.027,0.973,0,0,37
4,12,12,0,0,1,0,1
1,1,13,0.5,0.5,0,0,0
2,1,13,0.64,0.36,0,0,25
3,1,13,0.7333,0.2667,0,0,30
4,1,13,0.5652,0.1739,0.2609,0,23
1,2,13,0.5,0.5,0,0,0
2,2,13,1,0,0,0,2
3,2,13,0.5172,0.4828,0,0,29
4,2,13,0,0.25,0.75,0,12
1,3,13,0.5,0.5,0,0,0
2,3,13,1,0,0,0,1
3,3,13,0.2258,0.7742,0,0,31
4,3,13,0,0.2,0.8,0,15
1,4,13,0.5,0.5,0,0,0
2,4,13,0.5,0.5,0,0,28
3,4,13,0.1,0.9,0,0,20
4,4,13,0,0.3,0.7,0,10
1,5,13,0.625,0.375,0,0,8
2,5,13,0.5806,0.4194,0,0,31
3,5,13,0.1333,0.8667,0,0,15
4,5,13,0,0.2,0.8,0,15
1,6,13,0.5,0.5,0,0,0
2,6,13,0.56,0.44,0,0,50
3,6,13,0,1,0,0,24
4,6,13,0,0,1,0,12
1,7,13,0.5,0.5,0,0,0
2,7,13,0.5,0.5,0,0,2
3,7,13,0.0357,0.9643,0,0,28
4,7,13,0,0.0526,0.9474,0,19
1,8,13,0.5,0.5,0,0,0
2,8,13,0.46,0.54,0,0,50
3,8,13,0,1,0,0,17
4,8,13,0,0,1,0,7
1,9,13,0.5,0.5,0,0,0
2,9,13,1,0,0,0,1
3,9,13,0,1,0,0,30
4,9,13,0,0,1,0,13
1,10,13,1,0,0,0,1
2,10,13,0.3365,0.6635,0,0,104
3,10,13,0,1,0,0,31
4,10,13,0,0,1,0,19
1,11,13,0,1,0,0,1
2,11,13,0.2308,0.7692,0,0,13
3,11,13,0,1,0,0,8
4,11,13,0,0,1,0,9
1,12,13,0.5,0.5,0,0,0
2,12,13,0.1,0.9,0,0,10
3,12,13,0.1,0.9,0,0,10
4,12,13,0,0,1,0,6
1,13,13,0,1,0,0,1
2,13,13,0.2558,0.7442,0,0,43
3,13,13,0.0741,0.9259,0,0,27
4,13,13,0,0.1034,0.8966,0,29
1,1,14,0.5,0.5,0,0,0
2,1,14,0.7667,0.2333,0,0,30
3,1,14,0.8049,0.1951,0,0,41
4,1,14,0.75,0.15,0.1,0,20
1,2,14,0,1,0,0,1
2,2,14,0.25,0.25,0.25,0.25,0
3,2,14,0.4783,0.5217,0,0,23
4,2,14,0.125,0.5,0.375,0,8
1,3,14,0.5,0.5,0,0,0
2,3,14,0.8,0.2,0,0,20
3,3,14,0.2273,0.7727,0,0,22
4,3,14,0.1,0.2,0.7,0,10
1,4,14,0.5,0.5,0,0,0
2,4,14,0.6957,0.3043,0,0,23
3,4,14,0.2188,0.7812,0,0,32
4,4,14,0,0.1875,0.8125,0,16
1,5,14,0.5,0.5,0,0,6
2,5,14,0.625,0.375,0,0,40
3,5,14,0.0625,0.9375,0,0,16
4,5,14,0,0,1,0,9
1,6,14,0.5,0.5,0,0,0
2,6,14,0.4,0.6,0,0,40
3,6,14,0.1304,0.8696,0,0,23
4,6,14,0,0.2222,0.7778,0,9
1,7,14,0.5,0.5,0,0,0
2,7,14,0.3636,0.6364,0,0,33
3,7,14,0.0455,0.9545,0,0,22
4,7,14,0,0,1,0,10
1,8,14,0.5,0.5,0,0,0
2,8,14,0.5,0.5,0,0,2
3,8,14,0.037,0.963,0,0,27
4,8,14,0,0,1,0,11
1,9,14,0.5,0.5,0,0,0
2,9,14,0.2041,0.7959,0,0,49
3,9,14,0,1,0,0,26
4,9,14,0,0,1,0,10
1,10,14,1,0,0,0,5
2,10,14,0.4242,0.5758,0,0,99
3,10,14,0.0455,0.9545,0,0,22
4,10,14,0,0.1,0.9,0,10
1,11,14,0.5,0.5,0,0,0
2,11,14,0.0588,0.9412,0,0,17
3,11,14,0.1111,0.8889,0,0,9
4,11,14,0,0,1,0,6
1,12,14,0.5,0.5,0,0,0
2,12,14,0.3529,0.6471,0,0,17
3,12,14,0,1,0,0,8
4,12,14,0,0,1,0,7
1,13,14,0.5,0.5,0,0,0
2,13,14,0.1,0.9,0,0,10
3,13,14,0,1,0,0,4
4,13,14,0,0,1,0,2
1,14,14,0.5263,0.4737,0,0,19
2,14,14,0.3077,0.6923,0,0,26
3,14,14,0,1,0,0,1
4,14,14,0,0,1,0,1
1,1,15,0.5,0.5,0,0,0
2,1,15,0.6552,0.3448,0,0,29
3,1,15,0.75,0.25,0,0,48
4,1,15,0.6957,0.087,0.2174,0,23
1,2,15,0.5,0.5,0,0,0
2,2,15,0.7308,0.2692,0,0,26
3,2,15,0.5625,0.4375,0,0,32
4,2,15,0.0625,0.4375,0.5,0,16
1,3,15,0.5,0.5,0,0,0
2,3,15,0.7407,0.2593,0,0,27
3,3,15,0.25,0.75,0,0,20
4,3,15,0,0.2727,0.7273,0,11
1,4,15,0.5,0.5,0,0,0
2,4,15,0.625,0.375,0,0,32
3,4,15,0.1034,0.8966,0,0,29
4,4,15,0,0.0952,0.9048,0,21
1,5,15,0.5,0.5,0,0,2
2,5,15,0.5625,0.4375,0,0,32
3,5,15,0.0667,0.9333,0,0,30
4,5,15,0,0.125,0.875,0,16
1,6,15,0.5,0.5,0,0,0
2,6,15,0.2093,0.7907,0,0,43
3,6,15,0,1,0,0,35
4,6,15,0,0,1,0,15
1,7,15,1,0,0,0,1
2,7,15,0.2889,0.7111,0,0,45
3,7,15,0,1,0,0,21
4,7,15,0,0,1,0,9
1,8,15,0,1,0,0,1
2,8,15,0.3333,0.6667,0,0,39
3,8,15,0.0952,0.9048,0,0,21
4,8,15,0,0,1,0,13
1,9,15,0.5,0.5,0,0,0
2,9,15,0.2195,0.7805,0,0,41
3,9,15,0,1,0,0,19
4,9,15,0,0,1,0,12
1,10,15,0.3333,0.6667,0,0,3
2,10,15,0.382,0.618,0,0,89
3,10,15,0,1,0,0,22
4,10,15,0,0,1,0,14
1,11,15,0.5,0.5,0,0,0
2,11,15,0.2174,0.7826,0,0,23
3,11,15,0,1,0,0,17
4,11,15,0,0,1,0,9
1,12,15,0.5,0.5,0,0,0
2,12,15,0.4286,0.5714,0,0,14
3,12,15,0.2,0.8,0,0,10
4,12,15,0,0,1,0,7
1,13,15,0.5,0.5,0,0,0
2,13,15,0.1429,0.8571,0,0,14
3,13,15,0,1,0,0,5
4,13,15,0,0,1,0,3
1,14,15,0.125,0.875,0,0,8
2,14,15,0.125,0.875,0,0,8
3,14,15,0,1,0,0,4
4,14,15,0,0.2,0.8,0,5
1,15,15,0.2353,0.7647,0,0,17
2,15,15,0,1,0,0,1
3,15,15,0,1,0,0,1
4,15,15,0,0,1,0,22
