Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-0.0904308,-1.78598,-3.41916,-3.35117,-1.78598,0
1,19,99,-1.18475,-2.57131,-3.41916,-3.35117,-2.57131,0
1,18,99,-0.615437,-0.67988,-3.41916,-3.35117,-0.67988,0
1,17,99,-0.549468,-0.61424,-3.41916,-3.35117,-0.61424,0
1,15,99,0.482799,-0.0825877,-3.41916,-3.35117,-0.0825877,0
1,13,99,-0.221084,-0.826074,-3.41916,-3.35117,-0.826074,0
1,12,99,-1.64524,-0.9505,-3.41916,-3.35117,-1.64524,1
1,10,99,-0.422684,-1.14618,-3.41916,-3.35117,-0.422684,0
1,9,99,-0.727004,-0.0297147,-3.41916,-3.35117,-0.0297147,1
1,7,99,-0.64938,0.151154,-3.41916,-3.35117,0.151154,1
1,4,99,-0.0775392,-0.332378,-3.41916,-3.35117,-0.332378,0
1,3,99,-0.500676,0.374783,-3.41916,-3.35117,0.374783,1
1,2,99,-1.17422,0.0417938,-3.41916,-3.35117,0.0417938,1
1,1,99,-0.926254,0.103296,-3.41916,-3.35117,0.103296,1
1,20,98,-0.287601,-1.76227,-3.41916,-3.12829,-1.76227,0
1,19,98,-0.455546,-2.42164,-3.41916,-3.12829,-2.42164,0
1,18,98,-0.949876,-0.614715,-3.41916,-3.12829,-0.614715,1
1,17,98,-0.508607,-0.656918,-3.41916,-3.12829,-0.656918,0
1,15,98,0.278913,-0.243817,-3.41916,-3.12829,-0.243817,0
1,13,98,-0.0722412,-0.810026,-3.41916,-3.12829,-0.0722412,0
1,12,98,-1.34436,-0.613269,-3.41916,-3.12829,-0.613269,1
1,9,98,-0.61801,0.053283,-3.41916,-3.12829,0.053283,1
1,7,98,-0.376495,0.236281,-3.41916,-3.12829,0.236281,1
1,4,98,0.180477,-0.328883,-3.41916,-3.12829,-0.328883,0
1,3,98,-0.446283,0.440034,-3.41916,-3.12829,0.440034,1
1,2,98,-0.88067,0.215869,-3.41916,-3.12829,0.215869,1
1,1,98,-0.306997,0.357091,-3.41916,-3.12829,0.357091,1
1,20,97,-0.186461,-1.69926,-3.41916,-2.81209,-0.186461,0
1,19,97,-0.645951,-1.92167,-3.41916,-2.81209,-1.92167,0
1,18,97,-0.340269,-0.411778,-3.41916,-2.81209,-0.411778,0
1,17,97,-0.604636,-0.587199,-3.41916,-2.81209,-0.587199,1
1,15,97,0.530119,0.0233417,-3.41916,-2.81209,0.0233417,0
1,13,97,0.458743,-0.525078,-3.41916,-2.81209,-0.525078,0
1,12,97,-0.778985,-0.452526,-3.41916,-2.81209,-0.452526,1
1,7,97,-0.278731,0.236195,-3.41916,-2.81209,0.236195,1
1,4,97,0.290072,-0.311463,-3.41916,-2.81209,-0.311463,0
1,3,97,-0.421534,0.596681,-3.41916,-2.81209,0.596681,1
1,2,97,-0.350882,0.578505,-3.41916,-2.81209,0.578505,1
1,20,96,-0.0643023,-1.51167,-3.41916,-2.99602,-1.51167,0
1,19,96,-0.561046,-2.28901,-3.41916,-2.99602,-2.28901,0
1,18,96,-0.679413,-0.563188,-3.41916,-2.99602,-0.563188,1
1,17,96,-0.180986,-0.269283,-3.41916,-2.99602,-0.269283,0
