Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-0.933635,-1.65541,-3.41916,-3.35117,-1.65541,0
1,19,99,-1.45489,-2.1574,-3.41916,-3.35117,-2.1574,0
1,18,99,-0.118989,-0.0829676,-3.41916,-3.35117,-0.0829676,1
1,17,99,-0.07589,0.190723,-3.41916,-3.35117,0.190723,1
1,15,99,0.540247,-0.257856,-3.41916,-3.35117,-0.257856,0
1,13,99,-0.592247,0.506032,-3.41916,-3.35117,0.506032,1
1,12,99,-0.641045,-0.760041,-3.41916,-3.35117,-0.641045,0
1,10,99,0.336373,0.51156,-3.41916,-3.35117,0.51156,1
1,9,99,0.46691,-0.0284874,-3.41916,-3.35117,-0.0284874,0
1,7,99,-0.0298932,0.103777,-3.41916,-3.35117,0.103777,1
1,4,99,1.87797,0.274402,-3.41916,-3.35117,0.274402,0
1,3,99,-0.0655087,0.692064,-3.41916,-3.35117,0.692064,1
1,2,99,-0.200276,0.699386,-3.41916,-3.35117,0.699386,1
1,1,99,-0.952898,0.99867,-3.41916,-3.35117,0.99867,1
1,20,98,-0.884212,-1.73765,-3.41916,-3.12829,-1.73765,0
1,19,98,-0.989668,-1.98569,-3.41916,-3.12829,-1.98569,0
1,18,98,-0.577409,-0.132861,-3.41916,-3.12829,-0.132861,1
1,17,98,0.128697,0.245542,-3.41916,-3.12829,0.245542,1
1,15,98,0.624219,-0.298694,-3.41916,-3.12829,-0.298694,0
1,13,98,-0.571313,0.563641,-3.41916,-3.12829,-0.571313,1
1,12,98,-0.247324,-0.795677,-3.41916,-3.12829,-0.795677,0
1,9,98,0.547983,0.0704409,-3.41916,-3.12829,0.0704409,0
1,7,98,0.483543,0.337787,-3.41916,-3.12829,0.337787,0
1,4,98,2.24344,0.331275,-3.41916,-3.12829,0.331275,0
1,3,98,0.0077629,0.760823,-3.41916,-3.12829,0.760823,1
1,2,98,-0.127301,0.78179,-3.41916,-3.12829,0.78179,1
1,1,98,-0.904125,1.09905,-3.41916,-3.12829,1.09905,1
1,20,97,-0.943801,-1.59083,-3.41916,-2.81209,-0.943801,0
1,19,97,-0.998846,-1.91761,-3.41916,-2.81209,-1.91761,0
1,18,97,-0.211368,-0.136363,-3.41916,-2.81209,-0.136363,1
1,17,97,-0.2101,-0.0574894,-3.41916,-2.81209,-0.0574894,1
1,15,97,0.700523,-0.157867,-3.41916,-2.81209,-0.157867,0
1,13,97,-0.211112,0.818745,-3.41916,-2.81209,0.818745,1
1,12,97,0.03176,-0.472788,-3.41916,-2.81209,-0.472788,0
1,7,97,0.56853,0.457913,-3.41916,-2.81209,0.457913,0
1,4,97,2.31771,0.335379,-3.41916,-2.81209,0.335379,0
1,3,97,0.0870054,0.799885,-3.41916,-2.81209,0.799885,1
1,2,97,0.241339,0.766662,-3.41916,-2.81209,0.766662,1
1,20,96,-0.814049,-1.40531,-3.41916,-2.99602,-1.40531,0
1,19,96,-0.931715,-1.99671,-3.41916,-2.99602,-1.99671,0
1,18,96,-0.295325,0.139461,-3.41916,-2.99602,0.139461,1
1,17,96,0.143948,0.0512822,-3.41916,-2.99602,0.0512822,0
1,15,96,0.785495,-0.109165,-3.41916,-2.99602,-0.109165,0
1,13,96,-0.175611,0.715031,-3.41916,-2.99602,-0.175611,1
1,12,96,0.15303,-0.369579,-3.41916,-2.99602,-0.369579,0
1,9,96,0.715083,0.180152,-3.41916,-2.99602,0.180152,0
1,7,96,0.676163,0.480026,-3.41916,-2.99602,0.480026,0
1,4,96,2.27863,0.303519,-3.41916,-2.99602,0.303519,0
1,3,96,0.000356324,0.843464,-3.41916,-2.99602,0.843464,1
1,2,96,0.23615,0.790228,-3.41916,-2.99602,0.790228,1
1,19,95,-0.911328,-1.5972,-3.41916,-2.85377,-1.5972,0
1,17,95,-0.051019,0.315784,-3.41916,-2.85377,0.315784,1
1,15,95,0.663092,-0.179611,-3.41916,-2.85377,-0.179611,0
1,13,95,-0.106827,0.79411,-3.41916,-2.85377,0.79411,1
1,7,95,0.721648,0.492977,-3.41916,-2.85377,0.492977,0
1,4,95,2.23567,0.509753,-3.41916,-2.85377,0.509753,0
1,2,95,0.359038,0.900636,-3.41916,-2.85377,0.900636,1
1,1,95,0.570558,1.1772,-3.41916,-2.85377,1.1772,1
1,19,94,-0.574142,-1.3283,-3.41916,-2.55553,-1.3283,0
1,17,94,0.169736,0.429111,-3.41916,-2.55553,0.429111,1
1,15,94,0.671996,-0.0441926,-3.41916,-2.55553,-0.0441926,0
1,13,94,-0.00773887,0.909209,-3.41916,-2.55553,0.909209,1
1,7,94,0.757653,0.649515,-3.41916,-2.55553,0.649515,0
1,4,94,2.35118,0.545486,-3.41916,-2.55553,0.545486,0
1,2,94,0.394013,0.893906,-3.41916,-2.55553,0.893906,1
1,1,94,0.610345,1.29646,-3.41916,-2.55553,1.29646,1
1,19,93,-0.766868,-1.30686,-3.41916,-2.51688,-1.30686,0
1,17,93,0.216549,0.358632,-3.41916,-2.51688,0.358632,1
1,15,93,0.727746,0.0180114,-3.41916,-2.51688,0.0180114,0
1,13,93,-0.111676,0.830669,-3.41916,-2.51688,0.830669,1
1,7,93,0.854116,0.644777,-3.41916,-2.51688,0.644777,0
1,4,93,2.33078,0.627629,-3.41916,-2.51688,0.627629,0
1,2,93,0.435592,0.985827,-3.41916,-2.51688,0.985827,1
1,1,93,0.54772,1.37489,-3.41916,-2.51688,1.37489,1
1,19,92,-0.750838,-1.2998,-6.43894,-2.39982,-1.2998,0
1,17,92,0.043166,0.306372,-6.43894,-2.39982,0.306372,1
1,15,92,0.825888,0.0920684,-6.43894,-2.39982,0.0920684,0
1,13,92,0.0544586,0.842776,-6.43894,-2.39982,0.842776,1
1,7,92,0.915212,0.79514,-6.43894,-2.39982,0.79514,0
1,4,92,2.40758,0.886153,-6.43894,-2.39982,0.886153,0
1,2,92,0.39962,1.01039,-6.43894,-2.39982,1.01039,1
1,1,92,0.730353,1.40357,-6.43894,-2.39982,1.40357,1
1,19,91,-0.413725,-1.0011,-6.29331,-2.45927,-1.0011,0
1,17,91,0.213808,0.304118,-6.29331,-2.45927,0.304118,1
1,15,91,0.598768,0.168348,-6.29331,-2.45927,0.598768,0
1,13,91,0.130896,0.817507,-6.29331,-2.45927,0.817507,1
1,7,91,0.876584,0.755317,-6.29331,-2.45927,0.755317,0
