Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-0.961628,-1.69898,-3.41916,-3.35117,-1.69898,0
1,19,99,-1.72288,-1.8799,-3.41916,-3.35117,-1.8799,0
1,18,99,-0.514266,-0.673697,-3.41916,-3.35117,-0.673697,0
1,17,99,-0.755706,-0.254538,-3.41916,-3.35117,-0.254538,1
1,15,99,0.0556973,-0.512473,-3.41916,-3.35117,-0.512473,0
1,13,99,-0.9403,-1.14168,-3.41916,-3.35117,-1.14168,0
1,12,99,-1.07517,-0.700375,-3.41916,-3.35117,-1.07517,1
1,10,99,-0.383934,-0.323148,-3.41916,-3.35117,-0.383934,1
1,9,99,-0.258277,-0.183253,-3.41916,-3.35117,-0.183253,1
1,7,99,-0.144098,-0.618712,-3.41916,-3.35117,-0.618712,0
1,4,99,0.423743,-0.377726,-3.41916,-3.35117,-0.377726,0
1,3,99,-0.0692449,-0.0903759,-3.41916,-3.35117,-0.0903759,0
1,2,99,-0.859572,-0.167975,-3.41916,-3.35117,-0.167975,1
1,1,99,-0.187815,-0.0241054,-3.41916,-3.35117,-0.0241054,1
1,20,98,-1.37414,-1.78149,-3.41916,-3.12829,-1.78149,0
1,19,98,-1.01397,-1.61688,-3.41916,-3.12829,-1.61688,0
1,18,98,-1.05789,-0.875187,-3.41916,-3.12829,-0.875187,1
1,17,98,-0.874586,-0.116186,-3.41916,-3.12829,-0.116186,1
1,15,98,-0.0558544,-0.565874,-3.41916,-3.12829,-0.565874,0
1,13,98,-0.729837,-1.11188,-3.41916,-3.12829,-0.729837,0
1,12,98,-0.837051,-0.611759,-3.41916,-3.12829,-0.611759,1
1,9,98,-0.265825,0.323495,-3.41916,-3.12829,0.323495,1
1,7,98,-0.0756931,-0.548315,-3.41916,-3.12829,-0.548315,0
1,4,98,0.485033,-0.382743,-3.41916,-3.12829,-0.382743,0
1,3,98,-0.0629369,-0.149819,-3.41916,-3.12829,-0.149819,0
1,2,98,-0.897007,-0.108253,-3.41916,-3.12829,-0.108253,1
1,1,98,-0.188608,-0.0160884,-3.41916,-3.12829,-0.0160884,1
1,20,97,-1.06955,-1.73904,-3.41916,-2.81209,-1.06955,0
1,19,97,-1.35769,-1.89031,-3.41916,-2.81209,-1.89031,0
1,18,97,-0.537926,-0.465554,-3.41916,-2.81209,-0.465554,1
1,17,97,-1.16446,-0.457322,-3.41916,-2.81209,-0.457322,1
1,15,97,0.19012,-0.41655,-3.41916,-2.81209,-0.41655,0
1,13,97,-0.141357,-0.90903,-3.41916,-2.81209,-0.90903,0
1,12,97,-0.506522,-0.428687,-3.41916,-2.81209,-0.428687,1
1,7,97,-0.0449758,-0.528124,-3.41916,-2.81209,-0.528124,0
1,4,97,0.525334,-0.365606,-3.41916,-2.81209,-0.365606,0
1,3,97,-0.0733468,0.0170071,-3.41916,-2.81209,0.0170071,1
1,2,97,-0.589747,-0.0891719,-3.41916,-2.81209,-0.0891719,1
1,20,96,-0.842737,-1.42095,-3.41916,-2.99602,-1.42095,0
1,19,96,-1.07403,-1.58162,-3.41916,-2.99602,-1.58162,0
1,18,96,-0.621165,-0.651548,-3.41916,-2.99602,-0.651548,0
1,17,96,-0.865601,-0.147168,-3.41916,-2.99602,-0.147168,1
1,15,96,0.235518,-0.464063,-3.41916,-2.99602,-0.464063,0
1,13,96,-0.161868,-0.995885,-3.41916,-2.99602,-0.161868,0
1,12,96,-0.411541,-0.40088,-3.41916,-2.99602,-0.40088,1
1,9,96,-0.134305,0.409816,-3.41916,-2.99602,0.409816,1
1,7,96,0.0513227,-0.274969,-3.41916,-2.99602,-0.274969,0
1,4,96,0.51823,-0.300334,-3.41916,-2.99602,-0.300334,0
1,3,96,-0.00815088,0.0461272,-3.41916,-2.99602,0.0461272,1
1,2,96,-0.487453,-0.0571648,-3.41916,-2.99602,-0.0571648,1
1,19,95,-0.925837,-1.26027,-3.41916,-2.85377,-1.26027,0
1,17,95,-1.03981,-0.195605,-3.41916,-2.85377,-0.195605,1
1,15,95,-0.126564,-0.566326,-3.41916,-2.85377,-0.566326,0
1,13,95,-0.00695904,-0.832644,-3.41916,-2.85377,-0.832644,0
1,7,95,0.0828794,-0.216726,-3.41916,-2.85377,-0.216726,0
1,4,95,0.602563,0.0154042,-3.41916,-2.85377,0.0154042,0
1,2,95,-0.432483,0.0131331,-3.41916,-2.85377,0.0131331,1
1,1,95,-0.0551893,0.197076,-3.41916,-2.85377,0.197076,1
1,19,94,-1.11979,-1.28744,-3.41916,-2.55553,-1.28744,0
1,17,94,-0.927379,-0.0483449,-3.41916,-2.55553,-0.0483449,1
1,15,94,0.263311,-0.330699,-3.41916,-2.55553,-0.330699,0
1,13,94,0.0679356,-0.697557,-3.41916,-2.55553,-0.697557,0
1,7,94,0.131232,0.0259552,-3.41916,-2.55553,0.0259552,0
1,4,94,0.594652,0.0696543,-3.41916,-2.55553,0.0696543,0
1,2,94,-0.423081,0.0922173,-3.41916,-2.55553,0.0922173,1
1,1,94,-0.138842,0.0830365,-3.41916,-2.55553,0.0830365,1
1,19,93,-1.07354,-1.29666,-3.41916,-2.51688,-1.29666,0
1,17,93,-0.736813,0.0332777,-3.41916,-2.51688,0.0332777,1
1,15,93,0.109702,-0.27759,-3.41916,-2.51688,-0.27759,0
1,13,93,-0.0952541,-0.751559,-3.41916,-2.51688,-0.751559,0
1,7,93,0.167767,0.0127488,-3.41916,-2.51688,0.0127488,0
1,4,93,0.601628,0.148721,-3.41916,-2.51688,0.148721,0
1,2,93,-0.326985,0.141933,-3.41916,-2.51688,0.141933,1
1,1,93,-0.0469565,0.306235,-3.41916,-2.51688,0.306235,1
1,19,92,-0.924458,-1.16423,-6.43894,-2.39982,-1.16423,0
1,17,92,-0.738147,-0.0744962,-6.43894,-2.39982,-0.0744962,1
1,15,92,0.221688,-0.0662781,-6.43894,-2.39982,-0.0662781,0
1,13,92,0.143902,-0.167904,-6.43894,-2.39982,-0.167904,0
1,7,92,0.243987,0.0643325,-6.43894,-2.39982,0.0643325,0
1,4,92,0.698563,0.182697,-6.43894,-2.39982,0.182697,0
1,2,92,-0.239585,0.199907,-6.43894,-2.39982,0.199907,1
1,1,92,0.0638379,0.361827,-6.43894,-2.39982,0.361827,1
1,19,91,-0.839589,-1.104,-6.29331,-2.45927,-1.104,0
1,17,91,-0.721666,-0.357845,-6.29331,-2.45927,-0.357845,1
1,15,91,0.0868128,0.0103048,-6.29331,-2.45927,0.0868128,0
1,13,91,0.0893193,-0.392874,-6.29331,-2.45927,-0.392874,0
1,7,91,0.202777,0.041938,-6.29331,-2.45927,0.041938,0
1,4,91,0.715596,0.192905,-6.29331,-2.45927,0.192905,0
1,2,91,-0.291306,-0.244499,-6.29331,-2.45927,-0.244499,1
1,1,91,0.0724363,0.308425,-6.29331,-2.45927,0.308425,1
1,19,90,-1.01953,-1.28113,-6.05291,-2.36134,-1.28113,0
1,17,90,-0.610373,-0.0494498,-6.05291,-2.36134,-0.0494498,1
1,15,90,0.0421921,-0.0269029,-6.05291,-2.36134,-0.0269029,0
1,13,90,0.107622,-0.285717,-6.05291,-2.36134,-0.285717,0
1,7,90,0.243983,0.105269,-6.05291,-2.36134,0.105269,0
1,4,90,0.758665,0.322944,-6.05291,-2.36134,0.322944,0
1,2,90,-0.168274,0.230319,-6.05291,-2.36134,0.230319,1
1,1,90,0.142018,0.527617,-6.05291,-2.36134,0.527617,1
1,19,89,-1.34422,-1.27377,-5.75042,-2.39784,-1.27377,1
1,17,89,-0.459854,0.0805476,-5.75042,-2.39784,-0.459854,1
1,15,89,-0.137251,0.00702847,-5.75042,-2.39784,0.00702847,1
1,13,89,0.273277,-0.27213,-5.75042,-2.39784,-0.27213,0
1,7,89,0.285342,0.188651,-5.75042,-2.39784,0.188651,0
1,4,89,0.866015,0.29911,-5.75042,-2.39784,0.29911,0
1,2,89,-0.0559213,0.136134,-5.75042,-2.39784,0.136134,1
1,1,89,0.20958,0.521467,-5.75042,-2.39784,0.521467,1
1,19,88,-0.779929,-0.955605,-5.55605,-2.24038,-0.779929,0
1,17,88,-0.814835,-0.0817215,-5.55605,-2.24038,-0.0817215,1
1,15,88,0.125852,0.102831,-5.55605,-2.24038,0.102831,0
1,13,88,0.224744,-0.204404,-5.55605,-2.24038,-0.204404,0
1,7,88,-0.00068128,0.185382,-5.55605,-2.24038,0.185382,1
1,4,88,0.918451,0.306418,-5.55605,-2.24038,0.306418,0
1,2,88,-0.0391373,0.397917,-5.55605,-2.24038,0.397917,1
1,1,88,0.100997,0.611127,-5.55605,-2.24038,0.611127,1
1,19,87,-0.666762,-0.932241,-5.60239,-2.09737,-0.932241,0
1,17,87,-1.11456,-0.267536,-5.60239,-2.09737,-0.267536,1
1,15,87,0.162706,0.302255,-5.60239,-2.09737,0.302255,1
1,13,87,0.325534,-0.101546,-5.60239,-2.09737,-0.101546,0
1,7,87,-0.101659,0.144185,-5.60239,-2.09737,0.144185,1
