Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-0.845148,-0.899602,-3.41916,-3.35117,-0.899602,0
1,19,99,-1.42775,-0.365612,-3.41916,-3.35117,-0.365612,1
1,18,99,-0.625613,-1.0362,-3.41916,-3.35117,-1.0362,0
1,17,99,-0.884201,0.0233921,-3.41916,-3.35117,0.0233921,1
1,15,99,-1.456,-0.698437,-3.41916,-3.35117,-0.698437,1
1,13,99,-1.0721,-1.59972,-3.41916,-3.35117,-1.59972,0
1,12,99,-1.44472,-0.644559,-3.41916,-3.35117,-1.44472,1
1,10,99,-0.965485,-0.559123,-3.41916,-3.35117,-0.965485,1
1,9,99,-0.448314,-0.630547,-3.41916,-3.35117,-0.630547,0
1,7,99,-0.74406,-0.478937,-3.41916,-3.35117,-0.478937,1
1,4,99,-0.447038,-0.875795,-3.41916,-3.35117,-0.875795,0
1,3,99,-0.840261,-0.285073,-3.41916,-3.35117,-0.285073,1
1,2,99,-0.764362,-1.02138,-3.41916,-3.35117,-1.02138,0
1,1,99,-0.663704,-1.22347,-3.41916,-3.35117,-1.22347,0
1,20,98,-1.14079,-0.940443,-3.41916,-3.12829,-0.940443,1
1,19,98,-0.852891,-0.115795,-3.41916,-3.12829,-0.115795,1
1,18,98,-0.862926,-1.02944,-3.41916,-3.12829,-1.02944,0
1,17,98,-0.636388,0.107023,-3.41916,-3.12829,0.107023,1
1,15,98,-1.86067,-1.14022,-3.41916,-3.12829,-1.14022,1
1,13,98,-0.807115,-1.23426,-3.41916,-3.12829,-0.807115,0
1,12,98,-1.29171,-0.623894,-3.41916,-3.12829,-0.623894,1
1,9,98,-0.31284,-0.481892,-3.41916,-3.12829,-0.481892,0
1,7,98,-0.667949,-0.398868,-3.41916,-3.12829,-0.398868,1
1,4,98,-0.399128,-0.823673,-3.41916,-3.12829,-0.823673,0
1,3,98,-0.694727,-0.270366,-3.41916,-3.12829,-0.270366,1
1,2,98,-0.369663,-0.832305,-3.41916,-3.12829,-0.832305,0
1,1,98,-0.19756,-1.20888,-3.41916,-3.12829,-1.20888,0
1,20,97,-0.807559,-0.833607,-3.41916,-2.81209,-0.807559,0
1,19,97,-0.852465,-0.442578,-3.41916,-2.81209,-0.442578,1
1,18,97,-0.595046,-0.544395,-3.41916,-2.81209,-0.544395,1
1,17,97,-0.692009,-0.0280725,-3.41916,-2.81209,-0.0280725,1
1,15,97,-1.32526,-0.342865,-3.41916,-2.81209,-0.342865,1
1,13,97,-0.653305,-1.38908,-3.41916,-2.81209,-1.38908,0
1,12,97,-1.19504,-0.539164,-3.41916,-2.81209,-0.539164,1
1,7,97,-0.603489,-0.344355,-3.41916,-2.81209,-0.344355,1
1,4,97,-0.335165,-0.791011,-3.41916,-2.81209,-0.791011,0
1,3,97,-0.697961,-0.0811316,-3.41916,-2.81209,-0.0811316,1
1,2,97,-0.694106,-0.921659,-3.41916,-2.81209,-0.921659,0
1,20,96,-0.699048,-0.852428,-3.41916,-2.99602,-0.852428,0
1,19,96,-0.799327,-0.0713965,-3.41916,-2.99602,-0.0713965,1
1,18,96,-0.60627,-1.02235,-3.41916,-2.99602,-1.02235,0
1,17,96,-0.449248,0.169782,-3.41916,-2.99602,0.169782,1
1,15,96,-0.960035,-0.246709,-3.41916,-2.99602,-0.246709,1
1,13,96,-0.920919,-1.43599,-3.41916,-2.99602,-0.920919,0
1,12,96,-1.07015,-0.506414,-3.41916,-2.99602,-0.506414,1
1,9,96,-0.189609,-0.342607,-3.41916,-2.99602,-0.342607,0
1,7,96,-0.439855,-0.161303,-3.41916,-2.99602,-0.161303,1
1,4,96,-0.164051,-0.666387,-3.41916,-2.99602,-0.666387,0
1,3,96,-0.593691,-0.145826,-3.41916,-2.99602,-0.145826,1
1,2,96,-0.268463,-0.727882,-3.41916,-2.99602,-0.727882,0
1,19,95,-0.775889,-0.0911913,-3.41916,-2.85377,-0.0911913,1
1,17,95,-0.518776,0.0834248,-3.41916,-2.85377,0.0834248,1
1,15,95,-1.05608,-0.600053,-3.41916,-2.85377,-0.600053,1
1,13,95,-0.467563,-1.35793,-3.41916,-2.85377,-1.35793,0
1,7,95,-0.42802,-0.324727,-3.41916,-2.85377,-0.324727,1
1,4,95,-0.103616,-0.643735,-3.41916,-2.85377,-0.643735,0
1,2,95,-0.409372,-0.710116,-3.41916,-2.85377,-0.710116,0
1,1,95,-0.268512,-1.13321,-3.41916,-2.85377,-1.13321,0
1,19,94,-0.510674,-0.0247676,-3.41916,-2.55553,-0.0247676,1
1,17,94,-0.349407,0.31809,-3.41916,-2.55553,0.31809,1
1,15,94,-0.69505,-0.0934381,-3.41916,-2.55553,-0.0934381,1
1,13,94,-0.387615,-1.12995,-3.41916,-2.55553,-1.12995,0
1,7,94,-0.326857,-0.122809,-3.41916,-2.55553,-0.122809,1
1,4,94,-0.0736012,-0.541631,-3.41916,-2.55553,-0.541631,0
1,2,94,-0.164193,-0.569179,-3.41916,-2.55553,-0.569179,0
1,1,94,-0.0318361,-0.94367,-3.41916,-2.55553,-0.94367,0
1,19,93,-0.416313,0.106286,-3.41916,-2.51688,0.106286,1
1,17,93,-0.265703,0.238979,-3.41916,-2.51688,0.238979,1
1,15,93,-0.849753,-0.105214,-3.41916,-2.51688,-0.105214,1
1,13,93,-0.565098,-1.09478,-3.41916,-2.51688,-1.09478,0
1,7,93,-0.248375,-0.0823554,-3.41916,-2.51688,-0.0823554,1
1,4,93,0.157186,-0.430061,-3.41916,-2.51688,-0.430061,0
1,2,93,-0.167997,-0.498836,-3.41916,-2.51688,-0.498836,0
1,1,93,-0.06494,-0.802721,-3.41916,-2.51688,-0.802721,0
1,19,92,-0.453008,0.0745888,-6.43894,-2.39982,0.0745888,1
1,17,92,-0.190036,0.477127,-6.43894,-2.39982,0.477127,1
1,15,92,-0.645176,-0.102191,-6.43894,-2.39982,-0.102191,1
1,13,92,-0.367386,-0.934128,-6.43894,-2.39982,-0.934128,0
1,7,92,-0.183493,0.00588093,-6.43894,-2.39982,0.00588093,1
1,4,92,0.48897,-0.119383,-6.43894,-2.39982,-0.119383,0
1,2,92,-0.0710118,-0.418266,-6.43894,-2.39982,-0.418266,0
1,1,92,0.0536483,-0.66629,-6.43894,-2.39982,-0.66629,0
1,19,91,-0.257733,0.0988738,-6.29331,-2.45927,0.0988738,1
