Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-0.462463,-0.87258,-3.41916,-3.35117,-0.87258,0
1,19,99,-0.936514,-0.146589,-3.41916,-3.35117,-0.146589,1
1,18,99,-0.566734,-0.748435,-3.41916,-3.35117,-0.748435,0
1,17,99,-0.858777,-0.690112,-3.41916,-3.35117,-0.690112,1
1,15,99,-0.657771,-0.502855,-3.41916,-3.35117,-0.502855,1
1,13,99,-0.851409,-0.319204,-3.41916,-3.35117,-0.319204,1
1,12,99,-0.254823,-0.929838,-3.41916,-3.35117,-0.254823,0
1,10,99,-0.205162,-0.658225,-3.41916,-3.35117,-0.658225,0
1,9,99,-0.493926,-0.0737745,-3.41916,-3.35117,-0.0737745,1
1,7,99,-0.500294,-1.1099,-3.41916,-3.35117,-1.1099,0
1,4,99,-0.492848,-0.85329,-3.41916,-3.35117,-0.85329,0
1,3,99,0.0420894,-0.570184,-3.41916,-3.35117,-0.570184,0
1,2,99,-0.268009,-0.904388,-3.41916,-3.35117,-0.904388,0
1,1,99,0.227814,-0.535044,-3.41916,-3.35117,-0.535044,0
1,20,98,-1.02316,-1.11149,-3.41916,-3.12829,-1.11149,0
1,19,98,-0.788855,-0.150772,-3.41916,-3.12829,-0.150772,1
1,18,98,-0.644697,-0.888945,-3.41916,-3.12829,-0.888945,0
1,17,98,-0.606289,-0.677287,-3.41916,-3.12829,-0.677287,0
1,15,98,-0.759882,-1.00217,-3.41916,-3.12829,-1.00217,0
1,13,98,-0.637557,-0.183504,-3.41916,-3.12829,-0.637557,1
1,12,98,-0.208624,-0.972378,-3.41916,-3.12829,-0.972378,0
1,9,98,-0.435903,-0.122708,-3.41916,-3.12829,-0.122708,1
1,7,98,-0.443322,-0.711679,-3.41916,-3.12829,-0.711679,0
1,4,98,-0.486805,-0.816256,-3.41916,-3.12829,-0.816256,0
1,3,98,0.267699,-0.528988,-3.41916,-3.12829,-0.528988,0
1,2,98,-0.211999,-0.875605,-3.41916,-3.12829,-0.875605,0
1,1,98,0.214631,-0.477282,-3.41916,-3.12829,-0.477282,0
1,20,97,-0.391425,-0.937095,-3.41916,-2.81209,-0.391425,0
1,19,97,-1.05117,-0.360571,-3.41916,-2.81209,-0.360571,1
1,18,97,-0.532733,-0.373635,-3.41916,-2.81209,-0.373635,1
1,17,97,-0.705573,-0.951911,-3.41916,-2.81209,-0.951911,0
1,15,97,-0.242122,-0.225361,-3.41916,-2.81209,-0.225361,1
1,13,97,-0.510969,-0.182835,-3.41916,-2.81209,-0.182835,1
1,12,97,-0.142199,-0.880741,-3.41916,-2.81209,-0.880741,0
1,7,97,-0.0703769,-0.609982,-3.41916,-2.81209,-0.609982,0
1,4,97,-0.416327,-0.579597,-3.41916,-2.81209,-0.579597,0
1,3,97,0.165936,-0.272234,-3.41916,-2.81209,-0.272234,0
1,2,97,-0.0189045,-0.780582,-3.41916,-2.81209,-0.780582,0
1,20,96,-0.621286,-0.960238,-3.41916,-2.99602,-0.960238,0
1,19,96,-0.708493,-0.0751982,-3.41916,-2.99602,-0.0751982,1
1,18,96,-0.721784,-0.744475,-3.41916,-2.99602,-0.744475,0
1,17,96,-0.487484,-0.465263,-3.41916,-2.99602,-0.465263,1
1,15,96,-0.187629,-0.21142,-3.41916,-2.99602,-0.21142,0
1,13,96,-0.641844,-0.0929646,-3.41916,-2.99602,-0.641844,1
