Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-0.820666,-0.967825,-3.41916,-3.35117,-0.967825,0
1,19,99,-1.27293,-0.133475,-3.41916,-3.35117,-0.133475,1
1,18,99,-0.792426,-0.73587,-3.41916,-3.35117,-0.73587,1
1,17,99,-0.988799,-0.235274,-3.41916,-3.35117,-0.235274,1
1,15,99,-1.60487,-0.533847,-3.41916,-3.35117,-0.533847,1
1,13,99,-1.33971,-0.832187,-3.41916,-3.35117,-0.832187,1
1,12,99,-0.0193848,-0.818021,-3.41916,-3.35117,-0.0193848,0
1,10,99,-0.909515,-0.859411,-3.41916,-3.35117,-0.859411,1
1,9,99,-0.461356,0.2231,-3.41916,-3.35117,0.2231,1
1,7,99,-1.35157,-0.851061,-3.41916,-3.35117,-0.851061,1
1,4,99,-1.37163,-1.3683,-3.41916,-3.35117,-1.3683,1
1,3,99,-0.761459,-0.583669,-3.41916,-3.35117,-0.583669,1
1,2,99,-0.29889,-1.12618,-3.41916,-3.35117,-1.12618,0
1,1,99,-0.291707,-1.98944,-3.41916,-3.35117,-1.98944,0
1,20,98,-1.07856,-0.894149,-3.41916,-3.12829,-0.894149,1
1,19,98,-0.945108,-0.233002,-3.41916,-3.12829,-0.233002,1
1,18,98,-0.839427,-0.718774,-3.41916,-3.12829,-0.718774,1
1,17,98,-0.616039,-0.236812,-3.41916,-3.12829,-0.236812,1
1,15,98,-1.61043,-0.958819,-3.41916,-3.12829,-0.958819,1
1,13,98,-1.18412,-0.798373,-3.41916,-3.12829,-1.18412,1
1,12,98,-0.0134719,-1.02897,-3.41916,-3.12829,-1.02897,0
1,9,98,-0.310159,0.385441,-3.41916,-3.12829,0.385441,1
1,7,98,-1.26693,-0.628985,-3.41916,-3.12829,-0.628985,1
1,4,98,-1.19176,-1.23374,-3.41916,-3.12829,-1.23374,0
1,3,98,-0.665173,-0.455526,-3.41916,-3.12829,-0.455526,1
1,2,98,-0.170276,-0.9704,-3.41916,-3.12829,-0.9704,0
1,1,98,0.0594452,-1.94927,-3.41916,-3.12829,-1.94927,0
1,20,97,-0.572316,-0.843765,-3.41916,-2.81209,-0.572316,0
1,19,97,-0.781227,-0.328643,-3.41916,-2.81209,-0.328643,1
1,18,97,-0.826452,-0.453153,-3.41916,-2.81209,-0.453153,1
1,17,97,-0.762891,-0.670835,-3.41916,-2.81209,-0.670835,1
1,15,97,-1.34297,-0.733753,-3.41916,-2.81209,-0.733753,1
1,13,97,-1.05992,-0.761778,-3.41916,-2.81209,-0.761778,1
1,12,97,0.016514,-1.00509,-3.41916,-2.81209,-1.00509,0
1,7,97,-0.934762,-0.528639,-3.41916,-2.81209,-0.528639,1
1,4,97,-1.1437,-1.25175,-3.41916,-2.81209,-1.25175,0
1,3,97,-0.482012,-0.443776,-3.41916,-2.81209,-0.443776,1
1,2,97,-0.011732,-0.993266,-3.41916,-2.81209,-0.993266,0
1,20,96,-0.458131,-0.776271,-3.41916,-2.99602,-0.776271,0
1,19,96,-0.182173,0.0203687,-3.41916,-2.99602,0.0203687,1
1,18,96,-0.545489,-0.706529,-3.41916,-2.99602,-0.706529,0
1,17,96,-0.492627,-0.231605,-3.41916,-2.99602,-0.231605,1
1,15,96,-0.861894,-0.0520645,-3.41916,-2.99602,-0.0520645,1
1,13,96,-1.19261,-0.603783,-3.41916,-2.99602,-1.19261,1
1,12,96,0.138097,-0.948684,-3.41916,-2.99602,-0.948684,0
1,9,96,-0.275519,0.384955,-3.41916,-2.99602,0.384955,1
1,7,96,-0.89417,-0.36214,-3.41916,-2.99602,-0.36214,1
1,4,96,-1.01789,-1.11558,-3.41916,-2.99602,-1.11558,0
1,3,96,-0.510587,-0.384589,-3.41916,-2.99602,-0.384589,1
1,2,96,0.109442,-0.862227,-3.41916,-2.99602,-0.862227,0
1,19,95,-0.103331,0.202667,-3.41916,-2.85377,0.202667,1
1,17,95,-0.579534,-0.0118204,-3.41916,-2.85377,-0.0118204,1
1,15,95,-0.825253,-0.069276,-3.41916,-2.85377,-0.069276,1
1,13,95,-0.929672,-0.475195,-3.41916,-2.85377,-0.475195,1
1,7,95,-0.372501,-0.290725,-3.41916,-2.85377,-0.290725,1
1,4,95,-0.92203,-1.04757,-3.41916,-2.85377,-1.04757,0
1,2,95,0.124419,-0.727799,-3.41916,-2.85377,-0.727799,0
1,1,95,0.291392,-1.74368,-3.41916,-2.85377,-1.74368,0
1,19,94,-0.10577,0.155723,-3.41916,-2.55553,0.155723,1
1,17,94,-0.338073,0.111705,-3.41916,-2.55553,0.111705,1
1,15,94,-0.71069,0.0954238,-3.41916,-2.55553,0.0954238,1
