Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-0.930638,-0.420317,-3.41916,-3.35117,-0.420317,1
1,19,99,-0.908251,-0.290088,-3.41916,-3.35117,-0.290088,1
1,18,99,-0.730831,-0.502461,-3.41916,-3.35117,-0.502461,1
1,17,99,-0.61722,-0.368599,-3.41916,-3.35117,-0.368599,1
1,15,99,-1.18613,-0.554117,-3.41916,-3.35117,-0.554117,1
1,13,99,-0.996862,-0.379111,-3.41916,-3.35117,-0.379111,1
1,12,99,-1.33591,-0.573936,-3.41916,-3.35117,-1.33591,1
1,10,99,-1.04749,-1.27122,-3.41916,-3.35117,-1.27122,0
1,9,99,-0.635081,-0.745809,-3.41916,-3.35117,-0.745809,0
1,7,99,-0.972473,-0.7852,-3.41916,-3.35117,-0.7852,1
1,4,99,-0.975257,-0.820867,-3.41916,-3.35117,-0.820867,1
1,3,99,-1.09393,-0.666751,-3.41916,-3.35117,-0.666751,1
1,2,99,-0.938034,-1.30572,-3.41916,-3.35117,-1.30572,0
1,1,99,-0.488166,-1.34095,-3.41916,-3.35117,-1.34095,0
1,20,98,-1.50457,-0.600944,-3.41916,-3.12829,-0.600944,1
1,19,98,-0.538722,-0.115772,-3.41916,-3.12829,-0.115772,1
1,18,98,-1.08571,-0.601621,-3.41916,-3.12829,-0.601621,1
1,17,98,-0.550582,-0.121501,-3.41916,-3.12829,-0.121501,1
1,15,98,-1.31531,-0.85203,-3.41916,-3.12829,-0.85203,1
1,13,98,-0.948772,-0.300044,-3.41916,-3.12829,-0.948772,1
1,12,98,-1.26132,-0.950965,-3.41916,-3.12829,-0.950965,1
1,9,98,-0.392838,-0.504058,-3.41916,-3.12829,-0.504058,0
1,7,98,-0.865414,-0.728569,-3.41916,-3.12829,-0.728569,1
1,4,98,-0.923491,-0.718604,-3.41916,-3.12829,-0.718604,1
1,3,98,-1.12428,-0.598341,-3.41916,-3.12829,-0.598341,1
1,2,98,-0.861305,-1.22043,-3.41916,-3.12829,-1.22043,0
1,1,98,-0.176154,-1.23401,-3.41916,-3.12829,-1.23401,0
1,20,97,-0.912652,-0.378538,-3.41916,-2.81209,-0.912652,1
1,19,97,-1.76469,-0.278524,-3.41916,-2.81209,-0.278524,1
1,18,97,-0.733634,-0.3229,-3.41916,-2.81209,-0.3229,1
1,17,97,-0.92019,-0.418341,-3.41916,-2.81209,-0.418341,1
1,15,97,-0.91597,-0.292617,-3.41916,-2.81209,-0.292617,1
1,13,97,-0.746614,-0.0853154,-3.41916,-2.81209,-0.0853154,1
1,12,97,-1.23423,-0.90599,-3.41916,-2.81209,-0.90599,1
1,7,97,-0.59744,-0.613232,-3.41916,-2.81209,-0.613232,0
1,4,97,-0.842268,-0.773605,-3.41916,-2.81209,-0.773605,1
1,3,97,-1.04,-0.564828,-3.41916,-2.81209,-0.564828,1
1,2,97,-0.808417,-1.17532,-3.41916,-2.81209,-1.17532,0
1,20,96,-0.843027,-0.351139,-3.41916,-2.99602,-0.351139,1
1,19,96,-0.240826,-0.0690199,-3.41916,-2.99602,-0.0690199,1
1,18,96,-1.17987,-0.760226,-3.41916,-2.99602,-0.760226,1
1,17,96,-0.610055,-0.0500108,-3.41916,-2.99602,-0.0500108,1
1,15,96,-0.506714,-0.215776,-3.41916,-2.99602,-0.215776,1
1,13,96,-0.818243,-0.00604926,-3.41916,-2.99602,-0.818243,1
1,12,96,-1.03943,-0.741371,-3.41916,-2.99602,-0.741371,1
1,9,96,-0.196117,-0.304865,-3.41916,-2.99602,-0.304865,0
1,7,96,-0.202213,-0.438906,-3.41916,-2.99602,-0.438906,0
1,4,96,-0.687927,-0.749949,-3.41916,-2.99602,-0.749949,0
1,3,96,-0.945691,-0.51682,-3.41916,-2.99602,-0.51682,1
1,2,96,-0.692863,-1.12309,-3.41916,-2.99602,-1.12309,0
1,19,95,-0.0968074,0.0725021,-3.41916,-2.85377,0.0725021,1
1,17,95,-0.764148,-0.255543,-3.41916,-2.85377,-0.255543,1
1,15,95,-0.673324,-0.246035,-3.41916,-2.85377,-0.246035,1
1,13,95,-0.438874,0.123159,-3.41916,-2.85377,0.123159,1
1,7,95,-0.351078,-0.326624,-3.41916,-2.85377,-0.326624,1
1,4,95,-0.628298,-0.693242,-3.41916,-2.85377,-0.693242,0
1,2,95,-0.619993,-1.09113,-3.41916,-2.85377,-1.09113,0
1,1,95,0.136388,-1.29553,-3.41916,-2.85377,-1.29553,0
1,19,94,-0.0788842,0.215629,-3.41916,-2.55553,0.215629,1
1,17,94,-0.61167,0.204332,-3.41916,-2.55553,0.204332,1
1,15,94,-0.528761,0.0360156,-3.41916,-2.55553,0.0360156,1
1,13,94,-0.332206,0.216727,-3.41916,-2.55553,0.216727,1
1,7,94,-0.272876,-0.212535,-3.41916,-2.55553,-0.212535,1
1,4,94,-0.582583,-0.612325,-3.41916,-2.55553,-0.612325,0
