Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.24031,-1.12938,-3.41916,-3.35117,-1.12938,1
1,19,99,-1.09155,-0.431658,-3.41916,-3.35117,-0.431658,1
1,18,99,-0.621037,-0.639957,-3.41916,-3.35117,-0.639957,0
1,17,99,-1.29559,-0.799428,-3.41916,-3.35117,-0.799428,1
1,15,99,-0.675583,-0.199807,-3.41916,-3.35117,-0.199807,1
1,13,99,-0.552837,-0.415181,-3.41916,-3.35117,-0.415181,1
1,12,99,-0.625928,-0.300153,-3.41916,-3.35117,-0.625928,1
1,10,99,-0.154701,0.275629,-3.41916,-3.35117,0.275629,1
1,9,99,0.0140953,-0.133507,-3.41916,-3.35117,-0.133507,0
1,7,99,-0.255485,0.447164,-3.41916,-3.35117,0.447164,1
1,4,99,0.255722,-0.303603,-3.41916,-3.35117,-0.303603,0
1,3,99,0.421313,-0.226845,-3.41916,-3.35117,-0.226845,0
1,2,99,0.511692,0.333265,-3.41916,-3.35117,0.333265,0
1,1,99,0.702591,-0.0472842,-3.41916,-3.35117,-0.0472842,0
1,20,98,-1.1255,-1.08622,-3.41916,-3.12829,-1.08622,1
1,19,98,-0.91885,-0.418918,-3.41916,-3.12829,-0.418918,1
1,18,98,-0.752419,-0.621165,-3.41916,-3.12829,-0.621165,1
1,17,98,-0.962581,-0.732494,-3.41916,-3.12829,-0.732494,1
1,15,98,-0.992404,-0.628568,-3.41916,-3.12829,-0.628568,1
1,13,98,-0.415532,-0.29906,-3.41916,-3.12829,-0.415532,1
1,12,98,-0.617157,-0.261866,-3.41916,-3.12829,-0.261866,1
1,9,98,-0.041153,-0.0983598,-3.41916,-3.12829,-0.0983598,0
1,7,98,-0.225791,0.46913,-3.41916,-3.12829,0.46913,1
1,4,98,0.299467,-0.325101,-3.41916,-3.12829,-0.325101,0
1,3,98,0.511875,-0.249941,-3.41916,-3.12829,-0.249941,0
1,2,98,0.60078,0.371573,-3.41916,-3.12829,0.371573,0
1,1,98,0.757626,-0.0314568,-3.41916,-3.12829,-0.0314568,0
1,20,97,-0.90847,-1.04162,-3.41916,-2.81209,-0.90847,0
1,19,97,-0.903795,-0.430029,-3.41916,-2.81209,-0.430029,1
1,18,97,-0.624154,-0.266031,-3.41916,-2.81209,-0.266031,1
1,17,97,-1.03517,-1.06681,-3.41916,-2.81209,-1.06681,0
1,15,97,-0.368565,0.061956,-3.41916,-2.81209,0.061956,1
1,13,97,-0.342037,-0.353191,-3.41916,-2.81209,-0.353191,0
1,12,97,-0.517674,-0.185593,-3.41916,-2.81209,-0.185593,1
1,7,97,0.0585114,0.447877,-3.41916,-2.81209,0.447877,1
1,4,97,0.408667,-0.239501,-3.41916,-2.81209,-0.239501,0
1,3,97,0.595258,-0.198608,-3.41916,-2.81209,-0.198608,0
