Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.10332,-1.42108,-3.41916,-3.35117,-1.42108,0
1,19,99,-0.825849,-0.226452,-3.41916,-3.35117,-0.226452,1
1,18,99,-0.855341,-1.48504,-3.41916,-3.35117,-1.48504,0
1,17,99,-1.32063,-0.447239,-3.41916,-3.35117,-0.447239,1
1,15,99,-1.28466,-0.805562,-3.41916,-3.35117,-0.805562,1
1,13,99,-0.901042,-1.70159,-3.41916,-3.35117,-1.70159,0
1,12,99,-1.13921,-0.529936,-3.41916,-3.35117,-1.13921,1
1,10,99,-0.812012,-0.389821,-3.41916,-3.35117,-0.389821,1
1,9,99,-1.14453,-0.941142,-3.41916,-3.35117,-0.941142,1
1,7,99,-0.38602,-0.501877,-3.41916,-3.35117,-0.501877,0
1,4,99,-0.583784,-1.19496,-3.41916,-3.35117,-1.19496,0
1,3,99,-0.667518,-1.34622,-3.41916,-3.35117,-1.34622,0
1,2,99,-0.631846,-1.67086,-3.41916,-3.35117,-1.67086,0
1,1,99,-0.42571,-0.656937,-3.41916,-3.35117,-0.656937,0
1,20,98,-1.49343,-1.40414,-3.41916,-3.12829,-1.40414,1
1,19,98,-0.822007,-0.18513,-3.41916,-3.12829,-0.18513,1
1,18,98,-0.938245,-1.50644,-3.41916,-3.12829,-1.50644,0
1,17,98,-1.04349,-0.271514,-3.41916,-3.12829,-0.271514,1
1,15,98,-1.65985,-1.00577,-3.41916,-3.12829,-1.00577,1
1,13,98,-0.814994,-1.47146,-3.41916,-3.12829,-0.814994,0
1,12,98,-1.07154,-0.536285,-3.41916,-3.12829,-0.536285,1
1,9,98,-0.915536,-0.568205,-3.41916,-3.12829,-0.568205,1
1,7,98,-0.33582,-0.540864,-3.41916,-3.12829,-0.540864,0
1,4,98,-0.514814,-1.16964,-3.41916,-3.12829,-1.16964,0
1,3,98,-0.587385,-1.37374,-3.41916,-3.12829,-1.37374,0
1,2,98,-0.62651,-1.5874,-3.41916,-3.12829,-1.5874,0
1,1,98,-0.178063,-0.599105,-3.41916,-3.12829,-0.599105,0
1,20,97,-1.03164,-1.35071,-3.41916,-2.81209,-1.03164,0
1,19,97,-1.00114,-0.266553,-3.41916,-2.81209,-0.266553,1
1,18,97,-0.862857,-1.34559,-3.41916,-2.81209,-1.34559,0
1,17,97,-1.09693,-0.525249,-3.41916,-2.81209,-0.525249,1
1,15,97,-0.917058,-0.409372,-3.41916,-2.81209,-0.409372,1
1,13,97,-0.661204,-1.51287,-3.41916,-2.81209,-1.51287,0
1,12,97,-1.04547,-0.453722,-3.41916,-2.81209,-0.453722,1
1,7,97,-0.343836,-0.511502,-3.41916,-2.81209,-0.511502,0
1,4,97,-0.442088,-1.10367,-3.41916,-2.81209,-1.10367,0
1,3,97,-0.430639,-1.23987,-3.41916,-2.81209,-1.23987,0
1,2,97,-0.462948,-1.55979,-3.41916,-2.81209,-1.55979,0
1,20,96,-0.589786,-1.26856,-3.41916,-2.99602,-1.26856,0
1,19,96,-1.02176,-0.0741956,-3.41916,-2.99602,-0.0741956,1
1,18,96,-1.20108,-1.39763,-3.41916,-2.99602,-1.39763,0
1,17,96,-1.10159,-0.185744,-3.41916,-2.99602,-0.185744,1
1,15,96,-0.781884,-0.290794,-3.41916,-2.99602,-0.290794,1
1,13,96,-0.952302,-1.54023,-3.41916,-2.99602,-0.952302,0
1,12,96,-0.975874,-0.411829,-3.41916,-2.99602,-0.411829,1
1,9,96,-0.80947,-0.790299,-3.41916,-2.99602,-0.790299,1
1,7,96,0.104734,-0.435673,-3.41916,-2.99602,-0.435673,0
1,4,96,-0.418611,-1.13682,-3.41916,-2.99602,-1.13682,0
1,3,96,-0.384647,-1.30888,-3.41916,-2.99602,-1.30888,0
1,2,96,-0.309777,-1.59851,-3.41916,-2.99602,-1.59851,0
1,19,95,-0.757038,0.0485037,-3.41916,-2.85377,0.0485037,1
1,17,95,-1.12454,-0.0551373,-3.41916,-2.85377,-0.0551373,1
1,15,95,-0.737433,-0.243134,-3.41916,-2.85377,-0.243134,1
1,13,95,-0.487725,-1.45741,-3.41916,-2.85377,-1.45741,0
1,7,95,-0.149424,-0.327542,-3.41916,-2.85377,-0.327542,0
1,4,95,-0.366563,-1.01412,-3.41916,-2.85377,-1.01412,0
1,2,95,-0.285749,-1.48905,-3.41916,-2.85377,-1.48905,0
1,1,95,0.109408,-0.332586,-3.41916,-2.85377,-0.332586,0
1,19,94,-0.555297,0.230887,-3.41916,-2.55553,0.230887,1
1,17,94,-1.07274,0.0280397,-3.41916,-2.55553,0.0280397,1
1,15,94,-0.79565,-0.210551,-3.41916,-2.55553,-0.210551,1
1,13,94,-0.46126,-1.21555,-3.41916,-2.55553,-1.21555,0
1,7,94,-0.162907,-0.379503,-3.41916,-2.55553,-0.379503,0
1,4,94,-0.283596,-1.03204,-3.41916,-2.55553,-1.03204,0
1,2,94,-0.16946,-1.45979,-3.41916,-2.55553,-1.45979,0
1,1,94,0.190594,-0.353788,-3.41916,-2.55553,-0.353788,0
1,19,93,-0.503452,0.236547,-3.41916,-2.51688,0.236547,1
1,17,93,-0.912503,-0.0132353,-3.41916,-2.51688,-0.0132353,1
1,15,93,-0.85337,-0.170554,-3.41916,-2.51688,-0.170554,1
1,13,93,-0.38812,-1.05592,-3.41916,-2.51688,-1.05592,0
1,7,93,-0.146635,-0.386835,-3.41916,-2.51688,-0.386835,0
1,4,93,0.143235,-0.954938,-3.41916,-2.51688,-0.954938,0
1,2,93,-0.125716,-1.42735,-3.41916,-2.51688,-1.42735,0
1,1,93,0.227164,-0.374398,-3.41916,-2.51688,-0.374398,0
1,19,92,-0.539715,0.270326,-6.43894,-2.39982,0.270326,1
1,17,92,-0.746465,0.261074,-6.43894,-2.39982,0.261074,1
1,15,92,-0.737115,-0.0357088,-6.43894,-2.39982,-0.0357088,1
1,13,92,-0.440519,-1.04163,-6.43894,-2.39982,-1.04163,0
1,7,92,-0.0994376,-0.337065,-6.43894,-2.39982,-0.337065,0
1,4,92,-0.158985,-0.897808,-6.43894,-2.39982,-0.897808,0
1,2,92,-0.162184,-1.27137,-6.43894,-2.39982,-1.27137,0
1,1,92,0.395474,-0.267075,-6.43894,-2.39982,-0.267075,0
1,19,91,-0.14708,0.549339,-6.29331,-2.45927,0.549339,1
1,17,91,-0.659522,0.247555,-6.29331,-2.45927,0.247555,1
1,15,91,-0.486166,0.106428,-6.29331,-2.45927,-0.486166,1
1,13,91,-0.523335,-1.16618,-6.29331,-2.45927,-1.16618,0
1,7,91,-0.0527718,-0.257582,-6.29331,-2.45927,-0.257582,0
1,4,91,-0.139457,-0.752983,-6.29331,-2.45927,-0.752983,0
1,2,91,0.0291509,0.255372,-6.29331,-2.45927,0.255372,1
1,1,91,0.485203,-0.211347,-6.29331,-2.45927,-0.211347,0
1,19,90,-0.264248,0.564221,-6.05291,-2.36134,0.564221,1
1,17,90,-0.686062,0.15442,-6.05291,-2.36134,0.15442,1
1,15,90,-0.391324,0.233794,-6.05291,-2.36134,0.233794,1
1,13,90,-0.588121,-1.09486,-6.05291,-2.36134,-1.09486,0
1,7,90,0.300406,-0.247346,-6.05291,-2.36134,-0.247346,0
1,4,90,-0.0303177,-0.791469,-6.05291,-2.36134,-0.791469,0
1,2,90,0.0352136,-1.34834,-6.05291,-2.36134,-1.34834,0
1,1,90,0.12354,-0.112626,-6.05291,-2.36134,-0.112626,0
1,19,89,-0.783559,0.441819,-5.75042,-2.39784,0.441819,1
1,17,89,-0.290847,0.252998,-5.75042,-2.39784,-0.290847,1
1,15,89,-0.291575,0.199668,-5.75042,-2.39784,0.199668,1
1,13,89,-0.231827,-1.02895,-5.75042,-2.39784,-1.02895,0
1,7,89,0.160604,-0.0819068,-5.75042,-2.39784,-0.0819068,0
1,4,89,-0.0152455,-0.711965,-5.75042,-2.39784,-0.711965,0
