Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.34073,-0.874419,-3.41916,-3.35117,-0.874419,1
1,19,99,-0.866442,-0.179764,-3.41916,-3.35117,-0.179764,1
1,18,99,-0.700256,0.0611225,-3.41916,-3.35117,0.0611225,1
1,17,99,-0.995834,-0.253728,-3.41916,-3.35117,-0.253728,1
1,15,99,-0.694534,-0.218193,-3.41916,-3.35117,-0.218193,1
1,13,99,-0.632802,-1.29518,-3.41916,-3.35117,-1.29518,0
1,12,99,-0.483338,-0.355155,-3.41916,-3.35117,-0.483338,1
1,10,99,0.0362789,0.826596,-3.41916,-3.35117,0.826596,1
1,9,99,-1.42059,0.186711,-3.41916,-3.35117,0.186711,1
1,7,99,0.507964,-0.430388,-3.41916,-3.35117,-0.430388,0
1,4,99,0.534237,-0.177951,-3.41916,-3.35117,-0.177951,0
1,3,99,0.450241,-0.731045,-3.41916,-3.35117,-0.731045,0
1,2,99,0.479821,-0.196169,-3.41916,-3.35117,-0.196169,0
1,1,99,0.735859,0.481113,-3.41916,-3.35117,0.481113,0
1,20,98,-1.55525,-0.917043,-3.41916,-3.12829,-0.917043,1
1,19,98,-0.746484,-0.177861,-3.41916,-3.12829,-0.177861,1
1,18,98,-0.94874,0.0259336,-3.41916,-3.12829,0.0259336,1
1,17,98,-0.814292,-0.211896,-3.41916,-3.12829,-0.211896,1
1,15,98,-0.988689,-0.367396,-3.41916,-3.12829,-0.367396,1
1,13,98,-0.55765,-1.13893,-3.41916,-3.12829,-0.55765,0
1,12,98,-0.439305,-0.509516,-3.41916,-3.12829,-0.509516,0
1,9,98,-1.23258,0.392088,-3.41916,-3.12829,0.392088,1
1,7,98,0.587106,-0.0749158,-3.41916,-3.12829,-0.0749158,0
1,4,98,0.381239,-0.0584919,-3.41916,-3.12829,-0.0584919,0
1,3,98,0.694715,-0.552036,-3.41916,-3.12829,-0.552036,0
1,2,98,0.608481,0.0808313,-3.41916,-3.12829,0.0808313,0
1,1,98,0.697471,0.765008,-3.41916,-3.12829,0.765008,1
1,20,97,-1.16658,-0.717074,-3.41916,-2.81209,-1.16658,1
1,19,97,-0.837716,-0.303417,-3.41916,-2.81209,-0.303417,1
1,18,97,-0.576095,0.136523,-3.41916,-2.81209,0.136523,1
1,17,97,-0.873035,-0.378004,-3.41916,-2.81209,-0.378004,1
1,15,97,-0.352221,0.0505712,-3.41916,-2.81209,0.0505712,1
1,13,97,-0.510798,-1.13391,-3.41916,-2.81209,-1.13391,0
1,12,97,-0.355447,-0.47421,-3.41916,-2.81209,-0.47421,0
1,7,97,0.527921,-0.185827,-3.41916,-2.81209,-0.185827,0
1,4,97,0.521884,-0.246567,-3.41916,-2.81209,-0.246567,0
1,3,97,0.648368,-0.735147,-3.41916,-2.81209,-0.735147,0
1,2,97,0.602125,-0.277409,-3.41916,-2.81209,-0.277409,0
1,20,96,-1.24542,-0.760565,-3.41916,-2.99602,-0.760565,1
1,19,96,-1.02332,-0.0393941,-3.41916,-2.99602,-0.0393941,1
1,18,96,-0.643482,0.11949,-3.41916,-2.99602,0.11949,1
1,17,96,-0.68683,-0.201077,-3.41916,-2.99602,-0.201077,1
1,15,96,-0.345147,0.114355,-3.41916,-2.99602,0.114355,1
1,13,96,-0.656124,-1.16372,-3.41916,-2.99602,-0.656124,0
1,12,96,-0.34952,-0.418025,-3.41916,-2.99602,-0.418025,0
1,9,96,-1.1133,0.483488,-3.41916,-2.99602,0.483488,1
1,7,96,0.593582,0.082253,-3.41916,-2.99602,0.082253,0
1,4,96,0.58229,0.00383547,-3.41916,-2.99602,0.00383547,0
1,3,96,0.464831,-0.518002,-3.41916,-2.99602,-0.518002,0
1,2,96,0.407449,0.0448278,-3.41916,-2.99602,0.0448278,0
1,19,95,-0.614802,0.0681585,-3.41916,-2.85377,0.0681585,1
1,17,95,-0.84224,-0.181086,-3.41916,-2.85377,-0.181086,1
1,15,95,-0.440147,0.0258836,-3.41916,-2.85377,0.0258836,1
1,13,95,-0.278472,-0.952977,-3.41916,-2.85377,-0.952977,0
1,7,95,0.558367,-0.00859187,-3.41916,-2.85377,-0.00859187,0
1,4,95,0.693305,-0.044181,-3.41916,-2.85377,-0.044181,0
1,2,95,0.78826,-0.114149,-3.41916,-2.85377,-0.114149,0
1,1,95,1.07001,0.499209,-3.41916,-2.85377,0.499209,0
1,19,94,-0.386241,0.191234,-3.41916,-2.55553,0.191234,1
1,17,94,-0.576686,-0.0994133,-3.41916,-2.55553,-0.0994133,1
1,15,94,-0.279742,0.272282,-3.41916,-2.55553,0.272282,1
1,13,94,-0.304794,-0.892998,-3.41916,-2.55553,-0.892998,0
1,7,94,0.754339,0.0800562,-3.41916,-2.55553,0.0800562,0
1,4,94,0.60647,0.173737,-3.41916,-2.55553,0.173737,0
1,2,94,0.744219,0.125777,-3.41916,-2.55553,0.125777,0
1,1,94,0.431093,0.894468,-3.41916,-2.55553,0.894468,1
1,19,93,-0.456774,0.106626,-3.41916,-2.51688,0.106626,1
1,17,93,-0.543441,-0.00923415,-3.41916,-2.51688,-0.00923415,1
1,15,93,-0.313672,0.266771,-3.41916,-2.51688,0.266771,1
1,13,93,-0.334431,-0.822766,-3.41916,-2.51688,-0.822766,0
1,7,93,0.721616,0.0478904,-3.41916,-2.51688,0.0478904,0
1,4,93,0.87269,0.192971,-3.41916,-2.51688,0.192971,0
1,2,93,1.01835,0.322045,-3.41916,-2.51688,0.322045,0
1,1,93,1.38365,0.894527,-3.41916,-2.51688,0.894527,0
1,19,92,-0.618245,-0.0525989,-6.43894,-2.39982,-0.0525989,1
1,17,92,-0.347415,0.180387,-6.43894,-2.39982,0.180387,1
1,15,92,-0.401453,0.259301,-6.43894,-2.39982,0.259301,1
1,13,92,-0.284518,-0.731823,-6.43894,-2.39982,-0.731823,0
1,7,92,0.665004,0.0411668,-6.43894,-2.39982,0.0411668,0
1,4,92,0.776881,-0.0115743,-6.43894,-2.39982,-0.0115743,0
1,2,92,0.857463,0.0378307,-6.43894,-2.39982,0.0378307,0
1,1,92,0.369392,0.844037,-6.43894,-2.39982,0.844037,1
1,19,91,0.0566293,0.291348,-6.29331,-2.45927,0.291348,1
1,17,91,-0.422214,0.100349,-6.29331,-2.45927,0.100349,1
1,15,91,-0.137093,0.523381,-6.29331,-2.45927,-0.137093,1
1,13,91,-0.455026,-0.799522,-6.29331,-2.45927,-0.799522,0
1,7,91,0.71974,0.0975417,-6.29331,-2.45927,0.0975417,0
1,4,91,0.759064,0.154557,-6.29331,-2.45927,0.154557,0
1,2,91,1.01401,1.06291,-6.29331,-2.45927,1.06291,1
1,1,91,1.50803,0.800249,-6.29331,-2.45927,0.800249,0
1,19,90,-0.0111597,0.42389,-6.05291,-2.36134,0.42389,1
1,17,90,-0.547324,0.0193572,-6.05291,-2.36134,0.0193572,1
1,15,90,0.0557114,0.623887,-6.05291,-2.36134,0.623887,1
1,13,90,-0.343598,-0.622998,-6.05291,-2.36134,-0.622998,0
1,7,90,0.684987,0.135645,-6.05291,-2.36134,0.135645,0
1,4,90,0.778599,0.197073,-6.05291,-2.36134,0.197073,0
1,2,90,1.26,0.227817,-6.05291,-2.36134,0.227817,0
