Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-0.820624,-1.21016,-3.41916,-3.35117,-1.21016,0
1,19,99,-1.50639,0.316231,-3.41916,-3.35117,0.316231,1
1,18,99,-0.479872,-0.293879,-3.41916,-3.35117,-0.293879,1
1,17,99,-0.822496,0.40054,-3.41916,-3.35117,0.40054,1
1,15,99,-1.45157,-0.900135,-3.41916,-3.35117,-0.900135,1
1,13,99,-0.487716,-0.237115,-3.41916,-3.35117,-0.237115,1
1,12,99,-1.60887,-0.605984,-3.41916,-3.35117,-1.60887,1
1,10,99,-0.814047,0.0908088,-3.41916,-3.35117,-0.814047,1
1,9,99,-0.202448,-0.283188,-3.41916,-3.35117,-0.283188,0
1,7,99,-0.0475275,-1.06678,-3.41916,-3.35117,-1.06678,0
1,4,99,-0.269768,-1.75945,-3.41916,-3.35117,-1.75945,0
1,3,99,-0.0404426,-0.139907,-3.41916,-3.35117,-0.139907,0
1,2,99,-0.414198,0.358888,-3.41916,-3.35117,0.358888,1
1,1,99,0.525631,-0.916911,-3.41916,-3.35117,-0.916911,0
1,20,98,-1.96254,-1.39654,-3.41916,-3.12829,-1.39654,1
1,19,98,-0.846193,0.267094,-3.41916,-3.12829,0.267094,1
1,18,98,-0.717382,-0.341134,-3.41916,-3.12829,-0.341134,1
1,17,98,-0.627693,0.47268,-3.41916,-3.12829,0.47268,1
1,15,98,-1.54566,-1.08052,-3.41916,-3.12829,-1.08052,1
1,13,98,-0.519563,-0.163953,-3.41916,-3.12829,-0.519563,1
1,12,98,-1.44058,-0.679586,-3.41916,-3.12829,-0.679586,1
1,9,98,-0.0949794,-0.146077,-3.41916,-3.12829,-0.146077,0
1,7,98,-0.0112035,-1.10065,-3.41916,-3.12829,-1.10065,0
1,4,98,-0.0828413,-1.64406,-3.41916,-3.12829,-1.64406,0
1,3,98,-0.0129486,-0.206743,-3.41916,-3.12829,-0.206743,0
1,2,98,0.19198,0.367053,-3.41916,-3.12829,0.367053,1
1,1,98,0.998359,-0.855151,-3.41916,-3.12829,-0.855151,0
1,20,97,-0.886432,-1.14036,-3.41916,-2.81209,-0.886432,0
1,19,97,-0.867311,0.140733,-3.41916,-2.81209,0.140733,1
1,18,97,-0.518526,0.0829328,-3.41916,-2.81209,0.0829328,1
1,17,97,-0.948916,0.0173208,-3.41916,-2.81209,0.0173208,1
1,15,97,-1.23784,-0.479094,-3.41916,-2.81209,-0.479094,1
1,13,97,-0.345343,-0.106625,-3.41916,-2.81209,-0.106625,1
1,12,97,-1.36986,-0.626108,-3.41916,-2.81209,-0.626108,1
1,7,97,0.00978432,-0.859238,-3.41916,-2.81209,-0.859238,0
1,4,97,-0.109831,-1.65322,-3.41916,-2.81209,-1.65322,0
1,3,97,0.12766,-0.00589512,-3.41916,-2.81209,-0.00589512,0
1,2,97,-0.223931,0.477329,-3.41916,-2.81209,0.477329,1
1,20,96,-0.624897,-1.08681,-3.41916,-2.99602,-1.08681,0
1,19,96,-0.66636,0.446345,-3.41916,-2.99602,0.446345,1
1,18,96,-0.457866,-0.426114,-3.41916,-2.99602,-0.426114,1
1,17,96,-0.738654,0.54827,-3.41916,-2.99602,0.54827,1
1,15,96,-0.93311,-0.317452,-3.41916,-2.99602,-0.317452,1
1,13,96,-0.500633,0.0253862,-3.41916,-2.99602,-0.500633,1
1,12,96,-1.3518,-0.57458,-3.41916,-2.99602,-0.57458,1
1,9,96,0.0992777,-0.0348472,-3.41916,-2.99602,-0.0348472,0
1,7,96,0.098559,-0.788899,-3.41916,-2.99602,-0.788899,0
1,4,96,0.0124506,-1.66553,-3.41916,-2.99602,-1.66553,0
1,3,96,0.213637,-0.0382622,-3.41916,-2.99602,-0.0382622,0
1,2,96,0.255553,0.652298,-3.41916,-2.99602,0.652298,1
1,19,95,-0.58512,0.534305,-3.41916,-2.85377,0.534305,1
1,17,95,-0.822069,0.611563,-3.41916,-2.85377,0.611563,1
1,15,95,-0.988858,-0.489808,-3.41916,-2.85377,-0.489808,1
1,13,95,-0.175993,0.135949,-3.41916,-2.85377,0.135949,1
