Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.12907,-0.498609,-3.41916,-3.35117,-0.498609,1
1,19,99,-1.20905,-0.862887,-3.41916,-3.35117,-0.862887,1
1,18,99,-0.998095,-0.922975,-3.41916,-3.35117,-0.922975,1
1,17,99,-1.10028,-0.614661,-3.41916,-3.35117,-0.614661,1
1,15,99,-1.70319,-1.21119,-3.41916,-3.35117,-1.21119,1
1,13,99,-1.07527,-1.39856,-3.41916,-3.35117,-1.39856,0
1,12,99,-0.993168,-0.866306,-3.41916,-3.35117,-0.993168,1
1,10,99,-1.28805,-0.732986,-3.41916,-3.35117,-0.732986,1
1,9,99,-1.17648,-1.11529,-3.41916,-3.35117,-1.11529,1
1,7,99,-1.09696,-1.12996,-3.41916,-3.35117,-1.12996,0
1,4,99,-0.753851,-1.71135,-3.41916,-3.35117,-1.71135,0
1,3,99,-0.723564,-0.694497,-3.41916,-3.35117,-0.694497,1
1,2,99,-0.496029,-0.823371,-3.41916,-3.35117,-0.823371,0
1,1,99,-0.862087,-1.3573,-3.41916,-3.35117,-1.3573,0
1,20,98,-1.50082,-0.47141,-3.41916,-3.12829,-0.47141,1
1,19,98,-1.0992,-0.750621,-3.41916,-3.12829,-0.750621,1
1,18,98,-1.12145,-0.875478,-3.41916,-3.12829,-0.875478,1
1,17,98,-1.06563,-0.537292,-3.41916,-3.12829,-0.537292,1
1,15,98,-1.77272,-1.69966,-3.41916,-3.12829,-1.69966,1
1,13,98,-0.922473,-1.21587,-3.41916,-3.12829,-0.922473,0
1,12,98,-0.876678,-0.641348,-3.41916,-3.12829,-0.641348,1
1,9,98,-1.11219,-0.800293,-3.41916,-3.12829,-0.800293,1
1,7,98,-1.04845,-1.12193,-3.41916,-3.12829,-1.12193,0
1,4,98,-0.729516,-1.6481,-3.41916,-3.12829,-1.6481,0
1,3,98,-0.756545,-0.653919,-3.41916,-3.12829,-0.653919,1
1,2,98,-0.302264,-0.720693,-3.41916,-3.12829,-0.720693,0
1,1,98,-0.428874,-1.3054,-3.41916,-3.12829,-1.3054,0
1,20,97,-1.00334,-0.316498,-3.41916,-2.81209,-1.00334,1
1,19,97,-1.43565,-0.963908,-3.41916,-2.81209,-0.963908,1
1,18,97,-0.977352,-0.677666,-3.41916,-2.81209,-0.677666,1
1,17,97,-1.19974,-0.757304,-3.41916,-2.81209,-0.757304,1
1,15,97,-1.40856,-0.887431,-3.41916,-2.81209,-0.887431,1
1,13,97,-0.724478,-1.2342,-3.41916,-2.81209,-1.2342,0
1,12,97,-0.790297,-0.523276,-3.41916,-2.81209,-0.523276,1
1,7,97,-0.926745,-0.97262,-3.41916,-2.81209,-0.97262,0
1,4,97,-0.620385,-1.66707,-3.41916,-2.81209,-1.66707,0
1,3,97,-0.593518,-0.635358,-3.41916,-2.81209,-0.635358,0
1,2,97,-0.300735,-0.677941,-3.41916,-2.81209,-0.677941,0
1,20,96,-0.868845,-0.255698,-3.41916,-2.99602,-0.255698,1
1,19,96,-0.971861,-0.61734,-3.41916,-2.99602,-0.61734,1
1,18,96,-1.04575,-0.923427,-3.41916,-2.99602,-0.923427,1
1,17,96,-0.905566,-0.486856,-3.41916,-2.99602,-0.486856,1
1,15,96,-1.17834,-0.889748,-3.41916,-2.99602,-0.889748,1
