Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-0.709688,-0.245894,-3.41916,-3.35117,-0.245894,1
1,19,99,-1.00903,0.1045,-3.41916,-3.35117,0.1045,1
1,18,99,-0.129028,0.192906,-3.41916,-3.35117,0.192906,1
1,17,99,-0.763316,0.459201,-3.41916,-3.35117,0.459201,1
1,15,99,-1.11406,0.104076,-3.41916,-3.35117,0.104076,1
1,13,99,-0.334529,-0.65815,-3.41916,-3.35117,-0.65815,0
1,12,99,-0.356263,-0.432818,-3.41916,-3.35117,-0.356263,0
1,10,99,-0.095315,0.180359,-3.41916,-3.35117,0.180359,1
1,9,99,-0.0704898,-0.31895,-3.41916,-3.35117,-0.31895,0
1,7,99,-0.481677,-0.493247,-3.41916,-3.35117,-0.493247,0
1,4,99,-0.157814,-0.526892,-3.41916,-3.35117,-0.526892,0
1,3,99,0.234802,-0.649305,-3.41916,-3.35117,-0.649305,0
1,2,99,0.583557,-0.488042,-3.41916,-3.35117,-0.488042,0
1,1,99,0.160577,-0.68642,-3.41916,-3.35117,-0.68642,0
1,20,98,-1.244,-0.308822,-3.41916,-3.12829,-0.308822,1
1,19,98,-0.771223,0.116575,-3.41916,-3.12829,0.116575,1
1,18,98,-0.326032,0.121218,-3.41916,-3.12829,0.121218,1
1,17,98,-0.720474,0.513354,-3.41916,-3.12829,0.513354,1
1,15,98,-1.15029,-0.267838,-3.41916,-3.12829,-0.267838,1
1,13,98,-0.263615,-0.584756,-3.41916,-3.12829,-0.263615,0
1,12,98,-0.130879,-0.423137,-3.41916,-3.12829,-0.423137,0
1,9,98,-0.0307671,-0.259786,-3.41916,-3.12829,-0.259786,0
1,7,98,-0.431857,-0.466308,-3.41916,-3.12829,-0.466308,0
1,4,98,0.059234,-0.364571,-3.41916,-3.12829,-0.364571,0
1,3,98,0.339226,-0.483727,-3.41916,-3.12829,-0.483727,0
1,2,98,0.572554,-0.253428,-3.41916,-3.12829,-0.253428,0
1,1,98,0.523257,-0.511367,-3.41916,-3.12829,-0.511367,0
1,20,97,-0.648821,-0.213158,-3.41916,-2.81209,-0.648821,1
1,19,97,-0.739773,-0.0376818,-3.41916,-2.81209,-0.0376818,1
1,18,97,-0.143171,0.305713,-3.41916,-2.81209,0.305713,1
1,17,97,-0.779337,0.127453,-3.41916,-2.81209,0.127453,1
1,15,97,-0.792491,0.24111,-3.41916,-2.81209,0.24111,1
1,13,97,0.115271,-0.471922,-3.41916,-2.81209,-0.471922,0
1,12,97,-0.0596976,-0.393392,-3.41916,-2.81209,-0.393392,0
1,7,97,-0.17425,-0.354642,-3.41916,-2.81209,-0.354642,0
1,4,97,0.0333064,-0.391205,-3.41916,-2.81209,-0.391205,0
