Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.4222,-0.825611,-3.41916,-3.35117,-0.825611,1
1,19,99,-1.43087,-1.19957,-3.41916,-3.35117,-1.19957,1
1,18,99,-1.35418,-2.0823,-3.41916,-3.35117,-2.0823,0
1,17,99,-1.3476,-0.830833,-3.41916,-3.35117,-0.830833,1
1,15,99,-1.62942,-1.30735,-3.41916,-3.35117,-1.30735,1
1,13,99,-1.39056,-2.29795,-3.41916,-3.35117,-2.29795,0
1,12,99,-1.5385,-2.12705,-3.41916,-3.35117,-1.5385,0
1,10,99,-1.61822,-1.20164,-3.41916,-3.35117,-1.61822,1
1,9,99,-0.71773,-1.44816,-3.41916,-3.35117,-1.44816,0
1,7,99,-1.29753,-1.46247,-3.41916,-3.35117,-1.46247,0
1,4,99,-1.07068,-1.43319,-3.41916,-3.35117,-1.43319,0
1,3,99,-1.22491,-1.62561,-3.41916,-3.35117,-1.62561,0
1,2,99,-0.914497,-1.66463,-3.41916,-3.35117,-1.66463,0
1,1,99,-1.09949,-1.53217,-3.41916,-3.35117,-1.53217,0
1,20,98,-1.58818,-0.729358,-3.41916,-3.12829,-0.729358,1
1,19,98,-1.14471,-1.04589,-3.41916,-3.12829,-1.04589,1
1,18,98,-1.43295,-2.0415,-3.41916,-3.12829,-2.0415,0
1,17,98,-1.19352,-0.81403,-3.41916,-3.12829,-0.81403,1
1,15,98,-1.90416,-1.70518,-3.41916,-3.12829,-1.70518,1
1,13,98,-1.19654,-2.14713,-3.41916,-3.12829,-1.19654,0
1,12,98,-1.48596,-2.10765,-3.41916,-3.12829,-2.10765,0
1,9,98,-0.678081,-1.4135,-3.41916,-3.12829,-1.4135,0
1,7,98,-1.20531,-1.38401,-3.41916,-3.12829,-1.38401,0
1,4,98,-1.10588,-1.33517,-3.41916,-3.12829,-1.33517,0
1,3,98,-1.12348,-1.5275,-3.41916,-3.12829,-1.5275,0
1,2,98,-0.78942,-1.56611,-3.41916,-3.12829,-1.56611,0
1,1,98,-0.961735,-1.43316,-3.41916,-3.12829,-1.43316,0
1,20,97,-1.28383,-0.680571,-3.41916,-2.81209,-1.28383,1
1,19,97,-1.08304,-1.2536,-3.41916,-2.81209,-1.2536,0
1,18,97,-0.97393,-1.76824,-3.41916,-2.81209,-1.76824,0
1,17,97,-1.434,-0.995455,-3.41916,-2.81209,-0.995455,1
1,15,97,-1.43176,-1.03129,-3.41916,-2.81209,-1.03129,1
1,13,97,-1.17557,-2.12356,-3.41916,-2.81209,-2.12356,0
1,12,97,-1.40024,-2.04264,-3.41916,-2.81209,-2.04264,0
1,7,97,-1.15368,-1.28265,-3.41916,-2.81209,-1.28265,0
1,4,97,-1.02167,-1.33569,-3.41916,-2.81209,-1.33569,0
1,3,97,-1.06385,-1.53865,-3.41916,-2.81209,-1.53865,0
1,2,97,-0.698263,-1.53252,-3.41916,-2.81209,-1.53252,0
1,20,96,-1.20365,-0.621699,-3.41916,-2.99602,-0.621699,1
1,19,96,-1.00527,-0.943141,-3.41916,-2.99602,-0.943141,1
