Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.21333,-0.694418,-3.41916,-3.35117,-0.694418,1
1,19,99,-1.90597,-0.975151,-3.41916,-3.35117,-0.975151,1
1,18,99,-1.11515,-1.48021,-3.41916,-3.35117,-1.48021,0
1,17,99,-1.27074,-0.856192,-3.41916,-3.35117,-0.856192,1
1,15,99,-1.21757,-0.748715,-3.41916,-3.35117,-0.748715,1
1,13,99,-0.892773,-0.628558,-3.41916,-3.35117,-0.628558,1
1,12,99,-1.4036,-0.577833,-3.41916,-3.35117,-1.4036,1
1,10,99,-1.47979,-1.98784,-3.41916,-3.35117,-1.47979,0
1,9,99,-1.59682,-1.10249,-3.41916,-3.35117,-1.10249,1
1,7,99,-1.28544,-1.32342,-3.41916,-3.35117,-1.32342,0
1,4,99,-1.41755,-1.23867,-3.41916,-3.35117,-1.23867,1
1,3,99,-1.33256,-1.4998,-3.41916,-3.35117,-1.4998,0
1,2,99,-1.19618,-1.57357,-3.41916,-3.35117,-1.57357,0
1,1,99,-1.5949,-1.82049,-3.41916,-3.35117,-1.82049,0
1,20,98,-1.43749,-1.30169,-3.41916,-3.12829,-1.30169,1
1,19,98,-1.55887,-0.465287,-3.41916,-3.12829,-0.465287,1
1,18,98,-1.318,-1.53472,-3.41916,-3.12829,-1.53472,0
1,17,98,-1.33535,-0.737413,-3.41916,-3.12829,-0.737413,1
1,15,98,-1.48705,-0.352685,-3.41916,-3.12829,-0.352685,1
1,13,98,-0.809173,-0.542657,-3.41916,-3.12829,-0.809173,1
1,12,98,-1.20592,-0.413328,-3.41916,-3.12829,-0.413328,1
1,9,98,-1.36133,-1.04931,-3.41916,-3.12829,-1.04931,1
1,7,98,-1.15789,-1.05311,-3.41916,-3.12829,-1.05311,1
1,4,98,-1.50158,-1.22575,-3.41916,-3.12829,-1.22575,1
1,3,98,-1.5303,-1.20994,-3.41916,-3.12829,-1.20994,1
1,2,98,-0.917836,-1.4272,-3.41916,-3.12829,-1.4272,0
1,1,98,-1.09031,-1.37706,-3.41916,-3.12829,-1.37706,0
1,20,97,-1.13381,-0.996784,-3.41916,-2.81209,-1.13381,1
1,19,97,-1.8063,-0.664928,-3.41916,-2.81209,-0.664928,1
1,18,97,-0.942877,-1.23428,-3.41916,-2.81209,-1.23428,0
1,17,97,-1.42966,-0.952446,-3.41916,-2.81209,-0.952446,1
1,15,97,-0.944133,-0.605377,-3.41916,-2.81209,-0.605377,1
1,13,97,-0.694205,-0.32877,-3.41916,-2.81209,-0.32877,1
1,12,97,-1.12155,-0.377267,-3.41916,-2.81209,-0.377267,1
1,7,97,-1.09578,-1.05768,-3.41916,-2.81209,-1.05768,1
1,4,97,-1.36759,-1.15398,-3.41916,-2.81209,-1.15398,1
1,3,97,-1.37956,-1.40609,-3.41916,-2.81209,-1.40609,0
1,2,97,-0.39589,-1.5536,-3.41916,-2.81209,-1.5536,0
1,20,96,-1.0121,-0.880262,-3.41916,-2.99602,-0.880262,1
1,19,96,-1.47053,-0.589399,-3.41916,-2.99602,-0.589399,1
1,18,96,-1.15338,-1.3759,-3.41916,-2.99602,-1.3759,0
1,17,96,-0.9646,-0.554791,-3.41916,-2.99602,-0.554791,1
1,15,96,-0.853169,-0.612059,-3.41916,-2.99602,-0.612059,1
1,13,96,-0.764537,-0.409886,-3.41916,-2.99602,-0.764537,1
1,12,96,-0.981216,-0.194131,-3.41916,-2.99602,-0.194131,1
1,9,96,-1.15319,-0.749206,-3.41916,-2.99602,-0.749206,1
1,7,96,-0.83617,-0.762073,-3.41916,-2.99602,-0.762073,1
1,4,96,-1.24814,-1.10407,-3.41916,-2.99602,-1.10407,1
1,3,96,-1.29949,-1.24446,-3.41916,-2.99602,-1.24446,1
1,2,96,-0.731757,-1.36737,-3.41916,-2.99602,-1.36737,0
1,19,95,-1.31186,-0.440843,-3.41916,-2.85377,-0.440843,1
1,17,95,-1.27515,-0.756024,-3.41916,-2.85377,-0.756024,1
1,15,95,-1.03006,-0.638017,-3.41916,-2.85377,-0.638017,1
1,13,95,-0.52724,-0.290566,-3.41916,-2.85377,-0.290566,1
1,7,95,-0.887037,-0.924699,-3.41916,-2.85377,-0.924699,0
1,4,95,-1.09051,-0.781791,-3.41916,-2.85377,-0.781791,1
1,2,95,-0.535336,-1.31955,-3.41916,-2.85377,-1.31955,0
1,1,95,-1.30694,-1.39688,-3.41916,-2.85377,-1.39688,0
1,19,94,-1.29233,-0.360686,-3.41916,-2.55553,-0.360686,1
1,17,94,-0.958982,-0.679928,-3.41916,-2.55553,-0.679928,1
1,15,94,-0.555795,-0.513847,-3.41916,-2.55553,-0.513847,1
1,13,94,-0.561437,-0.577441,-3.41916,-2.55553,-0.577441,0
1,7,94,-0.592941,-0.591437,-3.41916,-2.55553,-0.591437,1
1,4,94,-1.13299,-0.531893,-3.41916,-2.55553,-0.531893,1
1,2,94,-0.51107,-1.28547,-3.41916,-2.55553,-1.28547,0
1,1,94,-1.06191,-0.983232,-3.41916,-2.55553,-0.983232,1
1,19,93,-1.2927,-0.306044,-3.41916,-2.51688,-0.306044,1
1,17,93,-0.817051,-0.560993,-3.41916,-2.51688,-0.560993,1
1,15,93,-0.792909,-0.547695,-3.41916,-2.51688,-0.547695,1
1,13,93,-0.833923,-0.715014,-3.41916,-2.51688,-0.715014,1
1,7,93,-0.389775,-0.456998,-3.41916,-2.51688,-0.456998,0
1,4,93,-0.818686,-0.515965,-3.41916,-2.51688,-0.515965,1
1,2,93,-0.476555,-1.20647,-3.41916,-2.51688,-1.20647,0
1,1,93,-1.11543,-1.27071,-3.41916,-2.51688,-1.27071,0
1,19,92,-1.26307,-0.298437,-6.43894,-2.39982,-0.298437,1
1,17,92,-0.434894,-0.439041,-6.43894,-2.39982,-0.439041,0
1,15,92,-0.59595,-0.340147,-6.43894,-2.39982,-0.340147,1
1,13,92,-0.447744,-0.31542,-6.43894,-2.39982,-0.31542,1
1,7,92,-0.284561,-0.277744,-6.43894,-2.39982,-0.277744,1
1,4,92,-0.734649,-0.599338,-6.43894,-2.39982,-0.599338,1
1,2,92,-0.400372,-1.03506,-6.43894,-2.39982,-1.03506,0
1,1,92,-0.649739,-1.01777,-6.43894,-2.39982,-1.01777,0
1,19,91,-1.20463,-0.313037,-6.29331,-2.45927,-0.313037,1
1,17,91,-0.584035,-0.403819,-6.29331,-2.45927,-0.403819,1
1,15,91,-0.469604,-0.245544,-6.29331,-2.45927,-0.469604,1
1,13,91,-0.578144,-0.450799,-6.29331,-2.45927,-0.450799,1
1,7,91,-0.147465,-0.132256,-6.29331,-2.45927,-0.132256,1
1,4,91,-0.38831,-0.180137,-6.29331,-2.45927,-0.180137,1
1,2,91,-0.104143,-0.620022,-6.29331,-2.45927,-0.620022,0
1,1,91,-0.778225,-1.18582,-6.29331,-2.45927,-1.18582,0
1,19,90,-1.2062,-0.299821,-6.05291,-2.36134,-0.299821,1
1,17,90,-0.616177,-0.373853,-6.05291,-2.36134,-0.373853,1
1,15,90,-0.317112,-0.130423,-6.05291,-2.36134,-0.130423,1
1,13,90,-0.419405,-0.409852,-6.05291,-2.36134,-0.409852,1
1,7,90,-0.244877,-0.20147,-6.05291,-2.36134,-0.20147,1
1,4,90,-0.221419,-0.00757971,-6.05291,-2.36134,-0.00757971,1
1,2,90,-0.309983,-0.573116,-6.05291,-2.36134,-0.573116,0
1,1,90,-0.598402,-0.83836,-6.05291,-2.36134,-0.83836,0
1,19,89,-1.21166,-0.238716,-5.75042,-2.39784,-0.238716,1
1,17,89,-0.469317,-0.347739,-5.75042,-2.39784,-0.469317,1
1,15,89,-0.403552,-0.153511,-5.75042,-2.39784,-0.153511,1
1,13,89,-0.264971,-0.326471,-5.75042,-2.39784,-0.326471,0
1,7,89,-0.0041166,-0.00832233,-5.75042,-2.39784,-0.00832233,0
1,4,89,-0.223511,0.141891,-5.75042,-2.39784,0.141891,1
1,2,89,-0.0713745,-0.512024,-5.75042,-2.39784,-0.512024,0
1,1,89,-0.622094,-1.01228,-5.75042,-2.39784,-1.01228,0
1,19,88,-0.700416,-0.0196944,-5.55605,-2.24038,-0.700416,1
1,17,88,-0.452592,-0.314783,-5.55605,-2.24038,-0.314783,1
1,15,88,-0.346105,-0.151038,-5.55605,-2.24038,-0.151038,1
