Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-0.671036,-0.874826,-3.41916,-3.35117,-0.874826,0
1,19,99,-1.71856,-0.872126,-3.41916,-3.35117,-0.872126,1
1,18,99,-1.06476,-1.44759,-3.41916,-3.35117,-1.44759,0
1,17,99,-1.41065,-1.3245,-3.41916,-3.35117,-1.3245,1
1,15,99,-0.951672,-1.04193,-3.41916,-3.35117,-1.04193,0
1,13,99,-0.80928,0.0492421,-3.41916,-3.35117,0.0492421,1
1,12,99,-0.613908,-0.739864,-3.41916,-3.35117,-0.613908,0
1,10,99,-0.81448,-0.504314,-3.41916,-3.35117,-0.504314,1
1,9,99,-1.55876,-0.145925,-3.41916,-3.35117,-0.145925,1
1,7,99,-0.858539,-0.0868615,-3.41916,-3.35117,-0.0868615,1
1,4,99,-0.311649,-0.687724,-3.41916,-3.35117,-0.687724,0
1,3,99,-0.305388,-0.554963,-3.41916,-3.35117,-0.554963,0
1,2,99,-0.333029,-0.367935,-3.41916,-3.35117,-0.367935,0
1,1,99,-0.286373,-0.762177,-3.41916,-3.35117,-0.762177,0
1,20,98,-0.735836,-0.941762,-3.41916,-3.12829,-0.941762,0
1,19,98,-1.44603,-0.722617,-3.41916,-3.12829,-0.722617,1
1,18,98,-1.0416,-1.41034,-3.41916,-3.12829,-1.41034,0
1,17,98,-1.48717,-1.36383,-3.41916,-3.12829,-1.36383,1
1,15,98,-1.46971,-0.576131,-3.41916,-3.12829,-0.576131,1
1,13,98,-0.688936,-0.0593083,-3.41916,-3.12829,-0.688936,1
1,12,98,-0.562931,-0.533401,-3.41916,-3.12829,-0.533401,1
1,9,98,-1.32912,0.0979528,-3.41916,-3.12829,0.0979528,1
1,7,98,-0.788929,-0.0158213,-3.41916,-3.12829,-0.0158213,1
1,4,98,-0.220023,-0.60792,-3.41916,-3.12829,-0.60792,0
1,3,98,-0.210637,-0.438149,-3.41916,-3.12829,-0.438149,0
1,2,98,-0.207473,-0.228633,-3.41916,-3.12829,-0.228633,0
1,1,98,-0.079257,-0.456208,-3.41916,-3.12829,-0.456208,0
1,20,97,-0.578632,-0.845843,-3.41916,-2.81209,-0.578632,0
1,19,97,-1.41791,-0.288462,-3.41916,-2.81209,-0.288462,1
1,18,97,-0.789559,-1.10636,-3.41916,-2.81209,-1.10636,0
1,17,97,-1.19137,-1.30151,-3.41916,-2.81209,-1.30151,0
1,15,97,-0.613804,-0.843363,-3.41916,-2.81209,-0.843363,0
1,13,97,-0.694045,0.183061,-3.41916,-2.81209,0.183061,1
1,12,97,-0.411924,-0.415131,-3.41916,-2.81209,-0.415131,0
1,7,97,-0.507094,0.10137,-3.41916,-2.81209,0.10137,1
1,4,97,-0.125909,-0.503755,-3.41916,-2.81209,-0.503755,0
1,3,97,-0.1792,-0.369269,-3.41916,-2.81209,-0.369269,0
1,2,97,-0.102938,-0.162813,-3.41916,-2.81209,-0.162813,0
1,20,96,-0.480668,-0.711744,-3.41916,-2.99602,-0.711744,0
1,19,96,-1.23343,-0.162546,-3.41916,-2.99602,-0.162546,1
1,18,96,-0.994623,-1.11093,-3.41916,-2.99602,-1.11093,0
1,17,96,-0.934528,-1.06877,-3.41916,-2.99602,-1.06877,0
1,15,96,-0.631139,-0.785761,-3.41916,-2.99602,-0.785761,0
1,13,96,-0.940077,0.171505,-3.41916,-2.99602,-0.940077,1
1,12,96,-0.406942,-0.328357,-3.41916,-2.99602,-0.328357,1
1,9,96,-0.972643,0.296701,-3.41916,-2.99602,0.296701,1
1,7,96,-0.425566,0.192211,-3.41916,-2.99602,0.192211,1
1,4,96,-1.27697e-05,-0.453284,-3.41916,-2.99602,-0.453284,0
1,3,96,-0.0537814,-0.327496,-3.41916,-2.99602,-0.327496,0
1,2,96,-0.10984,-0.11773,-3.41916,-2.99602,-0.11773,0
1,19,95,-1.12508,-0.0856611,-3.41916,-2.85377,-0.0856611,1
1,17,95,-0.768527,-1.00657,-3.41916,-2.85377,-1.00657,0
1,15,95,-0.611271,-0.754207,-3.41916,-2.85377,-0.754207,0
1,13,95,-0.548405,0.341498,-3.41916,-2.85377,0.341498,1
1,7,95,-0.404984,0.193319,-3.41916,-2.85377,0.193319,1
1,4,95,0.102703,-0.330718,-3.41916,-2.85377,-0.330718,0
1,2,95,-0.0592103,0.040216,-3.41916,-2.85377,0.040216,1
1,1,95,0.171628,-0.138953,-3.41916,-2.85377,-0.138953,0
1,19,94,-0.925907,0.00235048,-3.41916,-2.55553,0.00235048,1
1,17,94,-0.793011,-0.894717,-3.41916,-2.55553,-0.894717,0
1,15,94,-0.282587,-0.487823,-3.41916,-2.55553,-0.487823,0
1,13,94,-0.510311,0.435894,-3.41916,-2.55553,0.435894,1
1,7,94,-0.24948,0.275933,-3.41916,-2.55553,0.275933,1
1,4,94,0.170174,-0.215879,-3.41916,-2.55553,-0.215879,0
1,2,94,0.0472913,0.120974,-3.41916,-2.55553,0.120974,1
1,1,94,0.0651347,-0.284103,-3.41916,-2.55553,-0.284103,0
1,19,93,-0.947071,0.159551,-3.41916,-2.51688,0.159551,1
1,17,93,-0.699388,-0.857782,-3.41916,-2.51688,-0.857782,0
1,15,93,-0.139312,-0.532305,-3.41916,-2.51688,-0.532305,0
1,13,93,-0.499716,0.495962,-3.41916,-2.51688,0.495962,1
1,7,93,-0.247568,0.32857,-3.41916,-2.51688,0.32857,1
1,4,93,0.245621,-0.178908,-3.41916,-2.51688,-0.178908,0
1,2,93,0.181409,0.190142,-3.41916,-2.51688,0.190142,1
1,1,93,0.231447,-0.0933528,-3.41916,-2.51688,-0.0933528,0
1,19,92,-0.934237,0.0639069,-6.43894,-2.39982,0.0639069,1
1,17,92,-0.492167,-0.717659,-6.43894,-2.39982,-0.717659,0
1,15,92,-0.10382,-0.436862,-6.43894,-2.39982,-0.436862,0
1,13,92,-0.127364,0.697998,-6.43894,-2.39982,0.697998,1
1,7,92,-0.104789,0.380881,-6.43894,-2.39982,0.380881,1
1,4,92,0.261023,-0.182077,-6.43894,-2.39982,-0.182077,0
1,2,92,0.317869,0.286472,-6.43894,-2.39982,0.286472,0
1,1,92,0.418394,0.00296297,-6.43894,-2.39982,0.00296297,0
1,19,91,-0.807408,0.122408,-6.29331,-2.45927,0.122408,1
1,17,91,-0.550723,-0.771235,-6.29331,-2.45927,-0.771235,0
1,15,91,-0.00842402,-0.315449,-6.29331,-2.45927,-0.00842402,0
1,13,91,-0.10465,0.703348,-6.29331,-2.45927,0.703348,1
1,7,91,-0.0465308,0.518291,-6.29331,-2.45927,0.518291,1
1,4,91,0.352138,-0.0510062,-6.29331,-2.45927,-0.0510062,0
1,2,91,0.4197,0.405253,-6.29331,-2.45927,0.405253,0
1,1,91,0.534024,0.173153,-6.29331,-2.45927,0.173153,0
1,19,90,-0.841979,0.146776,-6.05291,-2.36134,0.146776,1
1,17,90,-0.631196,-0.725114,-6.05291,-2.36134,-0.725114,0
1,15,90,0.120082,-0.139019,-6.05291,-2.36134,-0.139019,0
1,13,90,-0.0664262,0.739053,-6.05291,-2.36134,0.739053,1
1,7,90,-0.245537,0.469581,-6.05291,-2.36134,0.469581,1
1,4,90,0.461234,0.0206497,-6.05291,-2.36134,0.0206497,0
1,2,90,0.427387,0.420222,-6.05291,-2.36134,0.420222,0
1,1,90,0.600999,0.328413,-6.05291,-2.36134,0.328413,0
1,19,89,-0.889351,0.368023,-5.75042,-2.39784,0.368023,1
1,17,89,-0.555452,-0.757717,-5.75042,-2.39784,-0.555452,0
1,15,89,0.110132,-0.213653,-5.75042,-2.39784,-0.213653,0
1,13,89,0.0518964,0.750134,-5.75042,-2.39784,0.750134,1
1,7,89,-0.127689,0.593415,-5.75042,-2.39784,0.593415,1
1,4,89,0.544713,0.140913,-5.75042,-2.39784,0.140913,0
1,2,89,0.511345,0.498605,-5.75042,-2.39784,0.498605,0
1,1,89,0.660869,0.377085,-5.75042,-2.39784,0.377085,0
1,19,88,-0.342023,0.51657,-5.55605,-2.24038,-0.342023,1
1,17,88,-0.545951,-0.686441,-5.55605,-2.24038,-0.686441,0
1,15,88,0.105882,-0.141019,-5.55605,-2.24038,-0.141019,0
1,13,88,0.211708,0.915292,-5.55605,-2.24038,0.915292,1
1,7,88,0.256365,0.77748,-5.55605,-2.24038,0.77748,1
1,4,88,0.614587,0.253964,-5.55605,-2.24038,0.253964,0
1,2,88,0.577552,0.615253,-5.55605,-2.24038,0.615253,1
1,1,88,0.724904,0.356944,-5.55605,-2.24038,0.356944,0
1,19,87,-0.259972,0.600279,-5.60239,-2.09737,0.600279,1
1,17,87,-0.662099,-0.756548,-5.60239,-2.09737,-0.756548,0
1,15,87,-0.330296,0.0386609,-5.60239,-2.09737,0.0386609,1
1,13,87,0.0737566,0.943559,-5.60239,-2.09737,0.943559,1
1,7,87,0.435734,0.795391,-5.60239,-2.09737,0.795391,1
1,4,87,0.254368,0.253057,-5.60239,-2.09737,0.253057,0
1,2,87,0.696131,0.611806,-5.60239,-2.09737,0.611806,0
1,1,87,0.84995,0.489238,-5.60239,-2.09737,0.489238,0
1,19,86,-0.22376,0.85279,-5.61978,-2.01828,0.85279,1
1,17,86,-0.264494,-0.44013,-5.61978,-2.01828,-0.264494,0
1,15,86,-0.0588655,0.020415,-5.61978,-2.01828,0.020415,1
1,13,86,-0.109381,0.761755,-5.61978,-2.01828,-0.109381,1
1,7,86,0.593514,0.918373,-5.61978,-2.01828,0.918373,1
1,4,86,0.565486,0.313421,-5.61978,-2.01828,0.313421,0
1,2,86,0.810254,0.702297,-5.61978,-2.01828,0.702297,0
1,1,86,0.890681,0.584148,-5.61978,-2.01828,0.584148,0
1,19,85,-0.537665,-0.238621,-5.14185,-2.10808,-0.238621,1
