Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.40628,-1.21164,-3.41916,-3.35117,-1.21164,1
1,19,99,-1.72537,-1.04085,-3.41916,-3.35117,-1.04085,1
1,18,99,-1.23739,-0.908751,-3.41916,-3.35117,-0.908751,1
1,17,99,-1.0108,-0.704982,-3.41916,-3.35117,-0.704982,1
1,15,99,-1.13888,-0.926826,-3.41916,-3.35117,-0.926826,1
1,13,99,-1.44144,-0.615129,-3.41916,-3.35117,-0.615129,1
1,12,99,-0.930649,-1.19863,-3.41916,-3.35117,-0.930649,0
1,10,99,-1.30408,-0.392809,-3.41916,-3.35117,-1.30408,1
1,9,99,-0.447051,-1.27282,-3.41916,-3.35117,-1.27282,0
1,7,99,-0.850187,-0.949284,-3.41916,-3.35117,-0.949284,0
1,4,99,-0.615197,-1.06367,-3.41916,-3.35117,-1.06367,0
1,3,99,-0.692013,-0.594178,-3.41916,-3.35117,-0.594178,1
1,2,99,-0.0980139,-0.661504,-3.41916,-3.35117,-0.661504,0
1,1,99,0.0837096,-0.67477,-3.41916,-3.35117,-0.67477,0
1,20,98,-1.40829,-1.4011,-3.41916,-3.12829,-1.4011,1
1,19,98,-1.55458,-0.645831,-3.41916,-3.12829,-0.645831,1
1,18,98,-1.22733,-0.954716,-3.41916,-3.12829,-0.954716,1
1,17,98,-1.06557,-0.619082,-3.41916,-3.12829,-0.619082,1
1,15,98,-1.40981,-0.865526,-3.41916,-3.12829,-0.865526,1
1,13,98,-1.45133,-0.714164,-3.41916,-3.12829,-1.45133,1
1,12,98,-0.807893,-0.9335,-3.41916,-3.12829,-0.9335,0
1,9,98,-0.386699,-1.19819,-3.41916,-3.12829,-1.19819,0
1,7,98,-0.609631,-0.814941,-3.41916,-3.12829,-0.814941,0
1,4,98,-0.322082,-0.807645,-3.41916,-3.12829,-0.807645,0
1,3,98,-0.463752,-0.353538,-3.41916,-3.12829,-0.353538,1
1,2,98,-0.37716,-0.295506,-3.41916,-3.12829,-0.295506,1
1,1,98,-0.414741,-0.692978,-3.41916,-3.12829,-0.692978,0
1,20,97,-1.22979,-1.12812,-3.41916,-2.81209,-1.22979,1
1,19,97,-1.49437,-0.646475,-3.41916,-2.81209,-0.646475,1
1,18,97,-0.983685,-0.785346,-3.41916,-2.81209,-0.785346,1
1,17,97,-1.26945,-0.627281,-3.41916,-2.81209,-0.627281,1
1,15,97,-0.883833,-0.837161,-3.41916,-2.81209,-0.837161,1
1,13,97,-1.14811,-0.534618,-3.41916,-2.81209,-0.534618,1
1,12,97,-0.853644,-0.871512,-3.41916,-2.81209,-0.871512,0
1,7,97,-0.500297,-0.681153,-3.41916,-2.81209,-0.681153,0
1,4,97,-0.41731,-0.74331,-3.41916,-2.81209,-0.74331,0
1,3,97,-0.522219,-0.298297,-3.41916,-2.81209,-0.298297,1
1,2,97,-0.232075,-0.473912,-3.41916,-2.81209,-0.473912,0
1,20,96,-1.03477,-0.955855,-3.41916,-2.99602,-0.955855,1
1,19,96,-1.39749,-0.602073,-3.41916,-2.99602,-0.602073,1
1,18,96,-1.02261,-0.670829,-3.41916,-2.99602,-0.670829,1
1,17,96,-0.953524,-0.467781,-3.41916,-2.99602,-0.467781,1
1,15,96,-0.770217,-0.631578,-3.41916,-2.99602,-0.631578,1
1,13,96,-1.15467,-0.575996,-3.41916,-2.99602,-1.15467,1
1,12,96,-0.808794,-0.8799,-3.41916,-2.99602,-0.8799,0
