Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.43667,-1.12331,-3.41916,-3.35117,-1.12331,1
1,19,99,-2.109,-1.46498,-3.41916,-3.35117,-1.46498,1
1,18,99,-1.59612,-0.615575,-3.41916,-3.35117,-0.615575,1
1,17,99,-1.29566,-1.05872,-3.41916,-3.35117,-1.05872,1
1,15,99,-1.28771,-2.0494,-3.41916,-3.35117,-2.0494,0
1,13,99,-1.08453,-0.892515,-3.41916,-3.35117,-0.892515,1
1,12,99,-1.17673,-1.1645,-3.41916,-3.35117,-1.17673,1
1,10,99,-0.711493,-1.17177,-3.41916,-3.35117,-1.17177,0
1,9,99,-1.15435,-0.88901,-3.41916,-3.35117,-0.88901,1
1,7,99,-0.642601,-0.741978,-3.41916,-3.35117,-0.741978,0
1,4,99,-0.571959,-1.09673,-3.41916,-3.35117,-1.09673,0
1,3,99,-0.746426,-0.852314,-3.41916,-3.35117,-0.852314,0
1,2,99,-0.705197,-0.914519,-3.41916,-3.35117,-0.914519,0
1,1,99,-0.577391,-1.12374,-3.41916,-3.35117,-1.12374,0
1,20,98,-1.54017,-1.22401,-3.41916,-3.12829,-1.22401,1
1,19,98,-1.87764,-1.20553,-3.41916,-3.12829,-1.20553,1
1,18,98,-1.57271,-0.666754,-3.41916,-3.12829,-0.666754,1
1,17,98,-1.48255,-1.23592,-3.41916,-3.12829,-1.23592,1
1,15,98,-1.28148,-1.49367,-3.41916,-3.12829,-1.49367,0
1,13,98,-1.02163,-0.915412,-3.41916,-3.12829,-1.02163,1
1,12,98,-1.07095,-0.844307,-3.41916,-3.12829,-0.844307,1
1,9,98,-0.91739,-0.745898,-3.41916,-3.12829,-0.745898,1
1,7,98,-0.637046,-0.744171,-3.41916,-3.12829,-0.744171,0
1,4,98,-0.377639,-0.823967,-3.41916,-3.12829,-0.823967,0
1,3,98,-0.552919,-0.706104,-3.41916,-3.12829,-0.706104,0
1,2,98,-0.49827,-0.773795,-3.41916,-3.12829,-0.773795,0
1,1,98,-0.469157,-1.04399,-3.41916,-3.12829,-1.04399,0
1,20,97,-1.45691,-1.09076,-3.41916,-2.81209,-1.45691,1
1,19,97,-1.74917,-1.09914,-3.41916,-2.81209,-1.09914,1
1,18,97,-1.33717,-0.485818,-3.41916,-2.81209,-0.485818,1
1,17,97,-1.54722,-1.09021,-3.41916,-2.81209,-1.09021,1
