Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.36961,-0.792664,-3.41916,-3.35117,-0.792664,1
1,19,99,-1.50659,-0.750166,-3.41916,-3.35117,-0.750166,1
1,18,99,-1.31086,-1.29743,-3.41916,-3.35117,-1.29743,1
1,17,99,-0.869086,-0.651093,-3.41916,-3.35117,-0.651093,1
1,15,99,-1.26681,-1.17548,-3.41916,-3.35117,-1.17548,1
1,13,99,-1.14488,-0.339338,-3.41916,-3.35117,-0.339338,1
1,12,99,-1.1859,-0.714393,-3.41916,-3.35117,-1.1859,1
1,10,99,-1.08638,-0.523746,-3.41916,-3.35117,-0.523746,1
1,9,99,-1.17493,0.328614,-3.41916,-3.35117,0.328614,1
1,7,99,-0.798476,-0.497652,-3.41916,-3.35117,-0.497652,1
1,4,99,-0.518494,-0.720346,-3.41916,-3.35117,-0.720346,0
1,3,99,-0.310962,-0.408786,-3.41916,-3.35117,-0.408786,0
1,2,99,-0.449154,-0.264048,-3.41916,-3.35117,-0.264048,1
1,1,99,-0.0102628,-0.334736,-3.41916,-3.35117,-0.334736,0
1,20,98,-1.52048,-1.01291,-3.41916,-3.12829,-1.01291,1
1,19,98,-1.3817,-0.625334,-3.41916,-3.12829,-0.625334,1
1,18,98,-1.35087,-1.21889,-3.41916,-3.12829,-1.21889,1
1,17,98,-0.814451,-0.562382,-3.41916,-3.12829,-0.562382,1
1,15,98,-1.28073,-0.955473,-3.41916,-3.12829,-0.955473,1
1,13,98,-1.10619,-0.392974,-3.41916,-3.12829,-1.10619,1
1,12,98,-0.798176,-0.438556,-3.41916,-3.12829,-0.438556,1
1,9,98,-1.12418,0.472935,-3.41916,-3.12829,0.472935,1
1,7,98,-0.707192,-0.425412,-3.41916,-3.12829,-0.425412,1
1,4,98,-0.327295,-0.715088,-3.41916,-3.12829,-0.715088,0
1,3,98,-0.242088,-0.379037,-3.41916,-3.12829,-0.379037,0
1,2,98,-0.261134,-0.46098,-3.41916,-3.12829,-0.46098,0
1,1,98,-0.109181,-0.685873,-3.41916,-3.12829,-0.685873,0
1,20,97,-1.3355,-0.737572,-3.41916,-2.81209,-1.3355,1
