Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.19798,-1.28579,-3.41916,-3.35117,-1.28579,0
1,19,99,-1.91774,-1.43566,-3.41916,-3.35117,-1.43566,1
1,18,99,-1.66416,-0.895605,-3.41916,-3.35117,-0.895605,1
1,17,99,-1.11229,-0.385259,-3.41916,-3.35117,-0.385259,1
1,15,99,-1.31893,-1.05668,-3.41916,-3.35117,-1.05668,1
1,13,99,-1.27514,-0.736269,-3.41916,-3.35117,-0.736269,1
1,12,99,-1.70188,-0.51099,-3.41916,-3.35117,-1.70188,1
1,10,99,-2.00971,-1.20165,-3.41916,-3.35117,-2.00971,1
1,9,99,-1.18974,-0.602016,-3.41916,-3.35117,-0.602016,1
1,7,99,-1.65536,-1.61127,-3.41916,-3.35117,-1.61127,1
1,4,99,-1.04839,-1.86601,-3.41916,-3.35117,-1.86601,0
1,3,99,-1.36184,-1.17745,-3.41916,-3.35117,-1.17745,1
1,2,99,-1.3374,-1.50058,-3.41916,-3.35117,-1.50058,0
1,1,99,-1.26035,-1.38172,-3.41916,-3.35117,-1.38172,0
1,20,98,-1.35053,-1.29657,-3.41916,-3.12829,-1.29657,1
1,19,98,-1.83547,-1.20428,-3.41916,-3.12829,-1.20428,1
1,18,98,-1.63855,-0.797823,-3.41916,-3.12829,-0.797823,1
1,17,98,-1.39105,-0.406864,-3.41916,-3.12829,-0.406864,1
1,15,98,-1.7067,-1.04254,-3.41916,-3.12829,-1.04254,1
1,13,98,-1.50196,-0.668211,-3.41916,-3.12829,-1.50196,1
1,12,98,-1.26471,-0.54066,-3.41916,-3.12829,-0.54066,1
1,9,98,-1.1834,-0.493984,-3.41916,-3.12829,-0.493984,1
1,7,98,-1.52086,-1.4954,-3.41916,-3.12829,-1.4954,1
1,4,98,-1.00705,-1.84728,-3.41916,-3.12829,-1.84728,0
1,3,98,-1.11458,-0.939512,-3.41916,-3.12829,-0.939512,1
1,2,98,-1.12017,-1.24128,-3.41916,-3.12829,-1.24128,0
1,1,98,-0.70131,-0.867202,-3.41916,-3.12829,-0.867202,0
1,20,97,-1.11004,-1.1394,-3.41916,-2.81209,-1.11004,0
1,19,97,-1.94135,-1.02703,-3.41916,-2.81209,-1.02703,1
1,18,97,-1.20442,-0.643029,-3.41916,-2.81209,-0.643029,1
1,17,97,-1.54115,-0.534892,-3.41916,-2.81209,-0.534892,1
1,15,97,-0.985346,-0.942254,-3.41916,-2.81209,-0.942254,1
1,13,97,-1.13189,-0.57048,-3.41916,-2.81209,-0.57048,1
1,12,97,-1.46798,-0.37259,-3.41916,-2.81209,-0.37259,1
1,7,97,-1.34084,-1.32649,-3.41916,-2.81209,-1.32649,1
1,4,97,-0.885358,-1.62713,-3.41916,-2.81209,-1.62713,0
1,3,97,-1.17771,-0.906819,-3.41916,-2.81209,-0.906819,1
1,2,97,-1.09098,-1.2308,-3.41916,-2.81209,-1.2308,0
1,20,96,-0.964646,-1.04166,-3.41916,-2.99602,-1.04166,0
1,19,96,-1.60391,-1.05823,-3.41916,-2.99602,-1.05823,1
1,18,96,-1.0836,-0.518985,-3.41916,-2.99602,-0.518985,1
1,17,96,-1.29078,-0.141711,-3.41916,-2.99602,-0.141711,1
1,15,96,-1.07142,-0.843061,-3.41916,-2.99602,-0.843061,1
1,13,96,-1.28109,-0.783218,-3.41916,-2.99602,-1.28109,1
1,12,96,-1.13069,-0.286769,-3.41916,-2.99602,-0.286769,1
1,9,96,-0.952042,-0.28212,-3.41916,-2.99602,-0.28212,1
1,7,96,-1.17098,-1.26612,-3.41916,-2.99602,-1.26612,0
1,4,96,-0.760918,-1.53874,-3.41916,-2.99602,-1.53874,0
1,3,96,-1.14532,-0.994286,-3.41916,-2.99602,-0.994286,1
1,2,96,-1.23932,-1.09379,-3.41916,-2.99602,-1.09379,1
1,19,95,-1.42832,-0.857998,-3.41916,-2.85377,-0.857998,1
1,17,95,-0.984625,-0.105893,-3.41916,-2.85377,-0.105893,1
1,15,95,-1.17622,-0.80473,-3.41916,-2.85377,-0.80473,1
1,13,95,-0.966419,-0.637542,-3.41916,-2.85377,-0.637542,1
1,7,95,-1.14785,-1.16305,-3.41916,-2.85377,-1.16305,0
1,4,95,-0.601469,-1.42781,-3.41916,-2.85377,-1.42781,0
1,2,95,-1.07272,-0.995265,-3.41916,-2.85377,-0.995265,1
1,1,95,-0.774846,-1.24771,-3.41916,-2.85377,-1.24771,0
1,19,94,-1.35575,-0.750123,-3.41916,-2.55553,-0.750123,1
1,17,94,-1.09233,0.00632037,-3.41916,-2.55553,0.00632037,1
1,15,94,-0.777783,-0.636667,-3.41916,-2.55553,-0.636667,1
1,13,94,-1.01358,-0.467757,-3.41916,-2.55553,-0.467757,1
1,7,94,-0.990446,-1.00035,-3.41916,-2.55553,-1.00035,0
1,4,94,-0.416732,-1.14984,-3.41916,-2.55553,-1.14984,0
1,2,94,-0.973807,-0.812709,-3.41916,-2.55553,-0.812709,1
1,1,94,-0.859423,-1.32452,-3.41916,-2.55553,-1.32452,0
1,19,93,-1.3021,-0.656279,-3.41916,-2.51688,-0.656279,1
1,17,93,-0.978508,0.104923,-3.41916,-2.51688,0.104923,1
1,15,93,-0.804594,-0.656464,-3.41916,-2.51688,-0.656464,1
1,13,93,-1.05982,-0.468036,-3.41916,-2.51688,-0.468036,1
1,7,93,-0.992881,-0.927392,-3.41916,-2.51688,-0.927392,1
1,4,93,-0.381623,-1.07599,-3.41916,-2.51688,-1.07599,0
1,2,93,-0.736448,-0.719811,-3.41916,-2.51688,-0.719811,1
1,1,93,-0.547623,-0.913949,-3.41916,-2.51688,-0.913949,0
1,19,92,-1.43605,-0.717171,-6.43894,-2.39982,-0.717171,1
1,17,92,-0.571325,0.334606,-6.43894,-2.39982,0.334606,1
1,15,92,-0.580639,-0.447936,-6.43894,-2.39982,-0.447936,1
1,13,92,-0.700431,-0.264581,-6.43894,-2.39982,-0.264581,1
1,7,92,-0.777099,-0.762551,-6.43894,-2.39982,-0.762551,1
1,4,92,-0.204492,-1.16552,-6.43894,-2.39982,-1.16552,0
1,2,92,-0.632823,-0.639746,-6.43894,-2.39982,-0.639746,0
1,1,92,-0.509542,-1.03432,-6.43894,-2.39982,-1.03432,0
1,19,91,-1.20488,-0.653779,-6.29331,-2.45927,-1.20488,1
1,17,91,-0.592118,0.27784,-6.29331,-2.45927,0.27784,1
1,15,91,-0.468886,-0.384752,-6.29331,-2.45927,-0.468886,1
1,13,91,-0.840511,0.0584992,-6.29331,-2.45927,0.0584992,1
1,7,91,-0.643071,-0.651887,-6.29331,-2.45927,-0.651887,0
1,4,91,-0.122445,-0.83236,-6.29331,-2.45927,-0.83236,0
