Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.72767,-1.13846,-3.41916,-3.35117,-1.13846,1
1,19,99,-1.43682,-1.4244,-3.41916,-3.35117,-1.4244,1
1,18,99,-1.50191,-0.661719,-3.41916,-3.35117,-0.661719,1
1,17,99,-1.10865,-1.41994,-3.41916,-3.35117,-1.41994,0
1,15,99,-1.23918,-0.334932,-3.41916,-3.35117,-0.334932,1
1,13,99,-1.04797,-0.445893,-3.41916,-3.35117,-0.445893,1
1,12,99,-1.17392,-0.788519,-3.41916,-3.35117,-1.17392,1
1,10,99,-1.48683,-1.05885,-3.41916,-3.35117,-1.48683,1
1,9,99,-1.15302,-1.29306,-3.41916,-3.35117,-1.29306,0
1,7,99,-1.19901,-1.44324,-3.41916,-3.35117,-1.44324,0
1,4,99,-0.860834,-1.25536,-3.41916,-3.35117,-1.25536,0
1,3,99,-0.914432,-1.01615,-3.41916,-3.35117,-1.01615,0
1,2,99,-0.433463,-0.924509,-3.41916,-3.35117,-0.924509,0
1,1,99,-0.909029,-1.11136,-3.41916,-3.35117,-1.11136,0
1,20,98,-1.92067,-1.18124,-3.41916,-3.12829,-1.18124,1
1,19,98,-1.47063,-1.124,-3.41916,-3.12829,-1.124,1
1,18,98,-1.45437,-0.634543,-3.41916,-3.12829,-0.634543,1
1,17,98,-1.6638,-1.36805,-3.41916,-3.12829,-1.36805,1
1,15,98,-1.53679,-0.411274,-3.41916,-3.12829,-0.411274,1
1,13,98,-0.911512,-0.611016,-3.41916,-3.12829,-0.911512,1
1,12,98,-1.12663,-0.596857,-3.41916,-3.12829,-0.596857,1
1,9,98,-0.878681,-0.99984,-3.41916,-3.12829,-0.99984,0
1,7,98,-1.06911,-1.18296,-3.41916,-3.12829,-1.18296,0
1,4,98,-0.67181,-1.35167,-3.41916,-3.12829,-1.35167,0
1,3,98,-0.715182,-0.910272,-3.41916,-3.12829,-0.910272,0
1,2,98,-0.464963,-0.726551,-3.41916,-3.12829,-0.726551,0
1,1,98,-0.824442,-0.726896,-3.41916,-3.12829,-0.726896,1
1,20,97,-1.54168,-0.919304,-3.41916,-2.81209,-1.54168,1
1,19,97,-1.61204,-0.842574,-3.41916,-2.81209,-0.842574,1
1,18,97,-1.45422,-0.546367,-3.41916,-2.81209,-0.546367,1
1,17,97,-1.78365,-1.27054,-3.41916,-2.81209,-1.27054,1
1,15,97,-1.07686,-0.214957,-3.41916,-2.81209,-0.214957,1
1,13,97,-0.792174,-0.32185,-3.41916,-2.81209,-0.32185,1
1,12,97,-0.992546,-0.549855,-3.41916,-2.81209,-0.549855,1
1,7,97,-0.895569,-1.0466,-3.41916,-2.81209,-1.0466,0
1,4,97,-0.61755,-1.25709,-3.41916,-2.81209,-1.25709,0
1,3,97,-0.64918,-0.802412,-3.41916,-2.81209,-0.802412,0
1,2,97,-0.290732,-0.634089,-3.41916,-2.81209,-0.634089,0
1,20,96,-1.26209,-0.727303,-3.41916,-2.99602,-0.727303,1
