Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.50285,-0.971865,-3.41916,-3.35117,-0.971865,1
1,19,99,-1.74788,-1.63477,-3.41916,-3.35117,-1.63477,1
1,18,99,-1.32376,-1.50626,-3.41916,-3.35117,-1.50626,0
1,17,99,-0.972667,-0.784684,-3.41916,-3.35117,-0.784684,1
1,15,99,-1.20686,-0.969991,-3.41916,-3.35117,-0.969991,1
1,13,99,-1.52041,-0.911652,-3.41916,-3.35117,-0.911652,1
1,12,99,-1.75685,-1.48273,-3.41916,-3.35117,-1.75685,1
1,10,99,-1.4722,-0.653048,-3.41916,-3.35117,-0.653048,1
1,9,99,-1.4965,-1.55519,-3.41916,-3.35117,-1.55519,0
1,7,99,-1.01269,-0.981626,-3.41916,-3.35117,-0.981626,1
1,4,99,-1.26632,-1.16249,-3.41916,-3.35117,-1.16249,1
1,3,99,-1.23779,-1.18827,-3.41916,-3.35117,-1.18827,1
1,2,99,-1.28562,-1.53954,-3.41916,-3.35117,-1.53954,0
1,1,99,-1.0127,-1.18297,-3.41916,-3.35117,-1.18297,0
1,20,98,-1.7317,-0.926853,-3.41916,-3.12829,-0.926853,1
1,19,98,-1.59083,-1.31593,-3.41916,-3.12829,-1.31593,1
1,18,98,-1.34086,-1.49631,-3.41916,-3.12829,-1.49631,0
1,17,98,-1.00975,-0.732983,-3.41916,-3.12829,-0.732983,1
1,15,98,-1.76578,-0.926597,-3.41916,-3.12829,-0.926597,1
1,13,98,-1.48823,-0.8972,-3.41916,-3.12829,-1.48823,1
1,12,98,-1.25233,-1.2932,-3.41916,-3.12829,-1.2932,0
1,9,98,-1.44607,-1.45936,-3.41916,-3.12829,-1.45936,0
1,7,98,-0.901359,-0.978793,-3.41916,-3.12829,-0.978793,0
1,4,98,-1.12624,-0.983576,-3.41916,-3.12829,-0.983576,1
1,3,98,-1.07776,-0.882057,-3.41916,-3.12829,-0.882057,1
1,2,98,-1.10696,-1.39404,-3.41916,-3.12829,-1.39404,0
1,1,98,-1.05842,-1.14167,-3.41916,-3.12829,-1.14167,0
1,20,97,-1.59803,-0.933208,-3.41916,-2.81209,-1.59803,1
1,19,97,-1.661,-0.99941,-3.41916,-2.81209,-0.99941,1
1,18,97,-1.08077,-1.27604,-3.41916,-2.81209,-1.27604,0
1,17,97,-1.42179,-0.833291,-3.41916,-2.81209,-0.833291,1
1,15,97,-0.978612,-0.839565,-3.41916,-2.81209,-0.839565,1
1,13,97,-1.25124,-0.770924,-3.41916,-2.81209,-0.770924,1
1,12,97,-1.18634,-1.23788,-3.41916,-2.81209,-1.23788,0
1,7,97,-0.816701,-0.958495,-3.41916,-2.81209,-0.958495,0
1,4,97,-1.00396,-0.97686,-3.41916,-2.81209,-0.97686,1
1,3,97,-1.06475,-0.657452,-3.41916,-2.81209,-0.657452,1
1,2,97,-1.07905,-1.19746,-3.41916,-2.81209,-1.19746,0
1,20,96,-1.43053,-0.883601,-3.41916,-2.99602,-0.883601,1
1,19,96,-1.32936,-1.40572,-3.41916,-2.99602,-1.40572,0
1,18,96,-1.31919,-1.42188,-3.41916,-2.99602,-1.42188,0
