Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.73137,-1.26529,-3.41916,-3.35117,-1.26529,1
1,19,99,-1.54832,-0.696305,-3.41916,-3.35117,-0.696305,1
1,18,99,-1.52579,-1.18389,-3.41916,-3.35117,-1.18389,1
1,17,99,-1.04926,-0.53992,-3.41916,-3.35117,-0.53992,1
1,15,99,-1.09005,-1.09517,-3.41916,-3.35117,-1.09517,0
1,13,99,-1.2537,-0.946322,-3.41916,-3.35117,-0.946322,1
1,12,99,-1.39334,-0.736678,-3.41916,-3.35117,-1.39334,1
1,10,99,-0.830337,-0.129795,-3.41916,-3.35117,-0.830337,1
1,9,99,-0.896181,-0.980988,-3.41916,-3.35117,-0.980988,0
1,7,99,-1.2155,-0.849731,-3.41916,-3.35117,-0.849731,1
1,4,99,-0.560853,-1.30258,-3.41916,-3.35117,-1.30258,0
1,3,99,-0.713517,-1.0709,-3.41916,-3.35117,-1.0709,0
1,2,99,-0.382921,-0.632673,-3.41916,-3.35117,-0.632673,0
1,1,99,-0.246609,0.0278477,-3.41916,-3.35117,0.0278477,1
1,20,98,-1.80597,-1.46911,-3.41916,-3.12829,-1.46911,1
1,19,98,-1.38039,-0.511263,-3.41916,-3.12829,-0.511263,1
1,18,98,-1.76412,-1.28295,-3.41916,-3.12829,-1.28295,1
1,17,98,-0.98334,-0.492187,-3.41916,-3.12829,-0.492187,1
1,15,98,-1.50633,-1.1961,-3.41916,-3.12829,-1.1961,1
1,13,98,-1.19765,-0.950446,-3.41916,-3.12829,-1.19765,1
1,12,98,-1.36524,-0.661819,-3.41916,-3.12829,-0.661819,1
1,9,98,-0.839847,-0.790561,-3.41916,-3.12829,-0.790561,1
1,7,98,-1.03989,-0.670549,-3.41916,-3.12829,-0.670549,1
1,4,98,-0.181172,-1.1926,-3.41916,-3.12829,-1.1926,0
1,3,98,-0.36046,-0.942825,-3.41916,-3.12829,-0.942825,0
1,2,98,0.0147377,-0.390843,-3.41916,-3.12829,-0.390843,0
1,1,98,0.305545,0.0286879,-3.41916,-3.12829,0.0286879,0
1,20,97,-1.57683,-1.21445,-3.41916,-2.81209,-1.57683,1
1,19,97,-1.53534,-0.659655,-3.41916,-2.81209,-0.659655,1
1,18,97,-1.424,-1.18743,-3.41916,-2.81209,-1.18743,1
1,17,97,-1.41878,-0.831566,-3.41916,-2.81209,-0.831566,1
1,15,97,-0.787506,-0.951073,-3.41916,-2.81209,-0.951073,0
1,13,97,-1.11953,-0.908562,-3.41916,-2.81209,-0.908562,1
1,12,97,-1.1979,-0.607881,-3.41916,-2.81209,-0.607881,1
1,7,97,-0.989065,-0.599641,-3.41916,-2.81209,-0.599641,1
1,4,97,-0.0758565,-0.801504,-3.41916,-2.81209,-0.801504,0
1,3,97,-0.51864,-0.724481,-3.41916,-2.81209,-0.724481,0
1,2,97,-0.269647,-0.428143,-3.41916,-2.81209,-0.428143,0
1,20,96,-1.33518,-0.88537,-3.41916,-2.99602,-0.88537,1
