Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.98527,-1.57004,-3.41916,-3.35117,-1.57004,1
1,19,99,-2.0507,-1.48001,-3.41916,-3.35117,-1.48001,1
1,18,99,-1.68816,-1.3266,-3.41916,-3.35117,-1.3266,1
1,17,99,-1.84718,-1.42003,-3.41916,-3.35117,-1.42003,1
1,15,99,-2.02326,-1.21022,-3.41916,-3.35117,-1.21022,1
1,13,99,-1.84066,-1.15649,-3.41916,-3.35117,-1.15649,1
1,12,99,-1.38566,-0.798072,-3.41916,-3.35117,-1.38566,1
1,10,99,-1.55937,-1.18617,-3.41916,-3.35117,-1.18617,1
1,9,99,-1.10569,-1.21942,-3.41916,-3.35117,-1.21942,0
1,7,99,-1.8746,-1.08633,-3.41916,-3.35117,-1.08633,1
1,4,99,-1.0163,-0.367454,-3.41916,-3.35117,-0.367454,1
1,3,99,-0.691751,-1.07487,-3.41916,-3.35117,-1.07487,0
1,2,99,-0.643656,-1.29567,-3.41916,-3.35117,-1.29567,0
1,1,99,-1.12674,-1.9119,-3.41916,-3.35117,-1.9119,0
1,20,98,-1.92765,-1.52708,-3.41916,-3.12829,-1.52708,1
1,19,98,-2.11335,-1.54664,-3.41916,-3.12829,-1.54664,1
1,18,98,-1.65077,-1.29209,-3.41916,-3.12829,-1.29209,1
1,17,98,-1.52086,-1.21544,-3.41916,-3.12829,-1.21544,1
1,15,98,-2.05155,-1.19925,-3.41916,-3.12829,-1.19925,1
1,13,98,-1.82645,-1.08751,-3.41916,-3.12829,-1.82645,1
1,12,98,-1.29521,-1.0707,-3.41916,-3.12829,-1.0707,1
1,9,98,-1.00659,-1.01842,-3.41916,-3.12829,-1.01842,0
1,7,98,-1.42189,-0.839199,-3.41916,-3.12829,-0.839199,1
1,4,98,-0.734258,-0.204897,-3.41916,-3.12829,-0.204897,1
1,3,98,-0.187017,-1.01359,-3.41916,-3.12829,-1.01359,0
1,2,98,-0.724201,-1.24254,-3.41916,-3.12829,-1.24254,0
1,1,98,-1.03722,-1.86972,-3.41916,-3.12829,-1.86972,0
1,20,97,-1.87608,-1.43668,-3.41916,-2.81209,-1.87608,1
1,19,97,-1.84985,-1.28519,-3.41916,-2.81209,-1.28519,1
1,18,97,-1.7246,-1.46937,-3.41916,-2.81209,-1.46937,1
1,17,97,-1.49213,-1.10614,-3.41916,-2.81209,-1.10614,1
1,15,97,-1.70814,-1.02128,-3.41916,-2.81209,-1.02128,1
1,13,97,-1.75992,-1.09627,-3.41916,-2.81209,-1.09627,1
1,12,97,-1.15592,-0.986558,-3.41916,-2.81209,-0.986558,1
1,7,97,-1.35772,-0.767446,-3.41916,-2.81209,-0.767446,1
1,4,97,-0.577503,-0.126437,-3.41916,-2.81209,-0.126437,1
1,3,97,-0.201466,-0.670585,-3.41916,-2.81209,-0.670585,0
1,2,97,-0.472642,-1.21141,-3.41916,-2.81209,-1.21141,0
1,20,96,-1.44078,-1.02654,-3.41916,-2.99602,-1.02654,1
1,19,96,-1.89043,-1.38106,-3.41916,-2.99602,-1.38106,1
1,18,96,-1.82601,-1.12361,-3.41916,-2.99602,-1.12361,1
1,17,96,-1.5141,-0.825108,-3.41916,-2.99602,-0.825108,1
1,15,96,-1.52631,-0.622412,-3.41916,-2.99602,-0.622412,1
1,13,96,-1.69929,-0.901767,-3.41916,-2.99602,-1.69929,1
1,12,96,-1.16156,-0.749423,-3.41916,-2.99602,-0.749423,1
1,9,96,-0.891021,-0.726308,-3.41916,-2.99602,-0.726308,1
1,7,96,-1.11036,-0.593421,-3.41916,-2.99602,-0.593421,1
1,4,96,-0.446401,0.0246605,-3.41916,-2.99602,0.0246605,1
1,3,96,-0.0105523,-0.588488,-3.41916,-2.99602,-0.588488,0
1,2,96,-0.302135,-0.934517,-3.41916,-2.99602,-0.934517,0
1,19,95,-1.60794,-1.05259,-3.41916,-2.85377,-1.05259,1
1,17,95,-1.51169,-0.657543,-3.41916,-2.85377,-0.657543,1
1,15,95,-1.44989,-0.649517,-3.41916,-2.85377,-0.649517,1
1,13,95,-1.37101,-0.678986,-3.41916,-2.85377,-0.678986,1
1,7,95,-1.07102,-0.456857,-3.41916,-2.85377,-0.456857,1
1,4,95,-0.338559,0.135264,-3.41916,-2.85377,0.135264,1
1,2,95,-0.3177,-0.84663,-3.41916,-2.85377,-0.84663,0
1,1,95,-0.720648,-1.47133,-3.41916,-2.85377,-1.47133,0
1,19,94,-1.5403,-1.25569,-3.41916,-2.55553,-1.25569,1
1,17,94,-1.31172,-0.640493,-3.41916,-2.55553,-0.640493,1
1,15,94,-1.42351,-0.622366,-3.41916,-2.55553,-0.622366,1
1,13,94,-1.08805,-0.399024,-3.41916,-2.55553,-0.399024,1
1,7,94,-1.14438,-0.551458,-3.41916,-2.55553,-0.551458,1
1,4,94,-0.275668,0.17216,-3.41916,-2.55553,0.17216,1
1,2,94,-0.107543,-0.79015,-3.41916,-2.55553,-0.79015,0
1,1,94,-0.422078,-1.34838,-3.41916,-2.55553,-1.34838,0
1,19,93,-1.60168,-1.14176,-3.41916,-2.51688,-1.14176,1
1,17,93,-0.887972,-0.268333,-3.41916,-2.51688,-0.268333,1
1,15,93,-1.42539,-0.508039,-3.41916,-2.51688,-0.508039,1
1,13,93,-1.0275,-0.351295,-3.41916,-2.51688,-0.351295,1
1,7,93,-1.09636,-0.482468,-3.41916,-2.51688,-0.482468,1
1,4,93,-0.0871838,0.319529,-3.41916,-2.51688,0.319529,1
1,2,93,0.0415456,-0.685083,-3.41916,-2.51688,-0.685083,0
1,1,93,-0.239076,-1.34899,-3.41916,-2.51688,-1.34899,0
