Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.07799,-1.43545,-3.41916,-3.35117,-1.43545,1
1,19,99,-1.77018,-2.11371,-3.41916,-3.35117,-2.11371,0
1,18,99,-1.92486,-1.25363,-3.41916,-3.35117,-1.25363,1
1,17,99,-1.57476,-1.18408,-3.41916,-3.35117,-1.18408,1
1,15,99,-1.95387,-1.19425,-3.41916,-3.35117,-1.19425,1
1,13,99,-1.45824,-0.728742,-3.41916,-3.35117,-0.728742,1
1,12,99,-1.18966,-1.81277,-3.41916,-3.35117,-1.18966,0
1,10,99,-1.27119,-0.701828,-3.41916,-3.35117,-0.701828,1
1,9,99,-1.30662,-0.706663,-3.41916,-3.35117,-0.706663,1
1,7,99,-0.827791,-0.751296,-3.41916,-3.35117,-0.751296,1
1,4,99,-1.05873,-0.286199,-3.41916,-3.35117,-0.286199,1
1,3,99,-0.752489,-1.15814,-3.41916,-3.35117,-1.15814,0
1,2,99,-1.36057,-0.899453,-3.41916,-3.35117,-0.899453,1
1,1,99,-0.816348,-1.23822,-3.41916,-3.35117,-1.23822,0
1,20,98,-2.08591,-1.92085,-3.41916,-3.12829,-1.92085,1
1,19,98,-1.86188,-1.99334,-3.41916,-3.12829,-1.99334,0
1,18,98,-2.02798,-1.37283,-3.41916,-3.12829,-1.37283,1
1,17,98,-1.32363,-1.05136,-3.41916,-3.12829,-1.05136,1
1,15,98,-2.05875,-1.1039,-3.41916,-3.12829,-1.1039,1
1,13,98,-1.40446,-0.623122,-3.41916,-3.12829,-1.40446,1
1,12,98,-1.12232,-2.02252,-3.41916,-3.12829,-2.02252,0
1,9,98,-0.966079,-0.370218,-3.41916,-3.12829,-0.370218,1
1,7,98,-0.663044,-0.669795,-3.41916,-3.12829,-0.669795,0
1,4,98,-0.600911,-0.0859043,-3.41916,-3.12829,-0.0859043,1
1,3,98,-0.519979,-0.934625,-3.41916,-3.12829,-0.934625,0
1,2,98,-1.04168,-0.692155,-3.41916,-3.12829,-0.692155,1
1,1,98,-0.857016,-1.07541,-3.41916,-3.12829,-1.07541,0
1,20,97,-2.05085,-1.30379,-3.41916,-2.81209,-2.05085,1
1,19,97,-1.81393,-2.05331,-3.41916,-2.81209,-2.05331,0
1,18,97,-1.77623,-1.50191,-3.41916,-2.81209,-1.50191,1
1,17,97,-1.43154,-1.07178,-3.41916,-2.81209,-1.07178,1
1,15,97,-1.65505,-0.997042,-3.41916,-2.81209,-0.997042,1
1,13,97,-1.24445,-0.543124,-3.41916,-2.81209,-0.543124,1
1,12,97,-1.09092,-1.96921,-3.41916,-2.81209,-1.96921,0
1,7,97,-0.651562,-0.621527,-3.41916,-2.81209,-0.621527,1
1,4,97,-0.437316,-0.0158833,-3.41916,-2.81209,-0.0158833,1
1,3,97,-0.354999,-0.85131,-3.41916,-2.81209,-0.85131,0
1,2,97,-0.94619,-0.600711,-3.41916,-2.81209,-0.600711,1
1,20,96,-1.8174,-0.994048,-3.41916,-2.99602,-0.994048,1
1,19,96,-1.84518,-1.90578,-3.41916,-2.99602,-1.90578,0
1,18,96,-2.17627,-1.12728,-3.41916,-2.99602,-1.12728,1
1,17,96,-1.22313,-0.763702,-3.41916,-2.99602,-0.763702,1
1,15,96,-1.51981,-0.619523,-3.41916,-2.99602,-0.619523,1
1,13,96,-1.11183,-0.597239,-3.41916,-2.99602,-1.11183,1
1,12,96,-0.951749,-1.66726,-3.41916,-2.99602,-1.66726,0
1,9,96,-1.09876,-0.371047,-3.41916,-2.99602,-0.371047,1
1,7,96,-0.393751,-0.0564077,-3.41916,-2.99602,-0.0564077,1
1,4,96,-0.360229,0.116013,-3.41916,-2.99602,0.116013,1
1,3,96,-0.192372,-0.764811,-3.41916,-2.99602,-0.764811,0
1,2,96,-0.748878,-0.500805,-3.41916,-2.99602,-0.500805,1
1,19,95,-1.55273,-1.61821,-3.41916,-2.85377,-1.61821,0
1,17,95,-1.6791,-1.02741,-3.41916,-2.85377,-1.02741,1
1,15,95,-1.5335,-0.769913,-3.41916,-2.85377,-0.769913,1
1,13,95,-0.990814,-0.380564,-3.41916,-2.85377,-0.380564,1
1,7,95,-0.295749,-0.352724,-3.41916,-2.85377,-0.352724,0
1,4,95,-0.240722,0.149691,-3.41916,-2.85377,0.149691,1
1,2,95,-0.562349,-0.387131,-3.41916,-2.85377,-0.387131,1
1,1,95,-0.344507,-0.845703,-3.41916,-2.85377,-0.845703,0
1,19,94,-1.26971,-1.68548,-3.41916,-2.55553,-1.68548,0
1,17,94,-1.28129,-0.761916,-3.41916,-2.55553,-0.761916,1
1,15,94,-1.37958,-0.456527,-3.41916,-2.55553,-0.456527,1
1,13,94,-0.815313,-0.218538,-3.41916,-2.55553,-0.218538,1
1,7,94,-0.44351,-0.391593,-3.41916,-2.55553,-0.391593,1
1,4,94,-0.177001,0.218615,-3.41916,-2.55553,0.218615,1
1,2,94,-0.375391,-0.220075,-3.41916,-2.55553,-0.220075,1
1,1,94,-0.16554,-0.647285,-3.41916,-2.55553,-0.647285,0
1,19,93,-1.39641,-1.49844,-3.41916,-2.51688,-1.49844,0
1,17,93,-0.918854,-0.420094,-3.41916,-2.51688,-0.420094,1
1,15,93,-1.73051,-0.473554,-3.41916,-2.51688,-0.473554,1
1,13,93,-0.778649,-0.270268,-3.41916,-2.51688,-0.270268,1
1,7,93,-0.348297,-0.337182,-3.41916,-2.51688,-0.337182,1
1,4,93,-0.136914,0.300221,-3.41916,-2.51688,0.300221,1
1,2,93,-0.307555,-0.130426,-3.41916,-2.51688,-0.130426,1
1,1,93,-0.0774257,-0.537672,-3.41916,-2.51688,-0.537672,0
1,19,92,-1.34182,-1.41123,-6.43894,-2.39982,-1.41123,0
1,17,92,-0.905494,-0.382719,-6.43894,-2.39982,-0.382719,1
1,15,92,-1.38335,-0.365798,-6.43894,-2.39982,-0.365798,1
1,13,92,-0.617411,-0.142089,-6.43894,-2.39982,-0.142089,1
1,7,92,-0.287501,-0.283785,-6.43894,-2.39982,-0.283785,1
1,4,92,0.240919,0.391154,-6.43894,-2.39982,0.391154,1
1,2,92,-0.176756,-0.0183836,-6.43894,-2.39982,-0.0183836,1
1,1,92,0.0580615,-0.454836,-6.43894,-2.39982,-0.454836,0
1,19,91,-1.32698,-1.36369,-6.29331,-2.45927,-1.36369,0
1,17,91,-0.803545,-0.329507,-6.29331,-2.45927,-0.329507,1
1,15,91,-1.04198,-0.105679,-6.29331,-2.45927,-1.04198,1
1,13,91,-0.877906,-0.20721,-6.29331,-2.45927,-0.20721,1
1,7,91,-0.144674,-0.223657,-6.29331,-2.45927,-0.223657,0
1,4,91,0.0191228,0.434006,-6.29331,-2.45927,0.434006,1
1,2,91,-0.0459875,0.250509,-6.29331,-2.45927,0.250509,1
1,1,91,0.147212,-0.451701,-6.29331,-2.45927,-0.451701,0
1,19,90,-1.64825,-1.67009,-6.05291,-2.36134,-1.67009,0
1,17,90,-0.670456,-0.153068,-6.05291,-2.36134,-0.153068,1
1,15,90,-1.02829,0.0144337,-6.05291,-2.36134,0.0144337,1
1,13,90,-0.796388,-0.0515664,-6.05291,-2.36134,-0.0515664,1
1,7,90,-0.0919361,-0.0902727,-6.05291,-2.36134,-0.0902727,1
1,4,90,0.016795,0.454189,-6.05291,-2.36134,0.454189,1
1,2,90,0.0557328,0.12739,-6.05291,-2.36134,0.12739,1
1,1,90,0.25958,-0.335707,-6.05291,-2.36134,-0.335707,0
1,19,89,-1.67451,-1.71394,-5.75042,-2.39784,-1.71394,0
1,17,89,-0.728459,-0.182642,-5.75042,-2.39784,-0.728459,1
1,15,89,-0.864525,-0.0463457,-5.75042,-2.39784,-0.0463457,1
1,13,89,-0.127109,0.100135,-5.75042,-2.39784,0.100135,1
1,7,89,0.115156,0.105724,-5.75042,-2.39784,0.105724,0
1,4,89,0.0451359,0.51513,-5.75042,-2.39784,0.51513,1
1,2,89,0.077199,0.12944,-5.75042,-2.39784,0.12944,1
1,1,89,0.409809,0.389126,-5.75042,-2.39784,0.389126,0
1,19,88,-1.32981,-1.30184,-5.55605,-2.24038,-1.32981,1
1,17,88,-1.2089,-0.595838,-5.55605,-2.24038,-0.595838,1
1,15,88,-0.763392,0.0841231,-5.55605,-2.24038,0.0841231,1
1,13,88,-0.325845,0.132667,-5.55605,-2.24038,0.132667,1
1,7,88,0.278066,0.164165,-5.55605,-2.24038,0.164165,0
1,4,88,0.358319,0.508771,-5.55605,-2.24038,0.508771,1
1,2,88,0.171772,0.158864,-5.55605,-2.24038,0.158864,0
1,1,88,0.364833,-0.313513,-5.55605,-2.24038,-0.313513,0
1,19,87,-1.03054,-0.980098,-5.60239,-2.09737,-0.980098,1
1,17,87,-1.05604,-0.514086,-5.60239,-2.09737,-0.514086,1
1,15,87,-0.751805,0.196407,-5.60239,-2.09737,0.196407,1
1,13,87,-0.29499,0.245021,-5.60239,-2.09737,0.245021,1
1,7,87,0.17687,0.203096,-5.60239,-2.09737,0.203096,1
