Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.17597,-1.47242,-3.41916,-3.35117,-1.47242,1
1,19,99,-1.89649,-1.17607,-3.41916,-3.35117,-1.17607,1
1,18,99,-1.30099,-0.988749,-3.41916,-3.35117,-0.988749,1
1,17,99,-1.62626,-0.416907,-3.41916,-3.35117,-0.416907,1
1,15,99,-1.26658,-0.443321,-3.41916,-3.35117,-0.443321,1
1,13,99,-1.00285,-0.205168,-3.41916,-3.35117,-0.205168,1
1,12,99,-0.620632,-1.62165,-3.41916,-3.35117,-0.620632,0
1,10,99,-0.654245,-0.0967229,-3.41916,-3.35117,-0.0967229,1
1,9,99,-0.583514,-0.336399,-3.41916,-3.35117,-0.336399,1
1,7,99,0.463942,-0.335735,-3.41916,-3.35117,-0.335735,0
1,4,99,-0.617666,0.144051,-3.41916,-3.35117,0.144051,1
1,3,99,-2.18972,-0.112062,-3.41916,-3.35117,-0.112062,1
1,2,99,-0.0483753,-0.458302,-3.41916,-3.35117,-0.458302,0
1,1,99,-0.362709,-0.8877,-3.41916,-3.35117,-0.8877,0
1,20,98,-1.97035,-1.53045,-3.41916,-3.12829,-1.53045,1
1,19,98,-1.84937,-1.18556,-3.41916,-3.12829,-1.18556,1
1,18,98,-1.492,-0.890869,-3.41916,-3.12829,-0.890869,1
1,17,98,-1.65021,-0.291315,-3.41916,-3.12829,-0.291315,1
1,15,98,-1.57185,-0.386983,-3.41916,-3.12829,-0.386983,1
1,13,98,-1.02758,-0.108706,-3.41916,-3.12829,-1.02758,1
1,12,98,-0.521506,-1.35826,-3.41916,-3.12829,-1.35826,0
1,9,98,-0.0179636,-0.207339,-3.41916,-3.12829,-0.207339,0
1,7,98,0.504794,-0.286286,-3.41916,-3.12829,-0.286286,0
1,4,98,-0.0508775,0.270877,-3.41916,-3.12829,0.270877,1
1,3,98,0.174288,0.152968,-3.41916,-3.12829,0.152968,0
1,2,98,-0.143127,-0.610697,-3.41916,-3.12829,-0.610697,0
1,1,98,0.14171,-0.669105,-3.41916,-3.12829,-0.669105,0
1,20,97,-2.03615,-1.3803,-3.41916,-2.81209,-2.03615,1
1,19,97,-1.73102,-1.0941,-3.41916,-2.81209,-1.0941,1
1,18,97,-1.11748,-1.12813,-3.41916,-2.81209,-1.12813,0
1,17,97,-1.67927,-0.387885,-3.41916,-2.81209,-0.387885,1
1,15,97,-1.01703,-0.242127,-3.41916,-2.81209,-0.242127,1
1,13,97,-0.937651,-0.0459702,-3.41916,-2.81209,-0.0459702,1
1,12,97,-0.44077,-1.35557,-3.41916,-2.81209,-1.35557,0
1,7,97,0.616862,0.0209121,-3.41916,-2.81209,0.0209121,0
1,4,97,-0.0981968,0.283075,-3.41916,-2.81209,0.283075,1
1,3,97,0.0663571,0.132267,-3.41916,-2.81209,0.132267,1
1,2,97,0.129606,-0.412738,-3.41916,-2.81209,-0.412738,0
1,20,96,-1.99552,-1.23665,-3.41916,-2.99602,-1.23665,1
1,19,96,-1.66703,-1.00388,-3.41916,-2.99602,-1.00388,1
1,18,96,-1.23425,-1.06353,-3.41916,-2.99602,-1.06353,1
1,17,96,-1.53643,-0.230347,-3.41916,-2.99602,-0.230347,1
1,15,96,-0.864461,-0.0408978,-3.41916,-2.99602,-0.0408978,1
1,13,96,-0.835861,0.00599197,-3.41916,-2.99602,-0.835861,1
1,12,96,-0.235882,-1.29127,-3.41916,-2.99602,-1.29127,0
1,9,96,0.0532406,-0.17472,-3.41916,-2.99602,-0.17472,0
1,7,96,0.725229,0.115051,-3.41916,-2.99602,0.115051,0
1,4,96,0.073939,0.356925,-3.41916,-2.99602,0.356925,1
1,3,96,0.304497,0.164957,-3.41916,-2.99602,0.164957,0
1,2,96,0.145183,-0.159199,-3.41916,-2.99602,-0.159199,0
1,19,95,-1.5819,-0.970803,-3.41916,-2.85377,-0.970803,1
1,17,95,-1.33646,-0.281884,-3.41916,-2.85377,-0.281884,1
1,15,95,-0.798066,-0.0377133,-3.41916,-2.85377,-0.0377133,1
1,13,95,-0.708502,0.242512,-3.41916,-2.85377,0.242512,1
1,7,95,0.583906,0.226253,-3.41916,-2.85377,0.226253,0
1,4,95,0.291417,0.50524,-3.41916,-2.85377,0.50524,1
1,2,95,0.416566,-0.0355398,-3.41916,-2.85377,-0.0355398,0
1,1,95,0.152778,-0.246516,-3.41916,-2.85377,-0.246516,0
1,19,94,-1.55877,-0.987729,-3.41916,-2.55553,-0.987729,1
1,17,94,-1.30428,0.00394071,-3.41916,-2.55553,0.00394071,1
1,15,94,-0.755319,0.109224,-3.41916,-2.55553,0.109224,1
1,13,94,-0.447899,0.350611,-3.41916,-2.55553,0.350611,1
1,7,94,0.865341,0.177323,-3.41916,-2.55553,0.177323,0
1,4,94,0.321867,0.575684,-3.41916,-2.55553,0.575684,1
1,2,94,0.177719,0.0678238,-3.41916,-2.55553,0.0678238,0
1,1,94,0.209314,-0.140833,-3.41916,-2.55553,-0.140833,0
1,19,93,-1.56905,-0.883378,-3.41916,-2.51688,-0.883378,1
1,17,93,-1.16529,0.164824,-3.41916,-2.51688,0.164824,1
1,15,93,-0.863583,0.0238342,-3.41916,-2.51688,0.0238342,1
1,13,93,-0.404462,0.339483,-3.41916,-2.51688,0.339483,1
1,7,93,0.89269,0.232403,-3.41916,-2.51688,0.232403,0
1,4,93,0.434136,0.577119,-3.41916,-2.51688,0.577119,1
1,2,93,0.404392,0.109848,-3.41916,-2.51688,0.109848,0
1,1,93,0.878232,-0.121093,-3.41916,-2.51688,-0.121093,0
1,19,92,-1.55428,-0.882422,-6.43894,-2.39982,-0.882422,1
1,17,92,-1.39281,-0.0571794,-6.43894,-2.39982,-0.0571794,1
1,15,92,-0.608613,0.228141,-6.43894,-2.39982,0.228141,1
1,13,92,-0.391858,0.340227,-6.43894,-2.39982,0.340227,1
