Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.13322,-1.25249,-3.41916,-3.35117,-1.25249,1
1,19,99,-2.04346,-1.14061,-3.41916,-3.35117,-1.14061,1
1,18,99,-1.42338,-0.897489,-3.41916,-3.35117,-0.897489,1
1,17,99,-2.15101,-1.259,-3.41916,-3.35117,-1.259,1
1,15,99,-1.85244,-0.583077,-3.41916,-3.35117,-0.583077,1
1,13,99,-0.809649,-0.674379,-3.41916,-3.35117,-0.674379,1
1,12,99,-0.873815,-0.722269,-3.41916,-3.35117,-0.873815,1
1,10,99,-0.971821,-0.114828,-3.41916,-3.35117,-0.971821,1
1,9,99,-0.846516,-0.123847,-3.41916,-3.35117,-0.123847,1
1,7,99,-0.269597,-0.839562,-3.41916,-3.35117,-0.839562,0
1,4,99,-0.490832,0.107445,-3.41916,-3.35117,0.107445,1
1,3,99,0.617708,-0.448352,-3.41916,-3.35117,-0.448352,0
1,2,99,-0.857212,-0.686224,-3.41916,-3.35117,-0.686224,1
1,1,99,-0.319509,0.0545193,-3.41916,-3.35117,0.0545193,1
1,20,98,-2.1526,-1.32528,-3.41916,-3.12829,-1.32528,1
1,19,98,-2.07366,-1.10813,-3.41916,-3.12829,-1.10813,1
1,18,98,-1.70099,-0.900737,-3.41916,-3.12829,-0.900737,1
1,17,98,-1.75742,-0.972025,-3.41916,-3.12829,-0.972025,1
1,15,98,-1.91678,-0.535256,-3.41916,-3.12829,-0.535256,1
1,13,98,-0.799087,-0.579986,-3.41916,-3.12829,-0.799087,1
1,12,98,-0.826903,-0.748008,-3.41916,-3.12829,-0.748008,1
1,9,98,-0.744689,-0.159004,-3.41916,-3.12829,-0.159004,1
1,7,98,-0.123173,-0.708804,-3.41916,-3.12829,-0.708804,0
1,4,98,0.0598312,0.0987707,-3.41916,-3.12829,0.0987707,1
1,3,98,0.694662,-0.458058,-3.41916,-3.12829,-0.458058,0
1,2,98,-0.140778,-0.495059,-3.41916,-3.12829,-0.495059,0
1,1,98,-0.115436,0.098618,-3.41916,-3.12829,0.098618,1
1,20,97,-1.73568,-0.991641,-3.41916,-2.81209,-1.73568,1
1,19,97,-1.96305,-1.20292,-3.41916,-2.81209,-1.20292,1
1,18,97,-1.66269,-1.23873,-3.41916,-2.81209,-1.23873,1
