Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.15738,-1.5551,-3.41916,-3.35117,-1.5551,1
1,19,99,-2.07916,-1.38707,-3.41916,-3.35117,-1.38707,1
1,18,99,-1.80649,-1.44479,-3.41916,-3.35117,-1.44479,1
1,17,99,-2.07574,-1.32824,-3.41916,-3.35117,-1.32824,1
1,15,99,-2.02794,-0.985466,-3.41916,-3.35117,-0.985466,1
1,13,99,-1.6687,-1.00324,-3.41916,-3.35117,-1.00324,1
1,12,99,-1.26145,-1.55343,-3.41916,-3.35117,-1.26145,0
1,10,99,-1.03233,-1.20954,-3.41916,-3.35117,-1.03233,0
1,9,99,-1.24679,-0.79384,-3.41916,-3.35117,-0.79384,1
1,7,99,-1.571,-0.547401,-3.41916,-3.35117,-0.547401,1
1,4,99,-1.43922,-0.51009,-3.41916,-3.35117,-0.51009,1
1,3,99,-0.888806,-1.88461,-3.41916,-3.35117,-1.88461,0
1,2,99,-1.39006,-0.570403,-3.41916,-3.35117,-0.570403,1
1,1,99,-0.715937,-0.989529,-3.41916,-3.35117,-0.989529,0
1,20,98,-2.35135,-1.81275,-3.41916,-3.12829,-1.81275,1
1,19,98,-2.09868,-1.39511,-3.41916,-3.12829,-1.39511,1
1,18,98,-2.10316,-1.38564,-3.41916,-3.12829,-1.38564,1
1,17,98,-1.88073,-1.22372,-3.41916,-3.12829,-1.22372,1
1,15,98,-2.00466,-1.00182,-3.41916,-3.12829,-1.00182,1
1,13,98,-1.61164,-0.893136,-3.41916,-3.12829,-1.61164,1
1,12,98,-1.1245,-1.83152,-3.41916,-3.12829,-1.83152,0
1,9,98,-1.16639,-0.738545,-3.41916,-3.12829,-0.738545,1
1,7,98,-1.35262,-0.451404,-3.41916,-3.12829,-0.451404,1
1,4,98,-1.05891,-0.457561,-3.41916,-3.12829,-0.457561,1
1,3,98,-0.329439,-1.79735,-3.41916,-3.12829,-1.79735,0
1,2,98,-0.956053,-0.517214,-3.41916,-3.12829,-0.517214,1
1,1,98,-0.531386,-0.932547,-3.41916,-3.12829,-0.932547,0
1,20,97,-2.0776,-1.5638,-3.41916,-2.81209,-2.0776,1
1,19,97,-2.22409,-1.68653,-3.41916,-2.81209,-1.68653,1
1,18,97,-1.79277,-1.52602,-3.41916,-2.81209,-1.52602,1
1,17,97,-1.92487,-1.34517,-3.41916,-2.81209,-1.34517,1
1,15,97,-1.68124,-0.834145,-3.41916,-2.81209,-0.834145,1
1,13,97,-1.4354,-0.880608,-3.41916,-2.81209,-0.880608,1
1,12,97,-1.14424,-1.67313,-3.41916,-2.81209,-1.67313,0
1,7,97,-1.19282,-0.396609,-3.41916,-2.81209,-0.396609,1
1,4,97,-0.948739,-0.339979,-3.41916,-2.81209,-0.339979,1
1,3,97,-0.24502,-1.71869,-3.41916,-2.81209,-1.71869,0
1,2,97,-0.916461,-0.623908,-3.41916,-2.81209,-0.623908,1
