Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.04475,-1.49611,-3.41916,-3.35117,-1.49611,1
1,19,99,-2.19328,-1.3741,-3.41916,-3.35117,-1.3741,1
1,18,99,-1.56413,-1.27417,-3.41916,-3.35117,-1.27417,1
1,17,99,-1.63292,-1.27048,-3.41916,-3.35117,-1.27048,1
1,15,99,-2.00852,-1.10227,-3.41916,-3.35117,-1.10227,1
1,13,99,-1.79721,-1.75706,-3.41916,-3.35117,-1.75706,1
1,12,99,-1.3112,-1.13721,-3.41916,-3.35117,-1.3112,1
1,10,99,-2.27818,-1.55964,-3.41916,-3.35117,-2.27818,1
1,9,99,-1.56207,-0.745746,-3.41916,-3.35117,-0.745746,1
1,7,99,-1.55671,-2.16679,-3.41916,-3.35117,-2.16679,0
1,4,99,-1.6245,-1.47768,-3.41916,-3.35117,-1.47768,1
1,3,99,-1.45957,-1.22981,-3.41916,-3.35117,-1.22981,1
1,2,99,-2.1128,-1.47824,-3.41916,-3.35117,-1.47824,1
1,1,99,-1.62729,-2.18984,-3.41916,-3.35117,-2.18984,0
1,20,98,-1.93549,-1.48574,-3.41916,-3.12829,-1.48574,1
1,19,98,-1.95223,-1.43261,-3.41916,-3.12829,-1.43261,1
1,18,98,-1.76972,-1.20512,-3.41916,-3.12829,-1.20512,1
1,17,98,-1.42703,-1.06368,-3.41916,-3.12829,-1.06368,1
1,15,98,-2.14795,-1.26983,-3.41916,-3.12829,-1.26983,1
1,13,98,-1.71279,-1.59594,-3.41916,-3.12829,-1.71279,1
1,12,98,-1.22983,-1.40453,-3.41916,-3.12829,-1.40453,0
1,9,98,-1.49458,-0.76474,-3.41916,-3.12829,-0.76474,1
1,7,98,-1.37945,-1.96382,-3.41916,-3.12829,-1.96382,0
1,4,98,-1.41007,-1.30613,-3.41916,-3.12829,-1.30613,1
1,3,98,-1.21737,-1.17218,-3.41916,-3.12829,-1.17218,1
1,2,98,-1.31516,-1.29676,-3.41916,-3.12829,-1.29676,1
1,1,98,-1.25502,-2.04459,-3.41916,-3.12829,-2.04459,0
1,20,97,-1.90234,-1.44163,-3.41916,-2.81209,-1.90234,1
1,19,97,-1.73305,-1.44937,-3.41916,-2.81209,-1.44937,1
1,18,97,-1.70977,-1.46491,-3.41916,-2.81209,-1.46491,1
1,17,97,-1.41102,-1.24158,-3.41916,-2.81209,-1.24158,1
1,15,97,-1.71224,-0.945353,-3.41916,-2.81209,-0.945353,1
1,13,97,-1.61027,-1.59057,-3.41916,-2.81209,-1.59057,1
1,12,97,-1.16075,-1.26912,-3.41916,-2.81209,-1.26912,0
1,7,97,-1.32098,-1.78751,-3.41916,-2.81209,-1.78751,0
1,4,97,-1.26093,-1.17961,-3.41916,-2.81209,-1.17961,1
1,3,97,-1.3559,-1.22189,-3.41916,-2.81209,-1.22189,1
1,2,97,-1.32514,-1.19767,-3.41916,-2.81209,-1.19767,1
1,20,96,-1.63073,-1.18247,-3.41916,-2.99602,-1.18247,1
1,19,96,-1.78976,-1.27319,-3.41916,-2.99602,-1.27319,1
1,18,96,-1.45135,-1.21212,-3.41916,-2.99602,-1.21212,1
1,17,96,-1.44009,-1.21754,-3.41916,-2.99602,-1.21754,1
1,15,96,-1.569,-0.602428,-3.41916,-2.99602,-0.602428,1
1,13,96,-1.55511,-1.45159,-3.41916,-2.99602,-1.55511,1
1,12,96,-1.1345,-1.36119,-3.41916,-2.99602,-1.36119,0
1,9,96,-1.30506,-0.560334,-3.41916,-2.99602,-0.560334,1
1,7,96,-1.22043,-1.7314,-3.41916,-2.99602,-1.7314,0
1,4,96,-1.22836,-1.11159,-3.41916,-2.99602,-1.11159,1
1,3,96,-1.23479,-0.980347,-3.41916,-2.99602,-0.980347,1
1,2,96,-1.2991,-1.12752,-3.41916,-2.99602,-1.12752,1
1,19,95,-1.49504,-1.08838,-3.41916,-2.85377,-1.08838,1
1,17,95,-1.41384,-1.04505,-3.41916,-2.85377,-1.04505,1
1,15,95,-1.47704,-0.534334,-3.41916,-2.85377,-0.534334,1
1,13,95,-1.28675,-1.23671,-3.41916,-2.85377,-1.23671,1
1,7,95,-1.0979,-1.40319,-3.41916,-2.85377,-1.40319,0
1,4,95,-1.21065,-1.16561,-3.41916,-2.85377,-1.16561,1
1,2,95,-1.17201,-1.21291,-3.41916,-2.85377,-1.21291,0
1,1,95,-1.31829,-1.83549,-3.41916,-2.85377,-1.83549,0
1,19,94,-1.48847,-1.30343,-3.41916,-2.55553,-1.30343,1
1,17,94,-1.23968,-1.08638,-3.41916,-2.55553,-1.08638,1
1,15,94,-1.52738,-0.669084,-3.41916,-2.55553,-0.669084,1
1,13,94,-1.07706,-0.993469,-3.41916,-2.55553,-0.993469,1
1,7,94,-1.07847,-1.56459,-3.41916,-2.55553,-1.56459,0
1,4,94,-1.14843,-0.969961,-3.41916,-2.55553,-0.969961,1
1,2,94,-0.991746,-1.0102,-3.41916,-2.55553,-1.0102,0
1,1,94,-1.02419,-1.65005,-3.41916,-2.55553,-1.65005,0
1,19,93,-1.58978,-1.18393,-3.41916,-2.51688,-1.18393,1
1,17,93,-0.995924,-0.713533,-3.41916,-2.51688,-0.713533,1
1,15,93,-1.5214,-0.706757,-3.41916,-2.51688,-0.706757,1
1,13,93,-1.03774,-0.946992,-3.41916,-2.51688,-0.946992,1
1,7,93,-1.0259,-1.43463,-3.41916,-2.51688,-1.43463,0
1,4,93,-1.05919,-0.947377,-3.41916,-2.51688,-0.947377,1
1,2,93,-0.924728,-0.979443,-3.41916,-2.51688,-0.979443,0
1,1,93,-0.691635,-1.60956,-3.41916,-2.51688,-1.60956,0
1,19,92,-1.64677,-1.37083,-6.43894,-2.39982,-1.37083,1
1,17,92,-1.13743,-0.872682,-6.43894,-2.39982,-0.872682,1
1,15,92,-1.40998,-0.543795,-6.43894,-2.39982,-0.543795,1
1,13,92,-1.15911,-0.977277,-6.43894,-2.39982,-0.977277,1
1,7,92,-0.936731,-1.39123,-6.43894,-2.39982,-1.39123,0
1,4,92,-0.93868,-0.835334,-6.43894,-2.39982,-0.835334,1
1,2,92,-0.863176,-0.899027,-6.43894,-2.39982,-0.899027,0
1,1,92,-0.675649,-1.4903,-6.43894,-2.39982,-1.4903,0
