Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.38723,-1.65677,-3.41916,-3.35117,-1.65677,1
1,19,99,-1.99836,-1.76313,-3.41916,-3.35117,-1.76313,1
1,18,99,-1.67965,-1.41588,-3.41916,-3.35117,-1.41588,1
1,17,99,-2.15143,-1.21669,-3.41916,-3.35117,-1.21669,1
1,15,99,-2.06213,-1.10239,-3.41916,-3.35117,-1.10239,1
1,13,99,-1.74675,-1.45727,-3.41916,-3.35117,-1.45727,1
1,12,99,-1.33836,-1.20155,-3.41916,-3.35117,-1.33836,1
1,10,99,-1.49581,-1.2559,-3.41916,-3.35117,-1.2559,1
1,9,99,-1.41981,-0.900634,-3.41916,-3.35117,-0.900634,1
1,7,99,-0.915256,-0.895837,-3.41916,-3.35117,-0.895837,1
1,4,99,-1.60924,-0.950425,-3.41916,-3.35117,-0.950425,1
1,3,99,-0.728236,-1.58946,-3.41916,-3.35117,-1.58946,0
1,2,99,-0.752246,-1.29546,-3.41916,-3.35117,-1.29546,0
1,1,99,-0.958775,-1.90529,-3.41916,-3.35117,-1.90529,0
1,20,98,-2.12707,-1.6385,-3.41916,-3.12829,-1.6385,1
1,19,98,-1.99973,-1.75926,-3.41916,-3.12829,-1.75926,1
1,18,98,-1.87052,-1.33498,-3.41916,-3.12829,-1.33498,1
1,17,98,-2.10125,-1.04025,-3.41916,-3.12829,-1.04025,1
1,15,98,-2.28607,-1.20093,-3.41916,-3.12829,-1.20093,1
1,13,98,-1.68844,-1.38761,-3.41916,-3.12829,-1.68844,1
1,12,98,-1.2579,-1.17298,-3.41916,-3.12829,-1.17298,1
1,9,98,-1.20994,-0.738735,-3.41916,-3.12829,-0.738735,1
1,7,98,-0.772821,-0.778385,-3.41916,-3.12829,-0.778385,0
1,4,98,-1.29759,-0.761994,-3.41916,-3.12829,-0.761994,1
1,3,98,-0.71141,-1.55606,-3.41916,-3.12829,-1.55606,0
1,2,98,-0.755787,-1.30181,-3.41916,-3.12829,-1.30181,0
1,1,98,-1.05031,-1.71715,-3.41916,-3.12829,-1.71715,0
1,20,97,-2.22198,-1.59246,-3.41916,-2.81209,-2.22198,1
1,19,97,-1.8159,-1.64359,-3.41916,-2.81209,-1.64359,1
1,18,97,-1.7531,-1.4504,-3.41916,-2.81209,-1.4504,1
1,17,97,-2.11619,-1.20812,-3.41916,-2.81209,-1.20812,1
1,15,97,-1.80383,-0.938729,-3.41916,-2.81209,-0.938729,1
1,13,97,-1.35386,-1.33817,-3.41916,-2.81209,-1.33817,1
1,12,97,-1.18051,-1.12052,-3.41916,-2.81209,-1.12052,1
1,7,97,-0.733431,-0.541199,-3.41916,-2.81209,-0.541199,1
1,4,97,-1.27416,-0.789092,-3.41916,-2.81209,-0.789092,1
1,3,97,-0.559795,-1.4681,-3.41916,-2.81209,-1.4681,0
1,2,97,-0.74762,-1.25911,-3.41916,-2.81209,-1.25911,0
1,20,96,-2.10502,-1.3885,-3.41916,-2.99602,-1.3885,1
1,19,96,-1.8069,-1.65155,-3.41916,-2.99602,-1.65155,1
1,18,96,-1.70694,-1.19639,-3.41916,-2.99602,-1.19639,1
1,17,96,-2.02094,-0.946153,-3.41916,-2.99602,-0.946153,1
1,15,96,-1.62601,-0.766582,-3.41916,-2.99602,-0.766582,1
1,13,96,-1.49514,-1.19993,-3.41916,-2.99602,-1.49514,1
1,12,96,-1.11715,-1.07512,-3.41916,-2.99602,-1.07512,1
1,9,96,-0.967463,-0.6638,-3.41916,-2.99602,-0.6638,1
1,7,96,-0.620483,-0.515911,-3.41916,-2.99602,-0.515911,1
1,4,96,-1.18824,-0.587352,-3.41916,-2.99602,-0.587352,1
1,3,96,-0.734043,-1.4208,-3.41916,-2.99602,-1.4208,0
1,2,96,-0.708157,-1.17386,-3.41916,-2.99602,-1.17386,0
1,19,95,-1.77667,-1.51861,-3.41916,-2.85377,-1.51861,1
1,17,95,-1.85154,-0.959332,-3.41916,-2.85377,-0.959332,1
1,15,95,-1.73446,-0.882904,-3.41916,-2.85377,-0.882904,1
1,13,95,-1.2011,-0.910239,-3.41916,-2.85377,-0.910239,1
1,7,95,-0.301224,-0.432855,-3.41916,-2.85377,-0.432855,0
1,4,95,-1.06176,-0.560793,-3.41916,-2.85377,-0.560793,1
1,2,95,-0.670515,-1.1983,-3.41916,-2.85377,-1.1983,0
1,1,95,-0.78504,-1.58144,-3.41916,-2.85377,-1.58144,0
