Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.16571,-1.17794,-3.41916,-3.35117,-1.17794,1
1,19,99,-1.87591,-1.17235,-3.41916,-3.35117,-1.17235,1
1,18,99,-1.97419,-1.5869,-3.41916,-3.35117,-1.5869,1
1,17,99,-1.76325,-0.917906,-3.41916,-3.35117,-0.917906,1
1,15,99,-1.82113,-0.926488,-3.41916,-3.35117,-0.926488,1
1,13,99,-1.27011,-0.231864,-3.41916,-3.35117,-0.231864,1
1,12,99,-0.937572,-0.936476,-3.41916,-3.35117,-0.937572,1
1,10,99,-1.43964,-1.02245,-3.41916,-3.35117,-1.02245,1
1,9,99,-1.2184,-0.129405,-3.41916,-3.35117,-0.129405,1
1,7,99,-1.40103,-0.0303513,-3.41916,-3.35117,-0.0303513,1
1,4,99,-0.986554,-0.438136,-3.41916,-3.35117,-0.438136,1
1,3,99,0.163186,-1.25082,-3.41916,-3.35117,-1.25082,0
1,2,99,-1.43848,-0.9897,-3.41916,-3.35117,-0.9897,1
1,1,99,-0.753551,-0.815559,-3.41916,-3.35117,-0.815559,0
1,20,98,-2.28523,-1.44633,-3.41916,-3.12829,-1.44633,1
1,19,98,-2.01546,-1.00839,-3.41916,-3.12829,-1.00839,1
1,18,98,-2.13606,-1.58032,-3.41916,-3.12829,-1.58032,1
1,17,98,-1.35612,-0.871905,-3.41916,-3.12829,-0.871905,1
1,15,98,-1.86021,-0.821469,-3.41916,-3.12829,-0.821469,1
1,13,98,-1.23418,-0.14085,-3.41916,-3.12829,-1.23418,1
1,12,98,-0.744267,-1.11427,-3.41916,-3.12829,-1.11427,0
1,9,98,-1.10159,-0.0568595,-3.41916,-3.12829,-0.0568595,1
1,7,98,-0.986703,-0.0339603,-3.41916,-3.12829,-0.0339603,1
1,4,98,-0.720228,-0.358758,-3.41916,-3.12829,-0.358758,1
1,3,98,0.301496,-1.0406,-3.41916,-3.12829,-1.0406,0
1,2,98,-0.82807,-0.776992,-3.41916,-3.12829,-0.776992,1
1,1,98,-0.844704,-0.690379,-3.41916,-3.12829,-0.690379,1
1,20,97,-2.01257,-1.22216,-3.41916,-2.81209,-2.01257,1
1,19,97,-2.0182,-0.962179,-3.41916,-2.81209,-0.962179,1
1,18,97,-2.28034,-1.95312,-3.41916,-2.81209,-1.95312,1
1,17,97,-1.54005,-0.93598,-3.41916,-2.81209,-0.93598,1
1,15,97,-1.58866,-0.724597,-3.41916,-2.81209,-0.724597,1
1,13,97,-1.1897,-0.146884,-3.41916,-2.81209,-0.146884,1
1,12,97,-0.680562,-1.03861,-3.41916,-2.81209,-1.03861,0
1,7,97,-0.91232,0.171345,-3.41916,-2.81209,0.171345,1
1,4,97,-0.730947,-0.198213,-3.41916,-2.81209,-0.198213,1
1,3,97,0.235546,-0.954636,-3.41916,-2.81209,-0.954636,0
1,2,97,-0.812594,-0.680582,-3.41916,-2.81209,-0.680582,1
1,20,96,-1.69628,-0.591311,-3.41916,-2.99602,-0.591311,1
1,19,96,-1.75691,-0.87661,-3.41916,-2.99602,-0.87661,1
1,18,96,-2.22611,-1.49749,-3.41916,-2.99602,-1.49749,1
1,17,96,-1.32134,-0.606073,-3.41916,-2.99602,-0.606073,1
1,15,96,-1.44221,-0.460407,-3.41916,-2.99602,-0.460407,1
1,13,96,-1.35072,0.081306,-3.41916,-2.99602,-1.35072,1
1,12,96,-0.641121,-0.972513,-3.41916,-2.99602,-0.972513,0
1,9,96,-1.00714,0.083139,-3.41916,-2.99602,0.083139,1
1,7,96,-0.738955,0.186791,-3.41916,-2.99602,0.186791,1
1,4,96,-0.461625,-0.056663,-3.41916,-2.99602,-0.056663,1
1,3,96,0.405982,-0.80812,-3.41916,-2.99602,-0.80812,0
1,2,96,-0.725176,-0.478945,-3.41916,-2.99602,-0.478945,1
1,19,95,-1.42355,-0.488538,-3.41916,-2.85377,-0.488538,1
1,17,95,-1.78965,-0.657781,-3.41916,-2.85377,-0.657781,1
1,15,95,-1.43931,-0.571627,-3.41916,-2.85377,-0.571627,1
1,13,95,-0.842682,0.132051,-3.41916,-2.85377,0.132051,1
1,7,95,-0.841924,0.288722,-3.41916,-2.85377,0.288722,1
1,4,95,-0.329774,0.0356596,-3.41916,-2.85377,0.0356596,1
1,2,95,-0.590872,-0.334026,-3.41916,-2.85377,-0.334026,1
1,1,95,-0.618313,-0.585411,-3.41916,-2.85377,-0.585411,1
1,19,94,-1.29892,-0.62585,-3.41916,-2.55553,-0.62585,1
1,17,94,-1.08369,-0.558183,-3.41916,-2.55553,-0.558183,1
1,15,94,-1.3377,-0.324589,-3.41916,-2.55553,-0.324589,1
1,13,94,-0.672097,0.218304,-3.41916,-2.55553,0.218304,1
1,7,94,-0.643351,0.310603,-3.41916,-2.55553,0.310603,1
1,4,94,-0.358358,-0.109237,-3.41916,-2.55553,-0.109237,1
1,2,94,-0.50592,-0.35916,-3.41916,-2.55553,-0.35916,1
1,1,94,-0.357983,-0.376334,-3.41916,-2.55553,-0.376334,0
1,19,93,-1.54142,-0.579087,-3.41916,-2.51688,-0.579087,1
1,17,93,-0.67831,-0.194162,-3.41916,-2.51688,-0.194162,1
1,15,93,-1.31735,-0.441929,-3.41916,-2.51688,-0.441929,1
1,13,93,-0.717027,0.205521,-3.41916,-2.51688,0.205521,1
1,7,93,-0.587702,0.381746,-3.41916,-2.51688,0.381746,1
1,4,93,-0.375061,0.200433,-3.41916,-2.51688,0.200433,1
1,2,93,-0.361755,-0.564656,-3.41916,-2.51688,-0.564656,0
1,1,93,-0.210633,-0.140145,-3.41916,-2.51688,-0.140145,1
1,19,92,-1.47761,-0.424273,-6.43894,-2.39982,-0.424273,1
1,17,92,-0.931862,-0.355974,-6.43894,-2.39982,-0.355974,1
1,15,92,-1.00035,-0.443837,-6.43894,-2.39982,-0.443837,1
1,13,92,-0.486117,0.39746,-6.43894,-2.39982,0.39746,1
1,7,92,-0.494895,0.51579,-6.43894,-2.39982,0.51579,1
1,4,92,-0.276332,-0.331459,-6.43894,-2.39982,-0.331459,0
1,2,92,-0.167336,-0.064252,-6.43894,-2.39982,-0.064252,1
1,1,92,-0.0459419,-0.0870601,-6.43894,-2.39982,-0.0870601,0
1,19,91,-1.18884,-0.277752,-6.29331,-2.45927,-0.277752,1
1,17,91,-0.907461,-0.350405,-6.29331,-2.45927,-0.350405,1
1,15,91,-0.764789,0.183302,-6.29331,-2.45927,-0.764789,1
1,13,91,-0.4381,0.398052,-6.29331,-2.45927,0.398052,1
1,7,91,-0.471982,0.554497,-6.29331,-2.45927,0.554497,1
1,4,91,-0.0408406,0.386491,-6.29331,-2.45927,0.386491,1
1,2,91,-0.334717,-0.0120865,-6.29331,-2.45927,-0.0120865,1
1,1,91,-0.591336,-0.0689069,-6.29331,-2.45927,-0.0689069,1
1,19,90,-1.75536,-0.713456,-6.05291,-2.36134,-0.713456,1
1,17,90,-0.768135,-0.145189,-6.05291,-2.36134,-0.145189,1
1,15,90,-0.859911,0.0296204,-6.05291,-2.36134,0.0296204,1
1,13,90,-0.381421,0.382379,-6.05291,-2.36134,0.382379,1
1,7,90,-0.450687,0.612866,-6.05291,-2.36134,0.612866,1
1,4,90,-0.0184154,0.387436,-6.05291,-2.36134,0.387436,1
1,2,90,-0.127295,0.0264086,-6.05291,-2.36134,0.0264086,1
1,1,90,0.106561,-0.147733,-6.05291,-2.36134,-0.147733,0
1,19,89,-1.83974,-0.604166,-5.75042,-2.39784,-0.604166,1
1,17,89,-0.49472,0.0292664,-5.75042,-2.39784,-0.49472,1
1,15,89,-0.769285,-0.08796,-5.75042,-2.39784,-0.08796,1
1,13,89,-0.0630517,0.793923,-5.75042,-2.39784,0.793923,1
1,7,89,-0.186241,0.755801,-5.75042,-2.39784,0.755801,1
1,4,89,-0.0326316,0.525477,-5.75042,-2.39784,0.525477,1
1,2,89,0.0631159,0.0234884,-5.75042,-2.39784,0.0234884,0
1,1,89,0.0474957,0.26283,-5.75042,-2.39784,0.26283,1
1,19,88,-1.54515,-0.30905,-5.55605,-2.24038,-1.54515,1
1,17,88,-1.26574,-0.605942,-5.55605,-2.24038,-0.605942,1
1,15,88,-0.735274,0.199456,-5.55605,-2.24038,0.199456,1
1,13,88,-0.467816,0.571387,-5.55605,-2.24038,0.571387,1
1,7,88,-0.114386,0.886558,-5.55605,-2.24038,0.886558,1
1,4,88,0.0918874,0.615372,-5.55605,-2.24038,0.615372,1
1,2,88,0.0789135,0.186593,-5.55605,-2.24038,0.186593,1
1,1,88,0.207675,0.107786,-5.55605,-2.24038,0.107786,0
1,19,87,-1.34886,-0.204644,-5.60239,-2.09737,-0.204644,1
1,17,87,-1.48725,-0.589909,-5.60239,-2.09737,-0.589909,1
1,15,87,-0.678174,0.377287,-5.60239,-2.09737,0.377287,1
1,13,87,-0.409353,0.674146,-5.60239,-2.09737,0.674146,1
1,7,87,-0.104766,0.886606,-5.60239,-2.09737,0.886606,1
1,4,87,0.244301,0.527615,-5.60239,-2.09737,0.527615,1
1,2,87,0.0150778,0.268741,-5.60239,-2.09737,0.268741,1
1,1,87,0.297678,0.18891,-5.60239,-2.09737,0.18891,0
1,19,86,-0.913878,-0.271286,-5.61978,-2.01828,-0.271286,1
1,17,86,-1.10763,0.0932947,-5.61978,-2.01828,-1.10763,1
1,15,86,-1.25418,-0.43336,-5.61978,-2.01828,-0.43336,1
1,13,86,-0.341141,0.839429,-5.61978,-2.01828,-0.341141,1
1,7,86,0.160856,0.987732,-5.61978,-2.01828,0.987732,1
1,4,86,0.127972,0.588422,-5.61978,-2.01828,0.588422,1
1,2,86,0.0451172,0.0409922,-5.61978,-2.01828,0.0409922,0
1,1,86,0.350608,0.257657,-5.61978,-2.01828,0.257657,0
1,19,85,-0.270796,0.266997,-5.14185,-2.10808,0.266997,1
1,17,85,-0.179103,0.208353,-5.14185,-2.10808,0.208353,1
1,15,85,-0.996328,-0.425155,-5.14185,-2.10808,-0.425155,1
1,13,85,0.472654,0.719735,-5.14185,-2.10808,0.719735,1
1,7,85,0.875548,0.684504,-5.14185,-2.10808,0.684504,0
1,4,85,0.537362,1.17416,-5.14185,-2.10808,1.17416,1
1,2,85,0.38865,0.729867,-5.14185,-2.10808,0.729867,1
1,1,85,0.534958,0.649437,-5.14185,-2.10808,0.649437,1
1,19,84,-0.173971,0.195337,-5.35927,-2.00544,0.195337,1
1,17,84,-0.225592,0.0409915,-5.35927,-2.00544,0.0409915,1
1,15,84,-0.450136,0.0834962,-5.35927,-2.00544,0.0834962,1
1,13,84,-0.220084,0.428542,-5.35927,-2.00544,0.428542,1
1,7,84,0.859896,0.664779,-5.35927,-2.00544,0.664779,0
1,4,84,0.329191,1.34911,-5.35927,-2.00544,1.34911,1
1,2,84,0.340133,0.587997,-5.35927,-2.00544,0.587997,1
1,1,84,0.755155,0.736901,-5.35927,-2.00544,0.736901,0
1,19,83,0.049927,0.521854,-5.22327,-1.89942,0.049927,1
1,17,83,-0.0325372,0.261006,-5.22327,-1.89942,0.261006,1
1,15,83,-0.23281,0.295851,-5.22327,-1.89942,0.295851,1
1,13,83,-0.0946569,0.517045,-5.22327,-1.89942,0.517045,1
1,7,83,1.18533,1.0776,-5.22327,-1.89942,1.0776,0
1,4,83,0.860906,1.39622,-5.22327,-1.89942,1.39622,1
1,2,83,0.65674,0.793664,-5.22327,-1.89942,0.793664,1
1,1,83,0.660222,0.727206,-5.22327,-1.89942,0.727206,1
1,19,82,-0.0664062,0.25147,-5.04662,-1.89873,0.25147,1
1,17,82,0.201308,0.316761,-5.04662,-1.89873,0.201308,1
1,15,82,-0.405738,0.0789052,-5.04662,-1.89873,0.0789052,1
1,13,82,0.492344,0.899833,-5.04662,-1.89873,0.899833,1
1,9,82,0.179336,0.241841,-5.04662,-1.89873,0.241841,1
1,7,82,1.15457,1.00369,-5.04662,-1.89873,1.00369,0
1,4,82,0.654453,1.47044,-5.04662,-1.89873,1.47044,1
1,2,82,0.855554,0.913403,-5.04662,-1.89873,0.913403,1
1,1,82,0.832127,1.06291,-5.04662,-1.89873,1.06291,1
1,19,81,-0.22715,0.227395,-4.70389,-1.77463,0.227395,1
1,17,81,0.157619,0.415654,-4.70389,-1.77463,0.415654,1
1,15,81,-0.201231,0.413284,-4.70389,-1.77463,0.413284,1
1,13,81,0.50074,0.839051,-4.70389,-1.77463,0.839051,1
1,7,81,1.17344,1.01361,-4.70389,-1.77463,1.01361,0
1,4,81,0.195428,1.49411,-4.70389,-1.77463,1.49411,1
1,2,81,0.917061,1.05643,-4.70389,-1.77463,1.05643,1
1,1,81,0.966612,1.02616,-4.70389,-1.77463,1.02616,1
1,19,80,0.0855276,0.50399,-4.82344,-1.66435,0.50399,1
1,17,80,0.139159,0.267209,-4.82344,-1.66435,0.267209,1
1,15,80,-0.195187,0.416623,-4.82344,-1.66435,0.416623,1
1,13,80,0.460351,0.854843,-4.82344,-1.66435,0.854843,1
1,7,80,1.20596,1.22198,-4.82344,-1.66435,1.22198,1
1,4,80,1.16046,1.60118,-4.82344,-1.66435,1.60118,1
1,2,80,0.91654,1.01207,-4.82344,-1.66435,1.01207,1
1,1,80,1.12121,1.23402,-4.82344,-1.66435,1.23402,1
1,19,79,0.131021,0.632866,-4.30456,-1.7295,0.632866,1
1,17,79,0.0560087,0.0598319,-4.30456,-1.7295,0.0598319,1
1,15,79,0.102796,0.63434,-4.30456,-1.7295,0.63434,1
1,13,79,0.560948,0.962312,-4.30456,-1.7295,0.962312,1
1,9,79,0.036176,0.232325,-4.30456,-1.7295,0.232325,1
1,7,79,1.42354,1.28493,-4.30456,-1.7295,1.28493,0
1,4,79,0.943003,1.57884,-4.30456,-1.7295,1.57884,1
1,2,79,0.925052,0.930516,-4.30456,-1.7295,0.930516,1
1,1,79,1.06657,1.17892,-4.30456,-1.7295,1.17892,1
1,19,78,0.165065,0.642951,-4.65291,-1.66623,0.642951,1
1,17,78,0.414143,0.533934,-4.65291,-1.66623,0.533934,1
1,15,78,-0.137914,0.392192,-4.65291,-1.66623,0.392192,1
1,13,78,0.726857,1.0401,-4.65291,-1.66623,1.0401,1
1,9,78,0.58079,0.698449,-4.65291,-1.66623,0.698449,1
1,7,78,1.13424,0.950295,-4.65291,-1.66623,0.950295,0
1,4,78,0.777657,1.64286,-4.65291,-1.66623,1.64286,1
1,2,78,1.26184,1.36276,-4.65291,-1.66623,1.36276,1
1,1,78,1.10415,0.946866,-4.65291,-1.66623,0.946866,0
1,19,77,-0.00631368,0.841731,-4.67517,-1.58996,0.841731,1
1,17,77,0.486072,0.590205,-4.67517,-1.58996,0.590205,1
1,15,77,-0.321144,0.204219,-4.67517,-1.58996,0.204219,1
1,13,77,0.660543,1.18953,-4.67517,-1.58996,1.18953,1
1,9,77,0.548127,0.67582,-4.67517,-1.58996,0.67582,1
1,7,77,1.32663,1.14553,-4.67517,-1.58996,1.14553,0
1,4,77,1.32997,1.7663,-4.67517,-1.58996,1.7663,1
1,2,77,1.17799,1.2286,-4.67517,-1.58996,1.2286,1
1,1,77,1.28021,1.53911,-4.67517,-1.58996,1.53911,1
1,19,76,0.168377,0.896375,-4.75214,-1.45125,0.896375,1
1,17,76,0.56794,0.557266,-4.75214,-1.45125,0.557266,0
1,15,76,0.094076,0.671966,-4.75214,-1.45125,0.094076,1
1,13,76,0.736539,1.08376,-4.75214,-1.45125,1.08376,1
1,9,76,0.518149,0.621583,-4.75214,-1.45125,0.621583,1
1,7,76,1.53591,1.42029,-4.75214,-1.45125,1.42029,0
1,4,76,1.35749,1.91785,-4.75214,-1.45125,1.91785,1
1,2,76,1.06333,1.19392,-4.75214,-1.45125,1.19392,1
1,1,76,1.26031,1.39138,-4.75214,-1.45125,1.39138,1
1,19,75,0.226034,0.965478,-4.90201,-1.41384,0.965478,1
1,17,75,0.543016,0.547207,-4.90201,-1.41384,0.547207,1
1,15,75,0.158408,0.776549,-4.90201,-1.41384,0.776549,1
1,13,75,0.56767,1.11119,-4.90201,-1.41384,1.11119,1
1,9,75,0.60454,0.73142,-4.90201,-1.41384,0.73142,1
1,7,75,1.69506,1.44563,-4.90201,-1.41384,1.44563,0
1,4,75,0.324101,1.7932,-4.90201,-1.41384,1.7932,1
1,2,75,1.21613,1.4992,-4.90201,-1.41384,1.4992,1
1,1,75,1.28947,1.23316,-4.90201,-1.41384,1.23316,0
1,19,74,0.2182,0.891824,-4.86797,-1.45906,0.891824,1
1,17,74,0.641062,0.803141,-4.86797,-1.45906,0.641062,1
1,15,74,0.0761168,0.623274,-4.86797,-1.45906,0.623274,1
1,13,74,0.998403,1.18236,-4.86797,-1.45906,1.18236,1
1,9,74,0.978873,1.18523,-4.86797,-1.45906,1.18523,1
1,7,74,1.67545,1.47218,-4.86797,-1.45906,1.47218,0
1,4,74,1.16155,1.84216,-4.86797,-1.45906,1.84216,1
1,2,74,1.43182,1.57774,-4.86797,-1.45906,1.57774,1
1,1,74,1.37698,1.66598,-4.86797,-1.45906,1.66598,1
1,19,73,0.257926,1.00723,-4.58061,-1.30758,1.00723,1
1,17,73,0.722566,0.862496,-4.58061,-1.30758,0.862496,1
1,15,73,0.15837,0.747071,-4.58061,-1.30758,0.747071,1
1,13,73,1.005,1.21007,-4.58061,-1.30758,1.21007,1
1,9,73,0.622798,0.846268,-4.58061,-1.30758,0.846268,1
1,7,73,1.73867,1.47852,-4.58061,-1.30758,1.47852,0
1,4,73,1.55669,2.09102,-4.58061,-1.30758,2.09102,1
1,2,73,1.18552,1.20501,-4.58061,-1.30758,1.20501,1
1,1,73,1.53258,1.74414,-4.58061,-1.30758,1.74414,1
1,19,72,0.301162,1.10273,-4.69937,-1.21867,1.10273,1
1,17,72,0.574023,0.713069,-4.69937,-1.21867,0.713069,1
1,15,72,0.564067,0.878168,-4.69937,-1.21867,0.878168,1
1,13,72,0.837539,1.27841,-4.69937,-1.21867,1.27841,1
1,9,72,0.697016,0.84402,-4.69937,-1.21867,0.84402,1
1,7,72,2.00951,1.75439,-4.69937,-1.21867,1.75439,0
1,4,72,1.61511,2.08698,-4.69937,-1.21867,2.08698,1
1,2,72,1.46952,1.48862,-4.69937,-1.21867,1.48862,1
1,1,72,1.36377,1.16063,-4.69937,-1.21867,1.16063,0
1,19,71,0.23818,1.12727,-4.4203,-1.13959,1.12727,1
1,17,71,0.881702,0.879538,-4.4203,-1.13959,0.881702,0
1,15,71,0.716201,0.984777,-4.4203,-1.13959,0.984777,1
1,13,71,0.867959,1.40875,-4.4203,-1.13959,1.40875,1
1,7,71,1.72808,1.6207,-4.4203,-1.13959,1.6207,0
1,4,71,1.54545,2.11296,-4.4203,-1.13959,2.11296,1
1,2,71,1.63108,1.71629,-4.4203,-1.13959,1.71629,1
1,1,71,1.58757,1.67052,-4.4203,-1.13959,1.67052,1
