Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.11633,-1.702,-3.41916,-3.35117,-1.702,1
1,19,99,-1.99929,-1.54512,-3.41916,-3.35117,-1.54512,1
1,18,99,-1.34664,-1.45878,-3.41916,-3.35117,-1.45878,0
1,17,99,-2.04161,-1.15069,-3.41916,-3.35117,-1.15069,1
1,15,99,-2.08762,-1.15199,-3.41916,-3.35117,-1.15199,1
1,13,99,-1.70888,-0.888908,-3.41916,-3.35117,-0.888908,1
1,12,99,-1.60204,-1.10071,-3.41916,-3.35117,-1.60204,1
1,10,99,-1.73105,-0.860993,-3.41916,-3.35117,-0.860993,1
1,9,99,-1.90183,-0.908143,-3.41916,-3.35117,-0.908143,1
1,7,99,-1.71998,-1.3684,-3.41916,-3.35117,-1.3684,1
1,4,99,-1.03197,-0.80819,-3.41916,-3.35117,-0.80819,1
1,3,99,-1.46159,-1.28122,-3.41916,-3.35117,-1.28122,1
1,2,99,-1.1672,-1.43677,-3.41916,-3.35117,-1.43677,0
1,1,99,-1.33005,-1.55515,-3.41916,-3.35117,-1.55515,0
1,20,98,-1.9599,-1.90322,-3.41916,-3.12829,-1.90322,1
1,19,98,-2.13786,-1.47086,-3.41916,-3.12829,-1.47086,1
1,18,98,-1.46494,-1.41357,-3.41916,-3.12829,-1.41357,1
1,17,98,-1.95749,-0.994113,-3.41916,-3.12829,-0.994113,1
1,15,98,-2.38035,-1.23468,-3.41916,-3.12829,-1.23468,1
1,13,98,-1.58565,-0.731365,-3.41916,-3.12829,-1.58565,1
1,12,98,-1.45193,-1.26113,-3.41916,-3.12829,-1.26113,1
1,9,98,-1.70902,-0.851212,-3.41916,-3.12829,-0.851212,1
1,7,98,-1.43384,-1.15287,-3.41916,-3.12829,-1.15287,1
1,4,98,-0.916433,-0.807711,-3.41916,-3.12829,-0.807711,1
1,3,98,-1.14399,-1.12813,-3.41916,-3.12829,-1.12813,1
1,2,98,-0.787497,-0.93122,-3.41916,-3.12829,-0.93122,0
1,1,98,-1.37634,-1.63127,-3.41916,-3.12829,-1.63127,0
1,20,97,-2.05795,-1.73386,-3.41916,-2.81209,-2.05795,1
1,19,97,-1.7285,-1.47615,-3.41916,-2.81209,-1.47615,1
1,18,97,-1.29329,-1.86877,-3.41916,-2.81209,-1.86877,0
1,17,97,-1.80312,-0.998078,-3.41916,-2.81209,-0.998078,1
1,15,97,-1.80758,-0.91669,-3.41916,-2.81209,-0.91669,1
1,13,97,-1.46851,-0.744904,-3.41916,-2.81209,-0.744904,1
1,12,97,-1.18579,-1.09343,-3.41916,-2.81209,-1.09343,1
1,7,97,-1.15891,-1.09214,-3.41916,-2.81209,-1.09214,1
1,4,97,-0.715511,-0.732367,-3.41916,-2.81209,-0.732367,0
1,3,97,-0.65873,-1.04126,-3.41916,-2.81209,-1.04126,0
1,2,97,-0.544254,-1.1187,-3.41916,-2.81209,-1.1187,0
1,20,96,-1.79081,-1.39243,-3.41916,-2.99602,-1.39243,1
1,19,96,-2.07328,-1.40263,-3.41916,-2.99602,-1.40263,1
1,18,96,-1.31658,-1.38022,-3.41916,-2.99602,-1.38022,0
1,17,96,-1.63387,-0.774288,-3.41916,-2.99602,-0.774288,1
1,15,96,-1.67883,-0.678128,-3.41916,-2.99602,-0.678128,1
1,13,96,-1.62073,-0.674427,-3.41916,-2.99602,-1.62073,1
1,12,96,-1.17217,-1.07284,-3.41916,-2.99602,-1.07284,1
1,9,96,-1.67268,-0.77882,-3.41916,-2.99602,-0.77882,1
1,7,96,-1.13287,-1.06091,-3.41916,-2.99602,-1.06091,1
1,4,96,-0.786503,-0.65455,-3.41916,-2.99602,-0.65455,1
1,3,96,-1.10482,-0.973944,-3.41916,-2.99602,-0.973944,1
1,2,96,-0.611312,-0.737136,-3.41916,-2.99602,-0.737136,0
1,19,95,-1.82389,-1.22407,-3.41916,-2.85377,-1.22407,1
1,17,95,-1.71316,-1.0129,-3.41916,-2.85377,-1.0129,1
1,15,95,-1.62525,-0.563062,-3.41916,-2.85377,-0.563062,1
1,13,95,-1.23272,-0.501245,-3.41916,-2.85377,-0.501245,1
1,7,95,-0.983585,-0.881872,-3.41916,-2.85377,-0.881872,1
1,4,95,-0.684033,-0.517629,-3.41916,-2.85377,-0.517629,1
1,2,95,-0.455945,-0.898587,-3.41916,-2.85377,-0.898587,0
1,1,95,-0.806004,-1.30014,-3.41916,-2.85377,-1.30014,0
1,19,94,-1.44955,-1.33365,-3.41916,-2.55553,-1.33365,1
1,17,94,-1.52887,-0.87797,-3.41916,-2.55553,-0.87797,1
1,15,94,-1.3943,-0.570211,-3.41916,-2.55553,-0.570211,1
1,13,94,-1.08018,-0.352507,-3.41916,-2.55553,-0.352507,1
1,7,94,-1.04854,-0.968812,-3.41916,-2.55553,-0.968812,1
1,4,94,-0.522902,-0.406506,-3.41916,-2.55553,-0.406506,1
1,2,94,-0.399952,-0.600427,-3.41916,-2.55553,-0.600427,0
1,1,94,-0.689468,-1.26779,-3.41916,-2.55553,-1.26779,0
1,19,93,-1.80376,-1.1655,-3.41916,-2.51688,-1.1655,1
1,17,93,-1.258,-0.666952,-3.41916,-2.51688,-0.666952,1
1,15,93,-1.59916,-0.673301,-3.41916,-2.51688,-0.673301,1
1,13,93,-1.03173,-0.274478,-3.41916,-2.51688,-0.274478,1
1,7,93,-0.957291,-0.908878,-3.41916,-2.51688,-0.908878,1
1,4,93,-0.471099,-0.397748,-3.41916,-2.51688,-0.397748,1
1,2,93,-0.26636,-0.922478,-3.41916,-2.51688,-0.922478,0
1,1,93,-0.566374,-1.26113,-3.41916,-2.51688,-1.26113,0
1,19,92,-1.8752,-1.23589,-6.43894,-2.39982,-1.23589,1
1,17,92,-1.35081,-0.714051,-6.43894,-2.39982,-0.714051,1
1,15,92,-1.37522,-0.661483,-6.43894,-2.39982,-0.661483,1
1,13,92,-0.885767,-0.19228,-6.43894,-2.39982,-0.19228,1
1,7,92,-0.754604,-0.819596,-6.43894,-2.39982,-0.819596,0
1,4,92,-0.387528,-0.345428,-6.43894,-2.39982,-0.345428,1
1,2,92,-0.252681,-0.735988,-6.43894,-2.39982,-0.735988,0
1,1,92,-0.497069,-1.12137,-6.43894,-2.39982,-1.12137,0
1,19,91,-1.7043,-1.18937,-6.29331,-2.45927,-1.18937,1
1,17,91,-1.2802,-0.637828,-6.29331,-2.45927,-0.637828,1
1,15,91,-1.14091,-0.397375,-6.29331,-2.45927,-1.14091,1
1,13,91,-1.07761,-0.258639,-6.29331,-2.45927,-0.258639,1
1,7,91,-0.743643,-0.862103,-6.29331,-2.45927,-0.862103,0
1,4,91,-0.372961,-0.302239,-6.29331,-2.45927,-0.302239,1
1,2,91,-0.0761975,-0.286151,-6.29331,-2.45927,-0.286151,0
1,1,91,-0.45933,-0.975771,-6.29331,-2.45927,-0.975771,0
1,19,90,-1.84646,-1.18289,-6.05291,-2.36134,-1.18289,1
1,17,90,-1.26738,-0.683945,-6.05291,-2.36134,-0.683945,1
1,15,90,-1.21862,-0.381566,-6.05291,-2.36134,-0.381566,1
1,13,90,-0.99725,-0.203258,-6.05291,-2.36134,-0.203258,1
1,7,90,-0.761649,-0.891238,-6.05291,-2.36134,-0.891238,0
1,4,90,-0.360958,-0.222432,-6.05291,-2.36134,-0.222432,1
1,2,90,-0.150516,-0.47496,-6.05291,-2.36134,-0.47496,0
1,1,90,-0.405691,-1.02093,-6.05291,-2.36134,-1.02093,0
1,19,89,-1.72553,-1.15562,-5.75042,-2.39784,-1.15562,1
1,17,89,-1.18511,-0.514455,-5.75042,-2.39784,-1.18511,1
1,15,89,-1.14793,-0.44443,-5.75042,-2.39784,-0.44443,1
1,13,89,-0.755088,-0.0183319,-5.75042,-2.39784,-0.0183319,1
1,7,89,-0.526186,-0.606833,-5.75042,-2.39784,-0.606833,0
1,4,89,-0.132683,-0.148313,-5.75042,-2.39784,-0.148313,0
1,2,89,-0.249945,-0.564578,-5.75042,-2.39784,-0.564578,0
1,1,89,-0.539585,-0.305049,-5.75042,-2.39784,-0.305049,1
1,19,88,-1.52357,-0.935906,-5.55605,-2.24038,-1.52357,1
1,17,88,-1.3086,-0.791074,-5.55605,-2.24038,-0.791074,1
1,15,88,-0.906353,-0.428583,-5.55605,-2.24038,-0.428583,1
1,13,88,-0.732574,-0.103844,-5.55605,-2.24038,-0.103844,1
1,7,88,-0.500541,-0.488649,-5.55605,-2.24038,-0.488649,1
1,4,88,-0.0347812,-0.0994015,-5.55605,-2.24038,-0.0994015,0
1,2,88,-0.0311367,-0.325379,-5.55605,-2.24038,-0.325379,0
1,1,88,-0.38929,-0.937039,-5.55605,-2.24038,-0.937039,0
1,19,87,-1.45297,-0.951841,-5.60239,-2.09737,-0.951841,1
1,17,87,-1.54309,-0.72221,-5.60239,-2.09737,-0.72221,1
1,15,87,-0.873472,-0.19658,-5.60239,-2.09737,-0.19658,1
