Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.18401,-1.58431,-3.41916,-3.35117,-1.58431,1
1,19,99,-2.08479,-1.77367,-3.41916,-3.35117,-1.77367,1
1,18,99,-2.03824,-1.30363,-3.41916,-3.35117,-1.30363,1
1,17,99,-2.14185,-1.46579,-3.41916,-3.35117,-1.46579,1
1,15,99,-1.59361,-0.905619,-3.41916,-3.35117,-0.905619,1
1,13,99,-1.78778,-1.13211,-3.41916,-3.35117,-1.13211,1
1,12,99,-1.39635,-1.07372,-3.41916,-3.35117,-1.39635,1
1,10,99,-1.69494,-0.797754,-3.41916,-3.35117,-0.797754,1
1,9,99,-1.59523,-1.53646,-3.41916,-3.35117,-1.53646,1
1,7,99,-0.519683,-1.22516,-3.41916,-3.35117,-1.22516,0
1,4,99,-0.120772,-0.601127,-3.41916,-3.35117,-0.601127,0
1,3,99,-0.677231,-1.32051,-3.41916,-3.35117,-1.32051,0
1,2,99,-1.02995,-0.607894,-3.41916,-3.35117,-0.607894,1
1,1,99,-0.994741,-1.74779,-3.41916,-3.35117,-1.74779,0
1,20,98,-2.06247,-1.60434,-3.41916,-3.12829,-1.60434,1
1,19,98,-2.13559,-1.76578,-3.41916,-3.12829,-1.76578,1
1,18,98,-2.2527,-1.40132,-3.41916,-3.12829,-1.40132,1
1,17,98,-1.91952,-1.19463,-3.41916,-3.12829,-1.19463,1
1,15,98,-1.98779,-0.913106,-3.41916,-3.12829,-0.913106,1
1,13,98,-1.74195,-1.07745,-3.41916,-3.12829,-1.74195,1
1,12,98,-1.40699,-1.39613,-3.41916,-3.12829,-1.39613,1
1,9,98,-1.16638,-1.26855,-3.41916,-3.12829,-1.26855,0
1,7,98,-0.478541,-0.993206,-3.41916,-3.12829,-0.993206,0
1,4,98,-0.133252,-0.585389,-3.41916,-3.12829,-0.585389,0
1,3,98,-0.638558,-1.33564,-3.41916,-3.12829,-1.33564,0
1,2,98,-0.781798,-0.897561,-3.41916,-3.12829,-0.897561,0
1,1,98,-0.931136,-1.72923,-3.41916,-3.12829,-1.72923,0
1,20,97,-1.84148,-1.42931,-3.41916,-2.81209,-1.84148,1
1,19,97,-1.93377,-1.67752,-3.41916,-2.81209,-1.67752,1
1,18,97,-2.11497,-1.52324,-3.41916,-2.81209,-1.52324,1
1,17,97,-1.8619,-1.24736,-3.41916,-2.81209,-1.24736,1
1,15,97,-1.41186,-0.757315,-3.41916,-2.81209,-0.757315,1
1,13,97,-1.52406,-1.02278,-3.41916,-2.81209,-1.02278,1
1,12,97,-1.35518,-1.30352,-3.41916,-2.81209,-1.30352,1
1,7,97,-0.344536,-0.967384,-3.41916,-2.81209,-0.967384,0
1,4,97,-0.0212552,-0.446699,-3.41916,-2.81209,-0.446699,0
1,3,97,-0.412052,-1.10411,-3.41916,-2.81209,-1.10411,0
1,2,97,-0.708611,-0.662466,-3.41916,-2.81209,-0.662466,1
1,20,96,-1.71469,-1.11055,-3.41916,-2.99602,-1.11055,1
1,19,96,-1.84655,-1.5597,-3.41916,-2.99602,-1.5597,1
1,18,96,-1.88631,-1.16147,-3.41916,-2.99602,-1.16147,1
1,17,96,-1.7646,-1.15154,-3.41916,-2.99602,-1.15154,1
1,15,96,-1.24928,-0.373217,-3.41916,-2.99602,-0.373217,1
1,13,96,-1.66319,-1.04511,-3.41916,-2.99602,-1.66319,1
1,12,96,-1.0921,-1.20409,-3.41916,-2.99602,-1.20409,0
1,9,96,-1.01706,-1.12366,-3.41916,-2.99602,-1.12366,0
1,7,96,-0.25743,-0.885144,-3.41916,-2.99602,-0.885144,0
1,4,96,0.171594,-0.289191,-3.41916,-2.99602,-0.289191,0
1,3,96,0.0192621,-0.866967,-3.41916,-2.99602,-0.866967,0
1,2,96,-0.202441,-0.162728,-3.41916,-2.99602,-0.162728,1
1,19,95,-1.67661,-1.46757,-3.41916,-2.85377,-1.46757,1
1,17,95,-1.68983,-0.799396,-3.41916,-2.85377,-0.799396,1
1,15,95,-1.32366,-0.289797,-3.41916,-2.85377,-0.289797,1
1,13,95,-1.21147,-0.824555,-3.41916,-2.85377,-0.824555,1
1,7,95,-0.0604846,-0.691171,-3.41916,-2.85377,-0.691171,0
1,4,95,0.319018,-0.125506,-3.41916,-2.85377,-0.125506,0
1,2,95,-0.270132,-0.0651463,-3.41916,-2.85377,-0.0651463,1
1,1,95,-0.833812,-1.16812,-3.41916,-2.85377,-1.16812,0
1,19,94,-1.55696,-1.53682,-3.41916,-2.55553,-1.53682,1
1,17,94,-1.38723,-0.676195,-3.41916,-2.55553,-0.676195,1
1,15,94,-1.19746,-0.31502,-3.41916,-2.55553,-0.31502,1
1,13,94,-0.96546,-0.573581,-3.41916,-2.55553,-0.573581,1
1,7,94,-0.190296,-0.630819,-3.41916,-2.55553,-0.630819,0
1,4,94,0.376314,0.105776,-3.41916,-2.55553,0.105776,0
1,2,94,-0.0801148,0.0150869,-3.41916,-2.55553,0.0150869,1
1,1,94,-0.307567,-1.18315,-3.41916,-2.55553,-1.18315,0
1,19,93,-1.65106,-1.44752,-3.41916,-2.51688,-1.44752,1
1,17,93,-1.19198,-0.413053,-3.41916,-2.51688,-0.413053,1
1,15,93,-1.15303,-0.134523,-3.41916,-2.51688,-0.134523,1
