Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.07657,-1.14047,-3.41916,-3.35117,-1.14047,1
1,19,99,-1.95182,-1.3348,-3.41916,-3.35117,-1.3348,1
1,18,99,-1.85837,-1.64959,-3.41916,-3.35117,-1.64959,1
1,17,99,-1.53741,-1.64603,-3.41916,-3.35117,-1.64603,0
1,15,99,-1.58653,-1.58665,-3.41916,-3.35117,-1.58665,0
1,13,99,-1.43027,-1.0958,-3.41916,-3.35117,-1.0958,1
1,12,99,-1.47039,-0.958612,-3.41916,-3.35117,-1.47039,1
1,10,99,-1.66014,-1.53623,-3.41916,-3.35117,-1.53623,1
1,9,99,-1.26686,-0.939201,-3.41916,-3.35117,-0.939201,1
1,7,99,-1.36263,-2.0574,-3.41916,-3.35117,-2.0574,0
1,4,99,-1.71384,-0.864098,-3.41916,-3.35117,-0.864098,1
1,3,99,-2.46358,-0.637245,-3.41916,-3.35117,-0.637245,1
1,2,99,-1.73264,-0.624168,-3.41916,-3.35117,-0.624168,1
1,1,99,-1.05667,-1.25078,-3.41916,-3.35117,-1.25078,0
1,20,98,-1.90843,-1.1247,-3.41916,-3.12829,-1.1247,1
1,19,98,-1.84878,-1.3037,-3.41916,-3.12829,-1.3037,1
1,18,98,-1.85276,-1.6638,-3.41916,-3.12829,-1.6638,1
1,17,98,-1.34129,-1.51213,-3.41916,-3.12829,-1.51213,0
1,15,98,-1.67956,-1.40575,-3.41916,-3.12829,-1.40575,1
1,13,98,-1.42454,-1.04278,-3.41916,-3.12829,-1.42454,1
1,12,98,-1.36793,-0.752955,-3.41916,-3.12829,-0.752955,1
1,9,98,-1.27445,-0.976495,-3.41916,-3.12829,-0.976495,1
1,7,98,-1.33137,-2.01557,-3.41916,-3.12829,-2.01557,0
1,4,98,-1.55071,-0.809325,-3.41916,-3.12829,-0.809325,1
1,3,98,-1.37136,-0.551214,-3.41916,-3.12829,-0.551214,1
1,2,98,-1.16755,-0.593387,-3.41916,-3.12829,-0.593387,1
1,1,98,-1.10149,-1.21053,-3.41916,-3.12829,-1.21053,0
1,20,97,-1.91459,-0.992544,-3.41916,-2.81209,-1.91459,1
1,19,97,-1.90891,-0.978077,-3.41916,-2.81209,-0.978077,1
1,18,97,-1.72475,-1.71851,-3.41916,-2.81209,-1.71851,1
1,17,97,-1.36797,-1.38628,-3.41916,-2.81209,-1.38628,0
1,15,97,-1.35971,-1.43792,-3.41916,-2.81209,-1.43792,0
1,13,97,-1.329,-0.773848,-3.41916,-2.81209,-0.773848,1
1,12,97,-1.36052,-0.739077,-3.41916,-2.81209,-0.739077,1
1,7,97,-1.25967,-1.98495,-3.41916,-2.81209,-1.98495,0
1,4,97,-1.15398,-0.66386,-3.41916,-2.81209,-0.66386,1
1,3,97,-1.06547,-0.421221,-3.41916,-2.81209,-0.421221,1
1,2,97,-1.07819,-0.432127,-3.41916,-2.81209,-0.432127,1
1,20,96,-1.73827,-0.807511,-3.41916,-2.99602,-0.807511,1
1,19,96,-1.66305,-1.14975,-3.41916,-2.99602,-1.14975,1
1,18,96,-1.74339,-1.82417,-3.41916,-2.99602,-1.82417,0
1,17,96,-1.35855,-1.49618,-3.41916,-2.99602,-1.49618,0
1,15,96,-1.27607,-1.2908,-3.41916,-2.99602,-1.2908,0
1,13,96,-1.30723,-0.839116,-3.41916,-2.99602,-1.30723,1
1,12,96,-1.24797,-0.634351,-3.41916,-2.99602,-0.634351,1
1,9,96,-1.02257,-0.743443,-3.41916,-2.99602,-0.743443,1
1,7,96,-1.19561,-1.97691,-3.41916,-2.99602,-1.97691,0
1,4,96,-1.03358,-0.469996,-3.41916,-2.99602,-0.469996,1
1,3,96,-0.893005,-0.128959,-3.41916,-2.99602,-0.128959,1
1,2,96,-0.98474,-0.240693,-3.41916,-2.99602,-0.240693,1
1,19,95,-1.54403,-0.978244,-3.41916,-2.85377,-0.978244,1
1,17,95,-1.36909,-1.48309,-3.41916,-2.85377,-1.48309,0
1,15,95,-1.24587,-1.29814,-3.41916,-2.85377,-1.29814,0
1,13,95,-1.25884,-0.557615,-3.41916,-2.85377,-0.557615,1
1,7,95,-1.17926,-1.93718,-3.41916,-2.85377,-1.93718,0
1,4,95,-0.943983,-0.425052,-3.41916,-2.85377,-0.425052,1
1,2,95,-0.892979,-0.236921,-3.41916,-2.85377,-0.236921,1
1,1,95,-0.869825,-0.991986,-3.41916,-2.85377,-0.991986,0
1,19,94,-1.43122,-0.916664,-3.41916,-2.55553,-0.916664,1
1,17,94,-1.10183,-1.29152,-3.41916,-2.55553,-1.29152,0
1,15,94,-1.19141,-1.30789,-3.41916,-2.55553,-1.30789,0
1,13,94,-1.06039,-0.651983,-3.41916,-2.55553,-0.651983,1
1,7,94,-1.03867,-1.94176,-3.41916,-2.55553,-1.94176,0
1,4,94,-0.964358,-0.458119,-3.41916,-2.55553,-0.458119,1
1,2,94,-0.819323,-0.207141,-3.41916,-2.55553,-0.207141,1
1,1,94,-0.818125,-0.803553,-3.41916,-2.55553,-0.803553,1
1,19,93,-1.40766,-0.795971,-3.41916,-2.51688,-0.795971,1
1,17,93,-0.968737,-1.14221,-3.41916,-2.51688,-1.14221,0
1,15,93,-1.10894,-1.34402,-3.41916,-2.51688,-1.34402,0
1,13,93,-1.00707,-0.582555,-3.41916,-2.51688,-0.582555,1
1,7,93,-1.06641,-1.81092,-3.41916,-2.51688,-1.81092,0
1,4,93,-0.889223,-0.364231,-3.41916,-2.51688,-0.364231,1
1,2,93,-0.852257,-0.0998504,-3.41916,-2.51688,-0.0998504,1
1,1,93,-0.85846,-0.939805,-3.41916,-2.51688,-0.939805,0
1,19,92,-1.50152,-0.915441,-6.43894,-2.39982,-0.915441,1
1,17,92,-0.8781,-1.17971,-6.43894,-2.39982,-1.17971,0
1,15,92,-1.08302,-1.05226,-6.43894,-2.39982,-1.05226,1
1,13,92,-0.849338,-0.578254,-6.43894,-2.39982,-0.578254,1
1,7,92,-1.01806,-1.80532,-6.43894,-2.39982,-1.80532,0
1,4,92,-0.943295,-0.330917,-6.43894,-2.39982,-0.330917,1
1,2,92,-0.754078,0.0483058,-6.43894,-2.39982,0.0483058,1
1,1,92,-0.790587,-0.746408,-6.43894,-2.39982,-0.746408,1
1,19,91,-1.36314,-0.595422,-6.29331,-2.45927,-0.595422,1
1,17,91,-0.832814,-0.988072,-6.29331,-2.45927,-0.988072,0
1,15,91,-0.868204,-0.9303,-6.29331,-2.45927,-0.868204,0
1,13,91,-0.950022,-0.498001,-6.29331,-2.45927,-0.498001,1
1,7,91,-0.893047,-1.58437,-6.29331,-2.45927,-1.58437,0
1,4,91,-0.835926,-0.280061,-6.29331,-2.45927,-0.280061,1
1,2,91,-0.794656,-0.411938,-6.29331,-2.45927,-0.411938,1
