Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.81864,-0.893978,-3.41916,-3.35117,-0.893978,1
1,19,99,-1.87701,-1.25664,-3.41916,-3.35117,-1.25664,1
1,18,99,-1.4374,-1.24227,-3.41916,-3.35117,-1.24227,1
1,17,99,-1.36032,-1.16546,-3.41916,-3.35117,-1.16546,1
1,15,99,-1.21191,-0.666555,-3.41916,-3.35117,-0.666555,1
1,13,99,-0.698253,-0.234089,-3.41916,-3.35117,-0.234089,1
1,12,99,-0.852105,-0.37216,-3.41916,-3.35117,-0.852105,1
1,10,99,-0.766252,-1.134,-3.41916,-3.35117,-1.134,0
1,9,99,-1.19588,-0.393455,-3.41916,-3.35117,-0.393455,1
1,7,99,-0.657743,0.130377,-3.41916,-3.35117,0.130377,1
1,4,99,-1.57248,0.607353,-3.41916,-3.35117,0.607353,1
1,3,99,-1.94298,-0.202996,-3.41916,-3.35117,-0.202996,1
1,2,99,-0.942342,-0.12162,-3.41916,-3.35117,-0.12162,1
1,1,99,-0.646215,-0.363958,-3.41916,-3.35117,-0.363958,1
1,20,98,-1.67644,-0.952879,-3.41916,-3.12829,-0.952879,1
1,19,98,-1.67663,-1.15374,-3.41916,-3.12829,-1.15374,1
1,18,98,-1.42116,-1.24231,-3.41916,-3.12829,-1.24231,1
1,17,98,-1.12962,-1.09939,-3.41916,-3.12829,-1.09939,1
1,15,98,-1.31152,-0.572281,-3.41916,-3.12829,-0.572281,1
1,13,98,-0.595471,-0.1461,-3.41916,-3.12829,-0.595471,1
1,12,98,-0.714896,-0.144678,-3.41916,-3.12829,-0.144678,1
1,9,98,-1.00874,-0.370068,-3.41916,-3.12829,-0.370068,1
1,7,98,-0.378585,0.142389,-3.41916,-3.12829,0.142389,1
1,4,98,-1.45982,0.658445,-3.41916,-3.12829,0.658445,1
1,3,98,-1.07315,-0.294418,-3.41916,-3.12829,-0.294418,1
1,2,98,-0.447874,0.0462965,-3.41916,-3.12829,0.0462965,1
1,1,98,-0.295094,-0.455231,-3.41916,-3.12829,-0.455231,0
1,20,97,-1.61151,-0.808992,-3.41916,-2.81209,-1.61151,1
1,19,97,-1.70026,-1.19333,-3.41916,-2.81209,-1.19333,1
1,18,97,-1.23291,-1.26631,-3.41916,-2.81209,-1.26631,0
