Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.53164,-0.945559,-3.41916,-3.35117,-0.945559,1
1,19,99,-2.01514,-1.57649,-3.41916,-3.35117,-1.57649,1
1,18,99,-1.55162,-1.28953,-3.41916,-3.35117,-1.28953,1
1,17,99,-1.35548,-1.65763,-3.41916,-3.35117,-1.65763,0
1,15,99,-1.33266,-1.08598,-3.41916,-3.35117,-1.08598,1
1,13,99,-1.34691,-1.70589,-3.41916,-3.35117,-1.70589,0
1,12,99,-0.928633,-0.935821,-3.41916,-3.35117,-0.928633,0
1,10,99,-1.23967,-1.60225,-3.41916,-3.35117,-1.60225,0
1,9,99,-1.18252,-0.97076,-3.41916,-3.35117,-0.97076,1
1,7,99,-0.849317,-1.13575,-3.41916,-3.35117,-1.13575,0
1,4,99,-1.03282,-0.727787,-3.41916,-3.35117,-0.727787,1
1,3,99,-1.8032,-0.556558,-3.41916,-3.35117,-0.556558,1
1,2,99,-1.18361,-0.553982,-3.41916,-3.35117,-0.553982,1
1,1,99,-1.35157,-0.0675654,-3.41916,-3.35117,-0.0675654,1
1,20,98,-1.31007,-1.13385,-3.41916,-3.12829,-1.13385,1
1,19,98,-2.05307,-1.58293,-3.41916,-3.12829,-1.58293,1
1,18,98,-1.64254,-1.41562,-3.41916,-3.12829,-1.41562,1
1,17,98,-1.23755,-1.53443,-3.41916,-3.12829,-1.53443,0
1,15,98,-1.47449,-1.09144,-3.41916,-3.12829,-1.09144,1
1,13,98,-1.2152,-1.73233,-3.41916,-3.12829,-1.2152,0
1,12,98,-0.930277,-0.612872,-3.41916,-3.12829,-0.612872,1
1,9,98,-0.880632,-0.82042,-3.41916,-3.12829,-0.82042,1
1,7,98,-0.701682,-1.09,-3.41916,-3.12829,-1.09,0
1,4,98,-0.745165,-0.659639,-3.41916,-3.12829,-0.659639,1
1,3,98,-1.37923,-0.388831,-3.41916,-3.12829,-0.388831,1
1,2,98,-0.902799,-0.584986,-3.41916,-3.12829,-0.584986,1
1,1,98,-1.2535,-0.0092412,-3.41916,-3.12829,-0.0092412,1
1,20,97,-1.31625,-0.957341,-3.41916,-2.81209,-1.31625,1
1,19,97,-2.18496,-1.76945,-3.41916,-2.81209,-1.76945,1
1,18,97,-1.50015,-1.30696,-3.41916,-2.81209,-1.30696,1
1,17,97,-1.26427,-1.23702,-3.41916,-2.81209,-1.23702,1
1,15,97,-1.07236,-0.903238,-3.41916,-2.81209,-0.903238,1
1,13,97,-1.11903,-1.31986,-3.41916,-2.81209,-1.31986,0
1,12,97,-0.782081,-0.539242,-3.41916,-2.81209,-0.539242,1
1,7,97,-0.662766,-1.00418,-3.41916,-2.81209,-1.00418,0
1,4,97,-0.396426,-0.525545,-3.41916,-2.81209,-0.525545,0
1,3,97,-1.19752,-0.385326,-3.41916,-2.81209,-0.385326,1
1,2,97,-0.748163,-0.408757,-3.41916,-2.81209,-0.408757,1
1,20,96,-1.18898,-0.828757,-3.41916,-2.99602,-0.828757,1
1,19,96,-1.83263,-1.49813,-3.41916,-2.99602,-1.49813,1
1,18,96,-1.50369,-1.21188,-3.41916,-2.99602,-1.21188,1
1,17,96,-1.12945,-1.51187,-3.41916,-2.99602,-1.51187,0
1,15,96,-1.01382,-0.675527,-3.41916,-2.99602,-0.675527,1
1,13,96,-1.26543,-1.39263,-3.41916,-2.99602,-1.26543,0
1,12,96,-0.818553,-0.421567,-3.41916,-2.99602,-0.421567,1
1,9,96,-0.691012,-0.654628,-3.41916,-2.99602,-0.654628,1
1,7,96,-0.573466,-0.938503,-3.41916,-2.99602,-0.938503,0
1,4,96,-0.37068,-0.603347,-3.41916,-2.99602,-0.603347,0
1,3,96,-1.05181,-0.252863,-3.41916,-2.99602,-0.252863,1
1,2,96,-0.734126,-0.393688,-3.41916,-2.99602,-0.393688,1
1,19,95,-1.82078,-1.50603,-3.41916,-2.85377,-1.50603,1
1,17,95,-1.17681,-1.50173,-3.41916,-2.85377,-1.50173,0
1,15,95,-1.13088,-0.664082,-3.41916,-2.85377,-0.664082,1
1,13,95,-1.00121,-1.08199,-3.41916,-2.85377,-1.08199,0
1,7,95,-0.660646,-0.91338,-3.41916,-2.85377,-0.91338,0
1,4,95,-0.229981,-0.340443,-3.41916,-2.85377,-0.340443,0
1,2,95,-0.641159,-0.307593,-3.41916,-2.85377,-0.307593,1
1,1,95,-0.800705,0.163088,-3.41916,-2.85377,0.163088,1
1,19,94,-1.60176,-1.39204,-3.41916,-2.55553,-1.39204,1
1,17,94,-1.12485,-1.30493,-3.41916,-2.55553,-1.30493,0
1,15,94,-0.981794,-0.689352,-3.41916,-2.55553,-0.689352,1
1,13,94,-0.823393,-1.02294,-3.41916,-2.55553,-1.02294,0
1,7,94,-0.382988,-0.760813,-3.41916,-2.55553,-0.760813,0
1,4,94,-0.155945,-0.345464,-3.41916,-2.55553,-0.345464,0
1,2,94,-0.620399,-0.232879,-3.41916,-2.55553,-0.232879,1
1,1,94,-0.788309,0.441806,-3.41916,-2.55553,0.441806,1
1,19,93,-1.61065,-1.16438,-3.41916,-2.51688,-1.16438,1
1,17,93,-1.02878,-1.16163,-3.41916,-2.51688,-1.16163,0
1,15,93,-0.971034,-0.79936,-3.41916,-2.51688,-0.79936,1
1,13,93,-0.980259,-1.08021,-3.41916,-2.51688,-1.08021,0
1,7,93,-0.303033,-0.797887,-3.41916,-2.51688,-0.797887,0
1,4,93,-0.0770056,-0.219935,-3.41916,-2.51688,-0.219935,0
1,2,93,-0.361118,-0.114126,-3.41916,-2.51688,-0.114126,1
1,1,93,-0.769952,0.341563,-3.41916,-2.51688,0.341563,1
1,19,92,-1.77814,-1.28666,-6.43894,-2.39982,-1.28666,1
1,17,92,-0.87395,-1.16838,-6.43894,-2.39982,-1.16838,0
1,15,92,-0.955662,-0.524269,-6.43894,-2.39982,-0.524269,1
1,13,92,-0.834516,-0.979541,-6.43894,-2.39982,-0.979541,0
1,7,92,-0.250067,-0.641355,-6.43894,-2.39982,-0.641355,0
1,4,92,-0.737254,-0.039141,-6.43894,-2.39982,-0.039141,1
1,2,92,-0.452552,-0.0147991,-6.43894,-2.39982,-0.0147991,1
1,1,92,-0.733829,0.569892,-6.43894,-2.39982,0.569892,1
1,19,91,-1.48615,-0.98712,-6.29331,-2.45927,-0.98712,1
1,17,91,-0.861475,-1.11273,-6.29331,-2.45927,-1.11273,0
1,15,91,-0.797296,-0.52271,-6.29331,-2.45927,-0.797296,1
1,13,91,-0.925655,-0.890148,-6.29331,-2.45927,-0.890148,1
1,7,91,-0.2623,-0.305909,-6.29331,-2.45927,-0.305909,0
1,4,91,0.0702687,-0.0455644,-6.29331,-2.45927,-0.0455644,0
1,2,91,-0.128883,-0.276295,-6.29331,-2.45927,-0.276295,0
1,1,91,-0.338632,0.540186,-6.29331,-2.45927,0.540186,1
1,19,90,-1.6437,-1.22344,-6.05291,-2.36134,-1.22344,1
1,17,90,-1.0141,-1.20717,-6.05291,-2.36134,-1.20717,0
1,15,90,-0.932414,-0.372262,-6.05291,-2.36134,-0.372262,1
1,13,90,-0.720106,-0.79989,-6.05291,-2.36134,-0.79989,0
1,7,90,-0.423643,-0.37677,-6.05291,-2.36134,-0.37677,1
1,4,90,0.199239,0.163383,-6.05291,-2.36134,0.163383,0
1,2,90,-0.263432,0.053312,-6.05291,-2.36134,0.053312,1
1,1,90,-0.556877,0.709715,-6.05291,-2.36134,0.709715,1
1,19,89,-1.85483,-1.2039,-5.75042,-2.39784,-1.2039,1
1,17,89,-0.881405,-0.924066,-5.75042,-2.39784,-0.881405,0
1,15,89,-0.983307,-0.353548,-5.75042,-2.39784,-0.353548,1
1,13,89,-0.59119,-0.65006,-5.75042,-2.39784,-0.65006,0
1,7,89,-0.333466,-0.164878,-5.75042,-2.39784,-0.164878,1
1,4,89,0.215089,0.16569,-5.75042,-2.39784,0.16569,0
1,2,89,-0.0114421,0.145034,-5.75042,-2.39784,0.145034,1
