Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-2.05735,-1.2149,-3.41916,-3.35117,-1.2149,1
1,19,99,-1.52911,-1.34786,-3.41916,-3.35117,-1.34786,1
1,18,99,-1.41525,-1.09805,-3.41916,-3.35117,-1.09805,1
1,17,99,-0.871249,-1.16263,-3.41916,-3.35117,-1.16263,0
1,15,99,-0.631653,-0.949065,-3.41916,-3.35117,-0.949065,0
1,13,99,-0.441257,-1.03988,-3.41916,-3.35117,-1.03988,0
1,12,99,-0.759446,-0.641163,-3.41916,-3.35117,-0.759446,1
1,10,99,-0.63304,-0.991886,-3.41916,-3.35117,-0.991886,0
1,9,99,-0.596091,-1.16408,-3.41916,-3.35117,-1.16408,0
1,7,99,-0.941084,-0.34201,-3.41916,-3.35117,-0.34201,1
1,4,99,-2.11428,-0.233688,-3.41916,-3.35117,-0.233688,1
1,3,99,-1.45229,0.229401,-3.41916,-3.35117,0.229401,1
1,2,99,-0.630307,-0.474635,-3.41916,-3.35117,-0.474635,1
1,1,99,-0.654489,-0.320856,-3.41916,-3.35117,-0.320856,1
1,20,98,-1.33861,-1.14,-3.41916,-3.12829,-1.14,1
1,19,98,-1.38049,-1.03013,-3.41916,-3.12829,-1.03013,1
1,18,98,-1.49156,-1.34331,-3.41916,-3.12829,-1.34331,1
1,17,98,-0.553722,-1.06842,-3.41916,-3.12829,-1.06842,0
1,15,98,-0.69812,-0.733272,-3.41916,-3.12829,-0.733272,0
1,13,98,-0.680847,-1.33258,-3.41916,-3.12829,-0.680847,0
1,12,98,-0.46463,-0.131015,-3.41916,-3.12829,-0.131015,1
1,9,98,-0.464211,-1.02183,-3.41916,-3.12829,-1.02183,0
1,7,98,-0.689625,-0.112818,-3.41916,-3.12829,-0.112818,1
1,4,98,-1.84214,-0.0293518,-3.41916,-3.12829,-0.0293518,1
1,3,98,-1.18092,0.385967,-3.41916,-3.12829,0.385967,1
1,2,98,-0.276512,-0.302708,-3.41916,-3.12829,-0.302708,0
1,1,98,-0.368306,-0.142697,-3.41916,-3.12829,-0.142697,1
1,20,97,-1.73573,-1.13053,-3.41916,-2.81209,-1.73573,1
