Down,Distance,Yardline,Run_EP,Pass_EP,Kick_EP,Punt_EP,EP,Opt_Choice
1,20,99,-1.38909,-0.411015,-3.41916,-3.35117,-0.411015,1
1,19,99,-1.58008,-0.399851,-3.41916,-3.35117,-0.399851,1
1,18,99,-1.16858,-0.720639,-3.41916,-3.35117,-0.720639,1
1,17,99,-0.842691,-0.653751,-3.41916,-3.35117,-0.653751,1
1,15,99,-0.876062,-0.558324,-3.41916,-3.35117,-0.558324,1
1,13,99,-0.841743,-0.0534987,-3.41916,-3.35117,-0.0534987,1
1,12,99,-1.0152,-0.61962,-3.41916,-3.35117,-1.0152,1
1,10,99,-0.456709,-1.04776,-3.41916,-3.35117,-1.04776,0
1,9,99,-0.886129,-1.07236,-3.41916,-3.35117,-1.07236,0
1,7,99,-1.21686,0.0900419,-3.41916,-3.35117,0.0900419,1
1,4,99,-1.87974,1.18717,-3.41916,-3.35117,1.18717,1
1,3,99,-1.57117,0.352231,-3.41916,-3.35117,0.352231,1
1,2,99,-0.599705,-0.507638,-3.41916,-3.35117,-0.507638,1
1,1,99,-0.649985,-0.498941,-3.41916,-3.35117,-0.498941,1
1,20,98,-1.5106,-0.451575,-3.41916,-3.12829,-0.451575,1
1,19,98,-1.27478,-0.25606,-3.41916,-3.12829,-0.25606,1
1,18,98,-1.27612,-0.744694,-3.41916,-3.12829,-0.744694,1
1,17,98,-0.621917,-0.633995,-3.41916,-3.12829,-0.633995,0
1,15,98,-0.870499,-0.544273,-3.41916,-3.12829,-0.544273,1
1,13,98,-0.871669,-0.143731,-3.41916,-3.12829,-0.871669,1
1,12,98,-0.773082,-0.539757,-3.41916,-3.12829,-0.539757,1
1,9,98,-0.758855,-0.894828,-3.41916,-3.12829,-0.894828,0
1,7,98,-0.729877,0.194719,-3.41916,-3.12829,0.194719,1
1,4,98,-1.44706,0.795966,-3.41916,-3.12829,0.795966,1
1,3,98,-1.06269,0.15741,-3.41916,-3.12829,0.15741,1
1,2,98,-0.539616,-0.412848,-3.41916,-3.12829,-0.412848,1
1,1,98,-0.520055,-0.414481,-3.41916,-3.12829,-0.414481,1
1,20,97,-1.35894,-0.339672,-3.41916,-2.81209,-1.35894,1
1,19,97,-1.59869,-0.445941,-3.41916,-2.81209,-0.445941,1
1,18,97,-0.879524,-0.512126,-3.41916,-2.81209,-0.512126,1
1,17,97,-0.885427,-0.568897,-3.41916,-2.81209,-0.568897,1
1,15,97,-0.556919,-0.347613,-3.41916,-2.81209,-0.347613,1
1,13,97,-0.743586,0.25103,-3.41916,-2.81209,0.25103,1
1,12,97,-0.702558,-0.451902,-3.41916,-2.81209,-0.451902,1
1,7,97,-0.599294,0.303523,-3.41916,-2.81209,0.303523,1
1,4,97,-0.866136,1.26727,-3.41916,-2.81209,1.26727,1
1,3,97,-0.788976,0.503298,-3.41916,-2.81209,0.503298,1
1,2,97,-0.433242,-0.260888,-3.41916,-2.81209,-0.260888,1
1,20,96,-1.11096,-0.145702,-3.41916,-2.99602,-0.145702,1
1,19,96,-1.31584,-0.154158,-3.41916,-2.99602,-0.154158,1
1,18,96,-1.10014,-0.662577,-3.41916,-2.99602,-0.662577,1
1,17,96,-0.451814,-0.464387,-3.41916,-2.99602,-0.464387,0
1,15,96,-0.464802,-0.115954,-3.41916,-2.99602,-0.115954,1
1,13,96,-0.605737,0.145684,-3.41916,-2.99602,-0.605737,1
1,12,96,-0.553612,-0.313419,-3.41916,-2.99602,-0.313419,1
1,9,96,-0.237439,-0.684034,-3.41916,-2.99602,-0.684034,0
1,7,96,-0.512991,0.425593,-3.41916,-2.99602,0.425593,1
1,4,96,-0.661574,1.56951,-3.41916,-2.99602,1.56951,1
1,3,96,-0.628913,0.740939,-3.41916,-2.99602,0.740939,1
1,2,96,-0.271886,-0.127034,-3.41916,-2.99602,-0.127034,1
1,19,95,-0.923148,-0.0551456,-3.41916,-2.85377,-0.0551456,1
1,17,95,-0.688006,-0.589188,-3.41916,-2.85377,-0.589188,1
1,15,95,-0.622088,-0.138069,-3.41916,-2.85377,-0.138069,1
1,13,95,-0.624451,0.325306,-3.41916,-2.85377,0.325306,1
1,7,95,-0.465751,0.495119,-3.41916,-2.85377,0.495119,1
1,4,95,-0.644654,1.57142,-3.41916,-2.85377,1.57142,1
1,2,95,-0.206078,-0.0863082,-3.41916,-2.85377,-0.0863082,1
1,1,95,-0.213321,-0.0400707,-3.41916,-2.85377,-0.0400707,1
1,19,94,-0.901615,0.0264306,-3.41916,-2.55553,0.0264306,1
1,17,94,-0.579039,-0.431095,-3.41916,-2.55553,-0.431095,1
1,15,94,-0.27772,0.00327394,-3.41916,-2.55553,0.00327394,1
1,13,94,-0.451003,0.406961,-3.41916,-2.55553,0.406961,1
1,7,94,-0.241951,0.613711,-3.41916,-2.55553,0.613711,1
1,4,94,-0.518071,1.65165,-3.41916,-2.55553,1.65165,1
1,2,94,0.024377,0.0343256,-3.41916,-2.55553,0.0343256,1
1,1,94,-0.0768679,0.0593061,-3.41916,-2.55553,0.0593061,1
1,19,93,-0.79558,0.0228918,-3.41916,-2.51688,0.0228918,1
1,17,93,-0.296923,-0.220029,-3.41916,-2.51688,-0.220029,1
1,15,93,-0.420517,-0.0626987,-3.41916,-2.51688,-0.0626987,1
1,13,93,-0.467649,0.288336,-3.41916,-2.51688,0.288336,1
1,7,93,-0.259684,0.610567,-3.41916,-2.51688,0.610567,1
1,4,93,-0.379968,1.83343,-3.41916,-2.51688,1.83343,1
1,2,93,0.0513524,0.19122,-3.41916,-2.51688,0.19122,1
1,1,93,0.0826257,0.152179,-3.41916,-2.51688,0.152179,1
1,19,92,-0.754422,0.12905,-6.43894,-2.39982,0.12905,1
1,17,92,-0.264769,-0.10888,-6.43894,-2.39982,-0.10888,1
1,15,92,-0.303613,0.0421742,-6.43894,-2.39982,0.0421742,1
1,13,92,-0.200755,0.60384,-6.43894,-2.39982,0.60384,1
1,7,92,-0.199629,0.676122,-6.43894,-2.39982,0.676122,1
1,4,92,-0.412279,1.82638,-6.43894,-2.39982,1.82638,1
1,2,92,0.237726,0.192128,-6.43894,-2.39982,0.192128,0
1,1,92,0.349112,0.276193,-6.43894,-2.39982,0.276193,0
1,19,91,-0.674001,0.20008,-6.29331,-2.45927,0.20008,1
1,17,91,-0.338947,-0.00421422,-6.29331,-2.45927,-0.00421422,1
1,15,91,-0.063535,0.249389,-6.29331,-2.45927,-0.063535,1
1,13,91,-0.37773,0.464315,-6.29331,-2.45927,0.464315,1
1,7,91,-0.031111,0.775546,-6.29331,-2.45927,0.775546,1
1,4,91,-0.216726,1.94077,-6.29331,-2.45927,1.94077,1
1,2,91,0.427277,0.215536,-6.29331,-2.45927,0.215536,0
1,1,91,0.234355,0.480183,-6.29331,-2.45927,0.480183,1
1,19,90,-0.872607,-0.163548,-6.05291,-2.36134,-0.163548,1
1,17,90,-0.263607,0.0514694,-6.05291,-2.36134,0.0514694,1
1,15,90,-0.073267,0.307077,-6.05291,-2.36134,0.307077,1
1,13,90,-0.168789,0.535454,-6.05291,-2.36134,0.535454,1
1,7,90,-0.104082,0.613158,-6.05291,-2.36134,0.613158,1
1,4,90,-0.09383,1.97863,-6.05291,-2.36134,1.97863,1
1,2,90,0.569535,0.441387,-6.05291,-2.36134,0.441387,0
1,1,90,0.534739,0.618253,-6.05291,-2.36134,0.618253,1
1,19,89,-1.2695,-0.284741,-5.75042,-2.39784,-0.284741,1
1,17,89,-0.545611,0.130179,-5.75042,-2.39784,-0.545611,1
1,15,89,-0.149363,0.332462,-5.75042,-2.39784,0.332462,1
1,13,89,0.146227,0.765948,-5.75042,-2.39784,0.765948,1
1,7,89,0.0096299,0.811146,-5.75042,-2.39784,0.811146,1
1,4,89,-0.0959147,1.94162,-5.75042,-2.39784,1.94162,1
1,2,89,0.661638,0.445253,-5.75042,-2.39784,0.445253,0
1,1,89,0.805711,0.564414,-5.75042,-2.39784,0.564414,0
1,19,88,-0.753893,0.332678,-5.55605,-2.24038,-0.753893,1
1,17,88,-0.710905,-0.0480849,-5.55605,-2.24038,-0.0480849,1
1,15,88,-0.0349895,0.352525,-5.55605,-2.24038,0.352525,1
1,13,88,0.0443224,0.701793,-5.55605,-2.24038,0.701793,1
1,7,88,0.0716314,0.91579,-5.55605,-2.24038,0.91579,1
1,4,88,-0.0640417,2.01108,-5.55605,-2.24038,2.01108,1
1,2,88,0.798051,0.392988,-5.55605,-2.24038,0.392988,0
1,1,88,0.63968,0.616483,-5.55605,-2.24038,0.616483,0
1,19,87,-0.522537,0.494336,-5.60239,-2.09737,0.494336,1
1,17,87,-1.03715,-0.4115,-5.60239,-2.09737,-0.4115,1
1,15,87,-0.162788,0.477592,-5.60239,-2.09737,0.477592,1
1,13,87,0.0345212,0.633478,-5.60239,-2.09737,0.633478,1
1,7,87,0.144428,0.889856,-5.60239,-2.09737,0.889856,1
1,4,87,0.232937,2.08324,-5.60239,-2.09737,2.08324,1
1,2,87,1.00205,0.653538,-5.60239,-2.09737,0.653538,0
1,1,87,0.841963,0.863394,-5.60239,-2.09737,0.863394,1
1,19,86,-0.672293,0.579423,-5.61978,-2.01828,0.579423,1
1,17,86,-0.538006,0.0671373,-5.61978,-2.01828,-0.538006,1
1,15,86,-0.515134,0.264315,-5.61978,-2.01828,0.264315,1
1,13,86,0.231653,0.781743,-5.61978,-2.01828,0.231653,1
1,7,86,0.447456,0.990987,-5.61978,-2.01828,0.990987,1
1,4,86,0.0720362,2.11924,-5.61978,-2.01828,2.11924,1
1,2,86,0.844403,0.762461,-5.61978,-2.01828,0.762461,0
1,1,86,0.978177,0.867194,-5.61978,-2.01828,0.867194,0
1,19,85,-0.321226,-0.280295,-5.14185,-2.10808,-0.280295,1
1,17,85,0.113338,-0.22724,-5.14185,-2.10808,-0.22724,0
1,15,85,-0.248054,-0.483544,-5.14185,-2.10808,-0.483544,0
1,13,85,0.261891,0.105597,-5.14185,-2.10808,0.105597,0
1,7,85,0.205918,0.297603,-5.14185,-2.10808,0.297603,1
1,4,85,0.440856,0.629027,-5.14185,-2.10808,0.629027,1
1,2,85,0.705736,1.27344,-5.14185,-2.10808,1.27344,1
1,1,85,0.736768,0.699453,-5.14185,-2.10808,0.699453,0
1,19,84,0.0428686,0.0329899,-5.35927,-2.00544,0.0329899,0
1,17,84,-0.133551,-0.337693,-5.35927,-2.00544,-0.337693,0
1,15,84,0.319876,0.0805634,-5.35927,-2.00544,0.0805634,0
1,13,84,-0.186941,-0.421956,-5.35927,-2.00544,-0.421956,0
1,7,84,0.315139,0.346726,-5.35927,-2.00544,0.346726,1
1,4,84,0.503281,0.649266,-5.35927,-2.00544,0.649266,1
1,2,84,0.528616,1.31295,-5.35927,-2.00544,1.31295,1
1,1,84,1.16262,1.29002,-5.35927,-2.00544,1.29002,1
